,Date,Open,High,Low,Close,Volume,Change
0,2000-01-04,7537,8731,7537,7836,3900,-10.26
1,2000-01-05,8955,8955,8209,8582,14010,9.52
2,2000-01-06,8955,8955,7462,7911,9850,-7.82
3,2000-01-07,8209,8209,7574,7687,6220,-2.83
4,2000-01-10,7910,7910,7425,7687,5750,0.0
5,2000-01-11,7649,8060,7388,7762,8270,0.98
6,2000-01-12,7462,8171,7462,7911,12280,1.92
7,2000-01-13,7910,7910,7313,7687,4080,-2.83
8,2000-01-14,7686,7985,7425,7538,9160,-1.94
9,2000-01-17,7089,7910,7089,7366,11300,-2.28
10,2000-01-18,7649,7649,7104,7463,7950,1.32
11,2000-01-19,7462,7462,6492,6664,10990,-10.71
12,2000-01-20,6806,6940,6350,6642,12360,-0.33
13,2000-01-21,6275,6484,5671,6403,8430,-3.6
14,2000-01-24,6343,6664,6194,6418,5970,0.23
15,2000-01-25,5671,6417,5671,5978,6820,-6.86
16,2000-01-26,5678,6118,5678,5747,5320,-3.86
17,2000-01-27,6343,6603,6051,6605,12300,14.93
18,2000-01-28,7574,7574,7574,7575,8520,14.69
19,2000-01-31,8693,8693,6805,8694,31070,14.77
20,2000-02-01,8209,8806,7574,7762,24630,-10.72
21,2000-02-02,8433,8433,7686,7836,15170,0.95
22,2000-02-03,7574,8992,7574,8993,18920,14.77
23,2000-02-07,9328,9328,8433,9254,28400,2.9
24,2000-02-08,8805,9216,8432,8545,13920,-7.66
25,2000-02-09,8507,8806,7836,7911,7710,-7.42
26,2000-02-10,8582,8582,7313,7762,14380,-1.88
27,2000-02-11,7320,7649,6902,7388,10310,-4.82
28,2000-02-14,7462,8469,6947,8471,41320,14.66
29,2000-02-15,7574,7985,7201,7202,27300,-14.98
30,2000-02-16,6798,7574,6716,6717,11820,-6.73
31,2000-02-17,6716,7089,6716,6754,9730,0.55
32,2000-02-18,6791,6865,6537,6791,5810,0.55
33,2000-02-21,6790,6790,6365,6381,5020,-6.04
34,2000-02-22,6380,6567,6380,6418,4480,0.58
35,2000-02-23,6902,7350,6716,7351,11700,14.54
36,2000-02-24,7230,8432,6716,8396,37680,14.22
37,2000-02-25,7537,8657,7537,8060,21360,-4.0
38,2000-02-28,8134,8171,7462,7575,10410,-6.02
39,2000-02-29,7836,8694,7723,8209,18000,8.37
40,2000-03-02,8283,8657,8209,8284,10220,0.91
41,2000-03-03,8284,8284,7574,7687,9150,-7.21
42,2000-03-06,7611,8507,7611,8172,7710,6.31
43,2000-03-07,8171,8582,7947,8209,7680,0.45
44,2000-03-08,7649,8358,7649,8135,4660,-0.9
45,2000-03-09,8358,8582,7686,8172,13160,0.45
46,2000-03-10,8432,9365,8208,9366,32280,14.61
47,2000-03-13,10746,10746,9701,10747,45990,14.74
48,2000-03-14,11418,11418,9254,9254,14720,-13.89
49,2000-03-15,8582,10634,8432,10635,59460,14.92
50,2000-03-16,11120,12202,10672,12202,124960,14.73
51,2000-03-17,11940,13358,10373,10374,60100,-14.98
52,2000-03-20,10448,11790,8880,10971,100140,5.75
53,2000-03-21,11045,12238,9365,9403,127680,-14.29
54,2000-03-22,8731,9403,8209,8209,55660,-12.7
55,2000-03-23,8582,8955,8246,8508,40850,3.64
56,2000-03-24,8209,8881,8022,8209,34310,-3.51
57,2000-03-27,8582,8582,8134,8359,27090,1.83
58,2000-03-28,8209,8358,8134,8284,15360,-0.9
59,2000-03-29,8507,8507,7910,7911,20230,-4.5
60,2000-03-30,7985,8881,7798,7985,36100,0.94
61,2000-03-31,8022,8470,7686,7911,14690,-0.93
62,2000-04-03,7985,8097,7463,7538,13740,-4.71
63,2000-04-04,7388,8209,7388,7463,21450,-0.99
64,2000-04-06,7499,7499,6835,6978,10980,-6.5
65,2000-04-07,7089,7313,6790,7097,8880,1.71
66,2000-04-10,6887,7454,6887,7112,12410,0.21
67,2000-04-11,7021,7350,7021,7127,13830,0.21
68,2000-04-12,7171,7298,7052,7164,3940,0.52
69,2000-04-14,7388,7425,7015,7164,8600,0.0
70,2000-04-17,7089,7836,6126,6418,36530,-10.41
71,2000-04-18,6678,7089,6529,6866,22970,6.98
72,2000-04-19,6947,7313,6932,6985,14800,1.73
73,2000-04-20,7104,7313,6947,7239,9310,3.64
74,2000-04-21,7238,7462,7186,7321,8350,1.13
75,2000-04-24,7275,7380,7186,7187,6710,-1.83
76,2000-04-25,7164,7238,6902,6903,4660,-3.95
77,2000-04-26,6872,7193,6790,7067,7790,2.38
78,2000-04-27,6798,6865,6454,6709,5920,-5.07
79,2000-04-28,6641,6940,6507,6829,7590,1.79
80,2000-05-02,6716,7164,6641,6859,1720,0.44
81,2000-05-03,6343,6761,6343,6709,2470,-2.19
82,2000-05-04,6417,6827,6417,6754,2020,0.67
83,2000-05-08,6753,6753,6589,6717,1270,-0.55
84,2000-05-09,6641,6865,6603,6784,5960,1.0
85,2000-05-10,6612,6753,6567,6567,5020,-3.2
86,2000-05-12,6746,6925,6358,6605,2890,0.58
87,2000-05-15,6380,6567,6164,6344,2560,-3.95
88,2000-05-16,6268,6343,5977,6269,2560,-1.18
89,2000-05-17,6066,6268,5596,5963,4870,-4.88
90,2000-05-18,5634,5634,5074,5187,9920,-13.01
91,2000-05-19,4783,5178,4551,5164,3200,-0.44
92,2000-05-22,5178,5447,4924,5373,10110,4.05
93,2000-05-23,5484,5559,4850,5179,12790,-3.61
94,2000-05-24,5164,5164,4440,4784,9380,-7.63
95,2000-05-25,4873,5216,4813,5038,8370,5.31
96,2000-05-26,4887,5171,4649,4851,4800,-3.71
97,2000-05-29,4499,4775,4499,4642,5790,-4.31
98,2000-05-30,4596,5103,4596,5105,11280,9.97
99,2000-05-31,5156,5484,5103,5105,17190,0.0
100,2000-06-01,5126,5283,4887,5030,6000,-1.47
101,2000-06-02,5037,5291,5037,5082,9970,1.03
102,2000-06-05,5111,5544,5111,5373,8590,5.73
103,2000-06-07,5559,5709,5336,5560,9750,3.48
104,2000-06-08,5872,5872,5298,5306,6600,-4.57
105,2000-06-09,5313,5552,5104,5455,4970,2.81
106,2000-06-12,5148,5931,5148,5582,12830,2.33
107,2000-06-13,5372,5693,5268,5269,6120,-5.61
108,2000-06-14,5268,5268,4872,5224,3530,-0.85
109,2000-06-15,5223,5223,4858,4866,3260,-6.85
110,2000-06-16,4552,4850,4552,4649,1580,-4.46
111,2000-06-19,4984,4984,4551,4552,1960,-2.09
112,2000-06-20,4701,4701,4485,4620,1460,1.49
113,2000-06-21,4484,4693,4484,4552,1770,-1.47
114,2000-06-22,4775,4775,4491,4552,4540,0.0
115,2000-06-23,4552,4731,4515,4530,3310,-0.48
116,2000-06-26,4611,4663,4551,4627,1000,2.14
117,2000-06-27,4664,5044,4634,4858,7440,4.99
118,2000-06-28,4962,5327,4641,5164,11670,6.3
119,2000-06-29,4925,5059,4790,4888,2920,-5.34
120,2000-06-30,5037,5037,4798,4948,1820,1.23
121,2000-07-03,4775,5186,4775,5090,4310,2.87
122,2000-07-04,5149,5559,5089,5336,9240,4.83
123,2000-07-05,5402,5656,5156,5523,13380,3.5
124,2000-07-06,5372,5649,5372,5552,8500,0.53
125,2000-07-07,5880,6104,5746,5821,15650,4.85
126,2000-07-10,5820,5820,5455,5627,7170,-3.33
127,2000-07-11,5887,6118,5372,5791,8120,2.91
128,2000-07-12,6657,6657,6642,6657,11110,14.95
