,Date,Open,High,Low,Close,Volume,Change
0,2000-01-04,45000,45000,40000,43200,19230,-6.59
1,2000-01-05,41100,42900,38100,38650,19070,-10.53
2,2000-01-06,39800,41000,36100,36100,17440,-6.6
3,2000-01-07,35800,38000,35000,36600,8010,1.39
4,2000-01-10,40000,40000,37600,38000,6380,3.83
5,2000-01-11,37100,40200,37100,39100,11930,2.89
6,2000-01-12,39000,40150,37000,38600,9840,-1.28
7,2000-01-13,37400,39000,37000,37500,6350,-2.85
8,2000-01-14,37000,40000,37000,40000,18780,6.67
9,2000-01-17,39000,39000,38250,38500,6910,-3.75
10,2000-01-18,38500,38500,37000,37000,7710,-3.9
11,2000-01-19,36600,37900,35500,36000,9560,-2.7
12,2000-01-20,36000,36000,33500,34000,9690,-5.56
13,2000-01-21,33300,35000,32500,34500,5060,1.47
14,2000-01-24,36000,36000,33800,34000,5470,-1.45
15,2000-01-25,33100,33500,31500,31500,11420,-7.35
16,2000-01-26,30000,31600,30000,30800,9240,-2.22
17,2000-01-27,30100,34800,30100,33000,26360,7.14
18,2000-01-28,34200,36800,32000,33150,48660,0.45
19,2000-01-31,33150,33500,31100,33150,26660,0.0
20,2000-02-01,33150,33900,32600,33150,17830,0.0
21,2000-02-02,33000,34000,32600,33600,12690,1.36
22,2000-02-03,34500,34500,33000,33200,23830,-1.19
23,2000-02-07,33200,35600,32600,34800,18010,4.82
24,2000-02-08,34000,35100,33500,34000,9160,-2.3
25,2000-02-09,34000,34000,31000,32300,17010,-5.0
26,2000-02-10,32000,32200,31000,31000,11600,-4.02
27,2000-02-11,31000,31500,30000,30000,12650,-3.23
28,2000-02-14,30000,30800,28000,28100,27220,-6.33
29,2000-02-15,28150,29500,27100,27500,11590,-2.14
30,2000-02-16,27800,28700,26600,28000,18130,1.82
31,2000-02-17,26750,30950,26750,30800,30730,10.0
32,2000-02-18,31500,32500,29700,29800,18670,-3.25
33,2000-02-21,29700,29700,26800,27200,18550,-8.72
34,2000-02-22,27300,27600,25200,27200,13940,0.0
35,2000-02-23,27500,29500,27500,28000,27010,2.94
36,2000-02-24,29000,29000,28000,28100,22610,0.36
37,2000-02-25,27000,27800,26500,27400,10380,-2.49
38,2000-02-28,27200,27400,25000,26000,10140,-5.11
39,2000-02-29,24100,26100,24100,24300,14230,-6.54
40,2000-03-02,24400,25900,24400,25400,7200,4.53
41,2000-03-03,25950,25950,24100,24450,9340,-3.74
42,2000-03-06,26000,26000,24800,24800,26830,1.43
43,2000-03-07,25100,26000,24200,24850,18140,0.2
44,2000-03-08,24500,25750,24500,25400,18950,2.21
45,2000-03-09,25600,27800,24600,27400,39080,7.87
46,2000-03-10,28000,28000,25650,25650,10940,-6.39
47,2000-03-13,29450,29450,25100,28500,19420,11.11
48,2000-03-14,26150,27600,26150,26800,7210,-5.96
49,2000-03-15,26000,29700,26000,27000,54620,0.75
50,2000-03-16,28500,28700,27000,27000,44110,0.0
51,2000-03-17,27600,28000,25800,26500,31810,-1.85
52,2000-03-20,25550,27900,25300,26000,27110,-1.89
53,2000-03-21,26700,27500,25600,25600,20340,-1.54
54,2000-03-22,25700,26400,25100,25800,20100,0.78
55,2000-03-23,25600,25700,25000,25500,14760,-1.16
56,2000-03-24,25300,25300,24500,24500,17450,-3.92
57,2000-03-27,25500,25500,24300,24600,12850,0.41
58,2000-03-28,24500,25400,24200,24900,12040,1.22
59,2000-03-29,25600,26000,25100,25550,16980,2.61
60,2000-03-30,26500,28800,25650,26900,58390,5.28
61,2000-03-31,27000,27900,25500,25500,12310,-5.2
62,2000-04-03,25700,25700,24500,24500,14150,-3.92
63,2000-04-04,24000,24000,21500,22300,12670,-8.98
64,2000-04-06,22500,22500,21500,21500,9480,-3.59
65,2000-04-07,21900,22000,20800,20800,14660,-3.26
66,2000-04-10,21150,22900,21150,22600,9330,8.65
67,2000-04-11,22500,22500,21100,21500,7590,-4.87
68,2000-04-12,21600,23000,21300,22000,13280,2.33
69,2000-04-14,21500,22800,21300,21500,6350,-2.27
70,2000-04-17,18300,20850,18300,18300,27130,-14.88
71,2000-04-18,20850,20850,19100,19700,16110,7.65
72,2000-04-19,19800,20400,19450,19450,9950,-1.27
73,2000-04-20,19300,20000,18900,19600,10520,0.77
74,2000-04-21,19300,20250,19050,20000,8990,2.04
75,2000-04-24,19500,19950,19500,19500,5950,-2.5
76,2000-04-25,19200,19800,19100,19100,2430,-2.05
77,2000-04-26,20000,20000,18800,18800,4160,-1.57
78,2000-04-27,16200,18100,16200,17500,4670,-6.91
79,2000-04-28,17600,18300,17300,18200,9750,4.0
80,2000-05-02,18600,18600,17600,17700,4010,-2.75
81,2000-05-03,17950,18600,17800,18150,4860,2.54
82,2000-05-04,17650,18500,17650,17800,5540,-1.93
83,2000-05-08,18250,18800,18250,18250,6330,2.53
84,2000-05-09,18550,19300,18000,18700,14180,2.47
85,2000-05-10,18700,18800,18100,18650,4810,-0.27
86,2000-05-12,18100,18300,17900,18000,4330,-3.49
87,2000-05-15,17550,17550,17000,17300,3520,-3.89
88,2000-05-16,17500,17500,16200,16200,6550,-6.36
89,2000-05-17,16700,16700,14500,14500,9590,-10.49
90,2000-05-18,14500,14500,12450,12800,15810,-11.72
91,2000-05-19,12850,13700,12500,13000,11720,1.56
92,2000-05-22,13100,13200,12300,12850,7520,-1.15
93,2000-05-23,12500,13400,11400,11800,8620,-8.17
94,2000-05-24,12100,12700,10900,12700,10770,7.63
95,2000-05-25,12700,14600,12700,14600,20460,14.96
96,2000-05-26,14400,14500,13200,13900,8990,-4.79
97,2000-05-29,11900,14500,11900,13500,7490,-2.88
98,2000-05-30,14700,15000,13700,14600,11680,8.15
99,2000-05-31,14600,15600,14600,14700,20600,0.68
100,2000-06-01,15000,15000,14050,14200,7540,-3.4
101,2000-06-02,14600,15500,14200,14500,11210,2.11
102,2000-06-05,15500,16650,14300,16650,31830,14.83
103,2000-06-07,16950,19000,16700,18400,30270,10.51
104,2000-06-08,19000,19000,16500,16800,13350,-8.7
105,2000-06-09,18000,18000,16500,17800,11700,5.95
106,2000-06-12,17950,19200,17300,18900,20040,6.18
107,2000-06-13,18900,18900,17600,17900,5890,-5.29
108,2000-06-14,18350,18350,17000,17500,2650,-2.23
109,2000-06-15,16050,17100,16050,17000,5260,-2.86
110,2000-06-16,17300,17300,15800,16100,6900,-5.29
111,2000-06-19,15600,16300,15000,15600,15530,-3.11
112,2000-06-20,15100,16700,15100,15800,5090,1.28
113,2000-06-21,15800,16250,15500,15800,4960,0.0
114,2000-06-22,15800,16300,15700,16100,5570,1.9
115,2000-06-23,16600,16700,15800,16400,6280,1.86
116,2000-06-26,16700,18200,16500,17600,13060,7.32
117,2000-06-27,18400,18400,17000,17500,10180,-0.57
118,2000-06-28,17500,18000,17500,17950,5560,2.57
119,2000-06-29,17950,18800,17950,18300,5870,1.95
120,2000-06-30,18300,18500,17650,17750,4580,-3.01
121,2000-07-03,17900,19000,17900,19000,9980,7.04
122,2000-07-04,19450,19500,18200,19500,23940,2.63
123,2000-07-05,20500,22400,20400,22400,38040,14.87
124,2000-07-06,22000,25400,22000,23800,32640,6.25
125,2000-07-07,23500,23700,22000,22700,22400,-4.62
126,2000-07-10,22700,23300,21600,21750,16150,-4.19
127,2000-07-11,21750,23000,21000,21100,15590,-2.99
128,2000-07-12,20500,22800,20500,22100,16530,4.74
129,2000-07-13,22200,23300,22200,22700,15870,2.71
130,2000-07-14,23200,26100,23200,25400,103120,11.89
131,2000-07-18,25000,26000,22100,23100,46040,-9.06
132,2000-07-19,22900,22900,19900,20100,40070,-12.99
133,2000-07-20,18100,19700,18100,19200,16320,-4.48
134,2000-07-21,18500,20800,18500,20300,18980,5.73
135,2000-07-24,19400,20300,18500,18500,13220,-8.87
136,2000-07-25,18500,19500,17600,19250,10920,4.05
137,2000-07-26,19900,20000,18500,19500,9610,1.3
138,2000-07-27,19500,19500,18600,18600,4450,-4.62
139,2000-07-28,18400,19300,17700,18500,8430,-0.54
140,2000-07-31,17600,18400,17600,18000,4920,-2.7
141,2000-08-01,18000,19000,18000,19000,7640,5.56
142,2000-08-02,19000,19800,18500,19400,10170,2.11
143,2000-08-03,19500,19700,18750,19000,5250,-2.06
144,2000-08-04,19000,19200,18500,18800,5830,-1.05
145,2000-08-07,18100,18500,18000,18100,4230,-3.72
146,2000-08-08,18100,18600,18000,18000,4640,-0.55
147,2000-08-09,18000,18500,18000,18500,3260,2.78
148,2000-08-10,18100,18900,18100,18800,3280,1.62
149,2000-08-11,18000,19300,18000,19100,6270,1.6
150,2000-08-14,19600,19800,19200,19400,6670,1.57
151,2000-08-16,19900,19950,19200,19700,3780,1.55
152,2000-08-17,20000,20300,19500,19950,6920,1.27
153,2000-08-18,19000,19600,19000,19200,4210,-3.76
154,2000-08-21,18500,19500,18500,18700,4230,-2.6
155,2000-08-22,19100,19100,18700,18950,3980,1.34
156,2000-08-23,18850,18900,18400,18400,5940,-2.9
157,2000-08-24,17900,18200,17550,17700,5510,-3.8
158,2000-08-25,17700,18000,17450,17850,1580,0.85
159,2000-08-28,17250,17850,17250,17800,4130,-0.28
160,2000-08-29,17500,18000,17300,17600,6360,-1.12
161,2000-08-30,17900,20000,17000,18200,15240,3.41
162,2000-08-31,18150,19000,17600,17600,9870,-3.3
163,2000-09-01,17000,18000,17000,17650,5700,0.28
164,2000-09-04,17650,17750,17150,17150,1770,-2.83
165,2000-09-05,17150,17650,17150,17650,5970,2.92
166,2000-09-06,17250,17500,17200,17300,1610,-1.98
167,2000-09-07,17100,17350,17050,17350,7050,0.29
168,2000-09-08,16900,17350,16500,16900,3340,-2.59
169,2000-09-14,16500,16900,15700,16900,5300,0.0
170,2000-09-15,17000,17750,17000,17200,10130,1.78
171,2000-09-18,17200,17200,14700,15750,11460,-8.43
172,2000-09-19,15250,15600,14700,15200,7310,-3.49
173,2000-09-20,15700,16400,15500,16300,5350,7.24
174,2000-09-21,16300,16450,15400,15650,2730,-3.99
175,2000-09-22,16150,16150,14300,14300,5380,-8.63
176,2000-09-25,14900,15200,14600,14850,3480,3.85
177,2000-09-26,14850,15250,14800,14900,1300,0.34
178,2000-09-27,14900,15300,14900,15250,2950,2.35
179,2000-09-28,15500,15500,15100,15100,1220,-0.98
180,2000-09-29,15750,15750,15050,15500,4260,2.65
181,2000-10-02,15300,15300,15100,15250,1060,-1.61
182,2000-10-04,14500,15250,14500,15200,3530,-0.33
183,2000-10-05,15250,15850,15150,15800,6010,3.95
184,2000-10-06,16000,16100,15500,15800,3360,0.0
185,2000-10-09,15500,15800,15200,15600,3450,-1.27
186,2000-10-10,15500,15500,15300,15350,1320,-1.6
187,2000-10-11,15350,15350,14550,14900,3010,-2.93
188,2000-10-12,14050,14700,14050,14650,1960,-1.68
189,2000-10-13,13700,14300,13150,13950,4170,-4.78
190,2000-10-16,15500,15500,14600,14800,1910,6.09
191,2000-10-17,14400,14700,13400,13400,5350,-9.46
