,Date,Open,High,Low,Close,Volume,Change
0,2000-01-04,0,0,0,77000,0,0.0
1,2000-01-05,0,0,0,77000,0,0.0
2,2000-01-06,66000,66000,66000,66000,20,-14.29
3,2000-01-07,56100,56100,56100,56100,30,-15.0
4,2000-01-10,0,0,0,56100,0,0.0
5,2000-01-11,56100,56100,50000,50000,20,-10.87
6,2000-01-12,42500,42500,42500,42500,50,-15.0
7,2000-01-13,37000,37000,36150,36200,70,-14.82
8,2000-01-14,30800,41600,30800,41600,60,14.92
9,2000-01-17,41600,47500,35500,47500,100,14.18
10,2000-01-18,40500,40600,40500,40500,40,-14.74
11,2000-01-19,45000,46550,40500,46550,130,14.94
12,2000-01-20,50000,52500,50000,52500,60,12.78
13,2000-01-21,53500,60300,52500,60000,100,14.29
14,2000-01-24,69000,69000,55000,55000,20,-8.33
15,2000-01-25,0,0,0,55000,0,0.0
16,2000-01-26,59000,61000,59000,61000,20,10.91
17,2000-01-27,70000,70000,65000,65000,80,6.56
18,2000-01-28,74000,74700,74000,74700,20,14.92
19,2000-01-31,0,0,0,74700,0,0.0
20,2000-02-01,0,0,0,74700,0,0.0
21,2000-02-02,0,0,0,74700,0,0.0
22,2000-02-03,0,0,0,74000,0,-0.94
23,2000-02-07,0,0,0,73000,0,-1.35
24,2000-02-08,0,0,0,73000,0,0.0
25,2000-02-09,0,0,0,73000,0,0.0
26,2000-02-10,0,0,0,73000,0,0.0
27,2000-02-11,0,0,0,73000,0,0.0
28,2000-02-14,62100,80000,62100,80000,20,9.59
29,2000-02-15,0,0,0,80000,0,0.0
30,2000-02-16,0,0,0,79000,0,-1.25
31,2000-02-17,0,0,0,79000,0,0.0
32,2000-02-18,0,0,0,79000,0,0.0
33,2000-02-21,0,0,0,75000,0,-5.06
34,2000-02-22,63800,63800,63800,63800,10,-14.93
35,2000-02-23,54400,54400,54400,54400,10,-14.73
36,2000-02-24,0,0,0,54400,0,0.0
37,2000-02-25,0,0,0,54400,0,0.0
38,2000-02-28,59400,59400,59400,59400,10,9.19
39,2000-02-29,0,0,0,59400,0,0.0
40,2000-03-02,0,0,0,59400,0,0.0
41,2000-03-03,0,0,0,59400,0,0.0
42,2000-03-06,0,0,0,59300,0,-0.17
43,2000-03-07,0,0,0,59300,0,0.0
44,2000-03-08,0,0,0,59200,0,-0.17
45,2000-03-09,0,0,0,59100,0,-0.17
46,2000-03-10,0,0,0,59100,0,0.0
47,2000-03-13,58800,58800,58800,58800,10,-0.51
48,2000-03-14,0,0,0,58700,0,-0.17
49,2000-03-15,62000,67500,62000,67000,90,14.14
50,2000-03-16,65000,70000,57000,65000,130,-2.99
51,2000-03-17,55400,60000,55400,60000,120,-7.69
52,2000-03-20,67000,69000,67000,69000,230,15.0
53,2000-03-21,79300,79300,79300,79300,50,14.93
54,2000-03-22,90000,90000,88000,88000,20,10.97
55,2000-03-23,80000,97000,80000,97000,60,10.23
56,2000-03-24,100000,109000,100000,100000,40,3.09
57,2000-03-27,101000,101000,101000,101000,10,1.0
58,2000-03-28,0,0,0,100000,0,-0.99
59,2000-03-29,100000,115000,100000,115000,50,15.0
60,2000-03-30,0,0,0,115000,0,0.0
61,2000-03-31,0,0,0,115000,0,0.0
62,2000-04-03,0,0,0,115000,0,0.0
63,2000-04-04,0,0,0,115000,0,0.0
64,2000-04-06,125000,125000,125000,125000,10,8.7
65,2000-04-07,0,0,0,125000,0,0.0
66,2000-04-10,0,0,0,125000,0,0.0
67,2000-04-11,0,0,0,125000,0,0.0
68,2000-04-12,0,0,0,125000,0,0.0
69,2000-04-14,125000,125000,125000,125000,10,0.0
70,2000-04-17,0,0,0,125000,0,0.0
71,2000-04-18,0,0,0,125000,0,0.0
72,2000-04-19,0,0,0,125000,0,0.0
73,2000-04-20,0,0,0,125000,0,0.0
74,2000-04-21,0,0,0,125000,0,0.0
75,2000-04-24,0,0,0,125000,0,0.0
76,2000-04-25,0,0,0,106500,0,-14.8
77,2000-04-26,91000,106500,91000,91000,500,-14.55
