,Date,Open,High,Low,Close,Volume,Change
0,2000-01-04,327000,352816,319255,330441,2004240,5.79
1,2000-01-05,281392,318395,281392,299463,3503540,-9.37
2,2000-01-06,318395,320116,281392,289136,3852960,-3.45
3,2000-01-07,280531,283974,267624,271926,2288120,-5.95
4,2000-01-10,275368,278810,259879,265042,4049600,-2.53
5,2000-01-11,263321,290858,261600,275368,4121520,3.9
6,2000-01-12,270205,287416,265042,266763,2156660,-3.12
7,2000-01-13,266763,271926,249553,259018,1804520,-2.9
8,2000-01-14,259879,266763,244389,246110,1733740,-4.98
9,2000-01-17,251274,272787,251274,270205,2985860,9.79
10,2000-01-18,268484,268484,256437,263320,1619000,-2.55
11,2000-01-19,259879,261600,242668,242668,1694360,-7.84
12,2000-01-20,237505,242668,223737,235784,1724460,-2.84
13,2000-01-21,234063,240947,224597,234063,1360340,-0.73
14,2000-01-24,225458,239226,225458,234063,1292960,0.0
15,2000-01-25,235784,237505,223737,223736,1335460,-4.41
16,2000-01-26,225458,232342,205666,219434,2049780,-1.92
17,2000-01-27,213410,227179,209968,222015,1815120,1.18
18,2000-01-28,226318,249553,223737,240947,2781380,8.53
19,2000-01-31,237505,252995,232342,249552,1575240,3.57
20,2000-02-01,254716,266763,246110,249552,1634760,0.0
21,2000-02-02,258158,270205,250413,265042,2036560,6.21
22,2000-02-03,265042,277089,261600,275368,1459020,3.9
23,2000-02-07,268484,282253,266763,275368,1853220,0.0
24,2000-02-08,271066,273647,257297,261599,964080,-5.0
25,2000-02-09,258158,267624,258158,260739,1152860,-0.33
26,2000-02-10,258158,287416,252995,271926,2846880,4.29
27,2000-02-11,271926,287416,264181,271926,1966680,0.0
28,2000-02-14,275368,277089,246971,252134,750060,-7.28
29,2000-02-15,247831,258158,234063,235784,997260,-6.48
30,2000-02-16,239226,240087,220295,230620,1271380,-2.19
31,2000-02-17,230621,237505,224597,237505,801060,2.99
32,2000-02-18,232342,246110,232342,240086,1057440,1.09
33,2000-02-21,209968,236645,209968,232342,632340,-3.23
34,2000-02-22,227179,239226,220295,223736,1408400,-3.7
35,2000-02-23,235784,250413,227179,232342,1570120,3.85
36,2000-02-24,230621,236645,223737,235784,709900,1.48
37,2000-02-25,229760,243529,224597,240086,1191840,1.82
38,2000-02-28,224597,243529,224597,239226,1137160,-0.36
39,2000-02-29,239226,242668,215992,230620,1022120,-3.6
40,2000-03-02,225458,240087,225458,235784,1359240,2.24
41,2000-03-03,239226,239226,220295,220294,884860,-6.57
42,2000-03-06,226318,240087,226318,234063,1613120,6.25
43,2000-03-07,232342,236645,227179,228899,1397620,-2.21
44,2000-03-08,227179,227179,220295,220294,1176820,-3.76
45,2000-03-09,225458,226318,217713,222015,1270200,0.78
46,2000-03-10,226318,251274,220295,232342,2835140,4.65
47,2000-03-13,237505,242668,218574,220294,1346420,-5.19
48,2000-03-14,223737,225458,215992,215992,744760,-1.95
49,2000-03-15,216853,223737,192758,210828,1871680,-2.39
50,2000-03-16,215132,220295,204805,219434,1195580,4.08
51,2000-03-17,223737,232342,220295,232342,1728320,5.88
52,2000-03-20,235784,238366,222016,232342,1495500,0.0
53,2000-03-21,230621,232342,220295,231481,1397920,-0.37
54,2000-03-22,232342,236645,228039,235784,1930320,1.86
55,2000-03-23,227179,232342,220295,227178,1433820,-3.65
56,2000-03-24,226318,226318,216853,220294,1267580,-3.03
57,2000-03-27,220295,224597,209968,211689,1126640,-3.91
58,2000-03-28,215132,227179,215132,222876,2431400,5.28
59,2000-03-29,227179,231481,221155,221155,1488100,-0.77
60,2000-03-30,227179,228900,223737,223736,766420,1.17
61,2000-03-31,225458,226318,219434,219434,1484700,-1.92
62,2000-04-03,220295,225458,218574,218573,800680,-0.39
63,2000-04-04,218574,223737,217713,218573,902240,0.0
64,2000-04-06,219434,220295,218574,218573,475660,0.0
65,2000-04-07,222876,222876,218574,220294,516740,0.79
66,2000-04-10,220295,232342,220295,226318,2559860,2.73
67,2000-04-11,227179,227179,219434,219434,1426080,-3.04
68,2000-04-12,219434,221155,219434,220294,706900,0.39
69,2000-04-14,219434,220295,218574,218573,917220,-0.78
70,2000-04-17,215132,215992,199642,203084,2943840,-7.09
71,2000-04-18,209968,217713,208247,216852,1991160,6.78
72,2000-04-19,215992,216853,202224,203084,1144380,-6.35
73,2000-04-20,203084,203084,183292,189315,1606880,-6.78
74,2000-04-21,191037,205666,191037,202223,1390920,6.82
75,2000-04-24,199642,211689,197060,205665,940100,1.7
76,2000-04-25,206526,208247,203084,206526,545200,0.42
77,2000-04-26,213410,215992,202224,213410,1154840,3.33
78,2000-04-27,209108,222016,209108,218573,1097960,2.42
79,2000-04-28,215992,225458,208247,223736,1290840,2.36
80,2000-05-02,229760,229760,220295,227178,1716120,1.54
81,2000-05-03,228900,229760,223737,229760,1782020,1.14
82,2000-05-04,229760,229760,223737,227178,1157300,-1.12
83,2000-05-08,227179,227179,220295,226318,1038080,-0.38
84,2000-05-09,222016,225458,220295,225457,725040,-0.38
85,2000-05-10,222016,223737,219434,223736,851640,-0.76
86,2000-05-12,221155,223737,220295,220294,571160,-1.54
87,2000-05-15,215992,223737,215132,217713,349560,-1.17
88,2000-05-16,217713,218574,203084,215131,444300,-1.19
89,2000-05-17,211689,214271,192758,192757,1091160,-10.4
90,2000-05-18,198782,209108,192758,206526,793280,7.14
91,2000-05-19,204805,222016,203084,222015,1340800,7.5
92,2000-05-22,222016,223737,217713,217713,870860,-1.94
93,2000-05-23,221155,230621,215132,215131,773660,-1.19
94,2000-05-24,216853,216853,206526,211689,1267460,-1.6
95,2000-05-25,213410,220295,213410,213410,1399320,0.81
96,2000-05-26,215132,218574,209968,213410,906620,0.0
97,2000-05-29,215132,228039,215132,223736,2320140,4.84
98,2000-05-30,228900,228900,226318,228899,1956820,2.31
99,2000-05-31,229760,230621,228039,230620,4199620,0.75
100,2000-06-01,230621,232342,227179,231481,5858660,0.37
101,2000-06-02,231481,232342,227179,231481,5835320,0.0
102,2000-06-05,231481,239226,228039,231481,10498040,0.0
103,2000-06-07,238366,265903,233203,265902,4938880,14.87
104,2000-06-08,271926,273647,231481,234063,2745900,-11.97
105,2000-06-09,231481,247831,220295,243528,1710980,4.04
106,2000-06-12,227179,249553,225458,226318,1579380,-7.07
107,2000-06-13,225458,232342,204805,221155,1149820,-2.28
108,2000-06-14,214271,225458,206526,216852,926900,-1.95
109,2000-06-15,209968,215992,190176,190176,527820,-12.3
110,2000-06-16,187595,203084,186734,192757,548080,1.36
111,2000-06-19,191037,197921,189316,191036,416600,-0.89
112,2000-06-20,191897,196200,190176,191036,341980,0.0
113,2000-06-21,206526,215132,199642,200502,452960,4.96
114,2000-06-22,201363,211689,198782,211689,765820,5.58
115,2000-06-23,207387,215132,203084,213410,296620,0.81
116,2000-06-26,212550,215132,204805,205665,508100,-3.63
117,2000-06-27,205666,209968,203945,204805,450580,-0.42
118,2000-06-28,207387,209968,204805,209107,736220,2.1
119,2000-06-29,209108,219434,206526,219434,1122860,4.94
120,2000-06-30,219434,231481,213410,229760,1650560,4.71
121,2000-07-03,229760,259879,227179,248692,2549960,8.24
122,2000-07-04,256437,283974,237505,258157,2608300,3.81
123,2000-07-05,259879,280531,259879,265902,1576240,3.0
124,2000-07-06,264181,285695,254716,285694,1401740,7.44
125,2000-07-07,289137,313231,289137,309789,1809800,8.43
126,2000-07-10,304626,311510,289997,294299,1103420,-5.0
127,2000-07-11,294300,306347,287416,295160,945780,0.29
128,2000-07-12,295160,309789,292579,299463,801840,1.46
129,2000-07-13,301184,315813,289137,301184,1878620,0.57
130,2000-07-14,301184,308929,297742,305486,681460,1.43
131,2000-07-18,295160,302905,276229,291718,718500,-4.51
132,2000-07-19,278810,295160,278810,290857,672960,-0.3
133,2000-07-20,289137,297742,283974,292578,758640,0.59
134,2000-07-21,301184,301184,289997,291718,678920,-0.29
135,2000-07-24,292579,294300,286555,289136,508920,-0.89
