,Date,Open,High,Low,Close,Volume,Change
0,2000-01-04,4174,4819,3985,4648,69250,10.85
1,2000-01-05,4515,4515,4173,4364,46680,-6.11
2,2000-01-06,4478,4478,4032,4174,79490,-4.35
3,2000-01-07,4356,4555,4250,4553,70240,9.08
4,2000-01-10,4544,4554,4231,4392,53730,-3.54
5,2000-01-11,4460,4460,4289,4421,42120,0.66
6,2000-01-12,4174,4422,4005,4003,129530,-9.45
7,2000-01-13,4078,4249,3794,3975,37950,-0.7
8,2000-01-14,3985,4154,3814,3842,36610,-3.35
9,2000-01-17,3862,3986,3739,3813,30590,-0.75
10,2000-01-18,3814,3890,3490,3491,34790,-8.44
11,2000-01-19,3520,3700,3340,3415,63230,-2.18
12,2000-01-20,3417,3453,3159,3244,39530,-5.01
13,2000-01-21,3131,3730,3131,3434,44370,5.86
14,2000-01-24,3436,3682,3417,3538,23730,3.03
15,2000-01-25,3416,3596,3340,3510,27750,-0.79
16,2000-01-26,3424,3699,3367,3605,54160,2.71
17,2000-01-27,3605,4147,3567,4145,68680,14.98
18,2000-01-28,3967,4174,3853,3889,54080,-6.18
19,2000-01-31,3795,4005,3615,3766,53750,-3.16
20,2000-02-01,3985,4079,3749,3785,32920,0.5
21,2000-02-02,3795,3899,3719,3804,34620,0.5
22,2000-02-03,3938,3948,3758,3832,50310,0.74
23,2000-02-07,3796,3900,3767,3775,41170,-1.49
24,2000-02-08,3776,3795,3566,3567,47920,-5.51
25,2000-02-09,3509,3691,3509,3567,24260,0.0
26,2000-02-10,3529,3529,3330,3377,12860,-5.33
27,2000-02-11,3379,3502,2876,3225,60830,-4.5
28,2000-02-14,2752,3292,2752,2903,52160,-9.98
29,2000-02-15,2863,3130,2863,3130,49720,7.82
30,2000-02-16,2941,3360,2941,3187,26240,1.82
31,2000-02-17,3196,3416,2902,3036,19280,-4.74
32,2000-02-18,3054,3196,2875,2941,16530,-3.13
33,2000-02-21,2883,2894,2657,2685,40140,-8.7
34,2000-02-22,2656,2845,2542,2723,17860,1.42
35,2000-02-23,2618,3130,2618,3130,44450,14.95
36,2000-02-24,2751,3035,2751,2779,24320,-11.21
37,2000-02-25,2791,3037,2753,2855,26150,2.73
38,2000-02-28,2809,3130,2752,3055,64930,7.01
39,2000-02-29,3016,3150,2940,2941,22560,-3.73
40,2000-03-02,2921,3054,2752,2998,94880,1.94
41,2000-03-03,3149,3283,2883,3017,48090,0.63
42,2000-03-06,2922,3322,2922,3320,139990,10.04
43,2000-03-07,3322,3586,3227,3320,147720,0.0
44,2000-03-08,3311,3586,3139,3415,116490,2.86
45,2000-03-09,3605,3929,3529,3927,223830,14.99
46,2000-03-10,4460,4517,4280,4496,345090,14.49
47,2000-03-13,4496,5065,3889,4364,334810,-2.94
