,Date,Open,High,Low,Close,Volume,Change
0,2000-01-04,390,445,390,445,1060,14.1
1,2000-01-05,460,510,460,510,14470,14.61
2,2000-01-06,540,540,435,490,5470,-3.92
3,2000-01-07,490,490,440,490,3630,0.0
4,2000-01-10,490,490,440,440,7830,-10.2
5,2000-01-11,435,470,435,450,9040,2.27
6,2000-01-12,480,480,405,405,3480,-10.0
7,2000-01-13,405,450,405,450,3380,11.11
8,2000-01-14,410,455,410,455,890,1.11
9,2000-01-17,455,510,455,470,4960,3.3
10,2000-01-18,495,495,495,495,20,5.32
11,2000-01-19,510,510,425,430,970,-13.13
12,2000-01-20,450,470,400,420,1700,-2.33
13,2000-01-21,435,435,395,400,1130,-4.76
14,2000-01-24,390,430,390,430,1720,7.5
15,2000-01-25,430,430,420,430,1230,0.0
16,2000-01-26,380,425,380,400,300,-6.98
17,2000-01-27,430,435,420,435,500,8.75
18,2000-01-28,450,500,450,495,18650,13.79
19,2000-01-31,495,535,440,535,10490,8.08
20,2000-02-01,470,530,470,495,6730,-7.48
21,2000-02-02,440,565,440,565,23450,14.14
22,2000-02-03,590,600,495,530,17670,-6.19
23,2000-02-07,560,560,500,530,950,0.0
24,2000-02-08,520,525,490,515,13010,-2.83
25,2000-02-09,500,515,500,500,1590,-2.91
26,2000-02-10,520,520,450,450,9320,-10.0
27,2000-02-11,385,490,385,490,6850,8.89
28,2000-02-14,535,535,480,480,390,-2.04
29,2000-02-15,460,525,410,525,13210,9.38
30,2000-02-16,520,520,450,485,1170,-7.62
31,2000-02-17,430,435,415,430,7940,-11.34
32,2000-02-18,370,430,370,390,4820,-9.3
33,2000-02-21,355,380,355,360,8360,-7.69
34,2000-02-22,340,380,340,360,5650,0.0
35,2000-02-23,375,410,360,405,11410,12.5
36,2000-02-24,400,400,350,390,1480,-3.7
37,2000-02-25,440,440,350,410,4200,5.13
38,2000-02-28,380,400,365,365,4900,-10.98
39,2000-02-29,360,385,360,370,12620,1.37
40,2000-03-02,370,385,340,365,30360,-1.35
41,2000-03-03,365,365,355,355,18630,-2.74
42,2000-03-06,375,375,345,355,8340,0.0
43,2000-03-07,355,400,350,400,15200,12.68
44,2000-03-08,410,410,355,390,15720,-2.5
45,2000-03-09,390,420,390,400,23660,2.56
46,2000-03-10,365,405,365,375,13000,-6.25
47,2000-03-13,355,430,355,430,11120,14.67
48,2000-03-14,435,490,435,490,11200,13.95
49,2000-03-15,550,560,550,560,37560,14.29
50,2000-03-16,580,630,480,630,29510,12.5
51,2000-03-17,630,630,540,540,21510,-14.29
52,2000-03-20,515,600,460,600,33050,11.11
53,2000-03-21,510,570,510,510,24850,-15.0
54,2000-03-22,460,480,440,440,9700,-13.73
55,2000-03-23,405,460,405,460,9100,4.55
56,2000-03-24,405,480,405,435,17290,-5.43
57,2000-03-27,435,450,430,450,4360,3.45
58,2000-03-28,450,450,420,425,16870,-5.56
59,2000-03-29,450,450,410,410,5430,-3.53
60,2000-03-30,425,435,375,435,8050,6.1
61,2000-03-31,445,445,405,420,4640,-3.45
62,2000-04-03,440,470,395,470,10620,11.9
63,2000-04-04,440,440,400,400,3300,-14.89
64,2000-04-06,415,415,395,415,3080,3.75
65,2000-04-07,400,430,400,430,800,3.61
66,2000-04-10,430,445,430,430,12340,0.0
67,2000-04-11,425,425,390,400,6340,-6.98
68,2000-04-12,420,420,380,410,3030,2.5
69,2000-04-14,410,410,380,380,7220,-7.32
70,2000-04-17,385,435,380,435,12100,14.47
71,2000-04-18,435,435,390,420,18080,-3.45
72,2000-04-19,390,425,390,425,8330,1.19
73,2000-04-20,385,485,385,485,39160,14.12
74,2000-04-21,490,500,465,465,17210,-4.12
75,2000-04-24,475,475,430,440,29490,-5.38
76,2000-04-25,440,475,440,450,25380,2.27
77,2000-04-26,420,470,385,390,13200,-13.33
78,2000-04-27,400,430,395,430,6690,10.26
79,2000-04-28,420,450,395,450,9660,4.65
80,2000-05-02,475,475,430,450,4420,0.0
81,2000-05-03,430,470,425,460,11440,2.22
82,2000-05-04,460,490,460,470,14440,2.17
83,2000-05-08,475,480,430,460,13370,-2.13
84,2000-05-09,500,500,440,475,17920,3.26
85,2000-05-10,475,475,420,475,7750,0.0
86,2000-05-12,460,470,450,465,6380,-2.11
87,2000-05-15,450,450,425,440,11580,-5.38
88,2000-05-16,420,420,400,400,10150,-9.09
89,2000-05-17,400,440,390,440,16920,10.0
90,2000-05-18,440,455,440,440,17360,0.0
91,2000-05-19,440,440,375,375,17530,-14.77
92,2000-05-22,375,410,375,410,5230,9.33
93,2000-05-23,390,435,390,420,5590,2.44
94,2000-05-24,420,460,420,460,4960,9.52
95,2000-05-25,410,460,410,460,7880,0.0
96,2000-05-26,470,470,450,470,5710,2.17
97,2000-05-29,470,490,470,490,4850,4.26
98,2000-05-30,490,520,490,520,15360,6.12
99,2000-05-31,520,575,490,575,12310,10.58
100,2000-06-01,520,600,520,600,13890,4.35
101,2000-06-02,550,600,510,510,4260,-15.0
102,2000-06-05,500,520,470,520,4710,1.96
103,2000-06-07,520,590,495,590,7790,13.46
104,2000-06-08,580,650,550,650,8520,10.17
105,2000-06-09,580,670,580,670,3960,3.08
106,2000-06-12,615,685,600,685,4610,2.24
107,2000-06-13,650,690,630,680,2550,-0.73
