,Date,Open,High,Low,Close,Volume,Change
0,2002-05-31,5000,5000,4800,4980,122240,-0.4
1,2002-06-03,4940,4980,4870,4980,52280,0.0
2,2002-06-04,4910,4920,4815,4825,33120,-3.11
3,2002-06-05,4900,4935,4900,4935,63120,2.28
4,2002-06-07,4935,4935,4900,4900,17520,-0.71
5,2002-06-10,4905,4930,4900,4900,5265,0.0
6,2002-06-11,4930,4935,4930,4930,1460,0.61
7,2002-06-12,4900,4930,4900,4910,6650,-0.41
8,2002-06-14,4910,4930,4900,4900,2890,-0.2
9,2002-06-17,4900,4910,4880,4910,9670,0.2
10,2002-06-18,4920,4920,4920,4920,11,0.2
11,2002-06-19,4920,4920,4900,4915,2070,-0.1
12,2002-06-20,4905,4905,4830,4865,21810,-1.02
13,2002-06-21,4865,4900,4865,4870,3880,0.1
14,2002-06-24,4900,4900,4900,4900,6640,0.62
15,2002-06-25,4910,4910,4870,4885,2440,-0.31
16,2002-06-26,4890,4900,4830,4830,17330,-1.13
17,2002-06-27,4900,5100,4855,4900,4210,1.45
18,2002-06-28,4870,4900,4850,4860,7990,-0.82
19,2002-07-02,4950,4950,4870,4910,3070,1.03
20,2002-07-03,4910,4920,4910,4920,1050,0.2
21,2002-07-04,4920,4930,4900,4920,2460,0.0
22,2002-07-05,4920,4930,4890,4930,1200,0.2
23,2002-07-08,4930,5040,4920,4950,2160,0.41
24,2002-07-09,4950,4960,4900,4940,3230,-0.2
25,2002-07-10,4950,5000,4940,5000,9830,1.21
26,2002-07-11,5000,5050,4950,5040,20090,0.8
27,2002-07-12,4980,5040,4980,5040,3500,0.0
28,2002-07-15,5000,5060,5000,5010,3340,-0.6
29,2002-07-16,5050,5050,5000,5000,4070,-0.2
30,2002-07-18,5030,5030,4990,5020,4580,0.4
31,2002-07-19,5000,5030,5000,5000,4060,-0.4
32,2002-07-22,5000,5000,5000,5000,2060,0.0
33,2002-07-23,5010,5010,4990,5000,5900,0.0
34,2002-07-24,5000,5020,4990,5020,14630,0.4
35,2002-07-25,5010,5030,4990,5000,4310,-0.4
36,2002-07-26,5000,5030,5000,5030,4326,0.6
37,2002-07-29,5020,5020,5000,5000,1630,-0.6
38,2002-07-30,5010,5750,5000,5000,35050,0.0
39,2002-07-31,5010,5060,5000,5060,4850,1.2
40,2002-08-01,5000,5050,5000,5010,1590,-0.99
41,2002-08-02,5010,5010,5010,5010,150,0.0
