,Date,Open,High,Low,Close,Volume,Change
0,2000-01-04,546,628,546,575,290485,-5.12
1,2000-01-05,547,580,537,575,276107,0.0
2,2000-01-06,547,607,514,546,144120,-5.04
3,2000-01-07,515,568,514,555,468208,1.65
4,2000-01-10,547,547,514,520,385873,-6.31
5,2000-01-11,507,539,507,540,138145,3.85
6,2000-01-12,534,560,532,539,139265,-0.19
7,2000-01-13,534,543,520,540,202922,0.19
8,2000-01-14,522,547,511,546,35655,1.11
9,2000-01-17,543,556,527,537,55445,-1.65
10,2000-01-18,527,532,516,537,44243,0.0
11,2000-01-19,543,543,492,514,50216,-4.28
12,2000-01-20,485,499,452,503,35846,-2.14
13,2000-01-21,480,498,463,498,87932,-0.99
14,2000-01-24,455,494,455,499,103979,0.2
15,2000-01-25,493,493,473,481,33607,-3.61
16,2000-01-26,479,487,468,481,20166,0.0
17,2000-01-27,479,551,471,537,123399,11.64
18,2000-01-28,515,557,515,558,50961,3.91
19,2000-01-31,532,543,514,534,96329,-4.3
20,2000-02-01,560,560,515,525,73747,-1.69
21,2000-02-02,520,547,513,540,203302,2.86
22,2000-02-03,537,618,524,576,758867,6.67
23,2000-02-07,612,632,534,608,408282,5.56
24,2000-02-08,604,621,537,562,140389,-7.57
25,2000-02-09,565,587,560,575,157936,2.31
26,2000-02-10,552,580,537,571,117980,-0.7
27,2000-02-11,546,577,543,568,67205,-0.53
28,2000-02-14,571,586,539,543,60298,-4.4
29,2000-02-15,537,552,526,546,109399,0.55
30,2000-02-16,543,552,532,549,76538,0.55
31,2000-02-17,547,587,537,584,265093,6.38
32,2000-02-18,618,628,568,633,217674,8.39
33,2000-02-21,628,639,600,642,274243,1.42
34,2000-02-22,665,682,618,642,134417,0.0
35,2000-02-23,628,718,591,697,227196,8.57
36,2000-02-24,691,768,660,721,102307,3.44
37,2000-02-25,715,824,715,827,482208,14.7
38,2000-02-28,945,945,924,950,1004359,14.87
39,2000-02-29,946,1089,870,1094,1245364,15.16
40,2000-03-02,1168,1253,1083,1256,425451,14.81
41,2000-03-03,1440,1440,1426,1443,1085751,14.89
42,2000-03-06,1654,1654,1448,1450,2229754,0.49
43,2000-03-07,1255,1664,1255,1608,1005850,10.9
44,2000-03-08,1555,1844,1442,1848,1239768,14.93
45,2000-03-09,1844,2120,1844,2126,643127,15.04
46,2000-03-10,2436,2436,1984,2090,1706664,-1.69
47,2000-03-13,2085,2298,2037,2104,1000816,0.67
48,2000-03-14,2139,2415,1951,2420,1524273,15.02
49,2000-03-15,2299,2674,2192,2303,1675299,-4.83
50,2000-03-16,2353,2459,1954,1957,550533,-15.02
51,2000-03-17,1870,1953,1662,1667,1034229,-14.82
52,2000-03-20,1554,1791,1495,1578,495650,-5.34
53,2000-03-21,1575,1687,1494,1612,435347,2.15
54,2000-03-22,1656,1775,1554,1642,455136,1.86
55,2000-03-23,1737,1737,1522,1527,312886,-7.0
56,2000-03-24,1395,1602,1395,1421,302611,-6.94
57,2000-03-27,1448,1470,1309,1392,451406,-2.04
58,2000-03-28,1442,1517,1342,1491,390539,7.11
59,2000-03-29,1543,1543,1415,1440,143187,-3.42
60,2000-03-30,1388,1599,1336,1375,623337,-4.51
61,2000-03-31,1268,1442,1268,1285,129189,-6.55
62,2000-04-03,1330,1346,1097,1101,159240,-14.32
63,2000-04-04,1073,1153,943,949,232241,-13.81
64,2000-04-06,961,1035,887,959,324645,1.05
65,2000-04-07,1068,1097,1051,1101,461860,14.81
66,2000-04-10,1257,1259,1224,1265,423023,14.9
67,2000-04-11,1382,1449,1282,1311,998573,3.64
68,2000-04-12,1411,1411,1282,1332,293278,1.6
69,2000-04-14,1282,1301,1139,1200,312886,-9.91
70,2000-04-17,1016,1016,1016,1021,59927,-14.92
71,2000-04-18,1041,1088,961,1006,307094,-1.47
72,2000-04-19,967,1153,967,1157,485939,15.01
73,2000-04-20,1224,1323,1163,1328,498634,14.78
74,2000-04-21,1495,1495,1309,1375,657310,3.54
75,2000-04-24,1375,1442,1264,1290,562294,-6.18
76,2000-04-25,1282,1358,1257,1276,315125,-1.09
77,2000-04-26,1356,1454,1282,1403,1281397,9.95
78,2000-04-27,1415,1539,1415,1478,1085198,5.35
79,2000-04-28,1502,1536,1411,1430,715374,-3.25
80,2000-05-02,1361,1442,1282,1317,412195,-7.9
81,2000-05-03,1292,1406,1238,1350,427316,2.51
82,2000-05-04,1367,1545,1309,1551,1823715,14.89
83,2000-05-08,1699,1778,1636,1780,2221723,14.76
84,2000-05-09,1772,1775,1602,1661,1317430,-6.69
85,2000-05-10,1656,1905,1656,1803,2512208,8.55
86,2000-05-12,1852,2025,1764,1833,2154144,1.66
87,2000-05-15,1794,1826,1554,1558,1108157,-15.0
88,2000-05-16,1539,1592,1348,1446,788368,-7.19
