,Date,Open,High,Low,Close,Volume,Change
0,2000-01-04,23000,25500,22700,25500,2977890,14.86
1,2000-01-05,24600,26900,24500,26050,4939930,2.16
2,2000-01-06,26500,26700,23350,23500,2402760,-9.79
3,2000-01-07,24450,25400,23550,24100,3168680,2.55
4,2000-01-10,24600,25750,24300,24400,2142790,1.24
5,2000-01-11,23650,24800,23500,24000,1796020,-1.64
6,2000-01-12,23500,24700,23350,23500,1728140,-2.08
7,2000-01-13,23600,24100,23150,24100,1491250,2.55
8,2000-01-14,24100,24300,22650,22800,1544480,-5.39
9,2000-01-17,23000,23550,22450,23100,1644290,1.32
10,2000-01-18,23000,23300,22100,22400,1142380,-3.03
11,2000-01-19,22000,22100,20800,20800,1463980,-7.14
12,2000-01-20,20400,21450,20000,21250,1848840,2.16
13,2000-01-21,21250,21900,20650,21050,1561230,-0.94
14,2000-01-24,20850,21550,20500,20550,1221080,-2.38
15,2000-01-25,20500,21700,20150,20900,1707900,1.7
16,2000-01-26,21150,22700,20700,22050,3466320,5.5
17,2000-01-27,22500,25150,22250,24300,6619920,10.2
18,2000-01-28,24250,24900,23600,24400,5896930,0.41
19,2000-01-31,23800,25900,23750,25100,5384760,2.87
20,2000-02-01,25600,25900,24200,24650,3379650,-1.79
21,2000-02-02,24650,25700,24100,24750,3512020,0.41
22,2000-02-03,24950,25350,24600,24800,2144350,0.2
23,2000-02-07,25000,25750,24300,24800,2755560,0.0
24,2000-02-08,24800,26200,24550,24650,3402880,-0.6
25,2000-02-09,24650,25450,23750,24400,3004340,-1.01
26,2000-02-10,23800,24650,23250,23750,2721990,-2.66
27,2000-02-11,24150,24200,22250,22500,2417140,-5.26
28,2000-02-14,21800,22850,21400,21550,2564260,-4.22
29,2000-02-15,22100,23000,21800,22000,2772460,2.09
30,2000-02-16,22500,22800,20800,21800,2088880,-0.91
31,2000-02-17,21050,22200,21050,21900,1844890,0.46
32,2000-02-18,21200,21700,20750,20750,2291870,-5.25
33,2000-02-21,19950,20200,19200,19600,2148020,-5.54
34,2000-02-22,19100,20300,18800,19000,2637110,-3.06
35,2000-02-23,19800,21850,19550,21650,5261900,13.95
36,2000-02-24,21000,21500,19700,20000,3106250,-7.62
37,2000-02-25,19500,20600,19350,19800,2292490,-1.0
38,2000-02-28,19000,19300,18300,18850,1895920,-4.8
39,2000-02-29,19700,19850,18300,18600,1924360,-1.33
40,2000-03-02,18000,19450,17800,19250,3049770,3.49
41,2000-03-03,19250,19350,18200,18200,1812110,-5.45
42,2000-03-06,18600,20400,18200,19800,2504720,8.79
43,2000-03-07,19000,19950,18650,19300,2456920,-2.53
44,2000-03-08,19250,20200,18800,19150,2256120,-0.78
45,2000-03-09,19000,19400,18500,18500,2491920,-3.39
46,2000-03-10,18500,19300,18100,18200,2167920,-1.62
47,2000-03-13,18500,18650,16850,17100,2109510,-6.04
48,2000-03-14,16500,17650,16500,16900,2019030,-1.17
49,2000-03-15,16500,17350,16000,16000,1995960,-5.33
50,2000-03-16,16500,16700,15150,15500,2171300,-3.13
51,2000-03-17,16100,17500,15950,16600,4618690,7.1
52,2000-03-20,16600,16800,16000,16200,1642620,-2.41
53,2000-03-21,16100,16550,15500,15650,1449040,-3.4
54,2000-03-22,16150,16800,15900,16650,2588860,6.39
55,2000-03-23,16450,17300,16150,16650,2301670,0.0
56,2000-03-24,16850,17000,16300,16800,1380370,0.9
57,2000-03-27,17200,19300,16700,19300,4551240,14.88
58,2000-03-28,19400,19600,18300,19200,4106340,-0.52
59,2000-03-29,18600,18800,16900,17050,2452250,-11.2
60,2000-03-30,15500,15600,13800,14550,2470600,-8.78
61,2000-03-31,14700,15150,14050,14100,1799660,-3.09
62,2000-04-03,13900,14400,12200,12400,1810900,-12.06
