,Date,Open,High,Low,Close,Volume,Change
0,2012-01-11,8660,8790,8650,8700,126607,0.46
1,2012-01-12,8650,8730,8630,8690,74799,-0.11
2,2012-01-13,8690,8750,8540,8560,114422,-1.5
3,2012-01-16,8530,8550,8480,8500,55154,-0.7
4,2012-01-17,8560,8710,8560,8630,130757,1.53
5,2012-01-18,8640,8730,8630,8660,69724,0.35
6,2012-01-19,8690,8760,8670,8720,94131,0.69
7,2012-01-20,8720,9030,8720,8950,192302,2.64
8,2012-01-25,8860,9120,8860,8950,74906,0.0
9,2012-01-26,9000,9050,8900,8900,95332,-0.56
10,2012-01-27,8890,9100,8860,8940,71946,0.45
11,2012-01-30,8910,9020,8910,8920,72193,-0.22
12,2012-01-31,8940,9040,8930,9040,56247,1.35
13,2012-02-01,9080,9130,9010,9070,225007,0.33
14,2012-02-02,9200,9220,9110,9210,338270,1.54
15,2012-02-03,9230,9230,9130,9150,165460,-0.65
16,2012-02-06,9230,9290,9160,9200,418526,0.55
17,2012-02-07,9200,9210,9030,9130,100636,-0.76
18,2012-02-08,9140,9260,9140,9180,176204,0.55
19,2012-02-09,9180,9180,9030,9100,116117,-0.87
20,2012-02-10,9100,9110,9040,9080,132469,-0.22
21,2012-02-13,9100,9100,8940,9000,260465,-0.88
22,2012-02-14,9090,9090,8950,8970,86152,-0.33
23,2012-02-15,8930,9100,8930,9080,145419,1.23
24,2012-02-16,8990,9000,8880,8930,146117,-1.65
25,2012-02-17,9000,9010,8940,8960,155051,0.34
26,2012-02-20,8990,9000,8930,8960,92100,0.0
27,2012-02-21,8980,9010,8960,9000,45527,0.45
28,2012-02-22,8990,9010,8970,8990,49341,-0.11
29,2012-02-23,8990,8990,8920,8980,54833,-0.11
30,2012-02-24,8980,9010,8930,8990,62859,0.11
31,2012-02-27,8980,8980,8680,8700,398836,-3.23
32,2012-02-28,8700,8800,8600,8720,133580,0.23
33,2012-02-29,8740,8790,8620,8620,174065,-1.15
34,2012-03-02,8660,8750,8660,8690,151938,0.81
