,Date,Open,High,Low,Close,Volume,Change
0,2000-01-04,14255,16233,14232,15460,70140,2.72
1,2000-01-05,15460,15460,14778,14869,37870,-3.82
2,2000-01-06,15733,15733,14596,15006,49800,0.92
3,2000-01-07,15005,15369,14550,14551,33000,-3.03
4,2000-01-10,14414,15824,14414,14687,53270,0.93
5,2000-01-11,14550,15096,14460,14824,56620,0.93
6,2000-01-12,14823,16960,14823,16097,194550,8.59
7,2000-01-13,16369,17915,15824,15915,155890,-1.13
8,2000-01-14,15687,16597,15687,15779,85210,-0.85
9,2000-01-17,15778,16824,15687,16052,91990,1.73
10,2000-01-18,16551,16597,15733,16006,73310,-0.29
11,2000-01-19,15915,16233,14960,14960,69060,-6.54
12,2000-01-20,14960,15414,14323,14596,36480,-2.43
13,2000-01-21,14596,15869,14596,15347,85870,5.15
14,2000-01-24,15915,17643,15551,17643,102240,14.96
15,2000-01-25,19916,19916,16096,16825,480970,-4.64
16,2000-01-26,16597,16960,15733,15915,99330,-5.41
17,2000-01-27,17051,18302,16597,18302,170600,15.0
18,2000-01-28,18961,20234,17733,18871,449220,3.11
19,2000-01-31,17961,18597,17506,17689,111710,-6.26
20,2000-02-01,17961,19052,17461,18098,204830,2.31
21,2000-02-02,17779,18643,17597,17961,153040,-0.76
22,2000-02-03,18234,18370,17415,17484,130730,-2.66
23,2000-02-07,17938,18097,17301,17416,149150,-0.39
24,2000-02-08,17415,18188,16892,17734,161390,1.83
25,2000-02-09,18188,18416,17370,17416,109710,-1.79
26,2000-02-10,17233,17733,16915,16916,84650,-2.87
27,2000-02-11,16824,17142,15937,16006,117720,-5.38
28,2000-02-14,16142,16597,14869,15006,89440,-6.25
29,2000-02-15,15005,16779,14596,15460,135730,3.03
30,2000-02-16,16006,16551,15460,15506,100350,0.3
31,2000-02-17,15096,16597,15096,15824,127960,2.05
32,2000-02-18,15505,16187,15460,15824,76490,0.0
33,2000-02-21,15824,15915,14869,14869,62320,-6.04
34,2000-02-22,14550,15460,14232,14778,80590,-0.61
35,2000-02-23,14869,15846,14778,15119,101800,2.31
36,2000-02-24,15028,15687,14687,14687,62380,-2.86
37,2000-02-25,15414,15414,14550,14687,59550,0.0
38,2000-02-28,14778,15596,14778,15006,120500,2.17
39,2000-02-29,15323,15596,14732,14778,99830,-1.52
40,2000-03-02,14778,15164,14710,14915,77380,0.93
41,2000-03-03,15233,17142,15142,17143,153610,14.94
42,2000-03-06,17961,19711,17961,19712,109560,14.99
43,2000-03-07,22667,22667,17324,18189,338730,-7.73
44,2000-03-08,18188,20916,18188,20917,413650,15.0
45,2000-03-09,21826,23372,19734,20280,530160,-3.05
46,2000-03-10,20462,23281,19780,23282,332000,14.8
47,2000-03-13,23918,26737,23918,26737,533430,14.84
48,2000-03-14,26328,28965,25873,25919,457860,-3.06
49,2000-03-15,25418,25691,22053,22054,402620,-14.91
50,2000-03-16,22644,23463,19780,20508,320850,-7.01
51,2000-03-17,20689,21553,20007,20053,205090,-2.22
52,2000-03-20,19780,20371,18552,18871,176510,-5.89
53,2000-03-21,19507,21690,19143,21690,339000,14.94
54,2000-03-22,22326,23326,20916,21917,451990,1.05
55,2000-03-23,21599,22508,20689,20690,163100,-5.6
56,2000-03-24,20462,22053,20143,21167,167070,2.31
57,2000-03-27,21371,24327,20916,23145,394370,9.34
58,2000-03-28,23190,24463,22076,23100,172380,-0.19
59,2000-03-29,23190,23781,21189,21190,129020,-8.27
60,2000-03-30,21189,21780,19643,19667,151840,-7.19
61,2000-03-31,18893,20416,18870,19780,121780,0.57
62,2000-04-03,19780,20371,18484,18643,104300,-5.75
63,2000-04-04,18438,19098,16597,16825,128300,-9.75
64,2000-04-06,17733,17733,16597,16597,92030,-1.36
65,2000-04-07,16597,18143,16597,17689,126910,6.58
66,2000-04-10,17733,20143,17688,18598,173950,5.14
67,2000-04-11,18188,18188,16824,16961,88400,-8.8
68,2000-04-12,17506,17688,16733,16961,75510,0.0
69,2000-04-14,16369,16733,16006,16279,69240,-4.02
70,2000-04-17,14187,15414,13937,14301,121010,-12.15
71,2000-04-18,15551,16142,14823,15188,96590,6.2
72,2000-04-19,15460,16233,15028,15460,99920,1.79
73,2000-04-20,15460,16233,15323,15779,64220,2.06
74,2000-04-21,16142,16142,15119,16029,94720,1.58
75,2000-04-24,16006,16006,15505,15506,37950,-3.26
76,2000-04-25,15233,16733,15233,15915,80380,2.64
77,2000-04-26,16369,16597,15323,15369,95160,-3.43
78,2000-04-27,15687,15687,15005,15324,51630,-0.29
79,2000-04-28,15460,15687,15278,15324,54470,0.0
80,2000-05-02,15460,15869,15346,15824,53580,3.26
81,2000-05-03,16142,18188,15915,18189,146190,14.95
82,2000-05-04,19052,20234,18188,18371,480440,1.0
83,2000-05-08,18688,19007,17370,17461,175150,-4.95
84,2000-05-09,17733,18052,16824,17006,169030,-2.61
85,2000-05-10,16460,17415,16460,16688,92530,-1.87
86,2000-05-12,16688,16915,15960,16052,119130,-3.81
87,2000-05-15,15915,17597,15915,16370,237130,1.98
88,2000-05-16,16460,17051,15687,15961,72110,-2.5
89,2000-05-17,16369,16597,14619,15142,116060,-5.13
90,2000-05-18,14778,15005,13823,14096,88580,-6.91
91,2000-05-19,13732,14550,12731,14324,83130,1.62
92,2000-05-22,12550,14323,12550,12732,78990,-11.11
93,2000-05-23,12322,13095,10822,11823,96350,-7.14
94,2000-05-24,11140,12095,10526,11550,103790,-2.31
95,2000-05-25,12049,13118,12004,12732,98150,10.23
96,2000-05-26,12959,13186,11754,11754,79450,-7.68
97,2000-05-29,10935,12231,10935,11777,73280,0.2
98,2000-05-30,11822,12391,11822,12277,66360,4.25
99,2000-05-31,12777,13186,12686,12891,98740,5.0
100,2000-06-01,12891,13095,12322,12368,71030,-4.06
101,2000-06-02,12959,13596,12641,12823,140960,3.68
102,2000-06-05,12459,14096,12459,13482,143070,5.14
103,2000-06-07,13846,13846,13118,13414,130030,-0.5
104,2000-06-08,13459,13755,12572,12732,98690,-5.08
105,2000-06-09,13323,14641,13232,14642,124500,15.0
106,2000-06-12,15846,16142,14005,14278,275240,-2.49
107,2000-06-13,14323,15596,13732,13778,182850,-3.5
108,2000-06-14,14323,14323,13232,13414,84380,-2.64
109,2000-06-15,13095,13641,12231,12368,89820,-7.8
110,2000-06-16,12050,13550,12050,12550,131200,1.47
111,2000-06-19,12550,12913,12277,12368,74470,-1.45
112,2000-06-20,12572,12959,12368,12687,61190,2.58
113,2000-06-21,12686,14096,12459,13005,198110,2.51
114,2000-06-22,13186,13550,12732,12869,70800,-1.05
115,2000-06-23,12731,13277,12595,12732,55020,-1.06
116,2000-06-26,12868,13391,12800,13050,94740,2.5
117,2000-06-27,13277,13323,12868,13119,63470,0.53
118,2000-06-28,13368,14050,13141,13596,184550,3.64
119,2000-06-29,13800,13823,13027,13301,61470,-2.17
120,2000-06-30,12959,13300,12913,13050,52510,-1.89
121,2000-07-03,12913,13550,12913,13187,64780,1.05
122,2000-07-04,13573,14687,13323,13710,213390,3.97
123,2000-07-05,13459,13709,12732,13141,95110,-4.15
124,2000-07-06,13368,13550,13050,13187,89750,0.35
125,2000-07-07,13232,13391,13095,13187,74320,0.0
126,2000-07-10,13596,14323,13323,13551,171760,2.76
127,2000-07-11,13777,13823,13141,13141,85520,-3.03
128,2000-07-12,13141,13436,13004,13141,58360,0.0
129,2000-07-13,13027,13277,12936,13005,55610,-1.03
130,2000-07-14,12982,13232,12459,12687,57600,-2.45
131,2000-07-18,12550,12686,12368,12505,40010,-1.43
132,2000-07-19,12368,12413,11799,12096,54710,-3.27
133,2000-07-20,12140,12504,11595,11959,36290,-1.13
134,2000-07-21,11822,12277,11822,12050,40980,0.76
135,2000-07-24,12140,12140,11367,11368,43180,-5.66
136,2000-07-25,11731,11731,11095,11323,37730,-0.4
137,2000-07-26,11413,11527,11095,11323,34110,0.0
138,2000-07-27,11186,11367,11004,11095,39840,-2.01
139,2000-07-28,11140,12049,10913,11413,102200,2.87
140,2000-07-31,11595,12004,11140,11368,36210,-0.39
141,2000-08-01,11595,12095,11390,12027,74310,5.8
142,2000-08-02,11822,12140,11595,11754,46140,-2.27
143,2000-08-03,11981,12004,11595,11595,36270,-1.35
144,2000-08-04,11436,11595,11208,11323,32110,-2.35
145,2000-08-07,11595,11595,10913,10913,36230,-3.62
146,2000-08-08,10640,11140,10640,10845,37360,-0.62
147,2000-08-09,10913,11140,10913,11027,36600,1.68
148,2000-08-10,11026,11026,10731,10959,30620,-0.62
149,2000-08-11,11049,11959,11004,11641,107590,6.22
150,2000-08-14,11686,12163,11458,11777,76730,1.17
151,2000-08-16,11913,12050,11595,11641,34510,-1.15
152,2000-08-17,11640,13368,11413,12641,297710,8.59
153,2000-08-18,12550,13141,12391,12459,148900,-1.44
154,2000-08-21,12732,12822,11822,11823,77320,-5.1
155,2000-08-22,11618,12140,11618,11732,58650,-0.77
156,2000-08-23,11822,13482,11822,13482,206530,14.92
157,2000-08-24,14460,15483,13459,13687,1197260,1.52
158,2000-08-25,13686,14164,12641,12732,268380,-6.98
159,2000-08-28,12868,14414,12345,13778,406930,8.22
160,2000-08-29,14096,14505,13414,13642,144550,-0.99
161,2000-08-30,13641,14732,13641,14415,235070,5.67
162,2000-08-31,14550,15005,14005,14301,239350,-0.79
163,2000-09-01,14323,16324,14209,15915,573910,11.29
164,2000-09-04,16460,17142,15914,15915,400540,0.0
165,2000-09-05,15687,15778,14118,14369,235300,-9.71
166,2000-09-06,14960,14960,14005,14233,184720,-0.95
167,2000-09-07,14550,15755,14187,15006,404170,5.43
168,2000-09-08,14914,15687,14141,14142,272280,-5.76
169,2000-09-14,14232,15414,13686,14960,271030,5.78
170,2000-09-15,15210,16119,15005,15142,319130,1.22
171,2000-09-18,14823,15005,12891,13778,249800,-9.01
172,2000-09-19,13664,14460,13323,13414,198530,-2.64
173,2000-09-20,13414,14096,13345,13414,140270,0.0
174,2000-09-21,13686,14414,13459,13823,325590,3.05
175,2000-09-22,13982,14050,12049,12596,178380,-8.88
176,2000-09-25,12504,12959,12368,12596,122610,0.0
177,2000-09-26,12504,13414,12504,12869,126430,2.17
178,2000-09-27,13186,14096,12868,13642,200560,6.01
179,2000-09-28,14096,14323,13232,13232,104590,-3.01
180,2000-09-29,13277,13550,12050,13050,130560,-1.38
181,2000-10-02,12959,12959,12595,12641,67740,-3.13
182,2000-10-04,12140,12959,12140,12664,71540,0.18
183,2000-10-05,12709,12913,12504,12596,63950,-0.54
184,2000-10-06,12277,12527,11913,12096,193400,-3.97
185,2000-10-09,12095,12595,11686,11845,163040,-2.08
186,2000-10-10,11868,12231,11458,11641,98880,-1.72
