,Date,Open,High,Low,Close,Volume,Change
0,2000-01-04,273,297,271,296,57300,0.68
1,2000-01-05,295,307,276,301,38700,1.69
2,2000-01-06,322,322,289,299,70050,-0.66
3,2000-01-07,296,302,276,279,94000,-6.69
4,2000-01-10,283,310,283,285,23950,2.15
5,2000-01-11,284,302,283,297,65350,4.21
6,2000-01-12,296,296,281,282,96250,-5.05
7,2000-01-13,292,292,277,279,56550,-1.06
8,2000-01-14,276,305,276,305,475650,9.32
9,2000-01-17,336,336,289,289,229900,-5.25
10,2000-01-18,295,315,273,289,325800,0.0
11,2000-01-19,294,331,270,330,619350,14.19
12,2000-01-20,336,343,299,309,452900,-6.36
13,2000-01-21,316,350,307,343,1489600,11.0
14,2000-01-24,341,376,331,331,618900,-3.5
15,2000-01-25,331,336,316,316,495200,-4.53
16,2000-01-26,306,325,300,302,431800,-4.43
17,2000-01-27,300,319,300,315,237200,4.3
18,2000-01-28,323,323,305,319,210700,1.27
19,2000-01-31,317,319,302,302,234800,-5.33
20,2000-02-01,311,311,301,304,121250,0.66
21,2000-02-02,304,328,304,317,210350,4.28
22,2000-02-03,325,325,309,312,113650,-1.58
23,2000-02-07,305,323,305,308,390150,-1.28
24,2000-02-08,313,313,295,301,111400,-2.27
25,2000-02-09,299,304,284,286,309600,-4.98
26,2000-02-10,274,285,274,278,170750,-2.8
27,2000-02-11,273,294,270,275,397550,-1.08
28,2000-02-14,279,279,249,249,106800,-9.45
29,2000-02-15,231,242,231,237,129150,-4.82
30,2000-02-16,236,244,224,235,211250,-0.84
31,2000-02-17,234,269,217,268,543500,14.04
32,2000-02-18,254,262,236,241,320650,-10.07
33,2000-02-21,221,238,209,209,134650,-13.28
34,2000-02-22,197,240,178,237,521800,13.4
35,2000-02-23,235,272,229,271,892650,14.35
36,2000-02-24,281,311,272,304,705650,12.18
37,2000-02-25,282,346,282,330,784250,8.55
38,2000-02-28,327,380,286,379,1082300,14.85
39,2000-02-29,435,435,353,417,1503650,10.03
40,2000-03-02,390,479,383,465,1224450,11.51
41,2000-03-03,458,485,396,396,465800,-14.84
42,2000-03-06,367,430,364,385,505800,-2.78
43,2000-03-07,403,403,338,350,328050,-9.09
44,2000-03-08,341,401,314,377,671550,7.71
45,2000-03-09,433,433,350,403,688650,6.9
46,2000-03-10,403,403,369,402,526450,-0.25
47,2000-03-13,405,463,394,462,1440350,14.93
48,2000-03-14,532,532,498,531,1945300,14.94
49,2000-03-15,512,566,472,471,790700,-11.3
50,2000-03-16,445,485,414,471,457450,0.0
51,2000-03-17,403,468,400,400,419400,-15.07
52,2000-03-20,351,389,351,370,242750,-7.5
53,2000-03-21,350,404,343,343,197900,-7.3
54,2000-03-22,337,394,337,394,673450,14.87
55,2000-03-23,417,438,397,398,552400,1.02
56,2000-03-24,402,424,383,397,403150,-0.25
57,2000-03-27,391,391,364,383,313650,-3.53
58,2000-03-28,351,402,351,377,250850,-1.57
59,2000-03-29,383,414,352,354,389850,-6.1
60,2000-03-30,356,363,324,333,266300,-5.93
61,2000-03-31,323,354,284,304,261050,-8.71
62,2000-04-03,309,326,296,308,251350,1.32
63,2000-04-04,297,309,270,293,198600,-4.87
64,2000-04-06,295,295,275,287,196500,-2.05
65,2000-04-07,269,293,249,290,212350,1.05
66,2000-04-10,296,316,296,309,251000,6.55
67,2000-04-11,290,296,264,282,313850,-8.74
68,2000-04-12,270,296,270,279,64150,-1.06
69,2000-04-14,269,276,262,268,157850,-3.94
70,2000-04-17,257,257,229,237,317300,-11.57
71,2000-04-18,246,272,246,271,451100,14.35
72,2000-04-19,311,311,299,312,184700,15.13
73,2000-04-20,282,358,282,359,1047200,15.06
74,2000-04-21,395,411,363,412,788050,14.76
75,2000-04-24,436,462,412,427,1142150,3.64
76,2000-04-25,406,453,393,418,617750,-2.11
77,2000-04-26,416,480,411,481,933600,15.07
78,2000-04-27,532,537,445,468,1803600,-2.7
79,2000-04-28,457,503,432,459,946000,-1.92
80,2000-05-02,527,527,444,511,1154600,11.33
81,2000-05-03,484,545,484,498,904150,-2.54
82,2000-05-04,470,510,448,463,683300,-7.03
83,2000-05-08,443,502,443,498,440750,7.56
84,2000-05-09,470,500,465,498,367000,0.0
85,2000-05-10,483,513,467,498,334800,0.0
86,2000-05-12,474,518,458,457,370300,-8.23
87,2000-05-15,483,483,417,432,198700,-5.47
88,2000-05-16,416,454,404,404,194900,-6.48
89,2000-05-17,390,440,390,440,384450,8.91
90,2000-05-18,438,438,374,395,306350,-10.23
91,2000-05-19,390,390,337,380,323150,-3.8
92,2000-05-22,361,389,322,324,294200,-14.74
93,2000-05-23,349,349,322,323,276300,-0.31
94,2000-05-24,289,334,281,336,317350,4.02
