,Date,Open,High,Low,Close,Volume,Change
0,2000-01-04,31000,35900,31000,33400,24940,2.77
1,2000-01-05,33500,34600,31200,31900,38600,-4.49
2,2000-01-06,33000,33000,29100,29100,23270,-8.78
3,2000-01-07,30500,32000,29300,31300,76320,7.56
4,2000-01-10,32050,32500,30750,32000,51230,2.24
5,2000-01-11,32200,34000,32200,34000,79860,6.25
6,2000-01-12,34100,35500,32700,33200,48030,-2.35
7,2000-01-13,34000,35000,33400,34500,38510,3.92
8,2000-01-14,34600,35300,33000,33800,15500,-2.03
9,2000-01-17,34900,34900,33000,33900,28390,0.3
10,2000-01-18,33900,34200,33000,34000,25920,0.29
11,2000-01-19,34500,34900,32550,33000,25900,-2.94
12,2000-01-20,33000,33400,30000,31100,14090,-5.76
13,2000-01-21,31100,31500,30000,31500,18810,1.29
14,2000-01-24,31500,33000,31500,33000,24210,4.76
15,2000-01-25,32500,32900,31700,32500,6600,-1.52
16,2000-01-26,32500,33000,31500,33000,14180,1.54
17,2000-01-27,31550,37950,31550,37950,96730,15.0
18,2000-01-28,37900,37900,35050,36500,29170,-3.82
19,2000-01-31,36800,36800,35250,36000,20850,-1.37
20,2000-02-01,36100,36400,34600,34800,17910,-3.33
21,2000-02-02,34950,36400,33900,36200,14790,4.02
22,2000-02-03,35500,37500,35500,37000,19750,2.21
23,2000-02-07,37400,37400,35550,36900,17210,-0.27
24,2000-02-08,36800,37500,35800,36700,16770,-0.54
25,2000-02-09,37300,37300,35800,37000,64280,0.82
26,2000-02-10,36500,36500,33500,34000,11930,-8.11
27,2000-02-11,32600,34000,31500,33800,44910,-0.59
28,2000-02-14,34400,34400,30300,30400,26680,-10.06
29,2000-02-15,32800,32800,29500,30200,20780,-0.66
30,2000-02-16,30200,31500,29500,31100,13450,2.98
31,2000-02-17,31000,33500,30100,33400,29730,7.4
32,2000-02-18,35000,35500,33000,34300,45430,2.69
33,2000-02-21,33900,33900,31200,33000,36390,-3.79
34,2000-02-22,33000,33000,30400,31000,18910,-6.06
35,2000-02-23,31900,34800,31300,32500,14960,4.84
36,2000-02-24,31600,33450,30600,31800,15100,-2.15
37,2000-02-25,31000,34000,31000,34000,23430,6.92
38,2000-02-28,29300,35500,29300,33500,19650,-1.47
39,2000-02-29,34400,34400,32500,33000,19990,-1.49
40,2000-03-02,35300,37950,31900,35100,174380,6.36
41,2000-03-03,36100,40350,35500,40350,163850,14.96
42,2000-03-06,46400,46400,42500,46400,412270,14.99
43,2000-03-07,46400,53300,42100,53000,215450,14.22
44,2000-03-08,46100,58000,46100,52500,253430,-0.94
45,2000-03-09,49500,52500,45200,46000,151770,-12.38
46,2000-03-10,46200,48000,44000,45900,87900,-0.22
47,2000-03-13,46300,46300,42000,44500,62570,-3.05
48,2000-03-14,43700,45400,40200,44000,74390,-1.12
49,2000-03-15,43000,43000,39000,39000,29580,-11.36
50,2000-03-16,40150,42000,37500,38500,71430,-1.28
51,2000-03-17,38700,40200,36000,36000,57090,-6.49
52,2000-03-20,37000,37900,35100,37500,40610,4.17
53,2000-03-21,37500,37500,35600,37400,43860,-0.27
54,2000-03-22,36500,38800,35900,38300,63920,2.41
55,2000-03-23,40300,40700,36500,36500,43700,-4.7
56,2000-03-24,36050,37500,35700,37150,33210,1.78
57,2000-03-27,38000,39700,36100,36850,51590,-0.81
58,2000-03-28,36100,37000,35850,36950,39140,0.27
59,2000-03-29,36800,37500,35000,37500,61460,1.49
60,2000-03-30,37000,37300,35200,35200,23520,-6.13
61,2000-03-31,34450,35200,34000,35000,21840,-0.57
62,2000-04-03,34000,34200,31000,34200,30450,-2.29
63,2000-04-04,32800,33500,31900,33400,11240,-2.34
64,2000-04-06,33350,33350,31800,32000,6070,-4.19
65,2000-04-07,32500,34000,32000,32200,26630,0.63
66,2000-04-10,34200,37000,33000,37000,70170,14.91
67,2000-04-11,37950,38400,34000,35650,64070,-3.65
68,2000-04-12,35650,35700,34400,34500,16900,-3.23
69,2000-04-14,33000,36500,33000,35500,30790,2.9
70,2000-04-17,31950,37500,31950,33800,45690,-4.79
71,2000-04-18,35700,36400,34600,35000,26360,3.55
72,2000-04-19,34650,36500,34500,36450,65620,4.14
73,2000-04-20,36400,36400,35300,35800,11120,-1.78
74,2000-04-21,37300,40000,36500,39000,89230,8.94
75,2000-04-24,38000,38600,36400,37400,23560,-4.1
76,2000-04-25,37000,37850,36000,37200,19460,-0.53
77,2000-04-26,37500,38000,36000,36500,17260,-1.88
78,2000-04-27,35500,36950,35000,36300,15900,-0.55
79,2000-04-28,36000,37200,36000,37000,13890,1.93
80,2000-05-02,38400,38400,37000,37000,21980,0.0
81,2000-05-03,37200,38700,36250,37950,19210,2.57
82,2000-05-04,38000,41700,37300,39500,64410,4.08
83,2000-05-08,41000,41000,38200,39800,24330,0.76
84,2000-05-09,39800,39900,37900,38650,26830,-2.89
85,2000-05-10,38500,39000,36600,38450,73010,-0.52
86,2000-05-12,38700,38900,36900,36900,24070,-4.03
87,2000-05-15,34500,35600,34000,34800,15130,-5.69
88,2000-05-16,33550,36000,33500,35000,34930,0.57
89,2000-05-17,36000,36450,32000,32000,39870,-8.57
90,2000-05-18,31000,31850,30000,31000,29910,-3.13
91,2000-05-19,31000,31000,27000,27000,55180,-12.9
92,2000-05-22,27500,28300,25500,25600,56390,-5.19
93,2000-05-23,24800,26400,22800,23000,56090,-10.16
94,2000-05-24,22350,23950,20500,23000,68090,0.0
95,2000-05-25,24000,26450,23650,26100,61660,13.48
96,2000-05-26,25000,25500,24000,24000,26780,-8.05
97,2000-05-29,22900,24600,22000,23600,16730,-1.67
98,2000-05-30,24900,26300,24250,26300,46570,11.44
99,2000-05-31,27200,28000,26400,26850,55910,2.09
100,2000-06-01,26800,26900,25600,26200,32870,-2.42
101,2000-06-02,27000,27500,25700,26300,49340,0.38
102,2000-06-05,26700,28600,26550,27900,45040,6.08
103,2000-06-07,28450,29000,27000,28600,51690,2.51
104,2000-06-08,29500,30200,27400,27400,44260,-4.2
105,2000-06-09,27000,28300,27000,27450,28000,0.18
106,2000-06-12,27900,30850,27100,30200,149310,10.02
107,2000-06-13,29700,29700,28100,28150,51920,-6.79
108,2000-06-14,29300,29300,27000,28350,30150,0.71
109,2000-06-15,28500,28900,26500,26600,22530,-6.17
110,2000-06-16,25500,26600,25500,26600,19040,0.0
111,2000-06-19,26000,26600,25700,26000,11640,-2.26
112,2000-06-20,26100,26950,25500,25500,25310,-1.92
113,2000-06-21,25700,26750,25700,26200,22800,2.75
114,2000-06-22,26700,27100,26200,26200,17390,0.0
115,2000-06-23,26300,27300,26300,27200,18260,3.82
116,2000-06-26,27250,29800,27250,28800,57300,5.88
117,2000-06-27,29000,30850,27800,29100,89930,1.04
118,2000-06-28,28700,29400,28200,29100,34260,0.0
119,2000-06-29,28700,29100,27500,28300,36850,-2.75
120,2000-06-30,27600,28600,27300,28350,19130,0.18
121,2000-07-03,28400,29500,28350,29200,26360,3.0
122,2000-07-04,29700,29800,28500,28850,34010,-1.2
123,2000-07-05,29000,29000,27900,28200,16750,-2.25
124,2000-07-06,27800,29400,27600,29400,19610,4.26
125,2000-07-07,29200,29850,28650,29400,22750,0.0
126,2000-07-10,29100,30200,29100,29200,26310,-0.68
127,2000-07-11,29700,29700,28000,28000,34410,-4.11
128,2000-07-12,28000,29800,27950,28700,51740,2.5
129,2000-07-13,29000,29000,27700,28100,26370,-2.09
130,2000-07-14,27800,28400,27350,27350,19830,-2.67
131,2000-07-18,27100,27750,26300,26300,12220,-3.84
132,2000-07-19,26500,26600,24800,25500,24580,-3.04
133,2000-07-20,24650,25400,24100,25000,24780,-1.96
134,2000-07-21,24500,26200,24500,25300,9640,1.2
135,2000-07-24,25100,25200,23750,23750,15320,-6.13
136,2000-07-25,23800,24000,23050,23700,15620,-0.21
137,2000-07-26,23700,24450,23550,23950,11040,1.05
138,2000-07-27,24500,24750,23700,24700,14700,3.13
139,2000-07-28,24700,24800,23800,23800,6150,-3.64
140,2000-07-31,23800,24500,23000,23700,7410,-0.42
141,2000-08-01,24000,25600,23500,25000,45200,5.49
142,2000-08-02,25000,25700,25000,25650,17910,2.6
143,2000-08-03,26200,26900,25700,25700,29950,0.19
144,2000-08-04,25700,26500,25500,26500,25300,3.11
145,2000-08-07,26500,26800,25700,26800,27490,1.13
146,2000-08-08,25900,27200,25300,25300,11550,-5.6
147,2000-08-09,25450,25850,24400,25600,4130,1.19
148,2000-08-10,25100,25450,24800,25000,22160,-2.34
149,2000-08-11,26000,26150,25000,26150,16200,4.6
150,2000-08-14,27000,29200,26600,27900,48920,6.69
151,2000-08-16,28200,29300,27500,29000,60390,3.94
152,2000-08-17,28700,29000,28200,28200,44000,-2.76
153,2000-08-18,27650,28300,27000,27500,16960,-2.48
154,2000-08-21,27000,28700,27000,27700,20260,0.73
155,2000-08-22,27400,28400,27400,27850,7100,0.54
156,2000-08-23,27900,28300,27550,28300,20450,1.62
157,2000-08-24,28000,29400,27600,29000,42900,2.47
158,2000-08-25,29300,29800,29000,29400,37860,1.38
159,2000-08-28,29400,30100,28900,29750,30690,1.19
160,2000-08-29,29750,29900,28950,29650,19100,-0.34
161,2000-08-30,29650,29650,28600,28700,10170,-3.2
162,2000-08-31,27800,28400,27000,28400,31090,-1.05
163,2000-09-01,28400,29800,28400,29200,31650,2.82
164,2000-09-04,28400,29600,28400,29050,7930,-0.51
165,2000-09-05,28500,29600,28500,29250,14300,0.69
166,2000-09-06,29000,29200,28800,28850,7210,-1.37
167,2000-09-07,28700,28700,28050,28100,10320,-2.6
168,2000-09-08,28450,28700,27000,27200,8560,-3.2
169,2000-09-14,26000,27500,26000,26350,17390,-3.13
170,2000-09-15,26500,27500,26400,27500,27020,4.36
