,Date,Open,High,Low,Close,Volume,Change
0,2000-04-12,6140,6140,6140,6140,2290,-14.96
1,2000-04-14,0,0,0,5220,0,-14.98
2,2000-04-17,4440,4440,4440,4440,120,-14.94
3,2000-04-18,3775,4500,3775,3950,81800,-11.04
4,2000-04-19,4000,4005,3610,3810,38700,-3.54
5,2000-04-20,3700,3840,3700,3700,27260,-2.89
6,2000-04-21,3620,3750,3620,3700,13840,0.0
7,2000-04-24,3620,3820,3240,3440,18140,-7.03
8,2000-04-25,3300,3590,3155,3590,14700,4.36
9,2000-04-26,3300,3700,3120,3320,9160,-7.52
10,2000-04-27,3300,3380,3120,3350,7430,0.9
11,2000-04-28,3120,3495,3120,3390,4920,1.19
12,2000-05-02,3390,3390,3155,3300,460,-2.65
13,2000-05-03,3200,3295,3020,3020,12540,-8.48
14,2000-05-04,3070,3185,3050,3100,5830,2.65
15,2000-05-08,3350,3350,3110,3170,2090,2.26
16,2000-05-09,3185,3195,2950,3150,6350,-0.63
17,2000-05-10,2980,3140,2980,3010,1130,-4.44
18,2000-05-12,3010,3090,2915,3000,2890,-0.33
19,2000-05-15,3060,3060,2600,2740,5880,-8.67
20,2000-05-16,2735,2835,2650,2750,980,0.36
21,2000-05-17,2750,2765,2340,2340,9190,-14.91
22,2000-05-18,2340,2340,1990,2180,15850,-6.84
23,2000-05-19,1925,2440,1925,2100,3220,-3.67
24,2000-05-22,2100,2415,1980,2250,7010,7.14
25,2000-05-23,2015,2100,1950,1960,1400,-12.89
26,2000-05-24,2250,2250,2020,2200,6260,12.24
27,2000-05-25,1900,2400,1900,2350,2780,6.82
28,2000-05-26,2205,2445,2010,2010,10670,-14.47
29,2000-05-29,1805,2290,1805,2100,4380,4.48
30,2000-05-30,2100,2300,2100,2290,4390,9.05
31,2000-05-31,2300,2590,2300,2300,10780,0.44
32,2000-06-01,2600,2600,2145,2520,4280,9.57
33,2000-06-02,2520,2650,2250,2590,5580,2.78
34,2000-06-05,2650,2900,2410,2620,12580,1.16
35,2000-06-07,2550,2820,2550,2820,11140,7.63
36,2000-06-08,2900,3240,2705,3000,12620,6.38
37,2000-06-09,2650,3120,2650,3020,9180,0.67
38,2000-06-12,2850,3080,2850,2910,4440,-3.64
39,2000-06-13,3050,3050,2760,2990,1490,2.75
40,2000-06-14,2680,2985,2600,2900,2990,-3.01
41,2000-06-15,2660,2980,2650,2830,1100,-2.41
42,2000-06-16,2410,3200,2410,3150,4110,11.31
43,2000-06-19,2900,3130,2900,3100,1270,-1.59
44,2000-06-20,3100,3100,2800,2970,410,-4.19
45,2000-06-21,2850,3040,2800,2800,2380,-5.72
46,2000-06-22,2710,2950,2710,2950,270,5.36
47,2000-06-23,2720,2990,2650,2800,2060,-5.08
48,2000-06-26,2670,2900,2670,2900,1140,3.57
49,2000-06-27,2705,2980,2705,2890,1540,-0.34
50,2000-06-28,2820,2885,2820,2885,140,-0.17
51,2000-06-29,2700,2840,2610,2750,650,-4.68
52,2000-06-30,2620,2790,2540,2790,3610,1.45
53,2000-07-03,2770,2800,2700,2700,3750,-3.23
54,2000-07-04,2710,2880,2700,2865,3380,6.11
55,2000-07-05,2705,2795,2500,2790,3660,-2.62
56,2000-07-06,2790,2790,2560,2600,3060,-6.81
57,2000-07-07,2690,2850,2650,2800,6280,7.69
58,2000-07-10,2760,2870,2760,2870,1280,2.5
59,2000-07-11,2870,3000,2750,2890,7780,0.7
60,2000-07-12,2800,2900,2760,2840,1020,-1.73
61,2000-07-13,2850,2850,2780,2840,1290,0.0
62,2000-07-14,2790,3250,2790,3080,20640,8.45
63,2000-07-18,3000,3050,2800,2880,7430,-6.49
64,2000-07-19,2900,2900,2600,2680,9150,-6.94
65,2000-07-20,2800,2800,2600,2750,12750,2.61
66,2000-07-21,2790,2790,2500,2500,10710,-9.09
67,2000-07-24,2640,2670,2500,2580,7840,3.2
68,2000-07-25,2310,2965,2310,2965,8810,14.92
69,2000-07-26,2960,3020,2545,2700,11400,-8.94
70,2000-07-27,2600,2750,2500,2650,2550,-1.85
71,2000-07-28,2730,2785,2500,2750,6930,3.77
72,2000-07-31,2650,2850,2650,2700,5080,-1.82
73,2000-08-01,2800,2800,2720,2780,630,2.96
74,2000-08-02,2800,2900,2600,2750,1910,-1.08
75,2000-08-03,2750,2760,2600,2745,2780,-0.18
76,2000-08-04,2800,2800,2645,2700,3180,-1.64
77,2000-08-07,2650,2745,2620,2670,1250,-1.11
78,2000-08-08,2650,2800,2620,2800,2160,4.87
79,2000-08-09,2750,2750,2540,2580,8220,-7.86
80,2000-08-10,2670,2700,2560,2700,4140,4.65
81,2000-08-11,2710,2770,2650,2695,670,-0.19
82,2000-08-14,2700,2850,2700,2750,4240,2.04
83,2000-08-16,2800,3160,2740,2740,15140,-0.36
84,2000-08-17,2770,2890,2750,2890,4310,5.47
85,2000-08-18,2800,3000,2800,2980,14540,3.11
86,2000-08-21,3425,3425,3420,3425,36100,14.93
87,2000-08-22,3575,3575,3055,3090,20280,-9.78
88,2000-08-23,2975,3000,2820,2940,15320,-4.85
89,2000-08-24,2800,3100,2800,2950,9670,0.34
90,2000-08-25,2800,3300,2800,3040,19890,3.05
91,2000-08-28,2940,3150,2930,2930,6040,-3.62
92,2000-08-29,2930,3100,2880,3090,8810,5.46
93,2000-08-30,3000,3550,3000,3550,63830,14.89
94,2000-08-31,3545,4000,3300,3450,39070,-2.82
95,2000-09-01,3500,3640,3250,3400,13580,-1.45
96,2000-09-04,3240,3390,3230,3360,7630,-1.18
97,2000-09-05,3210,3300,3140,3200,9280,-4.76
98,2000-09-06,3175,3680,3175,3300,21270,3.13
99,2000-09-07,3310,3750,3100,3750,25330,13.64
100,2000-09-08,3510,3945,3500,3750,19050,0.0
101,2000-09-14,3745,3775,3450,3500,10540,-6.67
102,2000-09-15,3510,3600,3250,3250,5290,-7.14
103,2000-09-18,3495,3495,3000,3000,7820,-7.69
104,2000-09-19,2880,3250,2880,3250,10800,8.33
105,2000-09-20,3120,3330,3120,3180,9230,-2.15
106,2000-09-21,3185,3185,2860,3000,6550,-5.66
107,2000-09-22,2910,2930,2550,2610,12340,-13.0
108,2000-09-25,2650,2755,2540,2600,8150,-0.38
109,2000-09-26,2600,2640,2550,2640,6720,1.54
110,2000-09-27,2555,2720,2555,2650,7330,0.38
111,2000-09-28,2700,2700,2600,2650,5290,0.0
112,2000-09-29,2700,2800,2650,2660,3310,0.38
113,2000-10-02,2650,2650,2520,2580,8820,-3.01
114,2000-10-04,2510,2590,2510,2585,10980,0.19
115,2000-10-05,2600,2640,2570,2570,5670,-0.58
116,2000-10-06,2540,2595,2490,2595,5780,0.97
117,2000-10-09,2510,2540,2320,2540,4880,-2.12
118,2000-10-10,2170,2480,2170,2480,7550,-2.36
119,2000-10-11,2240,2450,2240,2430,2530,-2.02
120,2000-10-12,2350,2400,2340,2355,3310,-3.09
121,2000-10-13,2300,2300,2050,2190,4530,-7.01
122,2000-10-16,2230,2400,2230,2330,2440,6.39
123,2000-10-17,2330,2430,2230,2430,4280,4.29
124,2000-10-18,2340,2430,2290,2430,3120,0.0
125,2000-10-19,2340,2485,2245,2245,2360,-7.61
126,2000-10-20,2255,2450,2245,2450,2370,9.13
127,2000-10-23,2485,2485,2345,2400,840,-2.04
128,2000-10-24,2340,2420,2340,2420,730,0.83
129,2000-10-25,2295,2400,2295,2310,1350,-4.55
130,2000-10-26,2310,2310,2245,2270,2350,-1.73
131,2000-10-27,2330,2610,2330,2470,5400,8.81
132,2000-10-30,2470,2470,2250,2330,1070,-5.67
133,2000-10-31,2245,2245,2115,2200,4920,-5.58
134,2000-11-01,2240,2240,2000,2120,6140,-3.64
135,2000-11-02,2145,2200,2065,2200,2820,3.77
136,2000-11-03,2005,2320,2005,2300,4120,4.55
137,2000-11-06,2380,2380,2320,2350,3060,2.17
138,2000-11-07,2290,2305,2245,2305,280,-1.91
139,2000-11-08,2245,2350,2245,2350,1530,1.95
140,2000-11-09,2245,2300,2155,2285,2820,-2.77
141,2000-11-10,2285,2300,2210,2300,760,0.66
142,2000-11-13,2280,2280,2280,2280,10,-0.87
143,2000-11-14,2155,2275,2155,2275,1310,-0.22
144,2000-11-15,2285,2430,2245,2330,7010,2.42
145,2000-11-16,2315,2315,2250,2310,50,-0.86
146,2000-11-17,2320,2320,2220,2285,1940,-1.08
147,2000-11-20,2155,2285,2155,2205,2450,-3.5
148,2000-11-21,2265,2300,2200,2245,2570,1.81
149,2000-11-22,2285,2300,2220,2285,1100,1.78
150,2000-11-23,2285,2285,2200,2280,1170,-0.22
