,Date,Open,High,Low,Close,Volume,Change
0,2000-01-04,224,228,211,223,14480,1.36
1,2000-01-05,215,230,210,230,10920,3.14
2,2000-01-06,219,219,209,211,3200,-8.26
3,2000-01-07,217,217,206,213,4700,0.95
4,2000-01-10,213,220,205,212,14410,-0.47
5,2000-01-11,205,211,200,206,2310,-2.83
6,2000-01-12,196,210,196,200,12260,-2.91
7,2000-01-13,200,219,191,212,5310,6.0
8,2000-01-14,201,218,200,218,7240,2.83
9,2000-01-17,225,225,206,220,1020,0.92
10,2000-01-18,219,219,206,215,4920,-2.27
11,2000-01-19,210,247,210,222,16950,3.26
12,2000-01-20,216,230,210,210,13290,-5.41
13,2000-01-21,220,220,200,210,230,0.0
14,2000-01-24,222,223,200,205,9680,-2.38
15,2000-01-25,210,235,210,214,13270,4.39
16,2000-01-26,213,220,207,207,1280,-3.27
17,2000-01-27,237,238,201,238,33330,14.98
18,2000-01-28,236,272,236,274,49510,15.13
19,2000-01-31,300,300,233,267,30820,-2.55
20,2000-02-01,239,265,230,252,17510,-5.62
21,2000-02-02,251,275,233,255,7840,1.19
22,2000-02-03,236,275,232,258,13210,1.18
23,2000-02-07,237,263,237,243,11050,-5.81
24,2000-02-08,258,258,230,232,3680,-4.53
25,2000-02-09,216,240,201,224,25140,-3.45
26,2000-02-10,215,219,202,207,7340,-7.59
27,2000-02-11,210,210,200,201,7460,-2.9
28,2000-02-14,185,220,185,208,11400,3.48
29,2000-02-15,199,204,189,204,12100,-1.92
30,2000-02-16,200,203,190,190,10480,-6.86
31,2000-02-17,191,199,191,198,1990,4.21
32,2000-02-18,191,200,190,192,6720,-3.03
33,2000-02-21,197,197,165,171,4180,-10.94
34,2000-02-22,169,183,169,183,3200,7.02
35,2000-02-23,179,204,179,199,8230,8.74
36,2000-02-24,191,200,181,198,4090,-0.5
37,2000-02-25,198,198,185,196,2020,-1.01
38,2000-02-28,209,209,193,193,2940,-1.53
39,2000-02-29,221,221,193,193,2280,0.0
40,2000-03-02,210,210,193,200,4050,3.63
41,2000-03-03,200,208,195,195,2810,-2.5
42,2000-03-06,210,215,191,210,3200,7.69
43,2000-03-07,210,210,200,204,1960,-2.86
44,2000-03-08,195,208,195,208,3700,1.96
45,2000-03-09,208,239,208,239,29510,14.9
46,2000-03-10,250,269,218,250,13970,4.6
47,2000-03-13,247,268,237,237,13290,-5.2
48,2000-03-14,241,267,231,231,3050,-2.53
49,2000-03-15,211,254,211,249,15410,7.79
50,2000-03-16,238,285,230,284,53220,14.06
51,2000-03-17,279,279,240,242,22260,-14.79
52,2000-03-20,240,260,205,245,34300,1.24
53,2000-03-21,231,259,210,215,29390,-12.24
54,2000-03-22,219,225,214,227,8840,5.58
55,2000-03-23,226,249,226,231,19950,1.76
56,2000-03-24,239,240,222,222,15470,-3.9
57,2000-03-27,212,244,212,230,30170,3.6
58,2000-03-28,240,240,225,226,4990,-1.74
59,2000-03-29,229,229,215,215,11270,-4.87
60,2000-03-30,221,239,210,220,10550,2.33
61,2000-03-31,210,220,210,213,7950,-3.18
62,2000-04-03,200,228,196,196,4270,-7.98
63,2000-04-04,191,207,191,205,4250,4.59
64,2000-04-06,200,219,200,219,3910,6.83
65,2000-04-07,228,235,211,230,13270,5.02
66,2000-04-10,230,240,195,220,31920,-4.35
67,2000-04-11,219,219,200,208,9230,-5.45
68,2000-04-12,207,214,199,209,4990,0.48
69,2000-04-14,205,205,200,200,3850,-4.31
70,2000-04-17,190,201,180,180,8150,-10.0
71,2000-04-18,175,200,175,200,14330,11.11
72,2000-04-19,205,214,193,193,6410,-3.5
73,2000-04-20,203,218,195,218,9690,12.95
74,2000-04-21,217,217,217,217,0,-0.46
75,2000-04-24,215,219,203,219,4280,0.92
76,2000-04-25,217,220,211,219,4810,0.0
77,2000-04-26,225,225,215,220,3590,0.46
78,2000-04-27,220,220,202,203,1700,-7.73
79,2000-04-28,215,220,205,215,3570,5.91
80,2000-05-02,219,223,203,209,1000,-2.79
81,2000-05-03,200,217,200,203,5720,-2.87
82,2000-05-04,216,216,205,205,1350,0.99
83,2000-05-08,210,215,205,214,3860,4.39
84,2000-05-09,211,219,206,212,4110,-0.93
85,2000-05-10,219,219,219,219,10,3.3
86,2000-05-12,217,217,201,211,680,-3.65
87,2000-05-15,216,216,186,212,310,0.47
88,2000-05-16,192,206,187,206,3980,-2.83
89,2000-05-17,208,208,191,191,1830,-7.28
90,2000-05-18,202,202,162,164,2970,-14.14
91,2000-05-19,175,178,174,176,680,7.32
92,2000-05-22,199,199,170,171,1520,-2.84
93,2000-05-23,178,193,171,186,840,8.77
94,2000-05-24,186,189,159,189,1310,1.61
95,2000-05-25,187,216,169,213,4580,12.7
96,2000-05-26,209,215,191,212,460,-0.47
97,2000-05-29,199,214,195,197,2330,-7.08
98,2000-05-30,224,224,190,208,950,5.58
99,2000-05-31,229,229,198,220,8180,5.77
100,2000-06-01,219,229,219,224,3390,1.82
101,2000-06-02,224,224,210,218,1020,-2.68
102,2000-06-05,219,240,215,239,4440,9.63
103,2000-06-07,230,243,220,220,2210,-7.95
104,2000-06-08,230,230,213,213,760,-3.18
105,2000-06-09,223,223,223,223,10,4.69
106,2000-06-12,223,223,222,223,1700,0.0
107,2000-06-13,200,229,200,227,530,1.79
108,2000-06-14,203,221,203,203,600,-10.57
109,2000-06-15,215,233,189,219,13260,7.88
110,2000-06-16,187,207,187,190,3440,-13.24
111,2000-06-19,204,205,190,200,7420,5.26
112,2000-06-20,200,215,196,196,1650,-2.0
113,2000-06-21,185,208,185,207,2300,5.61
114,2000-06-22,210,212,199,201,1330,-2.9
115,2000-06-23,201,210,198,198,210,-1.49
116,2000-06-26,193,227,186,224,5210,13.13
117,2000-06-27,224,224,224,224,10,0.0
118,2000-06-28,223,223,210,223,320,-0.45
119,2000-06-29,220,220,220,220,300,-1.35
120,2000-06-30,200,230,200,230,3750,4.55
121,2000-07-03,199,228,199,229,2230,-0.43
122,2000-07-04,205,225,205,224,300,-2.18
123,2000-07-05,229,229,209,223,1010,-0.45
124,2000-07-06,222,222,206,207,2250,-7.17
125,2000-07-07,210,224,210,223,2090,7.73
126,2000-07-10,221,230,212,230,4880,3.14
127,2000-07-11,222,250,210,250,4210,8.7
128,2000-07-12,238,238,215,230,12190,-8.0
129,2000-07-13,211,237,211,239,20,3.91
130,2000-07-14,215,274,215,255,28050,6.69
131,2000-07-18,254,254,224,232,13140,-9.02
132,2000-07-19,230,230,202,206,3260,-11.21
133,2000-07-20,207,236,197,214,3600,3.88
134,2000-07-21,210,246,210,229,5720,7.01
135,2000-07-24,211,232,211,229,2120,0.0
136,2000-07-25,220,229,205,229,4010,0.0
137,2000-07-26,222,230,216,216,2080,-5.68
138,2000-07-27,212,230,207,230,1090,6.48
139,2000-07-28,228,234,211,228,14750,-0.87
140,2000-07-31,202,233,202,228,830,0.0
141,2000-08-01,231,234,220,234,1260,2.63
142,2000-08-02,234,237,234,237,330,1.28
143,2000-08-03,210,236,210,216,2010,-8.86
144,2000-08-04,215,238,215,240,1180,11.11
145,2000-08-07,236,264,222,235,640,-2.08
146,2000-08-08,234,248,223,228,11760,-2.98
147,2000-08-09,228,245,225,226,4430,-0.88
148,2000-08-10,227,244,226,227,4470,0.44
149,2000-08-11,226,233,226,226,7600,-0.44
150,2000-08-14,248,248,228,240,7190,6.19
151,2000-08-16,234,237,228,239,4160,-0.42
152,2000-08-17,240,240,231,231,6280,-3.35
153,2000-08-18,243,243,229,238,5690,3.03
154,2000-08-21,229,238,229,240,1200,0.84
155,2000-08-22,239,239,229,231,5520,-3.75
156,2000-08-23,239,239,229,231,1950,0.0
157,2000-08-24,230,239,215,230,7180,-0.43
158,2000-08-25,230,236,230,236,1430,2.61
159,2000-08-28,237,245,237,240,3330,1.69
160,2000-08-29,240,250,240,250,4310,4.17
161,2000-08-30,239,286,239,288,14080,15.2
162,2000-08-31,330,330,269,303,34970,5.21
163,2000-09-01,276,299,273,280,10420,-7.59
164,2000-09-04,280,321,279,290,11750,3.57
165,2000-09-05,290,290,250,252,11770,-13.1
166,2000-09-06,268,268,252,267,2720,5.95
167,2000-09-07,256,306,255,306,38380,14.61
168,2000-09-08,349,349,280,300,14480,-1.96
169,2000-09-14,285,320,281,320,6920,6.67
170,2000-09-15,329,364,298,306,13700,-4.37
171,2000-09-18,330,333,260,304,5780,-0.65
172,2000-09-19,283,342,270,344,5740,13.16
173,2000-09-20,321,338,309,313,7650,-9.01
174,2000-09-21,303,303,280,302,3520,-3.51
175,2000-09-22,258,278,258,259,5560,-14.24
176,2000-09-25,265,267,222,247,5620,-4.63
177,2000-09-26,251,270,246,270,4130,9.31
178,2000-09-27,275,275,231,260,9440,-3.7
179,2000-09-28,242,266,242,266,6220,2.31
180,2000-09-29,260,277,260,270,930,1.5
181,2000-10-02,250,270,250,257,1650,-4.81
182,2000-10-04,266,277,259,273,1780,6.23
183,2000-10-05,278,278,260,261,570,-4.4
184,2000-10-06,261,261,249,259,1520,-0.77
185,2000-10-09,251,260,251,260,2920,0.39
186,2000-10-10,252,266,241,260,1850,0.0
187,2000-10-11,259,259,239,259,830,-0.38
188,2000-10-12,257,264,249,251,1470,-3.09
189,2000-10-13,240,273,240,240,130,-4.38
190,2000-10-16,230,276,230,273,3340,13.75
191,2000-10-17,276,313,261,286,3460,4.76
192,2000-10-18,286,286,260,263,2570,-8.04
193,2000-10-19,253,266,242,246,3240,-6.46
194,2000-10-20,244,269,208,241,42430,-2.03
195,2000-10-23,268,275,246,277,8340,14.94
196,2000-10-24,316,316,316,318,2170,14.8
197,2000-10-25,365,365,320,334,79080,5.03
198,2000-10-26,350,384,330,370,134430,10.78
199,2000-10-27,369,375,313,315,54550,-14.86
