,Date,Open,High,Low,Close,Volume,Change
0,2000-01-04,3530,4100,3530,4000,108250,2.04
1,2000-01-05,4150,4490,3860,4250,201910,6.25
2,2000-01-06,4400,4650,4250,4450,158270,4.71
3,2000-01-07,4600,4850,4250,4300,156780,-3.37
4,2000-01-10,4300,4400,4200,4200,111990,-2.33
5,2000-01-11,4100,4100,3950,4000,125500,-4.76
6,2000-01-12,4055,4055,3820,3900,83520,-2.5
7,2000-01-13,3900,4020,3750,4020,167820,3.08
8,2000-01-14,4160,4620,3930,4620,418840,14.93
9,2000-01-17,4820,5300,4630,4700,649970,1.73
10,2000-01-18,4710,5400,4430,5400,747130,14.89
11,2000-01-19,5400,6150,5320,5400,1251850,0.0
12,2000-01-20,5600,5880,4630,4630,658220,-14.26
13,2000-01-21,4660,5320,4400,5320,521850,14.9
14,2000-01-24,5500,6110,5410,6110,1038710,14.85
15,2000-01-25,6150,6880,5500,5620,1712320,-8.02
16,2000-01-26,5780,6100,5320,5650,725750,0.53
17,2000-01-27,5900,6000,5100,5300,501560,-6.19
18,2000-01-28,5310,5700,5310,5400,455720,1.89
19,2000-01-31,5300,5680,5260,5310,280550,-1.67
20,2000-02-01,5360,6100,5310,6100,761700,14.88
21,2000-02-02,6400,6980,6010,6230,1478940,2.13
22,2000-02-03,6420,6420,6100,6230,376570,0.0
23,2000-02-07,6300,6600,6210,6300,532840,1.12
24,2000-02-08,6310,7240,6300,7240,1059800,14.92
25,2000-02-09,7430,7480,6720,6860,958310,-5.25
26,2000-02-10,7000,7440,6720,7150,866180,4.23
27,2000-02-11,7150,7440,6600,6600,722340,-7.69
28,2000-02-14,6200,6450,5610,5610,527250,-15.0
29,2000-02-15,5500,6000,5210,5550,842840,-1.07
30,2000-02-16,5610,5800,5300,5300,363220,-4.5
31,2000-02-17,5310,5470,4550,4690,696530,-11.51
32,2000-02-18,4700,5150,4620,4890,563770,4.26
33,2000-02-21,4700,4880,4200,4230,296360,-13.5
34,2000-02-22,4250,4675,4250,4300,376070,1.65
35,2000-02-23,4660,4945,4450,4700,397780,9.3
36,2000-02-24,4720,4720,4400,4500,235590,-4.26
37,2000-02-25,4350,4800,4340,4570,327820,1.56
38,2000-02-28,4490,5080,4460,4800,437500,5.03
39,2000-02-29,5020,5200,4750,4800,404600,0.0
40,2000-03-02,4850,4970,4630,4820,323250,0.42
41,2000-03-03,4850,4990,4600,4600,262060,-4.56
42,2000-03-06,4630,5290,4400,5290,528900,15.0
43,2000-03-07,6080,6080,5500,5850,1163020,10.59
44,2000-03-08,5650,6150,5450,5750,613050,-1.71
45,2000-03-09,5990,6610,5800,6300,845340,9.57
46,2000-03-10,6310,6750,6100,6220,704540,-1.27
47,2000-03-13,6800,7140,6510,6520,981860,4.82
48,2000-03-14,6800,7080,5550,5600,852470,-14.11
49,2000-03-15,5450,5850,5230,5400,384700,-3.57
50,2000-03-16,5430,5770,5060,5200,286970,-3.7
51,2000-03-17,5220,5540,5100,5120,377420,-1.54
52,2000-03-20,5420,5880,5240,5880,381840,14.84
53,2000-03-21,6600,6600,5520,5520,984500,-6.12
54,2000-03-22,5750,6340,5400,6340,648340,14.86
55,2000-03-23,6430,7290,6410,7290,2746710,14.98
56,2000-03-24,8180,8380,7710,8380,809260,14.95
57,2000-03-27,9630,9630,9630,9630,136430,14.92
58,2000-03-28,11050,11050,8190,8190,4728730,-14.95
59,2000-03-29,8220,9190,7100,7400,4153820,-9.65
60,2000-03-30,7800,7900,6800,7250,1980010,-2.03
61,2000-03-31,7250,7900,7030,7100,1985730,-2.07
62,2000-04-03,7120,7390,6050,6100,1066270,-14.08
63,2000-04-04,6390,6550,5810,6200,1054830,1.64
64,2000-04-06,5820,6300,5790,5790,663210,-6.61
65,2000-04-07,5850,6400,5850,6020,1111360,3.97
66,2000-04-10,6150,6590,6100,6280,808920,4.32
67,2000-04-11,6410,6470,5800,5810,609150,-7.48
68,2000-04-12,5910,6100,5750,5750,629460,-1.03
69,2000-04-14,5610,5800,5200,5300,385020,-7.83
70,2000-04-17,4530,4780,4510,4510,335440,-14.91
71,2000-04-18,4700,4910,4600,4870,503200,7.98
72,2000-04-19,4930,5500,4930,5050,502450,3.7
73,2000-04-20,5240,5300,4910,5200,363220,2.97
74,2000-04-21,5300,5420,5150,5260,397970,1.15
75,2000-04-24,5200,5330,5020,5100,223300,-3.04
76,2000-04-25,5100,5840,5000,5400,1112910,5.88
77,2000-04-26,5600,5650,5060,5100,459470,-5.56
78,2000-04-27,5030,5170,4830,4880,278380,-4.31
79,2000-04-28,4900,5130,4880,4930,256520,1.02
80,2000-05-02,4760,5000,4760,4850,198890,-1.62
81,2000-05-03,4950,5090,4820,4820,191260,-0.62
82,2000-05-04,4850,4950,4770,4950,266600,2.7
83,2000-05-08,4990,5180,4950,5050,313430,2.02
84,2000-05-09,5060,5370,5060,5180,376870,2.57
85,2000-05-10,5310,5350,4950,4990,227080,-3.67
86,2000-05-12,4840,5000,4650,4725,212040,-5.31
87,2000-05-15,4535,4680,4100,4200,190410,-11.11
88,2000-05-16,4020,4390,4020,4290,190790,2.14
89,2000-05-17,4120,4350,3810,3880,225220,-9.56
90,2000-05-18,3550,3750,3300,3400,198390,-12.37
91,2000-05-19,3400,3705,3120,3705,167040,8.97
92,2000-05-22,3650,3660,3300,3350,141760,-9.58
93,2000-05-23,3120,3500,3120,3390,98940,1.19
94,2000-05-24,3410,3700,3150,3500,193240,3.24
95,2000-05-25,3585,4020,3550,3930,269170,12.29
96,2000-05-26,3800,3830,3400,3470,156240,-11.7
97,2000-05-29,3260,3570,3260,3400,128550,-2.02
98,2000-05-30,3500,3700,3490,3640,205640,7.06
99,2000-05-31,3645,3900,3645,3775,195260,3.71
100,2000-06-01,3940,4290,3850,4000,376020,5.96
101,2000-06-02,3960,4295,3800,3870,310430,-3.25
102,2000-06-05,4020,4295,4020,4200,480410,8.53
103,2000-06-07,4250,4730,4090,4570,882620,8.81
104,2000-06-08,4700,4750,4010,4140,288140,-9.41
105,2000-06-09,4110,4180,3910,4100,214120,-0.97
106,2000-06-12,4150,4190,4020,4070,175410,-0.73
107,2000-06-13,4070,4320,3955,3990,232380,-1.97
108,2000-06-14,4000,4150,3900,4000,148300,0.25
109,2000-06-15,3920,4000,3600,3600,105550,-10.0
110,2000-06-16,3580,3700,3550,3690,114130,2.5
111,2000-06-19,3650,3720,3555,3585,113280,-2.85
112,2000-06-20,3550,3680,3505,3540,104510,-1.26
113,2000-06-21,3630,3670,3510,3570,134540,0.85
114,2000-06-22,3600,3630,3500,3540,119630,-0.84
115,2000-06-23,3490,3560,3460,3560,81010,0.56
116,2000-06-26,3650,3950,3550,3820,287330,7.3
117,2000-06-27,3820,4280,3755,4060,548360,6.28
118,2000-06-28,4130,4250,3900,3900,296980,-3.94
119,2000-06-29,4050,4180,3805,3850,137660,-1.28
120,2000-06-30,3820,3900,3720,3815,115510,-0.91
121,2000-07-03,3820,4015,3800,3950,229960,3.54
122,2000-07-04,4150,4150,3950,3990,215260,1.01
123,2000-07-05,3910,4040,3700,3840,156880,-3.76
124,2000-07-06,3850,3995,3780,3930,173960,2.34
125,2000-07-07,4000,4180,3955,4060,271750,3.31
126,2000-07-10,4200,4200,4045,4050,262320,-0.25
127,2000-07-11,4160,4600,4150,4180,851210,3.21
128,2000-07-12,4250,4480,4020,4070,391100,-2.63
