,Date,Open,High,Low,Close,Volume,Change
0,2000-01-04,3913,3913,3837,3837,780,0.0
1,2000-01-05,3990,3990,3990,3991,650,4.01
2,2000-01-06,3645,3990,3645,3991,2080,0.0
3,2000-01-07,3760,3768,3760,3768,1300,-5.59
4,2000-01-10,3614,3975,3614,3975,1170,5.49
5,2000-01-11,3760,3952,3622,3952,780,-0.58
6,2000-01-12,4105,4105,3683,3684,520,-6.78
7,2000-01-13,3683,3683,3683,3684,0,0.0
8,2000-01-14,3952,3952,3952,3952,130,7.27
9,2000-01-17,3461,3898,3461,3899,1300,-1.34
10,2000-01-18,3798,3798,3798,3799,0,-2.56
11,2000-01-19,3798,3798,3798,3799,0,0.0
12,2000-01-20,3906,3906,3906,3906,130,2.82
13,2000-01-21,3822,3822,3822,3822,0,-2.15
14,2000-01-24,3822,3822,3822,3822,0,0.0
15,2000-01-25,3822,3822,3822,3822,0,0.0
16,2000-01-26,3944,3944,3330,3799,650,-0.6
17,2000-01-27,3898,3898,3898,3899,130,2.63
18,2000-01-28,3530,3837,3530,3837,260,-1.59
19,2000-01-31,3722,3822,3530,3822,650,-0.39
20,2000-02-01,3607,3607,3607,3607,0,-5.63
21,2000-02-02,3837,3837,3837,3837,130,6.38
22,2000-02-03,3837,3837,3837,3837,0,0.0
23,2000-02-07,4282,4282,4282,4282,1170,11.6
24,2000-02-08,3760,3760,3645,3645,21110,-14.88
25,2000-02-09,3645,3645,3637,3638,7300,-0.19
26,2000-02-10,3637,3637,3637,3638,0,0.0
27,2000-02-11,3346,3346,3346,3346,650,-8.03
28,2000-02-14,3630,3630,3630,3630,130,8.49
29,2000-02-15,3384,3384,3169,3177,520,-12.48
30,2000-02-16,3415,3415,3146,3147,5600,-0.94
31,2000-02-17,2916,3415,2854,3285,16680,4.39
32,2000-02-18,3415,3415,3069,3070,5860,-6.54
33,2000-02-21,3185,3185,3177,3185,4560,3.75
34,2000-02-22,3146,3146,3146,3147,5340,-1.19
35,2000-02-23,3300,3376,3184,3300,22670,4.86
36,2000-02-24,3668,3760,3300,3761,13550,13.97
37,2000-02-25,3223,3453,3223,3454,23190,-8.16
38,2000-02-28,3607,3798,3092,3530,5990,2.2
39,2000-02-29,3798,3798,3530,3530,780,0.0
40,2000-03-02,3223,3453,3223,3454,3000,-2.15
41,2000-03-03,3453,3453,3453,3454,0,0.0
42,2000-03-06,3453,3568,3146,3569,28150,3.33
43,2000-03-07,3568,3607,3568,3607,14330,1.06
44,2000-03-08,3607,3607,3607,3607,0,0.0
45,2000-03-09,3607,3607,3607,3607,650,0.0
46,2000-03-10,3676,4121,3645,3768,18760,4.46
47,2000-03-13,3461,3760,3461,3761,3650,-0.19
48,2000-03-14,3622,3975,3622,3975,3650,5.69
49,2000-03-15,3760,3914,3760,3914,2220,-1.53
50,2000-03-16,3990,3990,3760,3761,11730,-3.91
51,2000-03-17,3453,3760,3453,3761,3260,0.0
52,2000-03-20,3760,3760,3683,3684,2220,-2.05
53,2000-03-21,3760,3760,3607,3761,5210,2.09
54,2000-03-22,3760,3837,3760,3837,7820,2.02
55,2000-03-23,3837,3837,3683,3830,7690,-0.18
56,2000-03-24,3906,3906,3607,3830,9770,0.0
57,2000-03-27,3683,3798,3683,3799,12770,-0.81
58,2000-03-28,3645,3645,3607,3607,12640,-5.05
59,2000-03-29,3530,3676,3530,3676,1950,1.91
60,2000-03-30,3530,3683,3530,3684,12770,0.22
61,2000-03-31,3384,3829,3384,3830,1430,3.96
62,2000-04-03,3829,3829,3829,3830,0,0.0
63,2000-04-04,3760,3760,3760,3761,0,-1.8
64,2000-04-06,3760,3760,3760,3761,260,0.0
65,2000-04-07,3530,3760,3530,3761,910,0.0
66,2000-04-10,3722,3722,3722,3722,390,-1.04
67,2000-04-11,3246,3760,3246,3761,1950,1.05
68,2000-04-12,3722,3722,3722,3722,0,-1.04
69,2000-04-14,3722,3722,3722,3722,2080,0.0
70,2000-04-17,3177,3722,3177,3722,2480,0.0
71,2000-04-18,3476,3722,3476,3722,390,0.0
72,2000-04-19,3722,3952,3722,3952,14980,6.18
73,2000-04-20,3944,3944,3622,3645,1950,-7.77
74,2000-04-21,3522,3837,3522,3837,520,5.27
75,2000-04-24,3568,3837,3568,3837,1820,0.0
76,2000-04-25,3645,3837,3645,3837,4040,0.0
77,2000-04-26,3269,3660,3261,3657,4820,-4.69
78,2000-04-27,3530,3768,3530,3768,390,3.04
79,2000-04-28,3537,3683,3415,3684,1040,-2.23
80,2000-05-02,3453,3683,3376,3684,59420,0.0
81,2000-05-03,3683,3683,3683,3684,260,0.0
82,2000-05-04,3683,3683,3683,3684,0,0.0
83,2000-05-08,3607,3607,3453,3592,1950,-2.5
84,2000-05-09,3453,3560,3338,3561,2870,-0.86
85,2000-05-10,3683,3683,3683,3684,390,3.45
86,2000-05-12,3683,3683,3683,3684,0,0.0
87,2000-05-15,3361,3687,3361,3688,390,0.11
88,2000-05-16,3537,3722,3537,3722,1560,0.92
89,2000-05-17,3760,3760,3760,3761,260,1.05
90,2000-05-18,3607,3913,3568,3837,8080,2.02
91,2000-05-19,3837,3952,3300,3799,12770,-0.99
92,2000-05-22,3829,3829,3415,3791,7040,-0.21
93,2000-05-23,3537,3760,3384,3761,8990,-0.79
94,2000-05-24,3737,3737,3737,3737,130,-0.64
95,2000-05-25,3722,3760,3683,3761,2610,0.64
96,2000-05-26,3545,3752,3545,3753,1690,-0.21
97,2000-05-29,3645,3837,3645,3837,4430,2.24
98,2000-05-30,3837,4412,3837,4221,7690,10.01
99,2000-05-31,3837,4220,3837,4221,63850,0.0
100,2000-06-01,3952,4182,3952,4183,4950,-0.9
101,2000-06-02,4144,4144,4144,4144,3520,-0.93
102,2000-06-05,3990,4297,3990,4021,3650,-2.97
103,2000-06-07,3844,3914,3844,3914,1950,-2.66
104,2000-06-08,3798,4029,3530,3837,59290,-1.97
105,2000-06-09,3607,3722,3545,3569,6250,-6.98
106,2000-06-12,3599,3599,3453,3454,12380,-3.22
107,2000-06-13,3407,3415,3384,3392,3000,-1.8
108,2000-06-14,3300,3376,3069,3377,28930,-0.44
109,2000-06-15,3445,3514,3230,3239,6910,-4.09
110,2000-06-16,3069,3330,3069,3131,1430,-3.33
111,2000-06-19,3131,3300,3131,3300,1300,5.4
112,2000-06-20,3392,3445,3392,3446,4560,4.42
113,2000-06-21,3445,3453,3430,3446,2220,0.0
114,2000-06-22,3461,3476,3238,3296,2870,-4.35
115,2000-06-23,3296,3296,3296,3296,0,0.0
116,2000-06-26,3192,3230,3192,3231,910,-1.97
117,2000-06-27,3230,3230,3230,3231,0,0.0
118,2000-06-28,3399,3445,3399,3446,390,6.65
119,2000-06-29,3568,3568,3207,3308,1430,-4.0
120,2000-06-30,3177,3300,3177,3223,1560,-2.57
121,2000-07-03,3184,3299,3169,3189,3130,-1.05
122,2000-07-04,3254,3330,3254,3331,260,4.45
123,2000-07-05,3185,3185,3185,3185,260,-4.38
124,2000-07-06,3185,3185,3185,3185,0,0.0
125,2000-07-07,3246,3254,3246,3254,520,2.17
126,2000-07-10,3254,3254,3254,3254,130,0.0
127,2000-07-11,3207,3223,3207,3223,650,-0.95
128,2000-07-12,3223,3223,3223,3223,0,0.0
129,2000-07-13,3115,3115,3115,3116,130,-3.32
130,2000-07-14,3123,3146,3123,3124,780,0.26
131,2000-07-18,3131,3131,3131,3131,0,0.22
132,2000-07-19,3131,3131,3131,3131,130,0.0
133,2000-07-20,3004,3004,3004,3005,130,-4.02
134,2000-07-21,3008,3108,3008,3108,650,3.43
135,2000-07-24,3023,3023,3023,3024,130,-2.7
136,2000-07-25,3062,3062,3062,3062,130,1.26
137,2000-07-26,3069,3069,2770,3031,1560,-1.01
138,2000-07-27,3058,3131,2854,3131,1040,3.3
139,2000-07-28,3123,3161,3016,3016,650,-3.67
140,2000-07-31,3100,3100,2739,3031,1820,0.5
141,2000-08-01,3177,3300,2993,3300,7950,8.87
142,2000-08-02,3069,3215,3069,3216,2350,-2.55
143,2000-08-03,3146,3146,3077,3077,260,-4.32
144,2000-08-04,3077,3077,3077,3077,0,0.0
145,2000-08-07,3077,3077,3077,3077,0,0.0
146,2000-08-08,3077,3077,3077,3077,0,0.0
147,2000-08-09,2885,3069,2885,2947,1040,-4.22
148,2000-08-10,3092,3092,3092,3093,260,4.95
149,2000-08-11,3096,3300,3096,3262,1560,5.46
150,2000-08-14,3223,3223,3223,3223,0,-1.2
151,2000-08-16,3215,3215,3115,3116,390,-3.32
152,2000-08-17,2916,3069,2916,3066,37140,-1.6
153,2000-08-18,3069,3115,2916,3116,9510,1.63
154,2000-08-21,3069,3173,3046,3173,390,1.83
155,2000-08-22,3142,3142,3142,3143,0,-0.95
156,2000-08-23,3223,3223,3008,3008,1170,-4.3
157,2000-08-24,2954,2954,2954,2955,1300,-1.76
158,2000-08-25,2970,2970,2970,2970,0,0.51
159,2000-08-28,2962,2966,2962,2966,260,-0.13
160,2000-08-29,2973,3031,2973,3020,1820,1.82
161,2000-08-30,3039,3472,2916,3208,10290,6.23
162,2000-08-31,3207,3207,3046,3066,1040,-4.43
163,2000-09-01,3065,3146,2985,3147,2610,2.64
164,2000-09-04,3215,3223,3069,3070,780,-2.45
165,2000-09-05,3108,3185,3108,3185,520,3.75
166,2000-09-06,3085,3146,3023,3070,1430,-3.61
167,2000-09-07,3146,3185,3146,3185,520,3.75
