,Date,Open,High,Low,Close,Volume,Change
0,2000-01-04,12100,13800,12100,13800,188910,15.0
1,2000-01-05,13500,14400,12500,13950,178270,1.09
2,2000-01-06,14500,14500,13350,13900,258250,-0.36
3,2000-01-07,14300,14650,13600,13800,170530,-0.72
4,2000-01-10,14300,14500,13700,13700,96870,-0.72
5,2000-01-11,13700,13900,13250,13300,113870,-2.92
6,2000-01-12,13000,13700,12800,12850,64420,-3.38
7,2000-01-13,13450,13650,13050,13650,100660,6.23
8,2000-01-14,13650,13900,13100,13300,95820,-2.56
9,2000-01-17,13650,13650,12850,13250,74800,-0.38
10,2000-01-18,13300,13300,12800,12800,50310,-3.4
11,2000-01-19,12500,12750,11900,12000,80420,-6.25
12,2000-01-20,11500,12000,11000,11900,110580,-0.83
13,2000-01-21,11800,12200,11450,12000,72100,0.84
14,2000-01-24,12200,12250,11800,11800,57330,-1.67
15,2000-01-25,12000,12400,11550,12200,118160,3.39
16,2000-01-26,12500,13400,12200,13200,159690,8.2
17,2000-01-27,13700,15100,13100,14850,361750,12.5
18,2000-01-28,15100,15300,14200,14800,366490,-0.34
19,2000-01-31,14400,17000,14400,17000,590030,14.86
20,2000-02-01,17500,17550,16300,16550,650870,-2.65
21,2000-02-02,17000,18000,16000,16950,458460,2.42
22,2000-02-03,17000,17400,16300,17100,287050,0.88
23,2000-02-07,16500,17600,16500,16650,317710,-2.63
24,2000-02-08,16500,17100,16000,16100,236160,-3.3
25,2000-02-09,16300,16700,15500,15700,242460,-2.48
26,2000-02-10,15250,16000,15100,15300,163630,-2.55
27,2000-02-11,15550,16100,14800,15500,150890,1.31
28,2000-02-14,15000,15800,14700,14950,152730,-3.55
29,2000-02-15,15550,15900,14500,14600,184290,-2.34
30,2000-02-16,15000,15400,13950,14600,157030,0.0
31,2000-02-17,14400,14800,14000,14800,127860,1.37
32,2000-02-18,14300,14550,13850,13850,201350,-6.42
33,2000-02-21,13500,13500,13000,13400,136530,-3.25
34,2000-02-22,13200,14350,12950,13500,202780,0.75
35,2000-02-23,14050,15500,13900,15250,332100,12.96
36,2000-02-24,15000,15100,14000,14200,164180,-6.89
37,2000-02-25,14000,14750,13750,14200,177650,0.0
38,2000-02-28,13900,14600,13550,14500,110640,2.11
39,2000-02-29,14750,15200,14200,14350,76390,-1.03
40,2000-03-02,13900,14500,13500,14250,180400,-0.7
41,2000-03-03,14400,14400,13400,13400,106810,-5.96
42,2000-03-06,13100,15400,13100,15400,438970,14.93
43,2000-03-07,14200,17000,14200,16000,759720,3.9
44,2000-03-08,15500,18400,15200,16500,822050,3.13
45,2000-03-09,17100,17450,16050,16100,323620,-2.42
46,2000-03-10,15800,16650,15500,15900,274130,-1.24
47,2000-03-13,16000,16600,15600,15600,260800,-1.89
48,2000-03-14,15200,16150,15050,15900,198470,1.92
49,2000-03-15,16100,17000,16000,16650,345010,4.72
50,2000-03-16,17000,17300,16600,16950,228310,1.8
51,2000-03-17,17500,19400,17000,18250,431510,7.67
52,2000-03-20,18400,18700,17500,17850,172560,-2.19
53,2000-03-21,17900,18000,17050,17300,128290,-3.08
54,2000-03-22,17500,17700,17200,17500,246080,1.16
55,2000-03-23,17500,17700,16600,16600,383940,-5.14
56,2000-03-24,16600,16900,16000,16550,371000,-0.3
57,2000-03-27,16600,17950,16300,17600,502050,6.34
58,2000-03-28,17000,17400,16200,16400,518120,-6.82
59,2000-03-29,16350,16700,15500,15550,824240,-5.18
60,2000-03-30,11250,11800,11250,11250,158000,-14.77
61,2000-03-31,10100,10650,9600,9600,429230,-14.67
62,2000-04-03,9100,9790,8160,8160,513180,-15.0
63,2000-04-04,8500,8600,7850,8170,308410,0.12
64,2000-04-06,7890,7890,7300,7340,338580,-10.16
65,2000-04-07,7350,7700,7210,7230,205880,-1.5
66,2000-04-10,7320,7980,7020,7470,352530,3.32
67,2000-04-11,7750,7800,7250,7250,278070,-2.95
68,2000-04-12,7270,7550,7210,7320,189750,0.97
69,2000-04-14,7200,7700,7120,7320,202250,0.0
70,2000-04-17,6600,6750,6230,6240,199920,-14.75
71,2000-04-18,6950,6950,6450,6450,136210,3.37
72,2000-04-19,6600,6700,6350,6350,106610,-1.55
73,2000-04-20,6050,6350,6050,6120,106990,-3.62
74,2000-04-21,6300,6340,6120,6260,152160,2.29
75,2000-04-24,6300,6350,6110,6130,96350,-2.08
76,2000-04-25,6000,6130,5610,5700,175790,-7.01
77,2000-04-26,5820,5930,5430,5430,137880,-4.74
78,2000-04-27,5000,5800,5000,5380,169990,-0.92
79,2000-04-28,5500,6180,5500,6080,393390,13.01
80,2000-05-02,6100,6300,6010,6180,198760,1.64
81,2000-05-03,6020,6490,6000,6200,224690,0.32
82,2000-05-04,6290,6440,6150,6300,228760,1.61
83,2000-05-08,6600,6600,6310,6410,155750,1.75
84,2000-05-09,6480,6480,6270,6350,109800,-0.94
85,2000-05-10,6350,6400,6250,6300,61960,-0.79
86,2000-05-12,6200,6400,6000,6320,93950,0.32
87,2000-05-15,6200,6390,5860,5870,103450,-7.12
88,2000-05-16,5900,5990,5500,5550,116790,-5.45
89,2000-05-17,5400,5600,4800,4950,114930,-10.81
90,2000-05-18,4600,5090,4600,4800,107300,-3.03
91,2000-05-19,4900,5050,4720,4850,110670,1.04
92,2000-05-22,4880,5170,4880,4970,212350,2.47
93,2000-05-23,5000,5490,4750,5080,275840,2.21
94,2000-05-24,5100,5840,4800,5840,406520,14.96
95,2000-05-25,4000,4515,3910,4515,376290,14.89
