,Date,Open,High,Low,Close,Volume,Change
0,2000-01-04,0,0,0,16650,0,0.0
1,2000-01-05,0,0,0,16650,0,0.0
2,2000-01-06,0,0,0,16650,0,0.0
3,2000-01-07,0,0,0,16650,0,0.0
4,2000-01-10,0,0,0,16650,0,0.0
5,2000-01-11,0,0,0,16600,0,-0.3
6,2000-01-12,16600,16600,16600,16600,100,0.0
7,2000-01-13,14200,14200,14200,14200,10,-14.46
8,2000-01-14,0,0,0,14500,0,2.11
9,2000-01-17,0,0,0,14500,0,0.0
10,2000-01-18,0,0,0,14500,0,0.0
11,2000-01-19,0,0,0,14500,0,0.0
12,2000-01-20,0,0,0,14500,0,0.0
13,2000-01-21,0,0,0,14500,0,0.0
14,2000-01-24,0,0,0,14500,0,0.0
15,2000-01-25,0,0,0,14500,0,0.0
16,2000-01-26,0,0,0,14500,0,0.0
17,2000-01-27,0,0,0,14500,0,0.0
18,2000-01-28,0,0,0,14500,0,0.0
19,2000-01-31,0,0,0,14500,0,0.0
20,2000-02-01,0,0,0,14500,0,0.0
21,2000-02-02,0,0,0,14500,0,0.0
22,2000-02-03,0,0,0,14500,0,0.0
23,2000-02-07,0,0,0,14500,0,0.0
24,2000-02-08,16650,16650,16650,16650,20,14.83
25,2000-02-09,0,0,0,16650,0,0.0
26,2000-02-10,0,0,0,16650,0,0.0
27,2000-02-11,0,0,0,16650,0,0.0
28,2000-02-14,0,0,0,16650,0,0.0
29,2000-02-15,16650,16650,16650,16650,30,0.0
30,2000-02-16,0,0,0,16650,0,0.0
31,2000-02-17,0,0,0,16650,0,0.0
32,2000-02-18,0,0,0,16650,0,0.0
33,2000-02-21,0,0,0,16650,0,0.0
34,2000-02-22,14950,14950,14950,14950,80,-10.21
35,2000-02-23,16450,16450,16450,16450,60,10.03
36,2000-02-24,0,0,0,16400,0,-0.3
37,2000-02-25,14800,16450,14800,16450,240,0.3
38,2000-02-28,16450,16450,14800,14800,80,-10.03
39,2000-02-29,15400,16000,15350,16000,250,8.11
40,2000-03-02,16300,16300,16300,16300,60,1.88
41,2000-03-03,16000,16000,16000,16000,10,-1.84
42,2000-03-06,0,0,0,15500,0,-3.13
43,2000-03-07,16000,16500,16000,16500,140,6.45
44,2000-03-08,0,0,0,16900,0,2.42
45,2000-03-09,0,0,0,17900,0,5.92
46,2000-03-10,16500,16500,15500,15500,20,-13.41
47,2000-03-13,16000,16000,16000,16000,10,3.23
48,2000-03-14,0,0,0,17500,0,9.38
49,2000-03-15,0,0,0,17500,0,0.0
50,2000-03-16,0,0,0,17500,0,0.0
51,2000-03-17,0,0,0,17950,0,2.57
52,2000-03-20,19000,19000,19000,19000,10,5.85
53,2000-03-21,0,0,0,18000,0,-5.26
54,2000-03-22,17000,17000,17000,17000,180,-5.56
55,2000-03-23,0,0,0,17000,0,0.0
56,2000-03-24,0,0,0,17000,0,0.0
57,2000-03-27,17000,19550,17000,19550,50,15.0
58,2000-03-28,0,0,0,19550,0,0.0
59,2000-03-29,18000,18000,18000,18000,30,-7.93
60,2000-03-30,17000,17000,16950,16950,70,-5.83
61,2000-03-31,16700,16700,16700,16700,60,-1.47
62,2000-04-03,14200,16500,14200,16500,30,-1.2
63,2000-04-04,15000,15000,14950,14950,90,-9.39
64,2000-04-06,14950,15000,14950,15000,110,0.33
65,2000-04-07,13000,15000,13000,15000,50,0.0
66,2000-04-10,15000,15000,15000,15000,30,0.0
67,2000-04-11,0,0,0,14950,0,-0.33
68,2000-04-12,0,0,0,14500,0,-3.01
69,2000-04-14,14950,15000,14950,15000,30,3.45
70,2000-04-17,17250,17250,17250,17250,30,15.0
71,2000-04-18,0,0,0,17250,0,0.0
72,2000-04-19,0,0,0,17250,0,0.0
73,2000-04-20,0,0,0,17250,0,0.0
74,2000-04-21,0,0,0,17250,0,0.0
75,2000-04-24,0,0,0,17250,0,0.0
76,2000-04-25,0,0,0,17250,0,0.0
77,2000-04-26,0,0,0,17250,0,0.0
78,2000-04-27,0,0,0,17250,0,0.0
79,2000-04-28,0,0,0,17250,0,0.0
80,2000-05-02,0,0,0,17250,0,0.0
81,2000-05-03,0,0,0,17250,0,0.0
82,2000-05-04,22500,22500,1615,13100,11340,-24.06
83,2000-05-08,13100,13750,11050,11050,1800,-15.65
84,2000-05-09,11000,11000,8800,8950,2220,-19.0
85,2000-05-10,8000,10000,8000,9500,1220,6.15
86,2000-05-12,9950,11000,8950,8950,1180,-5.79
87,2000-05-15,8900,8950,8780,8780,1060,-1.9
88,2000-05-16,8780,17500,7800,16400,4760,86.79
89,2000-05-17,18000,18000,12850,12850,1310,-21.65
90,2000-05-18,12450,12450,9900,9900,2990,-22.96
91,2000-05-19,9900,9900,9000,9000,2060,-9.09
92,2000-05-22,9000,12400,9000,9000,1120,0.0
93,2000-05-23,9000,13400,9000,9010,590,0.11
94,2000-05-24,10400,10400,9010,9200,750,2.11
95,2000-05-25,10300,10300,9100,9200,970,0.0
96,2000-05-26,9980,10000,9200,10000,1180,8.7
