,Date,Open,High,Low,Close,Volume,Change
0,2000-01-04,38287,43946,38287,42013,713040,5.12
1,2000-01-05,40489,41513,39470,40238,793570,-4.22
2,2000-01-06,41257,42282,37913,38088,590750,-5.34
3,2000-01-07,38125,39214,37751,38628,657920,1.42
4,2000-01-10,38829,39912,38398,38837,900320,0.54
5,2000-01-11,38828,39098,37261,37701,988460,-2.93
6,2000-01-12,37705,37705,35642,36140,825340,-4.14
7,2000-01-13,36282,36552,35045,35059,821020,-2.99
8,2000-01-14,35857,37094,35045,35059,1011590,0.0
9,2000-01-17,35594,35858,34408,34628,816150,-1.23
10,2000-01-18,35053,35433,34292,34628,734560,0.0
11,2000-01-19,34984,34984,30306,30745,1012810,-11.21
12,2000-01-20,29654,30188,27817,29726,1478270,-3.31
13,2000-01-21,30248,34140,28894,31286,3481750,5.25
14,2000-01-24,32957,35980,32357,35974,3432630,14.98
15,2000-01-25,35974,38662,35052,37006,3772810,2.87
16,2000-01-26,37205,40343,36187,39642,2792430,7.12
17,2000-01-27,39645,40611,38606,39967,1781350,0.82
18,2000-01-28,39645,40611,38458,39967,1586740,0.0
19,2000-01-31,39371,43683,38933,41209,2209450,3.11
20,2000-02-01,41208,42059,39637,40398,862590,-1.97
21,2000-02-02,38827,41521,38285,41534,2346790,2.81
22,2000-02-03,41147,41250,40058,41000,1078920,-1.29
23,2000-02-07,40498,40930,39641,39642,818340,-3.31
24,2000-02-08,40172,44753,39746,43691,3761970,10.21
25,2000-02-09,43628,44485,41037,41264,1003460,-5.55
26,2000-02-10,40497,40555,38886,40453,1147380,-1.97
27,2000-02-11,39917,40774,38834,39273,961650,-2.92
28,2000-02-14,38829,39094,36883,38180,1107540,-2.78
29,2000-02-15,37802,39581,37802,38512,892630,0.87
30,2000-02-16,39098,40761,38879,40343,1225710,4.75
31,2000-02-17,40443,42066,37208,37872,3943990,-6.12
32,2000-02-18,37847,38716,34882,36410,1667920,-3.86
33,2000-02-21,35048,35048,32356,33387,1053350,-8.3
34,2000-02-22,32081,34517,31874,34524,1279110,3.41
35,2000-02-23,35592,39683,34785,39697,2926370,14.98
36,2000-02-24,39687,41472,39687,40945,2131050,3.14
37,2000-02-25,39907,42330,38554,41049,807630,0.25
38,2000-02-28,39422,42289,39106,41098,887440,0.12
39,2000-02-29,42545,44375,40489,42069,1855470,2.36
40,2000-03-02,42062,42603,40444,42456,847500,0.92
41,2000-03-03,41798,42339,40291,41915,624810,-1.27
42,2000-03-06,42008,45294,40984,43691,1329920,4.24
43,2000-03-07,43135,44218,42111,42775,635650,-2.1
44,2000-03-08,40981,43139,40981,42824,506670,0.11
45,2000-03-09,43147,44165,39370,39378,899880,-8.05
46,2000-03-10,42552,43950,41527,43642,1209780,10.83
47,2000-03-13,43086,43138,41301,42603,661650,-2.38
48,2000-03-14,42867,43138,41249,42603,327970,0.0
49,2000-03-15,41797,42828,41314,42345,429830,-0.61
50,2000-03-16,42066,44225,42066,43156,588900,1.92
51,2000-03-17,43676,44751,43140,44121,708260,2.24
52,2000-03-20,44487,45576,43740,45577,724990,3.3
53,2000-03-21,45293,52047,44597,51242,2231620,12.43
54,2000-03-22,52862,54473,51289,54480,2436810,6.32
55,2000-03-23,52898,53872,51765,52268,1562820,-4.06
56,2000-03-24,50690,50690,47984,48010,643370,-8.15
57,2000-03-27,45844,50103,45573,48280,659340,0.56
58,2000-03-28,48258,49025,46485,48600,592190,0.66
59,2000-03-29,45838,49885,45838,48544,535990,-0.12
60,2000-03-30,49398,49442,46652,47304,279960,-2.55
61,2000-03-31,46000,47837,45884,47463,351430,0.34
62,2000-04-03,49070,49398,46383,47144,347030,-0.67
63,2000-04-04,46491,47729,43675,45848,318660,-2.75
64,2000-04-06,45796,45796,43418,43587,225440,-4.93
65,2000-04-07,42104,44108,42104,43310,371300,-0.64
66,2000-04-10,48483,49772,46434,49786,1118230,14.95
67,2000-04-11,50314,50694,44487,45307,1022730,-9.0
68,2000-04-12,45842,45842,43471,43691,373920,-3.57
69,2000-04-14,40500,43948,40500,43156,379580,-1.22
70,2000-04-17,38012,40436,37310,37756,378730,-12.51
71,2000-04-18,41525,41525,37910,39329,523720,4.17
72,2000-04-19,39370,39911,38558,39378,416920,0.12
73,2000-04-20,38557,40341,38395,39156,575490,-0.56
74,2000-04-21,38611,39101,38178,38837,389740,-0.81
75,2000-04-24,38830,39101,37477,38033,307460,-2.07
76,2000-04-25,36727,37804,35651,37817,312460,-0.57
77,2000-04-26,36405,37430,32145,32146,2728110,-15.0
78,2000-04-27,30733,31377,27601,29129,2390680,-9.39
79,2000-04-28,30197,32085,29927,30205,1358470,3.69
80,2000-05-02,27602,30728,27602,30690,853870,1.61
81,2000-05-03,29274,31110,29274,30635,460480,-0.18
82,2000-05-04,30885,32508,30885,31175,500200,1.76
83,2000-05-08,31161,32025,30516,30524,350010,-2.09
84,2000-05-09,30511,30511,29268,29449,227520,-3.52
85,2000-05-10,29764,29925,28952,29449,220050,0.0
86,2000-05-12,29113,29159,28031,28637,337420,-2.76
87,2000-05-15,27765,28512,25123,26697,350840,-6.77
88,2000-05-16,26965,27397,26424,26973,192780,1.03
89,2000-05-17,26698,27284,24488,24540,414930,-9.02
90,2000-05-18,22639,24044,22266,22917,263260,-6.61
91,2000-05-19,22432,25345,21710,24006,420890,4.75
92,2000-05-22,23726,23726,21354,21793,301830,-9.22
93,2000-05-23,21564,22640,21564,22113,330270,1.47
94,2000-05-24,21569,24534,21086,23194,410680,4.89
95,2000-05-25,23720,26659,23636,26665,12334960,14.97
96,2000-05-26,26369,26910,22670,22690,1361330,-14.91
97,2000-05-29,19265,22319,19265,20497,1908040,-9.67
98,2000-05-30,22099,23555,21293,23569,1092840,14.99
99,2000-05-31,24259,27063,22919,26432,2673770,12.15
100,2000-06-01,24794,26895,23795,24325,1044450,-7.97
101,2000-06-02,24862,25564,23889,24521,1258900,0.81
102,2000-06-05,25883,28151,25883,28158,1206650,14.83
103,2000-06-07,28571,32341,28571,32361,1849100,14.93
104,2000-06-08,35105,36554,29710,31335,1971510,-3.17
105,2000-06-09,30198,32086,28581,31501,932330,0.53
106,2000-06-12,29764,33423,29764,32361,1164650,2.73
107,2000-06-13,30192,32248,28091,28859,667710,-10.82
108,2000-06-14,29657,32080,27556,29129,1145070,0.94
109,2000-06-15,29112,29112,25601,25621,588010,-12.04
110,2000-06-16,23830,26962,23830,24540,453620,-4.22
111,2000-06-19,23236,24911,22959,22979,392800,-6.36
112,2000-06-20,23192,24179,22696,23729,355970,3.26
113,2000-06-21,23825,25179,23825,24110,383510,1.61
114,2000-06-22,25244,26263,24593,25006,547720,3.72
115,2000-06-23,25794,25872,24983,25351,269050,1.38
