,Date,Open,High,Low,Close,Volume,Change
0,2000-01-04,56900,65000,56900,65000,70,14.44
1,2000-01-05,0,0,0,65000,0,0.0
2,2000-01-06,0,0,0,65000,0,0.0
3,2000-01-07,65000,65000,65000,65000,30,0.0
4,2000-01-10,56000,56000,55300,55500,100,-14.62
5,2000-01-11,55500,60000,55500,60000,40,8.11
6,2000-01-12,60000,62000,51500,62000,30,3.33
7,2000-01-13,0,0,0,61000,0,-1.61
8,2000-01-14,55000,55000,52200,52200,130,-14.43
9,2000-01-17,45000,58000,45000,47300,120,-9.39
10,2000-01-18,45000,45000,44000,44000,20,-6.98
11,2000-01-19,39100,50000,39000,50000,190,13.64
12,2000-01-20,50000,50000,50000,50000,50,0.0
13,2000-01-21,0,0,0,50000,0,0.0
14,2000-01-24,45000,47000,45000,47000,110,-6.0
15,2000-01-25,0,0,0,47000,0,0.0
16,2000-01-26,50000,50000,50000,50000,80,6.38
17,2000-01-27,55000,57500,50300,57500,340,15.0
18,2000-01-28,61000,66100,61000,66100,190,14.96
19,2000-01-31,76000,76000,66100,76000,910,14.98
20,2000-02-01,64600,78000,64600,64800,500,-14.74
21,2000-02-02,58000,58100,58000,58100,190,-10.34
22,2000-02-03,58000,66800,57800,66500,330,14.46
23,2000-02-07,70000,70000,67900,67900,80,2.11
24,2000-02-08,78000,78000,60500,70000,250,3.09
25,2000-02-09,65000,66000,61000,61500,230,-12.14
26,2000-02-10,66000,66000,62000,62000,290,0.81
27,2000-02-11,56700,57100,56700,57000,70,-8.06
28,2000-02-14,55000,65500,55000,65000,310,14.04
29,2000-02-15,57100,57700,56000,56000,70,-13.85
30,2000-02-16,63800,63800,50000,59000,120,5.36
31,2000-02-17,58200,58200,58200,58200,20,-1.36
32,2000-02-18,54500,54500,49700,54400,160,-6.53
33,2000-02-21,59000,59000,59000,59000,10,8.46
34,2000-02-22,55100,55100,51600,51600,80,-12.54
35,2000-02-23,51000,57000,50000,57000,40,10.47
36,2000-02-24,57000,57000,57000,57000,10,0.0
37,2000-02-25,54000,55000,48500,48500,440,-14.91
38,2000-02-28,47500,47500,43700,46900,70,-3.3
39,2000-02-29,51000,51000,42800,43650,100,-6.93
40,2000-03-02,44000,45800,43900,44200,220,1.26
41,2000-03-03,45100,47800,45000,47800,90,8.14
42,2000-03-06,47000,47000,43900,44900,120,-6.07
43,2000-03-07,47800,51600,45700,51500,160,14.7
44,2000-03-08,46000,53900,44500,53900,260,4.66
45,2000-03-09,0,0,0,53900,0,0.0
46,2000-03-10,57500,57500,57000,57000,60,5.75
47,2000-03-13,53100,53100,49000,49000,120,-14.04
48,2000-03-14,51900,56300,51900,56300,360,14.9
49,2000-03-15,53100,64700,52100,64700,750,14.92
50,2000-03-16,74300,74400,74300,74400,520,14.99
51,2000-03-17,85400,85400,63300,72000,650,-3.23
52,2000-03-20,72000,82800,65100,82800,790,15.0
53,2000-03-21,85000,94900,71600,91500,720,10.51
54,2000-03-22,0,0,0,91500,0,0.0
55,2000-03-23,0,0,0,91500,0,0.0
56,2000-03-24,0,0,0,91500,0,0.0
57,2000-03-27,78100,83000,77800,77800,1020,-14.97
