,Date,Open,High,Low,Close,Volume,Change
0,2000-01-04,2805,3200,2805,3020,24530,-8.48
1,2000-01-05,3470,3470,3050,3060,37970,1.32
2,2000-01-06,3100,3130,2900,3000,31600,-1.96
3,2000-01-07,2915,2915,2700,2800,36800,-6.67
4,2000-01-10,2900,2920,2750,2810,47330,0.36
5,2000-01-11,2850,2895,2800,2850,29180,1.42
6,2000-01-12,2950,3200,2800,3000,65550,5.26
7,2000-01-13,3100,3100,2855,2960,26910,-1.33
8,2000-01-14,2960,3300,2920,3215,104220,8.61
9,2000-01-17,3380,3695,3300,3470,299150,7.93
10,2000-01-18,3410,3450,3060,3305,137680,-4.76
11,2000-01-19,3250,3790,3205,3210,377210,-2.87
12,2000-01-20,3290,3350,2870,2950,133060,-8.1
13,2000-01-21,3140,3210,2970,3000,172070,1.69
14,2000-01-24,3200,3450,3155,3450,127260,15.0
15,2000-01-25,3560,3945,3350,3540,1063150,2.61
16,2000-01-26,3660,3790,3350,3450,313880,-2.54
17,2000-01-27,3410,3640,3360,3455,240360,0.14
18,2000-01-28,3550,3700,3490,3500,263010,1.3
19,2000-01-31,3500,3650,3300,3530,224890,0.86
20,2000-02-01,3560,3790,3400,3600,344400,1.98
21,2000-02-02,3710,3950,3650,3730,372480,3.61
22,2000-02-03,3690,3700,3450,3480,163340,-6.7
23,2000-02-07,3410,3550,3410,3460,102120,-0.57
24,2000-02-08,3380,3580,3380,3490,95340,0.87
25,2000-02-09,3500,3570,3225,3260,178480,-6.59
26,2000-02-10,3400,3400,3000,3060,96530,-6.13
27,2000-02-11,3110,3150,2950,3100,82650,1.31
28,2000-02-14,2990,3130,2800,2800,54700,-9.68
29,2000-02-15,2530,2750,2530,2620,51340,-6.43
30,2000-02-16,2620,2700,2500,2630,59150,0.38
31,2000-02-17,2650,2690,2300,2520,52260,-4.18
32,2000-02-18,2520,2590,2450,2505,42720,-0.6
33,2000-02-21,2310,2450,2300,2300,74710,-8.18
34,2000-02-22,2300,2580,2300,2460,68670,6.96
35,2000-02-23,2500,2825,2490,2660,106950,8.13
36,2000-02-24,2610,2650,2460,2460,41690,-7.52
37,2000-02-25,2440,2680,2390,2510,86060,2.03
38,2000-02-28,2580,2800,2500,2770,142520,10.36
39,2000-02-29,2850,2900,2670,2730,89080,-1.44
40,2000-03-02,2800,3135,2735,3135,266060,14.84
41,2000-03-03,3300,3420,2920,2920,188040,-6.86
42,2000-03-06,3010,3350,3000,3250,126610,11.3
43,2000-03-07,3150,3390,3005,3055,63030,-6.0
44,2000-03-08,2920,3140,2820,2990,69240,-2.13
45,2000-03-09,3000,3280,3000,3150,109010,5.35
46,2000-03-10,3290,3290,3150,3275,84130,3.97
47,2000-03-13,3290,3700,3290,3630,203490,10.84
48,2000-03-14,3690,3700,3215,3400,121450,-6.34
49,2000-03-15,3250,3390,3050,3350,130250,-1.47
50,2000-03-16,3450,3450,3195,3355,92890,0.15
51,2000-03-17,3345,3345,3020,3050,58800,-9.09
52,2000-03-20,3100,3230,3020,3100,67080,1.64
53,2000-03-21,3100,3100,2940,2970,50300,-4.19
54,2000-03-22,2910,3100,2910,2995,34160,0.84
55,2000-03-23,3090,3440,3000,3150,182890,5.18
56,2000-03-24,3450,3620,3300,3620,414980,14.92
57,2000-03-27,3810,4160,3410,3410,639470,-5.8
58,2000-03-28,3510,3800,3420,3500,227380,2.64
59,2000-03-29,3450,3630,3250,3255,129460,-7.0
60,2000-03-30,3150,3320,3130,3200,74720,-1.69
61,2000-03-31,3060,3450,3060,3330,96640,4.06
62,2000-04-03,3330,3380,3010,3020,84200,-9.31
63,2000-04-04,3020,3100,2810,2900,91800,-3.97
64,2000-04-06,2810,2995,2740,2740,80490,-5.52
65,2000-04-07,2660,2860,2660,2750,86940,0.36
66,2000-04-10,2850,3015,2760,2870,80500,4.36
67,2000-04-11,2995,2995,2750,2795,58470,-2.61
68,2000-04-12,2795,2800,2670,2740,41270,-1.97
69,2000-04-14,2730,2795,2640,2640,45970,-3.65
70,2000-04-17,2315,2500,2310,2400,68110,-9.09
71,2000-04-18,2510,2590,2455,2510,42640,4.58
72,2000-04-19,2550,2750,2550,2580,54700,2.79
73,2000-04-20,2530,2680,2500,2590,50060,0.39
74,2000-04-21,2610,2700,2610,2630,26630,1.54
75,2000-04-24,2570,2725,2570,2650,37620,0.76
76,2000-04-25,2630,2690,2600,2630,21900,-0.75
77,2000-04-26,2660,2725,2500,2500,62990,-4.94
78,2000-04-27,2500,2570,2370,2500,32900,0.0
79,2000-04-28,2500,2710,2495,2550,55970,2.0
80,2000-05-02,2550,2620,2550,2580,37140,1.18
81,2000-05-03,2620,2620,2560,2580,18530,0.0
82,2000-05-04,2515,2615,2515,2540,21920,-1.55
83,2000-05-08,2540,2690,2520,2650,45920,4.33
84,2000-05-09,2690,2870,2660,2810,110020,6.04
85,2000-05-10,2730,2810,2720,2730,34350,-2.85
86,2000-05-12,2600,2690,2600,2690,21210,-1.47
87,2000-05-15,2690,2720,2415,2450,32090,-8.92
88,2000-05-16,2400,2700,2400,2695,32560,10.0
89,2000-05-17,2590,2640,2320,2390,21230,-11.32
90,2000-05-18,2300,2300,2040,2175,23500,-9.0
91,2000-05-19,2100,2200,2100,2180,22200,0.23
92,2000-05-22,2100,2150,1950,1950,22990,-10.55
93,2000-05-23,1850,2000,1800,1860,17220,-4.62
94,2000-05-24,1980,2030,1850,1950,41370,4.84
95,2000-05-25,1910,2190,1910,2190,25020,12.31
96,2000-05-26,2190,2190,1865,1900,22040,-13.24
97,2000-05-29,1840,2185,1750,2000,19770,5.26
98,2000-05-30,2005,2180,2000,2080,28950,4.0
99,2000-05-31,2080,2330,2080,2200,48240,5.77
100,2000-06-01,2210,2210,2100,2185,42600,-0.68
101,2000-06-02,2190,2240,2130,2215,60500,1.37
102,2000-06-05,2250,2470,2220,2350,92940,6.09
103,2000-06-07,2295,2440,2270,2350,77470,0.0
104,2000-06-08,2445,2445,2200,2270,55670,-3.4
105,2000-06-09,2180,2290,2100,2150,52600,-5.29
106,2000-06-12,2105,2230,2085,2085,33830,-3.02
107,2000-06-13,2050,2100,2000,2005,37760,-3.84
108,2000-06-14,1930,2120,1930,2120,35130,5.74
109,2000-06-15,2120,2120,1930,2000,27700,-5.66
110,2000-06-16,2000,2050,1935,2050,17840,2.5
111,2000-06-19,2000,2095,1955,1960,19390,-4.39
112,2000-06-20,1960,2000,1885,1945,38290,-0.77
113,2000-06-21,1975,2085,1920,2000,65310,2.83
114,2000-06-22,2005,2040,1955,1970,27060,-1.5
115,2000-06-23,2080,2265,2010,2265,94090,14.97
116,2000-06-26,2600,2600,2450,2600,77220,14.79
117,2000-06-27,2890,2950,2450,2720,524600,4.62
118,2000-06-28,2660,2700,2500,2525,140790,-7.17
119,2000-06-29,2500,2560,2360,2360,87490,-6.53
120,2000-06-30,2360,2710,2340,2600,181470,10.17
121,2000-07-03,2690,2940,2620,2940,190770,13.08
122,2000-07-04,3200,3300,2960,2980,343330,1.36
123,2000-07-05,3030,3050,2805,3020,142030,1.34
124,2000-07-06,3100,3100,2870,2970,142800,-1.66
125,2000-07-07,3050,3250,2900,3250,197250,9.43
126,2000-07-10,3250,3480,3150,3350,119550,3.08
127,2000-07-11,3230,3340,3100,3260,66620,-2.69
128,2000-07-12,3155,3745,3155,3300,156340,1.23
129,2000-07-13,3275,3275,3090,3090,45370,-6.36
130,2000-07-14,3090,3100,2920,3040,60260,-1.62
131,2000-07-18,2960,3020,2910,2950,27850,-2.96
132,2000-07-19,2910,2930,2850,2930,65670,-0.68
133,2000-07-20,2870,3100,2830,2900,41730,-1.02
134,2000-07-21,2870,2935,2870,2875,19350,-0.86
135,2000-07-24,2875,2895,2690,2690,19610,-6.43
136,2000-07-25,2500,2740,2500,2720,25330,1.12
137,2000-07-26,2760,2790,2670,2770,19760,1.84
138,2000-07-27,2670,2825,2670,2765,16810,-0.18
139,2000-07-28,2800,2800,2605,2765,12430,0.0
140,2000-07-31,2780,2800,2630,2800,12440,1.27
141,2000-08-01,2800,2800,2700,2790,14580,-0.36
142,2000-08-02,2760,2850,2700,2790,6130,0.0
143,2000-08-03,2790,2990,2790,2840,23590,1.79
144,2000-08-04,2870,2870,2630,2770,15670,-2.46
145,2000-08-07,2770,2770,2585,2585,18130,-6.68
146,2000-08-08,2660,2850,2610,2620,14240,1.35
147,2000-08-09,2690,2700,2610,2690,18530,2.67
148,2000-08-10,2610,2730,2610,2700,27100,0.37
149,2000-08-11,2620,2940,2620,2940,233230,8.89
150,2000-08-14,3090,3300,2800,2950,570810,0.34
151,2000-08-16,3110,3110,2850,2850,85680,-3.39
152,2000-08-17,2950,2990,2750,2750,97690,-3.51
153,2000-08-18,2755,2850,2720,2825,66620,2.73
154,2000-08-21,2870,3060,2760,2980,232440,5.49
155,2000-08-22,3050,3050,2865,3000,188910,0.67
156,2000-08-23,3000,3050,2900,2925,80860,-2.5
157,2000-08-24,2830,3250,2830,3105,238080,6.15
158,2000-08-25,3010,3195,3010,3050,136190,-1.77
159,2000-08-28,3070,3160,2920,2955,80930,-3.11
160,2000-08-29,3030,3070,2925,3040,63420,2.88
161,2000-08-30,3010,3470,2970,3050,482180,0.33
162,2000-08-31,3070,3140,2890,2995,135310,-1.8
163,2000-09-01,3015,3040,2900,3015,69030,0.67
164,2000-09-04,3020,3220,3020,3180,159960,5.47
165,2000-09-05,3250,3280,3080,3200,71330,0.63
166,2000-09-06,3230,3300,3130,3150,85990,-1.56
167,2000-09-07,3200,3480,3150,3250,209460,3.17
168,2000-09-08,3330,3650,3185,3450,415770,6.15
169,2000-09-14,3500,3930,3230,3305,610600,-4.2
170,2000-09-15,3400,3530,3280,3360,254760,1.66
171,2000-09-18,3350,3350,2860,2860,156480,-14.88
172,2000-09-19,2790,3000,2720,2900,131780,1.4
173,2000-09-20,2900,3140,2900,3045,169040,5.0
174,2000-09-21,3055,3120,2875,3000,130950,-1.48
175,2000-09-22,3000,3030,2705,2750,131370,-8.33
176,2000-09-25,2840,2900,2770,2850,104870,3.64
177,2000-09-26,2820,2945,2820,2900,59530,1.75
178,2000-09-27,2940,3080,2905,2970,145090,2.41
179,2000-09-28,2965,2980,2875,2920,57760,-1.68
180,2000-09-29,3100,3190,3050,3100,300160,6.16
181,2000-10-02,3190,3240,3005,3040,149890,-1.94
182,2000-10-04,2980,3140,2980,3060,85090,0.66
183,2000-10-05,3100,3120,2960,3000,68870,-1.96
184,2000-10-06,2920,3000,2900,2900,75160,-3.33
185,2000-10-09,2830,2960,2830,2830,60360,-2.41
186,2000-10-10,2810,2870,2750,2790,54350,-1.41
187,2000-10-11,2790,2820,2715,2740,36410,-1.79
188,2000-10-12,2710,2860,2700,2705,52930,-1.28
189,2000-10-13,2600,2610,2450,2570,64950,-4.99
190,2000-10-16,2610,2780,2610,2705,59840,5.25
191,2000-10-17,2750,2765,2610,2700,35170,-0.18
192,2000-10-18,3100,3105,2885,2925,405790,8.33
193,2000-10-19,2900,2975,2725,2730,92830,-6.67
194,2000-10-20,2815,2890,2750,2770,103300,1.47
195,2000-10-23,2770,2840,2705,2705,34680,-2.35
196,2000-10-24,2720,2745,2625,2640,61050,-2.4
197,2000-10-25,2660,2695,2565,2575,47870,-2.46
198,2000-10-26,2595,2595,2450,2570,50490,-0.19
199,2000-10-27,2570,2650,2555,2610,32080,1.56
200,2000-10-30,2750,2750,2420,2425,34140,-7.09
201,2000-10-31,2395,2410,2160,2350,46150,-3.09
202,2000-11-01,2440,2640,2210,2615,43930,11.28
203,2000-11-02,2615,2650,2500,2600,42430,-0.57
204,2000-11-03,2650,2690,2555,2670,28740,2.69
205,2000-11-06,2670,2750,2580,2740,32480,2.62
206,2000-11-07,2650,2740,2630,2670,17450,-2.55
207,2000-11-08,2665,2690,2550,2555,29380,-4.31
208,2000-11-09,2590,2600,2510,2570,23230,0.59
209,2000-11-10,2620,2670,2500,2650,34220,3.11
210,2000-11-13,2650,2650,2520,2520,11690,-4.91
211,2000-11-14,2595,2700,2560,2610,32310,3.57
212,2000-11-15,2580,2650,2565,2565,27360,-1.72
213,2000-11-16,2530,2550,2480,2540,24200,-0.97
214,2000-11-17,2545,2630,2510,2570,31660,1.18
215,2000-11-20,2650,2840,2600,2660,78250,3.5
216,2000-11-21,2750,2750,2530,2700,31180,1.5
217,2000-11-22,2710,2840,2680,2700,95740,0.0
218,2000-11-23,2750,2780,2560,2560,46740,-5.19
219,2000-11-24,2610,2640,2500,2530,39230,-1.17
220,2000-11-27,2530,2690,2515,2550,34260,0.79
221,2000-11-28,2630,2650,2515,2515,48560,-1.37
222,2000-11-29,2460,2520,2400,2420,42170,-3.78
223,2000-11-30,2420,2420,2335,2390,23700,-1.24
224,2000-12-01,2315,2375,2260,2325,23600,-2.72
225,2000-12-04,2330,2395,2300,2300,29780,-1.08
226,2000-12-05,2210,2335,2210,2315,26030,0.65
227,2000-12-06,2390,2395,2255,2300,49710,-0.65
228,2000-12-07,2255,2335,2235,2320,22170,0.87
229,2000-12-08,2360,2385,2260,2345,32020,1.08
230,2000-12-11,2420,2600,2350,2530,45310,7.89
231,2000-12-12,2460,2600,2430,2490,6260,-1.58
232,2000-12-13,2450,2640,2450,2555,39700,2.61
233,2000-12-14,2595,2595,2495,2550,16740,-0.2
234,2000-12-15,2590,2590,2450,2525,27790,-0.98
235,2000-12-18,2535,2535,2460,2535,17210,0.4
236,2000-12-19,2500,2595,2500,2550,30210,0.59
237,2000-12-20,2550,2595,2430,2445,34690,-4.12
