,Date,Open,High,Low,Close,Volume,Change
0,2000-01-04,18150,21650,18150,21450,827220,13.79
1,2000-01-05,20500,20850,18500,19650,515508,-8.39
2,2000-01-06,20500,20800,18500,19000,445542,-3.31
3,2000-01-07,18800,19600,18200,18800,508348,-1.05
4,2000-01-10,19250,19400,18500,19000,502660,1.06
5,2000-01-11,19050,20700,18400,19900,842060,4.74
6,2000-01-12,19150,20300,19050,19400,351180,-2.51
7,2000-01-13,19550,19850,19050,19700,319210,1.55
8,2000-01-14,19800,20000,18800,18800,272570,-4.57
9,2000-01-17,18500,18900,18400,18600,445400,-1.06
10,2000-01-18,18600,19050,18100,18400,423540,-1.08
11,2000-01-19,17800,18200,16100,16200,388880,-11.96
12,2000-01-20,15800,16000,14500,15150,355470,-6.48
13,2000-01-21,14900,16900,14600,15700,671990,3.63
14,2000-01-24,15700,16900,15700,16500,323560,5.1
15,2000-01-25,16000,17500,15900,16200,251760,-1.82
16,2000-01-26,16450,16900,15950,16000,197330,-1.23
17,2000-01-27,15700,17100,15700,16400,315230,2.5
18,2000-01-28,16500,17900,16500,17050,373100,3.96
19,2000-01-31,16500,17500,16500,17050,166690,0.0
20,2000-02-01,17300,18300,16850,17650,388450,3.52
21,2000-02-02,17750,19450,17450,18700,398330,5.95
22,2000-02-03,19100,19200,18350,18550,247530,-0.8
23,2000-02-07,18500,19600,18000,19000,478060,2.43
24,2000-02-08,19200,19200,18300,18600,251240,-2.11
25,2000-02-09,18500,18950,18150,18700,291070,0.54
26,2000-02-10,18700,21200,18400,20000,1397080,6.95
27,2000-02-11,21000,22000,19800,19800,1027890,-1.0
28,2000-02-14,19500,20800,19500,19500,560800,-1.52
29,2000-02-15,20500,20700,17200,18000,298350,-7.69
30,2000-02-16,17600,18200,16500,17300,283910,-3.89
31,2000-02-17,16750,18900,16750,18450,302330,6.65
32,2000-02-18,18900,19900,18500,19300,454940,4.61
33,2000-02-21,19000,19000,18000,18200,231080,-5.7
34,2000-02-22,18200,19300,17500,19100,392780,4.95
35,2000-02-23,19600,20450,19150,19700,456510,3.14
36,2000-02-24,19600,20150,18950,19700,340080,0.0
37,2000-02-25,19450,20700,19000,20250,448830,2.79
38,2000-02-28,19800,23250,19500,23250,1223640,14.81
39,2000-02-29,24250,24900,22300,22400,1745170,-3.66
40,2000-03-02,23000,23850,21800,23000,967220,2.68
