,Date,Open,High,Low,Close,Volume,Change
0,2000-01-04,651,740,651,726,18040,-2.02
1,2000-01-05,766,766,663,716,14070,-1.38
2,2000-01-06,677,711,676,708,1670,-1.12
3,2000-01-07,693,725,693,716,7280,1.13
4,2000-01-10,716,716,675,708,11790,-1.12
5,2000-01-11,725,725,678,716,520,1.13
6,2000-01-12,679,689,675,690,1110,-3.63
7,2000-01-13,634,682,618,674,1820,-2.32
8,2000-01-14,652,688,603,684,15250,1.48
9,2000-01-17,650,650,602,641,17060,-6.29
10,2000-01-18,636,650,569,651,14540,1.56
11,2000-01-19,647,647,594,641,2040,-1.54
12,2000-01-20,604,604,604,605,0,-5.62
13,2000-01-21,585,676,585,677,3400,11.9
14,2000-01-24,604,669,604,643,3780,-5.02
15,2000-01-25,644,660,580,623,16400,-3.11
16,2000-01-26,577,608,553,599,25700,-3.85
17,2000-01-27,610,670,590,669,11540,11.69
18,2000-01-28,689,691,610,658,4920,-1.64
19,2000-01-31,646,663,646,659,2860,0.15
20,2000-02-01,660,701,613,643,6210,-2.43
21,2000-02-02,670,670,602,668,19930,3.89
22,2000-02-03,667,675,607,651,7530,-2.54
23,2000-02-07,652,669,628,668,23450,2.61
24,2000-02-08,621,648,619,647,8650,-3.14
25,2000-02-09,709,709,619,647,1730,0.0
26,2000-02-10,642,642,602,622,2470,-3.86
27,2000-02-11,624,643,562,627,20690,0.8
28,2000-02-14,612,612,584,605,5890,-3.51
29,2000-02-15,590,590,533,585,11980,-3.31
30,2000-02-16,589,589,539,580,3450,-0.85
31,2000-02-17,576,585,531,582,19500,0.34
32,2000-02-18,569,585,569,586,7060,0.69
33,2000-02-21,594,655,594,656,58940,11.95
34,2000-02-22,650,734,602,727,45970,10.82
35,2000-02-23,727,727,640,678,27740,-6.74
36,2000-02-24,602,703,602,691,45680,1.92
37,2000-02-25,701,750,676,716,71430,3.62
38,2000-02-28,716,801,716,801,72410,11.87
39,2000-02-29,894,894,825,895,189420,11.74
40,2000-03-02,1000,1000,935,1001,140950,11.84
41,2000-03-03,1120,1120,1002,1119,185340,11.79
42,2000-03-06,1246,1255,1148,1253,325110,11.97
43,2000-03-07,1262,1262,1108,1107,105820,-11.65
44,2000-03-08,976,1139,976,1058,240920,-4.43
45,2000-03-09,1139,1183,1139,1184,192550,11.91
46,2000-03-10,1303,1319,1067,1176,155570,-0.68
47,2000-03-13,1180,1293,1037,1188,219460,1.02
48,2000-03-14,1187,1327,1102,1310,264650,10.27
49,2000-03-15,1309,1464,1309,1465,332860,11.83
50,2000-03-16,1620,1620,1290,1383,431430,-5.6
51,2000-03-17,1232,1382,1220,1220,116820,-11.79
52,2000-03-20,1082,1082,1073,1074,12560,-11.97
53,2000-03-21,947,947,947,948,3040,-11.73
54,2000-03-22,847,1059,843,1029,301950,8.54
55,2000-03-23,972,1057,935,1041,158400,1.17
56,2000-03-24,1089,1089,968,1001,59140,-3.84
57,2000-03-27,968,1082,919,1058,145440,5.69
58,2000-03-28,978,1100,978,1066,115070,0.76
59,2000-03-29,1123,1139,984,1115,67990,4.6
60,2000-03-30,1018,1116,1002,1050,53360,-5.83
61,2000-03-31,1009,1171,1009,1172,367790,11.62
62,2000-04-03,1301,1309,1273,1310,278740,11.77
63,2000-04-04,1319,1319,1157,1156,88240,-11.76
64,2000-04-06,1016,1098,1016,1025,378710,-11.33
65,2000-04-07,1057,1146,1057,1131,233730,10.34
66,2000-04-10,1059,1221,1059,1196,366880,5.75
67,2000-04-11,1187,1212,1053,1131,170790,-5.43
68,2000-04-12,1132,1267,1100,1265,413030,11.85
69,2000-04-14,1417,1417,1303,1416,517850,11.94
70,2000-04-17,1250,1491,1250,1249,904310,-11.79
71,2000-04-18,1262,1397,1189,1396,655440,11.77
72,2000-04-19,1564,1564,1564,1563,208140,11.96
73,2000-04-20,1751,1751,1644,1750,537060,11.96
74,2000-04-21,1956,1956,1542,1806,2212380,3.2
75,2000-04-24,1726,1954,1710,1750,758660,-3.1
