,Date,Open,High,Low,Close,Volume,Change
0,2000-01-04,6730,8700,6730,8500,840,7.59
1,2000-01-05,9000,9000,8260,8350,5440,-1.76
2,2000-01-06,8360,8900,7610,8000,4060,-4.19
3,2000-01-07,8060,8500,7250,7500,1920,-6.25
4,2000-01-10,7150,7800,7150,7200,5430,-4.0
5,2000-01-11,7030,7480,6500,6940,3390,-3.61
6,2000-01-12,6750,7500,6750,6770,3900,-2.45
7,2000-01-13,6700,7780,6300,7700,11290,13.74
8,2000-01-14,7600,8850,7600,8850,25190,14.94
9,2000-01-17,9500,10000,7800,7820,23770,-11.64
10,2000-01-18,7800,8900,7110,8900,21140,13.81
11,2000-01-19,8890,9500,7650,7650,12500,-14.04
12,2000-01-20,6710,8350,6710,7000,9770,-8.5
13,2000-01-21,6320,7340,6320,7230,8720,3.29
14,2000-01-24,6400,7450,6400,6500,8670,-10.1
15,2000-01-25,6030,6300,5550,5810,10200,-10.62
16,2000-01-26,5420,5990,5200,5200,10720,-10.5
17,2000-01-27,5350,5980,5350,5980,11380,15.0
18,2000-01-28,6870,6870,6870,6870,7970,14.88
19,2000-01-31,7900,7900,7000,7900,29380,14.99
20,2000-02-01,7900,8490,6800,7000,19080,-11.39
21,2000-02-02,7380,7800,7000,7200,4350,2.86
22,2000-02-03,6700,8280,6330,8280,25830,15.0
23,2000-02-07,8400,8400,7800,7950,12670,-3.99
24,2000-02-08,7800,8100,7300,7300,6500,-8.18
25,2000-02-09,7310,7450,6820,6850,6250,-6.16
26,2000-02-10,6510,7570,6510,6900,5730,0.73
27,2000-02-11,6900,7100,6310,6310,5680,-8.55
28,2000-02-14,6060,7250,6000,7010,13460,11.09
29,2000-02-15,0,0,0,7010,0,0.0
30,2000-02-16,5960,5960,5960,5960,10,-14.98
31,2000-02-17,5070,5070,5070,5070,1200,-14.93
32,2000-02-18,4310,4310,4310,4310,50,-14.99
33,2000-02-21,3665,3665,3665,3665,70,-14.97
34,2000-02-22,0,0,0,3120,0,-14.87
35,2000-02-23,2655,2655,2655,2655,500,-14.9
36,2000-02-24,2260,2310,2260,2310,63850,-12.99
37,2000-02-25,2020,2055,1965,1965,17110,-14.94
38,2000-02-28,1675,2100,1675,1675,26700,-14.76
39,2000-02-29,1765,1925,1765,1925,14670,14.93
40,2000-03-02,1745,2210,1745,1950,14540,1.3
41,2000-03-03,1950,1960,1700,1700,11340,-12.82
42,2000-03-06,1715,1800,1700,1710,4220,0.59
43,2000-03-07,1750,1950,1750,1870,6410,9.36
44,2000-03-08,1870,1940,1590,1940,16430,3.74
45,2000-03-09,1735,1805,1735,1770,4390,-8.76
46,2000-03-10,1900,1900,1700,1800,7380,1.69
47,2000-03-13,1750,2070,1750,2070,9010,15.0
48,2000-03-14,2260,2380,2260,2380,15150,14.98
49,2000-03-15,2735,2735,2735,2735,1770,14.92
50,2000-03-16,3145,3145,3145,3145,4360,14.99
51,2000-03-17,3615,3615,2675,2675,22490,-14.94
52,2000-03-20,2300,2500,2275,2500,10980,-6.54
53,2000-03-21,2125,2670,2125,2635,8150,5.4
54,2000-03-22,2240,2700,2240,2700,9480,2.47
55,2000-03-23,2550,2550,2295,2295,8300,-15.0
56,2000-03-24,2090,2290,2090,2160,3520,-5.88
57,2000-03-27,2160,2390,2160,2200,4980,1.85
58,2000-03-28,2230,2230,2080,2080,2630,-5.45
59,2000-03-29,2080,2390,2000,2390,8620,14.9
60,2000-03-30,2745,2745,2450,2730,14910,14.23
