,Date,Open,High,Low,Close,Volume,Change
0,2000-01-04,8200,9200,8200,9000,35330,1.12
1,2000-01-05,8500,9100,8320,8700,33800,-3.33
2,2000-01-06,9110,9110,7400,7400,122790,-14.94
3,2000-01-07,7680,7740,6800,7090,122920,-4.19
4,2000-01-10,7150,7900,7000,7210,107390,1.69
5,2000-01-11,7110,7320,6910,6950,96930,-3.61
6,2000-01-12,6920,7800,6920,7400,133080,6.47
7,2000-01-13,7490,7950,7250,7300,69480,-1.35
8,2000-01-14,7400,8390,7300,7800,141900,6.85
9,2000-01-17,8010,8400,7850,8030,108230,2.95
10,2000-01-18,8100,8100,7410,7700,77500,-4.11
11,2000-01-19,7990,8780,7700,8150,246950,5.84
12,2000-01-20,8200,8200,7050,7050,123270,-13.5
13,2000-01-21,7100,7750,7050,7150,98620,1.42
14,2000-01-24,6950,7350,6950,7100,66480,-0.7
15,2000-01-25,7100,7240,6600,6600,68180,-7.04
16,2000-01-26,6760,7300,6700,6990,134160,5.91
17,2000-01-27,7110,7940,7110,7400,166630,5.87
18,2000-01-28,7500,7650,7020,7100,80270,-4.05
19,2000-01-31,7200,7350,7010,7100,64690,0.0
20,2000-02-01,7310,7580,7100,7450,107630,4.93
21,2000-02-02,8000,8560,7760,8560,218860,14.9
22,2000-02-03,8810,9200,8200,8500,396570,-0.7
23,2000-02-07,8410,8990,8300,8700,143460,2.35
24,2000-02-08,8610,8650,8160,8350,116130,-4.02
25,2000-02-09,7830,8450,7710,7850,87670,-5.99
26,2000-02-10,7560,7850,7180,7400,97010,-5.73
27,2000-02-11,7130,7400,6900,7000,107360,-5.41
28,2000-02-14,6700,7000,6500,6500,73520,-7.14
29,2000-02-15,6310,6890,6310,6500,56310,0.0
30,2000-02-16,6510,6700,6310,6310,48100,-2.92
31,2000-02-17,6320,6440,6100,6240,62710,-1.11
32,2000-02-18,6020,6350,6020,6080,90340,-2.56
33,2000-02-21,6200,6200,5400,5400,57200,-11.18
34,2000-02-22,5210,5740,5020,5190,82630,-3.89
35,2000-02-23,5230,5960,5230,5960,96170,14.84
36,2000-02-24,6200,6780,5820,5900,138640,-1.01
37,2000-02-25,5810,6780,5600,6780,152820,14.92
38,2000-02-28,6880,7480,6700,6950,210530,2.51
39,2000-02-29,7010,7300,6510,6550,85870,-5.76
40,2000-03-02,6550,6880,6250,6550,88810,0.0
41,2000-03-03,6610,6610,6200,6200,81960,-5.34
42,2000-03-06,6500,7130,6310,7130,101570,15.0
43,2000-03-07,8100,8190,7030,8190,223590,14.87
44,2000-03-08,7600,8400,7420,7950,123380,-2.93
45,2000-03-09,7800,8500,7700,7950,131700,0.0
46,2000-03-10,8140,9000,7710,8900,251780,11.95
47,2000-03-13,9190,10200,9000,10200,418590,14.61
48,2000-03-14,10300,10950,8700,8870,291630,-13.04
49,2000-03-15,8860,8900,8100,8340,177660,-5.98
50,2000-03-16,8410,8700,7500,7500,123600,-10.07
51,2000-03-17,7600,7790,6820,7000,125070,-6.67
