,Date,Open,High,Low,Close,Volume,Change
0,2003-01-07,4000,4600,4000,4600,4236,15.0
1,2003-01-08,5290,5290,5290,5290,9419,15.0
2,2003-01-09,6080,6080,6080,6080,209,14.93
3,2003-01-10,6990,6990,6990,6990,849,14.97
4,2003-01-13,8030,8030,6380,6500,48549,-7.01
5,2003-01-14,6690,7010,5880,6200,18387,-4.62
6,2003-01-15,6200,6580,5550,6000,5570,-3.23
7,2003-01-16,6900,6900,6900,6900,47060,15.0
8,2003-01-17,7690,7690,6060,6100,89135,-11.59
9,2003-01-20,5400,5510,5190,5190,32660,-14.92
10,2003-01-21,4815,5960,4600,5800,49600,11.75
11,2003-01-22,5250,5950,4930,4930,25390,-15.0
12,2003-01-23,4360,4845,4215,4215,15865,-14.5
13,2003-01-24,4105,4370,3585,3585,15115,-14.95
14,2003-01-27,3310,3430,3050,3050,16240,-14.92
15,2003-01-28,2815,3290,2815,3010,6000,-1.31
16,2003-01-29,3045,3140,2815,3075,7930,2.16
17,2003-01-30,2920,3200,2920,3100,5710,0.81
18,2003-02-03,3020,3220,2920,3110,3650,0.32
19,2003-02-04,3035,3120,2955,2990,13060,-3.86
20,2003-02-05,2925,3030,2900,3000,3900,0.33
21,2003-02-06,2930,3070,2855,3035,8460,1.17
22,2003-02-07,2990,2990,2870,2875,1660,-5.27
23,2003-02-10,2890,3305,2725,2940,11090,2.26
24,2003-02-11,2620,3030,2570,2665,13600,-9.35
25,2003-02-12,2635,2830,2565,2620,5590,-1.69
26,2003-02-13,2515,2785,2430,2550,10369,-2.67
27,2003-02-14,2485,2540,2450,2460,4310,-3.53
28,2003-02-17,2470,2550,2450,2540,4700,3.25
29,2003-02-18,2500,2695,2470,2470,2491,-2.76
30,2003-02-19,2480,2590,2480,2480,1900,0.4
31,2003-02-20,2445,2620,2445,2500,1000,0.81
32,2003-02-21,2450,2450,2370,2420,2260,-3.2
33,2003-02-24,2470,2600,2440,2500,1549,3.31
34,2003-02-25,2545,2545,2405,2405,1020,-3.8
35,2003-02-26,2405,2410,2310,2400,1120,-0.21
36,2003-02-27,2365,2395,2220,2275,1260,-5.21
37,2003-02-28,2250,2400,2250,2400,1370,5.49
38,2003-03-03,2460,2460,2305,2410,510,0.42
39,2003-03-04,2400,2400,2210,2210,3410,-8.3
40,2003-03-05,2190,2200,2085,2085,1480,-5.66
41,2003-03-06,2110,2110,2110,2110,50,1.2
42,2003-03-07,2080,2095,2010,2050,400,-2.84
43,2003-03-10,2090,2100,2090,2100,50,2.44
44,2003-03-11,1975,2085,1975,2085,2700,-0.71
45,2003-03-12,2090,2090,1900,1945,1690,-6.71
46,2003-03-13,1890,2065,1890,1980,1140,1.8
47,2003-03-14,1980,2030,1915,2020,1840,2.02
48,2003-03-17,1905,1950,1790,1880,840,-6.93
49,2003-03-18,1765,1925,1765,1895,970,0.8
50,2003-03-19,1900,1995,1900,1995,360,5.28
51,2003-03-20,2050,2050,1705,1775,2744,-11.03
52,2003-03-21,1825,2040,1755,1810,3420,1.97
53,2003-03-24,1850,1945,1840,1900,750,4.97
54,2003-03-25,1760,1900,1760,1850,1190,-2.63
55,2003-03-26,1755,1845,1670,1710,4430,-7.57
56,2003-03-27,1810,1810,1625,1700,1011,-0.58
57,2003-03-28,1790,1790,1790,1790,70,5.29
58,2003-03-31,1745,1830,1700,1830,140,2.23
59,2003-04-01,1830,1830,1825,1825,350,-0.27
60,2003-04-02,1800,1800,1730,1730,540,-5.21
61,2003-04-03,1725,1820,1700,1800,320,4.05
62,2003-04-04,1845,1860,1760,1760,400,-2.22
63,2003-04-07,1850,1900,1760,1870,26740,6.25
64,2003-04-08,1870,1900,1760,1780,6590,-4.81
65,2003-04-09,1800,1800,1695,1695,1479,-4.78
66,2003-04-10,1700,1785,1700,1785,5500,5.31
67,2003-04-11,1715,1860,1715,1860,2350,4.2
68,2003-04-14,1875,1875,1780,1875,2090,0.81
69,2003-04-15,1885,1885,1780,1810,880,-3.47
70,2003-04-16,1880,1890,1815,1890,6186,4.42
71,2003-04-17,1900,1940,1870,1870,3250,-1.06
72,2003-04-18,1870,1975,1860,1970,7740,5.35
73,2003-04-21,1940,1990,1890,1890,760,-4.06
74,2003-04-22,1980,2170,1980,2170,9482,14.81
75,2003-04-23,2260,2495,2260,2495,19904,14.98
76,2003-04-24,2705,2865,2125,2245,53100,-10.02
77,2003-04-25,2015,2300,1910,2095,8750,-6.68
78,2003-04-28,1965,2020,1785,1935,9150,-7.64
79,2003-04-29,1825,1930,1825,1870,1030,-3.36
80,2003-04-30,1835,1980,1810,1810,5300,-3.21
81,2003-05-02,1835,1835,1820,1820,540,0.55
82,2003-05-06,1820,1825,1775,1815,2040,-0.27
83,2003-05-07,1815,1880,1795,1880,4700,3.58
84,2003-05-09,1850,2095,1850,1945,8400,3.46
85,2003-05-12,1980,1980,1815,1980,7670,1.8
86,2003-05-13,2145,2200,1985,2200,22940,11.11
87,2003-05-14,2290,2290,1975,1980,5980,-10.0
88,2003-05-15,1950,2115,1920,2035,4860,2.78
89,2003-05-16,2005,2030,1915,1915,2910,-5.9
90,2003-05-19,1950,1950,1850,1850,1260,-3.39
91,2003-05-20,1900,1980,1805,1980,2270,7.03
92,2003-05-21,1940,2000,1875,1925,1720,-2.78
93,2003-05-22,2050,2140,1955,2030,23120,5.45
94,2003-05-23,1950,2070,1920,2035,8200,0.25
95,2003-05-26,2005,2135,1935,1980,7890,-2.7
96,2003-05-27,1960,2040,1955,1990,7281,0.51
97,2003-05-28,2000,2000,1900,1930,2839,-3.02
98,2003-05-29,1905,1975,1905,1975,1401,2.33
99,2003-05-30,2030,2030,1910,1950,3010,-1.27
100,2003-06-02,2000,2000,1865,1865,1710,-4.36
101,2003-06-03,1985,1990,1870,1985,3640,6.43
102,2003-06-04,2060,2060,1950,2020,550,1.76
103,2003-06-05,2320,2320,1995,2100,5010,3.96
104,2003-06-09,1950,1980,1920,1960,4400,-6.67
105,2003-06-10,1980,2000,1885,1970,2220,0.51
106,2003-06-11,1980,1980,1850,1875,5089,-4.82
107,2003-06-12,1805,1875,1805,1845,1050,-1.6
108,2003-06-13,1930,1930,1860,1860,20,0.81
109,2003-06-16,1830,1925,1820,1910,800,2.69
110,2003-06-17,1930,1945,1830,1945,4320,1.83
111,2003-06-18,1990,1990,1860,1930,3810,-0.77
112,2003-06-19,1850,1925,1845,1850,1400,-4.15
113,2003-06-20,1850,1890,1840,1890,190,2.16
114,2003-06-23,1900,1920,1845,1915,550,1.32
115,2003-06-24,1850,1955,1830,1875,1110,-2.09
116,2003-06-25,1970,1970,1780,1915,1690,2.13
117,2003-06-26,1900,2175,1895,1985,58035,3.66
118,2003-06-27,2035,2035,1880,1945,16295,-2.02
119,2003-06-30,1945,1985,1880,1900,6740,-2.31
120,2003-07-01,1965,2020,1895,1895,5630,-0.26
121,2003-07-02,2000,2145,1900,1940,7900,2.37
122,2003-07-03,1995,1995,1910,1955,3180,0.77
123,2003-07-04,1855,1950,1835,1835,6910,-6.14
124,2003-07-07,1780,1965,1780,1895,1320,3.27
125,2003-07-08,1865,1965,1790,1810,10300,-4.49
126,2003-07-09,1920,1920,1805,1820,910,0.55
127,2003-07-10,1790,1835,1785,1815,1730,-0.27
128,2003-07-11,1865,1865,1800,1855,560,2.2
129,2003-07-14,1800,1800,1700,1750,15430,-5.66
130,2003-07-15,1860,1860,1750,1815,1290,3.71
131,2003-07-16,1790,1895,1680,1810,3060,-0.28
132,2003-07-18,1915,1915,1775,1810,640,0.0
133,2003-07-21,1800,1860,1750,1750,1300,-3.31
134,2003-07-22,1760,1775,1610,1775,3990,1.43
135,2003-07-23,1750,1770,1690,1690,440,-4.79
136,2003-07-24,1665,1805,1665,1805,130,6.8
137,2003-07-25,1840,1845,1750,1835,190,1.66
138,2003-07-28,1880,1880,1655,1835,560,0.0
139,2003-07-29,1855,1895,1750,1895,4700,3.27
140,2003-07-30,1865,1865,1760,1760,661,-7.12
141,2003-07-31,1860,1860,1820,1860,340,5.68
142,2003-08-01,1830,1830,1725,1740,340,-6.45
143,2003-08-04,1740,1820,1715,1820,600,4.6
144,2003-08-05,1795,1820,1690,1780,140,-2.2
145,2003-08-06,1825,1840,1795,1840,1140,3.37
146,2003-08-07,1810,1830,1810,1815,80,-1.36
147,2003-08-08,1840,1840,1840,1840,10,1.38
148,2003-08-11,1760,1885,1760,1885,570,2.45
149,2003-08-12,1710,1855,1710,1730,730,-8.22
150,2003-08-13,1790,1840,1725,1840,780,6.36
151,2003-08-14,1810,1870,1810,1870,2345,1.63
152,2003-08-18,1870,1935,1870,1900,16515,1.6
153,2003-08-19,1870,1940,1620,1730,19461,-8.95
154,2003-08-20,1520,1740,1520,1700,4340,-1.73
155,2003-08-21,1740,1740,1695,1740,50,2.35
156,2003-08-22,1710,1825,1705,1825,320,4.89
157,2003-08-25,1840,1850,1715,1850,1660,1.37
158,2003-08-26,1820,1915,1805,1900,1320,2.7
159,2003-08-27,1945,1945,1750,1875,2130,-1.32
160,2003-08-28,1850,1915,1760,1860,940,-0.8
161,2003-08-29,1830,1875,1820,1825,1340,-1.88
162,2003-09-01,1800,1840,1715,1735,3060,-4.93
163,2003-09-02,1680,1820,1655,1655,2490,-4.61
164,2003-09-03,1700,1800,1660,1800,2660,8.76
165,2003-09-04,1705,1835,1705,1835,927,1.94
166,2003-09-05,1850,1850,1720,1835,1340,0.0
167,2003-09-08,1770,1915,1770,1840,4880,0.27
168,2003-09-09,1895,1895,1700,1715,1660,-6.79
169,2003-09-15,1685,1800,1685,1730,120,0.87
170,2003-09-16,1715,1890,1715,1890,4040,9.25
171,2003-09-17,1860,1880,1810,1880,2630,-0.53
172,2003-09-18,1880,1895,1825,1825,290,-2.93
173,2003-09-19,1755,1820,1750,1750,790,-4.11
174,2003-09-22,1725,1800,1585,1800,2070,2.86
175,2003-09-23,1850,1850,1635,1790,580,-0.56
176,2003-09-24,1825,1825,1770,1820,130,1.68
177,2003-09-25,1770,1800,1770,1800,430,-1.1
178,2003-09-26,1800,1800,1725,1800,700,0.0
179,2003-09-29,1775,1800,1775,1800,690,0.0
180,2003-09-30,1800,1840,1800,1840,390,2.22
181,2003-10-01,1865,1875,1710,1870,1510,1.63
182,2003-10-02,1890,1890,1630,1630,14720,-12.83
183,2003-10-06,1695,1695,1635,1685,2260,3.37
184,2003-10-07,1680,1790,1680,1790,3190,6.23
185,2003-10-08,1800,1815,1770,1810,3800,1.12
186,2003-10-09,1825,1955,1720,1955,2960,8.01
187,2003-10-10,1965,2245,1955,2195,4910,12.28
188,2003-10-13,2450,2450,1950,2050,2640,-6.61
189,2003-10-14,2020,2265,1745,1745,39010,-14.88
190,2003-10-15,1780,1780,1715,1745,2690,0.0
191,2003-10-16,1770,1880,1715,1855,4890,6.3
192,2003-10-17,1825,1825,1710,1710,3630,-7.82
193,2003-10-20,1800,1870,1730,1870,10440,9.36
194,2003-10-21,1870,1880,1870,1880,360,0.53
195,2003-10-22,1870,1870,1780,1870,730,-0.53
196,2003-10-23,1850,1870,1800,1870,1930,0.0
197,2003-10-24,1910,1910,1785,1785,210,-4.55
198,2003-10-27,1950,1950,1780,1935,1040,8.4
199,2003-10-28,1940,1940,1940,1940,10,0.26
200,2003-10-29,1750,1945,1750,1800,630,-7.22
201,2003-10-30,1950,1950,1800,1945,2940,8.06
202,2003-10-31,1800,1945,1800,1945,2530,0.0
203,2003-11-03,2235,2235,1765,2000,1310,2.83
204,2003-11-04,1800,2000,1800,1980,18560,-1.0
205,2003-11-05,1850,1985,1850,1975,380,-0.25
206,2003-11-06,1870,1985,1730,1760,16760,-10.89
207,2003-11-07,1855,1855,1815,1820,210,3.41
