,Date,Open,High,Low,Close,Volume,Change
0,2001-06-26,1260,1260,1260,1260,210857,11.5
1,2001-06-27,1410,1410,1410,1410,37781,11.9
2,2001-06-28,1570,1570,1570,1570,104933,11.35
3,2001-06-29,1640,1750,1450,1600,2968842,1.91
4,2001-07-02,1770,1790,1700,1790,737684,11.88
5,2001-07-03,2000,2000,2000,2000,83535,11.73
6,2001-07-04,2240,2240,2040,2240,2140701,12.0
7,2001-07-05,2260,2500,2240,2500,2003410,11.61
8,2001-07-06,2630,2800,2570,2800,1221780,12.0
9,2001-07-09,3130,3130,3000,3130,343351,11.79
10,2001-07-10,3500,3500,3400,3500,296439,11.82
11,2001-07-11,3910,3920,3400,3920,1937867,12.0
12,2001-07-12,4000,4390,4000,4390,296662,11.99
13,2001-07-13,4910,4910,4910,4910,15018,11.85
14,2001-07-16,5490,5490,5490,5490,34924,11.81
15,2001-07-18,4840,4840,4840,4840,173798,-11.84
16,2001-07-19,0,0,0,4840,0,0.0
17,2001-07-20,4260,4260,4260,4260,485,-11.98
18,2001-07-23,3750,3750,3750,3750,880,-11.97
19,2001-07-24,3300,3300,3300,3300,1179,-12.0
20,2001-07-25,2910,2910,2910,2910,20668,-11.82
21,2001-07-26,2900,3250,2900,3250,3184434,11.68
22,2001-07-27,3290,3470,2860,2860,2429712,-12.0
23,2001-07-30,2680,3010,2520,2780,5275799,-2.8
24,2001-07-31,2820,3110,2650,3110,3607946,11.87
25,2001-08-01,3100,3480,2920,2990,4517441,-3.86
26,2001-08-02,2990,3050,2680,2700,1452236,-9.7
27,2001-08-03,2720,3020,2650,2720,3477027,0.74
28,2001-08-06,2700,2800,2640,2680,1121123,-1.47
29,2001-08-07,2620,2720,2410,2490,1013589,-7.09
30,2001-08-08,2450,2510,2270,2280,1201330,-8.43
31,2001-08-09,2350,2440,2270,2280,1269522,0.0
32,2001-08-10,2300,2410,2230,2260,988538,-0.88
33,2001-08-13,2230,2260,2040,2040,758989,-9.73
34,2001-08-14,2020,2220,1920,2050,1604451,0.49
35,2001-08-16,1960,2050,1810,1810,1069154,-11.71
36,2001-08-17,1830,1850,1630,1680,949401,-7.18
37,2001-08-20,1670,1730,1580,1580,760749,-5.95
38,2001-08-21,1600,1760,1500,1760,2095879,11.39
39,2001-08-22,1760,1850,1570,1600,1431841,-9.09
40,2001-08-23,1630,1660,1470,1510,1017999,-5.63
41,2001-08-24,1510,1630,1490,1530,854987,1.32
42,2001-08-27,1540,1560,1450,1460,482240,-4.58
43,2001-08-28,1480,1520,1360,1390,546559,-4.79
44,2001-08-29,1370,1480,1330,1400,982010,0.72
45,2001-08-30,1370,1420,1320,1370,636997,-2.14
46,2001-08-31,1350,1530,1300,1340,1779114,-2.19
47,2001-09-03,1380,1500,1330,1500,1144484,11.94
48,2001-09-04,1550,1630,1430,1440,2507277,-4.0
49,2001-09-05,1470,1510,1400,1440,969339,0.0
50,2001-09-06,1450,1460,1390,1400,687970,-2.78
51,2001-09-07,1400,1550,1380,1410,1570780,0.71
52,2001-09-10,1400,1440,1330,1340,695706,-4.96
53,2001-09-11,1370,1380,1250,1300,501583,-2.99
54,2001-09-12,1150,1150,1150,1150,7884,-11.54
55,2001-09-13,1040,1200,1020,1040,1909064,-9.57
56,2001-09-14,1060,1090,920,920,811816,-11.54
57,2001-09-17,900,920,810,810,157574,-11.96
58,2001-09-18,810,860,800,820,955283,1.23
59,2001-09-19,830,910,800,860,1302724,4.88
60,2001-09-20,860,880,760,760,740789,-11.63
61,2001-09-21,740,850,670,680,1527736,-10.53
62,2001-09-24,650,720,650,680,561074,0.0
63,2001-09-25,710,730,650,680,457967,0.0
64,2001-09-26,700,760,680,760,1432698,11.76
65,2001-09-27,780,820,700,740,881320,-2.63
66,2001-09-28,760,770,720,740,572018,0.0
67,2001-10-04,780,820,760,800,866325,8.11
68,2001-10-05,770,790,730,740,589998,-7.5
69,2001-10-08,710,730,680,700,417726,-5.41
70,2001-10-09,700,760,700,740,507221,5.71
71,2001-10-10,730,820,710,820,955183,10.81
72,2001-10-11,910,910,850,910,190831,10.98
73,2001-10-12,1010,1010,900,1010,1542920,10.99
74,2001-10-15,1030,1130,950,1080,1586079,6.93
75,2001-10-16,1100,1160,1000,1100,1075398,1.85
76,2001-10-17,1100,1130,1050,1050,685150,-4.55
77,2001-10-18,1050,1170,1000,1170,1345933,11.43
78,2001-10-19,1300,1310,1270,1310,213295,11.97
79,2001-10-22,1460,1460,1460,1460,68543,11.45
80,2001-10-23,1420,1500,1320,1320,2032859,-9.59
81,2001-10-24,1320,1470,1230,1470,1611271,11.36
82,2001-10-25,1480,1610,1300,1390,1708342,-5.44
