,Date,Open,High,Low,Close,Volume,Change
0,2000-01-04,3352,3352,3352,3354,0,0.0
1,2000-01-05,3260,3260,3260,3261,300,-2.77
2,2000-01-06,3076,3076,3076,3077,0,-5.64
3,2000-01-07,2708,2892,2708,2893,80,-5.98
4,2000-01-10,2892,2892,2892,2893,0,0.0
5,2000-01-11,3024,3024,2563,2959,17,2.28
6,2000-01-12,3313,3313,3129,3314,101,12.0
7,2000-01-13,2918,2918,2918,2920,50,-11.89
8,2000-01-14,3221,3221,3221,3222,751,10.34
9,2000-01-17,3287,3287,3287,3288,1,2.05
10,2000-01-18,2892,2892,2892,2893,0,-12.01
11,2000-01-19,2550,2761,2550,2762,41,-4.53
12,2000-01-20,2432,2432,2432,2433,0,-11.91
13,2000-01-21,2695,2695,2682,2696,211,10.81
14,2000-01-24,2761,2761,2761,2762,1,2.45
15,2000-01-25,2432,2432,2432,2433,0,-11.91
16,2000-01-26,2143,2432,2143,2433,111,0.0
17,2000-01-27,2143,2721,2143,2723,811,11.92
18,2000-01-28,2399,2958,2399,2959,236,8.67
19,2000-01-31,2603,2603,2603,2604,1,-12.0
20,2000-02-01,2294,2761,2294,2367,1123,-9.1
21,2000-02-02,2083,2616,2083,2091,1778,-11.66
22,2000-02-03,2169,2235,2024,2091,3241,0.0
23,2000-02-07,2090,2235,2090,2170,1949,3.78
24,2000-02-08,1912,2169,1912,2104,778,-3.04
25,2000-02-09,1859,2083,1853,1907,1068,-9.36
26,2000-02-10,1906,2038,1906,2032,2174,6.55
27,2000-02-11,2222,2222,1854,2131,600,4.87
28,2000-02-14,2222,2222,1886,2065,1502,-3.1
29,2000-02-15,1906,1906,1821,1894,569,-8.28
30,2000-02-16,1886,1886,1669,1828,317,-3.48
31,2000-02-17,1841,2044,1617,1946,2996,6.46
32,2000-02-18,1945,2071,1841,1946,2787,0.0
33,2000-02-21,1893,2057,1742,1986,1311,2.06
34,2000-02-22,1984,1984,1840,1966,897,-1.01
35,2000-02-23,1841,1945,1735,1946,304,-1.02
36,2000-02-24,1952,2176,1794,2176,3755,11.82
37,2000-02-25,2182,2432,1972,2433,3726,11.81
38,2000-02-28,2721,2721,2721,2723,1759,11.92
39,2000-02-29,3043,3043,2892,3044,3194,11.79
40,2000-03-02,3405,3405,3392,3406,11276,11.89
41,2000-03-03,3273,3418,2997,2998,8600,-11.98
42,2000-03-06,3287,3352,3089,3354,14059,11.87
43,2000-03-07,2951,3681,2951,2953,2984,-11.96
44,2000-03-08,2629,2958,2603,2827,4881,-4.27
45,2000-03-09,3024,3149,2761,3091,9728,9.34
46,2000-03-10,2958,3182,2761,2867,3460,-7.25
47,2000-03-13,2748,2998,2696,2946,8291,2.76
48,2000-03-14,2958,3293,2629,3294,10068,11.81
49,2000-03-15,3688,3688,3550,3689,6201,11.99
50,2000-03-16,4129,4129,4076,4130,12851,11.95
51,2000-03-17,4207,4207,3636,3636,11466,-11.96
52,2000-03-20,3201,3536,3201,3202,1890,-11.94
53,2000-03-21,2820,2820,2820,2821,222,-11.9
54,2000-03-22,2485,3155,2485,3143,10814,11.41
55,2000-03-23,3142,3352,2767,2893,3669,-7.95
56,2000-03-24,2603,2905,2550,2630,5006,-9.09
57,2000-03-27,2498,2945,2498,2946,6937,12.02
58,2000-03-28,2945,3293,2945,3294,11946,11.81
59,2000-03-29,3293,3563,3024,3354,5524,1.82
60,2000-03-30,3268,3268,2951,3117,4724,-7.07
61,2000-03-31,2827,3353,2827,3104,8724,-0.42
62,2000-04-03,3339,3471,3339,3472,9438,11.86
63,2000-04-04,3063,3498,3057,3189,9718,-8.15
64,2000-04-06,3300,3418,2984,3143,5175,-1.44
65,2000-04-07,3155,3517,2998,3518,9328,11.93
66,2000-04-10,3937,3937,3813,3939,4066,11.97
67,2000-04-11,3872,4405,3550,4406,22321,11.86
68,2000-04-12,4931,4931,4931,4932,2956,11.94
69,2000-04-14,5522,5522,5522,5523,2299,11.98
70,2000-04-17,5391,6180,4865,4866,58022,-11.9
71,2000-04-18,5102,5444,4287,5445,91830,11.9
72,2000-04-19,6094,6094,6048,6095,14802,11.94
73,2000-04-20,6825,6825,6706,6826,8168,11.99
74,2000-04-21,7364,7364,6009,6010,49217,-11.95
75,2000-04-24,5292,6009,5292,5293,57138,-11.93
76,2000-04-25,5253,5253,4661,4748,35319,-10.3
77,2000-04-26,4746,5128,4181,4800,49252,1.1
78,2000-04-27,4707,5246,4227,4577,64479,-4.65
79,2000-04-28,4615,4865,4030,4031,41329,-11.93
80,2000-05-02,3813,4017,3550,3590,35641,-10.94
81,2000-05-03,3616,3984,3616,3761,58060,4.76
82,2000-05-04,3997,4194,3878,3998,45395,6.3
83,2000-05-08,3688,4116,3688,3919,54229,-1.98
84,2000-05-09,4010,4273,3945,4037,51855,3.01
85,2000-05-10,3971,4431,3826,4169,54663,3.27
86,2000-05-12,4168,4615,4168,4406,60655,5.68
87,2000-05-15,4931,4931,4471,4932,61548,11.94
88,2000-05-16,4931,4996,4339,4340,21821,-12.0
89,2000-05-17,4102,4588,3820,3906,67154,-10.0
90,2000-05-18,3589,4076,3438,3439,51353,-11.96
91,2000-05-19,3485,3550,3031,3084,23899,-10.32
92,2000-05-22,2787,2984,2715,2716,8890,-11.93
93,2000-05-23,2432,2590,2393,2393,13103,-11.89
94,2000-05-24,2143,2143,2110,2111,5043,-11.78
95,2000-05-25,1985,2360,1985,2361,21179,11.84
96,2000-05-26,2235,2498,2077,2078,14572,-11.99
97,2000-05-29,1879,2064,1834,1841,20640,-11.41
98,2000-05-30,1945,2057,1945,2058,7915,11.79
99,2000-05-31,2301,2301,2301,2302,4603,11.86
100,2000-06-01,2577,2577,2301,2499,27459,8.56
101,2000-06-02,2498,2669,2235,2617,35238,4.72
102,2000-06-05,2629,2853,2629,2689,20662,2.75
103,2000-06-07,2708,2826,2563,2723,16396,1.26
104,2000-06-08,2669,2669,2399,2400,15493,-11.86
105,2000-06-09,2366,2590,2287,2433,12989,1.37
106,2000-06-12,2696,2696,2406,2486,25675,2.18
