,Date,Open,High,Low,Close,Volume,Change
0,2000-01-04,80799,87419,79378,84099,82880,10.56
1,2000-01-05,82220,82220,78439,78430,64300,-6.74
2,2000-01-06,81265,81745,72764,75595,54090,-3.61
3,2000-01-07,75602,75602,71822,72382,44840,-4.25
4,2000-01-10,74650,74650,70020,70870,57080,-2.09
5,2000-01-11,71820,74080,69930,70870,90850,0.0
6,2000-01-12,69939,69939,66159,66429,70800,-6.27
7,2000-01-13,64269,65209,61429,62649,76370,-5.69
8,2000-01-14,63312,64072,57742,58303,57890,-6.94
9,2000-01-17,61421,63311,60001,60382,67840,3.57
10,2000-01-18,57833,62373,57833,60004,78400,-0.63
11,2000-01-19,58303,58683,52162,54523,52820,-9.13
12,2000-01-20,54336,54816,46405,54806,68690,0.52
13,2000-01-21,54819,57560,50188,55090,57740,0.52
14,2000-01-24,55098,57649,53868,55279,62330,0.34
15,2000-01-25,53863,61144,53863,56224,95190,1.71
16,2000-01-26,59539,59539,55288,55279,26960,-1.68
17,2000-01-27,54815,63316,52925,60476,131050,9.4
18,2000-01-28,61891,68981,61421,66902,289840,10.63
19,2000-01-31,67095,72765,64265,68036,199220,1.7
20,2000-02-01,70784,73524,69934,70114,166980,3.05
21,2000-02-02,69455,72856,68045,70776,140900,0.94
22,2000-02-03,71157,71828,68137,70398,123020,-0.53
23,2000-02-07,70872,71823,66152,69453,88600,-1.34
24,2000-02-08,68513,69454,64633,64634,93480,-6.94
25,2000-02-09,66154,66524,61523,62744,56680,-2.92
26,2000-02-10,62271,64631,58781,59531,71730,-5.12
27,2000-02-11,58590,63310,58590,60571,82780,1.75
28,2000-02-14,60488,62188,58118,58208,64790,-3.9
29,2000-02-15,58591,59061,54811,55751,64380,-4.22
30,2000-02-16,55750,61330,55750,58681,68880,5.26
31,2000-02-17,59061,59061,56701,57641,44190,-1.77
32,2000-02-18,56793,60483,56793,58114,65980,0.82
33,2000-02-21,58116,58116,52446,54806,46990,-5.69
34,2000-02-22,54815,62376,54815,61326,144290,11.9
35,2000-02-23,62375,68046,62375,64256,153650,4.78
36,2000-02-24,64260,68040,60570,65201,181900,1.47
37,2000-02-25,65206,67096,61425,62366,106390,-4.35
38,2000-02-28,59538,65679,59538,60948,121930,-2.27
39,2000-02-29,61896,63316,58596,58586,65870,-3.88
40,2000-03-02,60571,65581,60571,64161,114880,9.52
41,2000-03-03,67095,68986,61525,61515,116570,-4.12
42,2000-03-06,64358,66158,63318,64728,99960,5.22
43,2000-03-07,64730,64730,61890,63311,67270,-2.19
44,2000-03-08,60480,63310,60480,60571,67180,-4.33
45,2000-03-09,61610,62370,60570,61421,74030,1.4
46,2000-03-10,62374,63124,59814,59815,64070,-2.61
47,2000-03-13,60486,61996,58596,58586,87270,-2.05
48,2000-03-14,57927,59537,55287,56507,91560,-3.55
49,2000-03-15,56701,59531,54811,55751,99680,-1.34
50,2000-03-16,58591,59531,55281,55751,85960,0.0
51,2000-03-17,56799,58599,53208,53389,72290,-4.24
52,2000-03-20,54812,56413,53862,54523,71150,2.12
53,2000-03-21,54338,56038,52738,55279,69660,1.39
54,2000-03-22,55750,55750,53960,54901,79780,-0.68
55,2000-03-23,56132,56322,53482,53672,70370,-2.24
56,2000-03-24,54337,54907,52926,53767,44320,0.18
57,2000-03-27,52928,55379,52928,53389,45930,-0.7
58,2000-03-28,53865,55285,53015,53106,70950,-0.53
59,2000-03-29,52929,53399,50558,51499,87000,-3.03
60,2000-03-30,51509,51509,48198,49609,67170,-3.67
61,2000-03-31,49809,51039,49619,49609,55410,0.0
62,2000-04-03,50084,50084,45363,45924,43620,-7.43
63,2000-04-04,43666,45367,40306,45357,57950,-1.23
64,2000-04-06,44132,45452,42522,42522,41730,-6.25
65,2000-04-07,42714,44604,41204,42995,47500,1.11
66,2000-04-10,44414,46774,43474,46774,54580,8.79
67,2000-04-11,46773,46773,42333,42333,29380,-9.49
68,2000-04-12,41582,43372,41582,42522,41910,0.45
69,2000-04-14,41581,41581,39691,39782,31590,-6.44
70,2000-04-17,35919,35919,33838,33829,42020,-14.96
71,2000-04-18,37182,37802,34212,36853,69890,8.94
72,2000-04-19,37803,42383,37043,41294,158810,12.05
73,2000-04-20,41018,43478,39697,41388,87470,0.23
74,2000-04-21,41675,42336,39695,40916,43230,-1.14
