,Date,Open,High,Low,Close,Volume,Change
0,2004-12-03,14488,16632,14403,16633,389816,NaN
1,2004-12-06,19119,19119,19119,19119,37529,14.95
2,2004-12-07,21948,21948,20190,21949,660280,14.8
3,2004-12-08,22719,23920,18690,18691,580034,-14.84
4,2004-12-09,18861,19375,17104,18005,211244,-3.67
5,2004-12-10,17189,18261,15474,16118,175241,-10.48
6,2004-12-13,16117,18004,15945,16290,272616,1.07
7,2004-12-14,16460,16547,15090,15261,143108,-6.32
8,2004-12-15,15261,15732,15089,15218,140204,-0.28
9,2004-12-16,15689,16547,15346,15733,162364,3.38
10,2004-12-17,15818,16204,14832,15175,139354,-3.55
11,2004-12-20,15045,15089,14703,14875,98557,-1.98
12,2004-12-21,14831,15945,14488,14489,203880,-2.59
13,2004-12-22,14317,14446,13717,14232,108752,-1.77
14,2004-12-23,14146,14274,13632,13675,69433,-3.91
15,2004-12-24,13502,13802,13245,13546,61596,-0.94
16,2004-12-27,13373,15089,13245,14404,261231,6.33
17,2004-12-28,13717,14488,13717,14232,85792,-1.19
18,2004-12-29,13803,13974,13502,13632,46455,-4.22
19,2004-12-30,13331,13803,13331,13632,40944,0.0
20,2005-01-03,13760,13760,13374,13546,287997,-0.63
21,2005-01-04,13587,13717,13245,13375,80345,-1.26
22,2005-01-05,13288,13288,12731,12903,163338,-3.53
23,2005-01-06,12945,13502,12345,13504,257949,4.66
24,2005-01-07,13587,14959,13587,14447,453244,6.98
25,2005-01-10,15003,15045,14017,14232,223182,-1.49
26,2005-01-11,14488,15045,14231,15047,484146,5.73
27,2005-01-12,15260,15988,15003,15604,480316,3.7
28,2005-01-13,15775,15775,15132,15261,241498,-2.2
29,2005-01-14,15346,15561,14575,14618,286800,-4.21
30,2005-01-17,14832,15689,14661,15690,268079,7.33
31,2005-01-18,15732,16374,15431,15947,317563,1.64
32,2005-01-19,16203,16546,15945,16461,233354,3.22
33,2005-01-20,16117,16760,15945,16290,182746,-1.04
34,2005-01-21,16374,16374,15689,15947,157185,-2.11
35,2005-01-24,15860,16247,15604,15733,135309,-1.34
36,2005-01-25,15689,15731,15089,15390,92073,-2.18
37,2005-01-26,15089,15646,15089,15518,100517,0.83
38,2005-01-27,15731,15774,15260,15347,63335,-1.1
39,2005-01-28,15260,15431,15089,15090,59100,-1.67
40,2005-01-31,15132,15775,15132,15776,78415,4.55
41,2005-02-01,15903,16332,15517,16076,197792,1.9
42,2005-02-02,16289,16547,15775,16204,142948,0.8
43,2005-02-03,16289,16332,15689,15690,87582,-3.17
44,2005-02-04,15516,15774,15431,15433,51856,-1.64
45,2005-02-07,15260,15603,15260,15561,78991,0.83
46,2005-02-11,15431,15603,15345,15390,57358,-1.1
47,2005-02-14,15432,15818,15432,15776,148283,2.51
48,2005-02-15,16075,16117,15731,15861,99048,0.54
49,2005-02-16,15903,17232,15903,17062,434341,7.57
50,2005-02-17,17402,17402,16589,16761,190757,-1.76
51,2005-02-18,16803,17918,16503,17576,345951,4.86
52,2005-02-21,17661,17790,17061,17190,169979,-2.2
53,2005-02-22,17360,17360,15604,15604,258875,-9.23
54,2005-02-23,15431,15860,15345,15347,93484,-1.65
55,2005-02-24,15474,15818,15389,15733,104414,2.52
56,2005-02-25,15561,15945,15431,15518,82707,-1.37
57,2005-02-28,15732,16032,15517,16033,77773,3.32
58,2005-03-02,16118,16161,15689,15733,80619,-1.87
59,2005-03-03,15604,15732,15474,15604,69935,-0.82
60,2005-03-04,15516,15859,15431,15818,93447,1.37
61,2005-03-07,15818,16418,15818,16204,117780,2.44
62,2005-03-08,16118,16503,15218,15690,80398,-3.17
63,2005-03-09,15474,15775,15346,15647,53676,-0.27
64,2005-03-10,15474,15689,15474,15475,46066,-1.1
65,2005-03-11,15517,16075,15517,15947,69177,3.05
66,2005-03-14,15817,16460,15817,16461,54949,3.22
67,2005-03-15,16633,16633,15689,15733,83105,-4.42
68,2005-03-16,15561,15817,15303,15561,50824,-1.09
69,2005-03-17,15561,15903,15561,15604,59300,0.28
70,2005-03-18,15389,15689,15389,15690,38646,0.55
71,2005-03-21,15689,15774,15388,15475,41533,-1.37
72,2005-03-22,15604,15818,15474,15733,32457,1.67
73,2005-03-23,15732,16204,15689,15733,57536,0.0
74,2005-03-24,15774,15860,15303,15433,48123,-1.91
75,2005-03-25,15431,15561,15217,15561,40717,0.83
76,2005-03-28,15473,15688,15345,15347,42228,-1.38
77,2005-03-29,15303,15432,15218,15218,45699,-0.84
78,2005-03-30,15132,15260,14488,15004,118825,-1.41
79,2005-03-31,15045,15217,14831,14918,26652,-0.57
80,2005-04-01,14831,14959,14574,14918,47282,0.0
81,2005-04-04,14703,15002,14703,14918,19911,0.0
82,2005-04-06,14832,14960,14618,14661,33670,-1.72
83,2005-04-07,14660,14831,14660,14832,11244,1.17
84,2005-04-08,14874,15303,14832,15175,33265,2.31
85,2005-04-11,14960,15218,14917,15132,8130,-0.28
86,2005-04-12,15132,15217,14917,15004,7242,-0.85
87,2005-04-13,14874,15003,14661,14747,17702,-1.71
88,2005-04-14,14660,14703,14531,14618,22617,-0.87
89,2005-04-15,14574,14574,14059,14361,28075,-1.76
90,2005-04-18,13888,14103,13845,13846,17764,-3.59
91,2005-04-19,13888,14146,13888,13975,5960,0.93
92,2005-04-20,13974,14232,13888,14147,16878,1.23
93,2005-04-21,13845,14359,13717,14361,14673,1.51
94,2005-04-22,14360,14575,14146,14275,3009,-0.6
95,2005-04-25,13803,14317,13803,14061,2975,-1.5
96,2005-04-26,14103,14103,13802,13975,7267,-0.61
97,2005-04-27,13803,13888,13588,13632,15011,-2.45
98,2005-04-28,13587,13674,13373,13461,24307,-1.25
99,2005-04-29,13117,13502,13117,13375,8958,-0.64
100,2005-05-02,13246,14104,13246,13332,5820,-0.32
101,2005-05-03,13502,13502,13288,13375,12235,0.32
102,2005-05-04,13374,13632,13203,13632,9482,1.92
103,2005-05-06,13675,13889,13545,13804,7901,1.26
104,2005-05-09,13803,13889,13718,13804,8771,0.0
105,2005-05-10,13845,13845,13545,13632,3936,-1.25
106,2005-05-11,13888,13888,13502,13632,7331,0.0
107,2005-05-12,13632,13632,13332,13332,7826,-2.2
108,2005-05-13,13331,13632,13245,13589,7196,1.93
109,2005-05-16,13416,13587,13288,13546,5669,-0.32
110,2005-05-17,13374,13632,13289,13289,7022,-1.9
111,2005-05-18,13202,13416,13202,13375,15034,0.65
112,2005-05-19,13374,13888,13331,13675,9157,2.24
113,2005-05-20,13588,13803,13374,13804,12739,0.94
114,2005-05-23,13718,13846,13675,13804,3802,0.0
115,2005-05-24,13717,13930,13717,13889,5027,0.62
116,2005-05-25,13803,13931,13760,13804,7914,-0.61
117,2005-05-26,13802,13931,13674,13932,7845,0.93
118,2005-05-27,13931,13973,13845,13932,9343,0.0
119,2005-05-30,13803,13931,13718,13804,10556,-0.92
120,2005-05-31,13802,13930,13802,13889,4677,0.62
121,2005-06-01,13974,14103,13717,14104,8293,1.55
122,2005-06-02,13931,14275,13931,14275,11348,1.21
123,2005-06-03,14231,14402,14145,14361,9133,0.6
124,2005-06-07,14317,14317,14189,14232,5470,-0.9
125,2005-06-08,14059,14488,14059,14061,7453,-1.2
126,2005-06-09,14016,14189,13845,14104,19443,0.31
127,2005-06-10,13931,14146,13931,14061,12235,-0.3
128,2005-06-13,13974,14317,13974,14061,6532,0.0
129,2005-06-14,14059,14188,13973,13975,5167,-0.61
130,2005-06-15,13931,14146,13888,14147,16644,1.23
131,2005-06-16,14146,14275,13888,14232,56312,0.6
132,2005-06-17,14146,14189,14017,14147,6520,-0.6
133,2005-06-20,14059,14488,14059,14361,45383,1.51
134,2005-06-21,14530,14831,14445,14832,46322,3.28
135,2005-06-22,14831,14831,14402,14404,24832,-2.89
136,2005-06-23,14403,14832,14317,14661,17449,1.78
137,2005-06-24,14445,15003,14445,14661,29964,0.0
138,2005-06-27,14531,15218,14488,15218,29486,3.8
139,2005-06-28,15303,15303,14874,15047,17880,-1.12
140,2005-06-29,14917,15303,14746,15175,15466,0.85
141,2005-06-30,15303,15818,15175,15776,47377,3.96
142,2005-07-01,15774,16032,15689,16033,30541,1.63
143,2005-07-04,16032,16161,15817,16076,18697,0.27
144,2005-07-05,15860,16161,15817,16076,39132,0.0
145,2005-07-06,16160,16160,15689,15861,13739,-1.34
146,2005-07-07,15731,15902,15689,15904,18732,0.27
147,2005-07-08,15818,15946,15689,15733,12982,-1.08
148,2005-07-11,15603,15817,15302,15347,22732,-2.45
149,2005-07-12,15303,15646,15303,15475,8131,0.83
150,2005-07-13,15345,15603,15345,15475,13180,0.0
151,2005-07-14,15474,15946,15474,15647,27986,1.11
152,2005-07-15,15860,16032,15689,16033,23141,2.47
153,2005-07-18,16032,16032,15817,15861,20493,-1.07
154,2005-07-19,15774,16417,15774,16376,58166,3.25
155,2005-07-20,16459,16502,16203,16290,46048,-0.53
156,2005-07-21,16289,17446,16289,17104,170214,5.0
157,2005-07-22,17104,17233,16718,17233,42759,0.75
158,2005-07-25,17061,17490,17061,17147,28179,-0.5
159,2005-07-26,17146,17403,16760,16890,65412,-1.5
160,2005-07-27,16718,17403,16718,17062,21356,1.02
161,2005-07-28,17061,17403,16846,17319,38268,1.51
162,2005-07-29,17403,17403,16889,17104,11675,-1.24
163,2005-08-01,16889,17104,16846,16976,8690,-0.75
164,2005-08-02,16718,16761,15903,16719,23065,-1.51
165,2005-08-03,16889,17019,16675,16719,22628,0.0
166,2005-08-04,16718,16718,16203,16504,19327,-1.29
167,2005-08-05,16032,16502,15903,16419,13635,-0.52
168,2005-08-08,16503,16503,16075,16118,5272,-1.83
169,2005-08-09,16117,16374,16032,16376,4827,1.6
170,2005-08-10,16460,16460,16117,16376,4514,0.0
171,2005-08-11,16374,16374,16117,16376,32343,0.0
172,2005-08-12,16288,16374,16203,16290,13757,-0.53
173,2005-08-16,16374,16459,16160,16290,7290,0.0
174,2005-08-17,16459,16459,16032,16290,8654,0.0
175,2005-08-18,16374,16374,16074,16290,4700,0.0
176,2005-08-19,16246,16246,15903,15947,7733,-2.11
177,2005-08-22,15689,16161,15689,16118,6800,1.07
178,2005-08-23,16204,16289,15860,16161,8782,0.27
179,2005-08-24,15860,16204,15860,16204,10229,0.27
180,2005-08-25,16204,16289,16118,16247,4899,0.27
181,2005-08-26,16460,16460,16161,16204,10941,-0.26
182,2005-08-29,16203,16203,15774,15861,6240,-2.12
183,2005-08-30,15818,15946,15474,15733,10462,-0.81
184,2005-08-31,15560,15902,15560,15818,7616,0.54
185,2005-09-01,15859,15902,15774,15818,8713,0.0
186,2005-09-02,15817,15902,15646,15818,9389,0.0
187,2005-09-05,15817,15945,15774,15904,11652,0.54
188,2005-09-06,15860,16032,15860,15904,27351,0.0
189,2005-09-07,15945,16288,15945,16290,20168,2.43
190,2005-09-08,16288,16288,15945,16290,21134,0.0
191,2005-09-09,16203,16718,16203,16547,23114,1.58
