,Date,Open,High,Low,Close,Volume,Change
0,2001-07-02,0,0,0,0,0,0.0
1,2001-07-03,11500,11500,11500,11500,4470,15.0
2,2001-07-04,13200,13200,13200,13200,5490,14.78
3,2001-07-05,15150,15150,13400,15150,45560,14.77
4,2001-07-06,14500,15000,13650,15000,28890,-0.99
5,2001-07-09,15100,15100,12750,12750,9240,-15.0
6,2001-07-10,12000,12600,11200,11200,8470,-12.16
7,2001-07-11,10550,12850,10400,12000,6560,7.14
8,2001-07-12,11100,12000,10900,11750,4210,-2.08
9,2001-07-13,11050,11500,10500,10500,3300,-10.64
10,2001-07-16,10900,10900,8950,8950,6600,-14.76
11,2001-07-18,8800,9300,8500,8620,6230,-3.69
12,2001-07-19,8620,8620,7350,7350,6460,-14.73
13,2001-07-20,7370,8400,7370,8350,5960,13.61
14,2001-07-23,8500,8500,7360,7380,5440,-11.62
15,2001-07-24,7350,8480,7350,8480,2630,14.91
16,2001-07-25,9750,9750,9650,9700,27430,14.39
17,2001-07-26,9700,11150,9700,11150,34660,14.95
18,2001-07-27,10200,11800,10200,10500,42840,-5.83
19,2001-07-30,9620,10250,9400,9400,14590,-10.48
20,2001-07-31,8850,9100,8650,9070,13760,-3.51
21,2001-08-01,9100,9200,8990,9200,7090,1.43
22,2001-08-02,9100,10550,9100,10550,25690,14.67
23,2001-08-03,10500,11500,10500,11500,19460,9.0
24,2001-08-06,12000,12000,10800,11100,17930,-3.48
25,2001-08-07,10500,11500,10500,11000,14530,-0.9
26,2001-08-08,11000,11100,10550,11000,7690,0.0
27,2001-08-09,10900,10900,10200,10400,9000,-5.45
28,2001-08-10,10250,11200,10050,11200,10510,7.69
29,2001-08-13,11000,12700,11000,12550,24320,12.05
30,2001-08-14,12500,13000,12000,12600,16840,0.4
31,2001-08-16,13100,14450,12350,13700,48500,8.73
32,2001-08-17,13100,14000,12850,13600,22460,-0.73
33,2001-08-20,13200,14000,11600,12000,15390,-11.76
34,2001-08-21,12100,12500,11200,12000,15770,0.0
35,2001-08-22,11600,12300,11150,11600,10550,-3.33
36,2001-08-23,11600,11800,11000,11000,9580,-5.17
37,2001-08-24,10500,12500,10500,12100,24170,10.0
38,2001-08-27,12500,12500,11550,12150,8750,0.41
39,2001-08-28,11900,12400,11700,12150,6980,0.0
40,2001-08-29,11550,12000,10700,11900,14030,-2.06
41,2001-08-30,11900,11900,11000,11650,4480,-2.1
42,2001-08-31,11000,11450,10900,11250,3260,-3.43
43,2001-09-03,10100,11550,10100,10700,12080,-4.89
44,2001-09-04,10550,11800,9400,11450,12700,7.01
45,2001-09-05,11600,11800,10700,11650,22410,1.75
46,2001-09-06,11650,11800,11200,11200,8490,-3.86
47,2001-09-07,10600,11400,10200,10900,20770,-2.68
48,2001-09-10,10300,10900,10050,10100,13990,-7.34
49,2001-09-11,10100,10550,8600,9000,14110,-10.89
50,2001-09-12,7650,7650,7650,7650,1190,-15.0
51,2001-09-13,6750,8000,6510,8000,27460,4.58
52,2001-09-14,7130,7750,6800,6800,18150,-15.0
53,2001-09-17,6020,6300,5780,5860,9770,-13.82
54,2001-09-18,5530,6290,5530,5600,13250,-4.44
55,2001-09-19,5700,5890,5360,5670,14130,1.25
56,2001-09-20,5640,5640,4820,4820,20020,-14.99
57,2001-09-21,4520,4520,4100,4100,16840,-14.94
58,2001-09-24,3515,4715,3515,4715,42230,15.0
59,2001-09-25,5100,5420,4950,5420,10360,14.95
60,2001-09-26,6190,6230,6180,6230,6920,14.94
61,2001-09-27,7160,7160,7160,7160,6040,14.93
62,2001-09-28,8230,8230,7010,7010,70330,-2.09
63,2001-10-04,6060,7600,6060,7100,48490,1.28
64,2001-10-05,7300,7300,6040,6040,18510,-14.93
65,2001-10-08,5550,6940,5550,6940,37800,14.9
66,2001-10-09,7550,7980,7050,7600,60850,9.51
67,2001-10-10,6870,7600,6870,7200,19500,-5.26
68,2001-10-11,7460,7700,6760,6760,16440,-6.11
69,2001-10-12,6860,7160,6760,6980,11250,3.25
70,2001-10-15,6660,7350,6660,6970,6940,-0.14
71,2001-10-16,6660,6900,6660,6670,12040,-4.3
72,2001-10-17,6800,7670,6800,7670,14710,14.99
73,2001-10-18,8500,8820,8130,8820,65520,14.99
74,2001-10-19,8900,8950,7700,8100,30520,-8.16
75,2001-10-22,7800,8560,7800,8250,19600,1.85
76,2001-10-23,8230,8450,7800,8200,22340,-0.61
77,2001-10-24,7810,8900,7810,8210,33350,0.12
78,2001-10-25,8210,8490,8000,8030,13220,-2.19
79,2001-10-26,8150,8800,8030,8230,19000,2.49
80,2001-10-29,8050,8280,7700,8070,20240,-1.94
81,2001-10-30,7770,8260,7770,7850,20570,-2.73
82,2001-10-31,7710,8190,7710,8000,7520,1.91
83,2001-11-01,8010,8410,8010,8290,11860,3.63
84,2001-11-02,8400,8450,8100,8150,13580,-1.69
85,2001-11-05,8280,8280,7870,7870,6490,-3.44
86,2001-11-06,8150,8150,7830,7840,7700,-0.38
87,2001-11-07,7860,8140,7810,7890,4810,0.64
88,2001-11-08,7920,9070,7760,9070,30470,14.96
89,2001-11-09,9090,9380,8610,8700,22160,-4.08
90,2001-11-12,8800,9070,8450,8800,9590,1.15
91,2001-11-13,8800,9300,7500,8300,23050,-5.68
92,2001-11-14,8020,8500,8020,8200,9750,-1.2
93,2001-11-15,8200,8340,6970,7700,13060,-6.1
94,2001-11-16,7700,8500,7700,7890,19900,2.47
95,2001-11-19,7750,8200,7750,8120,13740,2.92
96,2001-11-20,8450,8500,7900,7900,9960,-2.71
97,2001-11-21,7450,8400,7450,8060,4240,2.03
98,2001-11-22,7960,8450,7950,8150,6920,1.12
99,2001-11-23,8100,8300,8000,8100,7870,-0.61
100,2001-11-26,8100,8350,7810,8190,6810,1.11
101,2001-11-27,7900,8320,7900,8020,5370,-2.08
102,2001-11-28,8260,9220,8260,9160,92990,14.21
103,2001-11-29,0,0,0,9160,0,0.0
104,2001-11-30,0,0,0,9160,0,0.0
105,2001-12-03,795,1055,795,1055,946770,14.67
106,2001-12-04,1210,1210,1155,1210,592950,14.69
107,2001-12-05,1390,1390,1340,1390,668720,14.88
108,2001-12-06,1500,1500,1280,1410,1814220,1.44
109,2001-12-07,1450,1620,1350,1620,2404100,14.89
110,2001-12-10,1730,1860,1670,1860,2591510,14.81
111,2001-12-11,1660,1900,1585,1735,1945420,-6.72
112,2001-12-12,1780,1845,1635,1820,1514310,4.9
113,2001-12-13,1720,1850,1690,1730,1032520,-4.95
114,2001-12-14,1730,1785,1475,1500,1442080,-13.29
115,2001-12-17,1510,1565,1275,1295,1221300,-13.67
116,2001-12-18,1310,1485,1220,1485,1919830,14.67
117,2001-12-19,1520,1665,1350,1400,2694220,-5.72
118,2001-12-20,1320,1450,1320,1385,1095230,-1.07
119,2001-12-21,1390,1500,1360,1375,1516520,-0.72
