,Date,Open,High,Low,Close,Volume,Change
0,2000-01-04,2700,2990,2700,2890,61460,7.04
1,2000-01-05,2715,3320,2715,3190,95560,10.38
2,2000-01-06,3280,3300,2850,2850,57820,-10.66
3,2000-01-07,2860,3050,2860,2930,45590,2.81
4,2000-01-10,3060,3140,2910,3020,45220,3.07
5,2000-01-11,2970,3365,2950,3190,111180,5.63
6,2000-01-12,3120,3160,2950,2950,85150,-7.52
7,2000-01-13,2750,3140,2750,3080,73020,4.41
8,2000-01-14,3080,3250,3000,3100,72630,0.65
9,2000-01-17,3080,3220,3070,3080,25480,-0.65
10,2000-01-18,3200,3200,3050,3050,119490,-0.97
11,2000-01-19,3010,3020,2850,2890,56310,-5.25
12,2000-01-20,2795,3045,2655,2995,74810,3.63
13,2000-01-21,2805,3100,2805,2950,68930,-1.5
14,2000-01-24,2910,3210,2910,3055,95340,3.56
15,2000-01-25,3060,3170,2920,2970,30310,-2.78
16,2000-01-26,3060,3070,2940,3000,51060,1.01
17,2000-01-27,3010,3220,2900,3200,123830,6.67
18,2000-01-28,3290,3290,3125,3195,101120,-0.16
19,2000-01-31,3120,3140,3065,3065,65550,-4.07
20,2000-02-01,3115,3120,3020,3020,53090,-1.47
21,2000-02-02,3010,3300,3000,3130,149220,3.64
22,2000-02-03,3180,3240,3080,3230,113760,3.19
23,2000-02-07,3200,3710,3180,3710,422170,14.86
24,2000-02-08,3700,3800,3400,3725,336000,0.4
25,2000-02-09,3700,3760,3435,3440,173410,-7.65
26,2000-02-10,3200,3440,2950,2950,224740,-14.24
27,2000-02-11,2990,3150,2970,3010,152970,2.03
28,2000-02-14,2970,2970,2560,2700,70520,-10.3
29,2000-02-15,2630,2750,2510,2600,52670,-3.7
30,2000-02-16,2700,2840,2610,2650,51480,1.92
31,2000-02-17,2700,2730,2660,2695,46570,1.7
32,2000-02-18,2670,2695,2610,2625,34740,-2.6
33,2000-02-21,2630,2630,2450,2450,46130,-6.67
34,2000-02-22,2370,2440,2300,2340,53670,-4.49
35,2000-02-23,2350,2680,2350,2510,53760,7.26
36,2000-02-24,2430,2550,2400,2460,49050,-1.99
37,2000-02-25,2400,2645,2330,2465,63040,0.2
38,2000-02-28,2680,2830,2530,2830,214080,14.81
39,2000-02-29,2845,2860,2605,2845,92580,0.53
40,2000-03-02,2900,2915,2660,2800,145570,-1.58
41,2000-03-03,2700,2800,2600,2630,86660,-6.07
42,2000-03-06,2650,3020,2600,3020,253420,14.83
43,2000-03-07,2990,3280,2820,2870,150440,-4.97
44,2000-03-08,3000,3300,2850,3050,403030,6.27
45,2000-03-09,3505,3505,3350,3505,187020,14.92
46,2000-03-10,4030,4030,3850,4030,595140,14.98
47,2000-03-13,4500,4500,3750,3750,1107210,-6.95
48,2000-03-14,3560,4200,3320,3580,430920,-4.53
49,2000-03-15,3600,3825,3300,3350,274940,-6.42
50,2000-03-16,3260,3455,3010,3055,280250,-8.81
51,2000-03-17,3055,3240,3055,3100,183700,1.47
52,2000-03-20,3160,3400,3120,3200,228810,3.23
53,2000-03-21,3300,3390,2950,3000,171740,-6.25
54,2000-03-22,3055,3150,2960,3130,156610,4.33
55,2000-03-23,3200,3280,3010,3090,197480,-1.28
56,2000-03-24,3150,3460,3020,3300,366860,6.8
57,2000-03-27,3300,3300,3120,3250,174920,-1.52
58,2000-03-28,3200,3330,3150,3320,206290,2.15
59,2000-03-29,3315,3320,3160,3220,204550,-3.01
60,2000-03-30,3180,3270,3120,3225,311810,0.16
61,2000-03-31,3180,3250,3030,3030,107570,-6.05
62,2000-04-03,3050,3190,2720,2800,194280,-7.59
63,2000-04-04,2600,2760,2550,2670,155200,-4.64
64,2000-04-06,2680,2750,2620,2700,98850,1.12
65,2000-04-07,2680,2850,2680,2750,120860,1.85
66,2000-04-10,2860,3160,2810,3160,165550,14.91
67,2000-04-11,3145,3145,2805,2805,96830,-11.23
68,2000-04-12,2855,2900,2800,2815,92990,0.36
69,2000-04-14,2820,2860,2740,2755,34010,-2.13
70,2000-04-17,2500,2575,2350,2410,98630,-12.52
71,2000-04-18,2570,2770,2550,2650,137310,9.96
72,2000-04-19,2660,2770,2555,2555,68730,-3.58
73,2000-04-20,2555,2650,2555,2615,42670,2.35
74,2000-04-21,2560,2680,2560,2680,46040,2.49
75,2000-04-24,2680,2680,2505,2550,47060,-4.85
76,2000-04-25,2510,2640,2510,2565,40280,0.59
77,2000-04-26,2600,2600,2305,2340,80060,-8.77
78,2000-04-27,2300,2460,2250,2380,47010,1.71
79,2000-04-28,2500,2500,2335,2340,63610,-1.68
80,2000-05-02,2300,2310,2225,2290,135250,-2.14
81,2000-05-03,2205,2340,2205,2240,72580,-2.18
82,2000-05-04,2210,2300,2210,2240,69820,0.0
83,2000-05-08,2290,2300,2260,2270,66060,1.34
84,2000-05-09,2250,2295,2240,2270,72530,0.0
85,2000-05-10,2290,2500,2220,2295,112160,1.1
86,2000-05-12,2295,2295,2220,2235,44230,-2.61
87,2000-05-15,2235,2280,2015,2060,44680,-7.83
88,2000-05-16,2000,2145,2000,2050,34470,-0.49
89,2000-05-17,2095,2170,1950,2000,106210,-2.44
90,2000-05-18,2000,2000,1730,1800,45290,-10.0
91,2000-05-19,1800,1850,1700,1780,40700,-1.11
92,2000-05-22,1715,1740,1635,1635,39880,-8.15
93,2000-05-23,1600,1670,1600,1620,28540,-0.92
94,2000-05-24,1625,1830,1575,1810,88110,11.73
