,Date,Open,High,Low,Close,Volume,Change
0,2000-01-04,5271,5271,4830,5145,6500,-5.77
1,2000-01-05,5250,5250,4830,4935,258800,-4.08
2,2000-01-06,5565,5565,4725,4725,245300,-4.26
3,2000-01-07,5019,5019,4725,4830,20100,2.22
4,2000-01-10,4725,5040,4620,4925,15650,1.97
5,2000-01-11,4935,5061,4893,4893,6400,-0.65
6,2000-01-12,4935,4935,4788,4820,7150,-1.49
7,2000-01-13,5040,5533,4935,5250,42000,8.92
8,2000-01-14,5250,5565,5250,5250,23150,0.0
9,2000-01-17,5260,5397,5250,5355,1200,2.0
10,2000-01-18,5145,5355,5145,5250,7500,-1.96
11,2000-01-19,5040,5355,5040,5250,9350,0.0
12,2000-01-20,4872,5355,4872,5250,11200,0.0
13,2000-01-21,5250,5670,5040,5460,15200,4.0
14,2000-01-24,5460,5460,5250,5460,4650,0.0
15,2000-01-25,5250,5565,5250,5565,7200,1.92
16,2000-01-26,5355,5460,5334,5460,5450,-1.89
17,2000-01-27,5355,5565,5355,5565,750,1.92
18,2000-01-28,5460,5481,5418,5418,2100,-2.64
19,2000-01-31,5418,5418,5418,5418,0,0.0
20,2000-02-01,4662,5775,4662,5271,1600,-2.71
21,2000-02-02,5040,5502,5040,5460,800,3.59
22,2000-02-03,5670,5775,5460,5775,9100,5.77
23,2000-02-07,5565,5985,5460,5985,40350,3.64
24,2000-02-08,5922,5922,5670,5775,14300,-3.51
25,2000-02-09,5985,6636,5880,6300,17500,9.09
26,2000-02-10,6300,6510,5880,6510,9400,3.33
27,2000-02-11,6510,6510,6153,6510,11500,0.0
28,2000-02-14,6121,6300,5565,6300,10850,-3.23
29,2000-02-15,5901,6090,5901,5901,4300,-6.33
30,2000-02-16,5880,5880,5271,5271,3100,-10.68
31,2000-02-17,5880,5880,5397,5880,8500,11.55
32,2000-02-18,5691,6300,5691,5775,1200,-1.79
33,2000-02-21,5061,5649,5061,5649,12600,-2.18
34,2000-02-22,5271,5775,5271,5775,300,2.23
35,2000-02-23,6027,6090,5764,6090,16450,5.45
36,2000-02-24,5901,5985,5712,5744,8550,-5.68
37,2000-02-25,5985,5985,5670,5670,16800,-1.29
38,2000-02-28,5880,5880,5082,5271,8550,-7.04
39,2000-02-29,5460,5638,5292,5586,9350,5.98
40,2000-03-02,5880,5880,5607,5880,29000,5.26
41,2000-03-03,5880,6048,5775,6048,16150,2.86
42,2000-03-06,6090,6951,6090,6951,330500,14.93
43,2000-03-07,6951,7350,6300,6762,33200,-2.72
44,2000-03-08,6762,6762,6216,6699,69550,-0.93
45,2000-03-09,6699,6930,6405,6405,174000,-4.39
46,2000-03-10,6510,6657,6468,6468,21600,0.98
47,2000-03-13,6615,6615,6163,6468,60800,0.0
48,2000-03-14,6468,6615,6468,6468,27250,0.0
49,2000-03-15,6489,6720,6468,6636,147200,2.6
50,2000-03-16,6320,6636,6320,6605,10750,-0.47
51,2000-03-17,6615,6762,6604,6762,119750,2.38
52,2000-03-20,6867,6877,6405,6699,28200,-0.93
53,2000-03-21,6447,6468,6363,6363,6100,-5.02
54,2000-03-22,6363,6510,6216,6510,34300,2.31
55,2000-03-23,6510,6510,6090,6090,48550,-6.45
56,2000-03-24,6079,6079,5838,5964,12000,-2.07
57,2000-03-27,6048,6279,5880,5964,120100,0.0
58,2000-03-28,6090,6090,5974,6090,7050,2.11
59,2000-03-29,6279,6279,5922,6090,71100,0.0
60,2000-03-30,6090,6111,5901,6048,28250,-0.69
61,2000-03-31,5733,6300,5733,5922,9500,-2.08
62,2000-04-03,6258,6258,5922,5922,90400,0.0
63,2000-04-04,5922,6048,5670,6027,71450,1.77
64,2000-04-06,6027,6027,5775,5775,66100,-4.18
65,2000-04-07,5775,5985,5596,5985,72250,3.64
66,2000-04-10,5985,6195,5880,6195,72350,3.51
67,2000-04-11,6006,6006,5838,5985,6850,-3.39
68,2000-04-12,5985,5985,5712,5985,7800,0.0
69,2000-04-14,5733,5796,5596,5796,5800,-3.16
70,2000-04-17,5796,5796,4977,5355,60800,-7.61
71,2000-04-18,5355,5481,5092,5093,60450,-4.89
72,2000-04-19,5292,5344,5250,5250,3800,3.08
73,2000-04-20,5250,5334,5082,5082,59450,-3.2
74,2000-04-21,5082,5397,5040,5219,79500,2.7
75,2000-04-24,5218,5376,5040,5250,60400,0.59
76,2000-04-25,5250,5565,5166,5460,62950,4.0
77,2000-04-26,5439,6237,5250,5481,51650,0.38
78,2000-04-27,5481,5481,5145,5250,6350,-4.21
79,2000-04-28,5250,5544,5145,5544,9800,5.6
80,2000-05-02,5533,5533,5260,5492,6500,-0.94
81,2000-05-03,5292,5355,5145,5250,6650,-4.41
82,2000-05-04,5250,5355,5187,5334,61500,1.6
83,2000-05-08,5334,5334,5176,5208,55150,-2.36
84,2000-05-09,5208,5817,5208,5418,74800,4.03
85,2000-05-10,5418,5439,5271,5334,5900,-1.55
86,2000-05-12,5334,5334,5061,5093,68650,-4.52
87,2000-05-15,5092,5092,4809,4809,66600,-5.58
88,2000-05-16,4851,5145,4819,5145,98500,6.99
89,2000-05-17,5145,5145,4473,4473,126300,-13.06
90,2000-05-18,4557,4767,4494,4536,19800,1.41
91,2000-05-19,4546,4620,4137,4578,124900,0.93
92,2000-05-22,4578,4683,4011,4011,58750,-12.39
93,2000-05-23,4242,4242,4011,4200,64400,4.71
94,2000-05-24,4210,4368,4200,4232,39500,0.76
95,2000-05-25,4231,4662,4231,4494,20200,6.19
96,2000-05-26,4641,4662,4231,4337,67800,-3.49
97,2000-05-29,4536,4599,4399,4536,6400,4.59
98,2000-05-30,4546,4746,4536,4746,12600,4.63
99,2000-05-31,4819,4977,4767,4788,23950,0.88
100,2000-06-01,4557,4683,4557,4599,3350,-3.95
101,2000-06-02,4725,4809,4473,4620,25950,0.46
102,2000-06-05,4620,4830,4515,4683,46400,1.36
103,2000-06-07,4578,4725,4557,4641,12600,-0.9
104,2000-06-08,4641,4704,4536,4536,59650,-2.26
105,2000-06-09,4620,4620,4536,4536,18800,0.0
106,2000-06-12,4578,4777,4242,4242,172050,-6.48
107,2000-06-13,4515,4515,4263,4263,50600,0.5
108,2000-06-14,4389,4389,4263,4263,58600,0.0
109,2000-06-15,4263,4347,4263,4263,53550,0.0
110,2000-06-16,4263,4305,4263,4263,28750,0.0
111,2000-06-19,4273,4389,4263,4284,29300,0.49
112,2000-06-20,4284,4431,4284,4316,13000,0.75
113,2000-06-21,4326,4378,4315,4316,56900,0.0
