,Date,Open,High,Low,Close,Volume,Change
0,2000-01-04,10344,11098,10344,10819,23110,-4.18
1,2000-01-05,10534,10769,10064,10348,71680,-4.35
2,2000-01-06,10628,10769,10064,10160,34910,-1.82
3,2000-01-07,10157,10815,9922,10584,32680,4.17
4,2000-01-10,10628,10908,10344,10725,38270,1.33
5,2000-01-11,10722,10815,10064,10066,190080,-6.14
6,2000-01-12,10344,10534,10109,10160,40170,0.93
7,2000-01-13,10440,10815,10157,10630,42050,4.63
8,2000-01-14,10815,11756,10815,11291,147860,6.22
9,2000-01-17,11849,12180,11476,11760,119580,4.15
10,2000-01-18,11944,11944,11004,11570,72170,-1.62
11,2000-01-19,11663,11756,10674,10678,61320,-7.71
12,2000-01-20,11285,11379,9969,10630,70060,-0.45
13,2000-01-21,10722,10863,10157,10584,71940,-0.43
14,2000-01-24,10157,10534,10157,10254,17730,-3.12
15,2000-01-25,10534,10534,10251,10394,48940,1.37
16,2000-01-26,10534,10534,10109,10348,41260,-0.44
17,2000-01-27,10344,10863,10344,10865,31070,5.0
18,2000-01-28,11098,11476,10863,11055,36800,1.75
19,2000-01-31,11051,11427,11051,11291,48120,2.13
20,2000-02-01,11756,11756,11285,11291,22700,0.0
21,2000-02-02,11379,11476,10908,11477,35840,1.65
22,2000-02-03,11520,11803,11520,11713,35130,2.06
23,2000-02-07,11756,11897,11663,11900,49850,1.6
24,2000-02-08,11944,11944,11570,11760,41440,-1.18
25,2000-02-09,11756,11756,11144,11477,40080,-2.41
26,2000-02-10,11476,11476,10908,11335,42180,-1.24
27,2000-02-11,11334,11334,10534,11055,36760,-2.47
28,2000-02-14,11051,11051,10534,10678,38190,-3.41
29,2000-02-15,10628,10628,10016,10584,35940,-0.88
30,2000-02-16,10580,10815,10064,10584,64260,0.0
31,2000-02-17,10628,12133,10344,10630,105860,0.43
32,2000-02-18,10628,10908,10109,10443,75790,-1.76
33,2000-02-21,10344,10628,9451,10348,47950,-0.91
34,2000-02-22,10251,10251,9686,10066,35720,-2.73
35,2000-02-23,9499,10815,9499,10678,70250,6.08
36,2000-02-24,10344,10534,9734,10301,26590,-3.53
37,2000-02-25,10251,10251,9780,10254,66660,-0.46
38,2000-02-28,9969,10251,9686,10254,26920,0.0
39,2000-02-29,10440,10534,9969,10348,51270,0.92
40,2000-03-02,10344,10344,9874,10348,64120,0.0
41,2000-03-03,10157,10344,9686,9784,51200,-5.45
42,2000-03-06,9780,10628,9592,10584,147580,8.18
43,2000-03-07,10815,11098,10580,10584,60020,0.0
44,2000-03-08,11004,11004,10580,11007,46120,4.0
45,2000-03-09,11191,11191,10815,11007,56860,0.0
46,2000-03-10,10815,11004,10534,10913,43470,-0.85
47,2000-03-13,10674,11849,10628,11241,108200,3.01
48,2000-03-14,11663,11663,11004,11241,85390,0.0
49,2000-03-15,11285,11379,10344,10725,81110,-4.59
50,2000-03-16,10815,11239,10722,11241,27870,4.81
51,2000-03-17,11379,11803,11004,11148,96160,-0.83
52,2000-03-20,11144,11239,10628,10725,43270,-3.79
53,2000-03-21,10722,11004,10344,11007,43390,2.63
54,2000-03-22,11098,11098,10722,11055,25160,0.44
55,2000-03-23,11004,11098,10674,10725,61660,-2.99
56,2000-03-24,10534,10815,10440,10725,35220,0.0
57,2000-03-27,10815,11144,10440,10819,38150,0.88
58,2000-03-28,10769,10908,10580,10819,53460,0.0
59,2000-03-29,10863,11285,10722,10959,47430,1.29
60,2000-03-30,10908,11191,10580,10913,23520,-0.42
61,2000-03-31,10815,11004,10534,10913,20550,0.0
62,2000-04-03,10815,10815,10392,10394,14520,-4.76
63,2000-04-04,10157,10251,9686,9878,10070,-4.96
64,2000-04-06,9499,9780,9406,9549,19500,-3.33
65,2000-04-07,9244,9592,9215,9314,46560,-2.46
66,2000-04-10,9406,9592,9308,9314,112920,0.0
67,2000-04-11,9406,9499,9028,9031,53300,-3.04
68,2000-04-12,8935,9028,8841,8852,41440,-1.98
69,2000-04-14,8831,8886,8698,8891,24270,0.44
70,2000-04-17,7824,8455,7711,7714,84480,-13.24
71,2000-04-18,8087,8370,7711,7714,57330,0.0
72,2000-04-19,8087,8087,7711,7714,222270,0.0
73,2000-04-20,7806,7993,7806,7866,59410,1.97
74,2000-04-21,7909,8135,7899,8092,37240,2.87
75,2000-04-24,7919,8087,7919,7997,40610,-1.17
76,2000-04-25,7928,8135,7928,8092,85900,1.19
77,2000-04-26,8087,8171,7946,7997,51090,-1.17
78,2000-04-27,7626,7983,7626,7836,29040,-2.01
79,2000-04-28,7646,8218,7646,8062,23540,2.88
80,2000-05-02,8087,8087,7946,8043,20790,-0.24
81,2000-05-03,8041,8218,7899,8062,36210,0.24
82,2000-05-04,8145,8171,7946,8062,28280,0.0
83,2000-05-08,8087,8218,8002,8137,27480,0.93
84,2000-05-09,8275,8275,8087,8165,10360,0.34
85,2000-05-10,8087,8275,8041,8278,13730,1.38
86,2000-05-12,8135,8190,7993,8156,9480,-1.47
87,2000-05-15,7693,8051,7693,8052,18600,-1.28
88,2000-05-16,7993,8275,7824,8278,19930,2.81
89,2000-05-17,8370,8370,8002,8269,22580,-0.11
90,2000-05-18,7815,7993,7711,7997,12780,-3.29
91,2000-05-19,8002,8041,7806,7997,12910,0.0
92,2000-05-22,7852,7993,7664,7808,12730,-2.36
93,2000-05-23,7523,7880,7523,7714,13010,-1.2
94,2000-05-24,7533,7758,7110,7761,9460,0.61
95,2000-05-25,7739,8267,7739,7939,45040,2.29
96,2000-05-26,7720,7796,7523,7761,45720,-2.24
97,2000-05-29,7616,7711,7523,7658,11230,-1.33
98,2000-05-30,7533,8087,7533,7903,21880,3.2
99,2000-05-31,7993,8087,7946,7959,13740,0.71
100,2000-06-01,8041,8115,7806,7903,7280,-0.7
101,2000-06-02,7919,8087,7899,7949,24700,0.58
102,2000-06-05,8002,8370,8002,8092,85540,1.8
103,2000-06-07,8059,8275,7909,8185,50230,1.15
104,2000-06-08,8464,8464,7956,7959,46210,-2.76
105,2000-06-09,7899,7964,7757,7969,33640,0.13
106,2000-06-12,7964,8115,7964,8092,82610,1.54
107,2000-06-13,8145,8218,7983,7997,42930,-1.17
108,2000-06-14,7946,8002,7899,7997,24970,0.0
109,2000-06-15,7993,7993,7833,7988,31830,-0.11
110,2000-06-16,7852,7964,7852,7903,12170,-1.06
111,2000-06-19,7806,8012,7767,7771,16450,-1.67
112,2000-06-20,7806,7889,7664,7667,6370,-1.34
