,Date,Open,High,Low,Close,Volume,Change
0,2000-01-04,1742,1913,1742,1912,67930,11.94
1,2000-01-05,2136,2136,1807,1998,138470,4.5
2,2000-01-06,2005,2136,1873,2070,109620,3.6
3,2000-01-07,1965,1978,1824,1840,121320,-11.11
4,2000-01-10,1939,2038,1715,1971,123750,7.12
5,2000-01-11,1972,2038,1873,1932,91370,-1.98
6,2000-01-12,1965,1965,1702,1741,118200,-9.89
7,2000-01-13,1610,1610,1535,1534,122040,-11.89
8,2000-01-14,1535,1577,1354,1399,149930,-8.8
9,2000-01-17,1439,1558,1328,1557,143440,11.29
10,2000-01-18,1545,1637,1446,1541,158020,-1.03
11,2000-01-19,1380,1479,1357,1357,260310,-11.94
12,2000-01-20,1357,1357,1357,1357,0,0.0
13,2000-01-21,1357,1357,1357,1357,0,0.0
14,2000-01-24,1830,2100,1830,2040,403093,50.33
15,2000-01-25,1326,1415,1184,1184,106151,-41.96
16,2000-01-26,1117,1155,1043,1080,181725,-8.78
17,2000-01-27,1043,1073,961,968,63126,-10.37
18,2000-01-28,909,1073,909,1042,114521,7.64
19,2000-01-31,1043,1110,1028,1065,118213,2.21
20,2000-02-01,1080,1155,1043,1139,201845,6.95
21,2000-02-02,1192,1274,1184,1273,156298,11.76
22,2000-02-03,1378,1423,1289,1422,254603,11.7
23,2000-02-07,1527,1587,1527,1586,85665,11.53
24,2000-02-08,1773,1773,1415,1661,320381,4.73
25,2000-02-09,1661,1751,1482,1497,245876,-9.87
26,2000-02-10,1341,1415,1318,1318,199614,-11.96
27,2000-02-11,1341,1467,1244,1400,293521,6.22
28,2000-02-14,1423,1438,1237,1318,102738,-5.86
29,2000-02-15,1192,1341,1162,1191,126825,-9.64
30,2000-02-16,1192,1296,1140,1229,127773,3.19
31,2000-02-17,1274,1371,1237,1370,151708,11.47
32,2000-02-18,1535,1535,1445,1534,481595,11.97
33,2000-02-21,1356,1542,1356,1392,396806,-9.26
34,2000-02-22,1453,1505,1326,1378,299753,-1.01
35,2000-02-23,1378,1378,1214,1221,323261,-11.39
36,2000-02-24,1274,1363,1244,1333,351883,9.17
37,2000-02-25,1333,1415,1274,1311,337046,-1.65
38,2000-02-28,1244,1467,1229,1467,703545,11.9
39,2000-02-29,1542,1631,1415,1594,726408,8.66
40,2000-03-02,1669,1780,1602,1780,497879,11.67
41,2000-03-03,1937,1937,1572,1683,730312,-5.45
42,2000-03-06,1751,1885,1751,1884,790781,11.94
43,2000-03-07,1959,1959,1661,1713,623391,-9.08
44,2000-03-08,1698,1713,1564,1653,551085,-3.5
45,2000-03-09,1654,1847,1639,1847,658012,11.74
46,2000-03-10,1996,2063,1929,2063,940812,11.69
47,2000-03-13,2309,2309,2168,2309,842998,11.92
48,2000-03-14,2585,2585,2555,2584,703554,11.91
49,2000-03-15,2890,2890,2384,2890,2271631,11.84
50,2000-03-16,2667,2831,2548,2547,698731,-11.87
51,2000-03-17,2250,2346,2242,2242,516984,-11.97
52,2000-03-20,1974,1974,1974,1974,33087,-11.95
53,2000-03-21,1743,1832,1743,1743,1158234,-11.7
54,2000-03-22,1751,1952,1743,1869,1552143,7.23
55,2000-03-23,1870,1974,1646,1646,876848,-11.93
56,2000-03-24,1587,1736,1505,1690,732827,2.67
57,2000-03-27,1728,1892,1631,1892,1079106,11.95
58,2000-03-28,1907,2063,1788,1936,1106562,2.33
59,2000-03-29,1870,1892,1713,1728,606894,-10.74
60,2000-03-30,1639,1832,1587,1720,426616,-0.46
61,2000-03-31,1594,1721,1594,1616,247454,-6.05
62,2000-04-03,1676,1713,1423,1422,350348,-12.0
63,2000-04-04,1266,1304,1259,1273,347342,-10.48
64,2000-04-06,1199,1400,1199,1363,369693,7.07
65,2000-04-07,1393,1520,1378,1512,510562,10.93
66,2000-04-10,1564,1691,1564,1690,426875,11.77
67,2000-04-11,1579,1639,1490,1489,439729,-11.89
68,2000-04-12,1415,1520,1311,1422,406551,-4.5
69,2000-04-14,1304,1386,1274,1340,259627,-5.77
70,2000-04-17,1192,1453,1184,1221,937848,-8.88
71,2000-04-18,1326,1356,1184,1258,524699,3.03
72,2000-04-19,1311,1408,1304,1407,728214,11.84
73,2000-04-20,1415,1572,1311,1571,730956,11.66
74,2000-04-21,1751,1758,1475,1549,2260171,-1.4
75,2000-04-24,1602,1602,1371,1400,639152,-9.62
76,2000-04-25,1341,1490,1326,1407,451365,0.5
77,2000-04-26,1453,1475,1326,1333,327250,-5.26
78,2000-04-27,1229,1311,1214,1266,280718,-5.03
79,2000-04-28,1266,1341,1237,1281,208206,1.18
80,2000-05-02,1274,1348,1251,1296,458649,1.17
81,2000-05-03,1259,1445,1237,1445,560541,11.5
82,2000-05-04,1467,1616,1356,1430,1105205,-1.04
83,2000-05-08,1460,1520,1423,1437,575048,0.49
84,2000-05-09,1430,1512,1408,1489,688090,3.62
85,2000-05-10,1557,1579,1460,1564,1086500,5.04
86,2000-05-12,1579,1602,1475,1489,904589,-4.8
87,2000-05-15,1438,1527,1311,1318,762573,-11.48
88,2000-05-16,1289,1348,1229,1348,235468,2.28
89,2000-05-17,1311,1378,1229,1229,394313,-8.83
90,2000-05-18,1177,1177,1088,1087,279637,-11.55
91,2000-05-19,1006,1102,961,1095,188788,0.74
92,2000-05-22,1095,1125,1006,1027,157014,-6.21
93,2000-05-23,939,991,909,946,179806,-7.89
94,2000-05-24,894,968,834,893,254341,-5.6
95,2000-05-25,916,998,916,998,177252,11.76
96,2000-05-26,1035,1073,901,923,255121,-7.52
97,2000-05-29,894,961,849,923,142933,0.0
98,2000-05-30,939,1021,939,1013,257620,9.75
99,2000-05-31,1065,1117,1065,1102,242964,8.79
100,2000-06-01,1073,1095,991,1005,221868,-8.8
101,2000-06-02,1058,1125,1028,1124,631956,11.84
102,2000-06-05,1259,1259,1259,1258,92390,11.92
103,2000-06-07,1408,1408,1408,1407,56539,11.84
104,2000-06-08,1535,1572,1259,1422,1341861,1.07
105,2000-06-09,1289,1475,1289,1422,276457,0.0
106,2000-06-12,1423,1587,1423,1586,440418,11.53
107,2000-06-13,1602,1773,1564,1772,719287,11.73
108,2000-06-14,1974,1981,1847,1981,240757,11.79
109,2000-06-15,2160,2212,1751,1825,1635415,-7.87
110,2000-06-16,1683,1751,1609,1608,525379,-11.89
111,2000-06-19,1564,1795,1535,1795,623946,11.63
112,2000-06-20,1870,2004,1840,2003,748039,11.59
113,2000-06-21,2086,2242,1989,2234,1087592,11.53
114,2000-06-22,2235,2346,1967,2137,727796,-4.34
115,2000-06-23,1989,2384,1937,2309,835756,8.05
116,2000-06-26,2257,2421,2086,2212,760666,-4.2
117,2000-06-27,2235,2279,1952,1951,808105,-11.8
118,2000-06-28,1952,1952,1721,1750,800036,-10.3
119,2000-06-29,1937,1959,1832,1959,342396,11.94
120,2000-06-30,2190,2190,2123,2190,444703,11.79
121,2000-07-03,2451,2451,2324,2450,1236555,11.87
122,2000-07-04,2384,2592,2250,2420,847811,-1.22
123,2000-07-05,2257,2570,2130,2458,1020898,1.57
124,2000-07-06,2458,2518,2376,2435,761573,-0.94
125,2000-07-07,2466,2600,2332,2510,1642193,3.08
126,2000-07-10,2570,2808,2570,2808,1144083,11.87
127,2000-07-11,2905,3099,2585,2964,936056,5.56
128,2000-07-12,2965,3091,2682,2979,655035,0.51
129,2000-07-13,2622,2726,2622,2622,549409,-11.98
130,2000-07-14,2384,2734,2384,2681,806888,2.25
131,2000-07-18,2421,2756,2361,2361,428986,-11.94
132,2000-07-19,2078,2175,2078,2078,390745,-11.99
133,2000-07-20,1944,2294,1840,2234,1084832,7.51
134,2000-07-21,1967,2294,1967,2152,832912,-3.67
135,2000-07-24,2153,2227,1900,1899,388321,-11.76
136,2000-07-25,1751,1855,1676,1743,1008944,-8.21
137,2000-07-26,1855,1937,1683,1757,690772,0.8
138,2000-07-27,1676,1967,1676,1966,545945,11.9
139,2000-07-28,2071,2197,2011,2197,931776,11.75
140,2000-07-31,2235,2257,2011,2048,604880,-6.78
141,2000-08-01,2123,2197,2011,2190,558023,6.93
142,2000-08-02,2235,2294,2123,2167,527181,-1.05
143,2000-08-03,2168,2421,2168,2420,785457,11.68
144,2000-08-04,2458,2637,2324,2599,706483,7.4
145,2000-08-07,2540,2659,2324,2487,531461,-4.31
