,Date,Open,High,Low,Close,Volume,Change
0,2000-01-04,460,540,450,510,482662,4.08
1,2000-01-05,510,570,480,570,1196953,11.76
2,2000-01-06,610,630,590,630,926788,10.53
3,2000-01-07,640,680,560,620,874823,-1.59
4,2000-01-10,620,620,560,560,775216,-9.68
5,2000-01-11,530,580,530,570,826467,1.79
6,2000-01-12,600,630,580,630,1874261,10.53
7,2000-01-13,650,700,570,700,2561059,11.11
8,2000-01-14,780,780,720,780,862176,11.43
9,2000-01-17,870,870,870,870,91520,11.54
10,2000-01-18,970,970,790,850,5339660,-2.3
11,2000-01-19,800,840,750,750,2274789,-11.76
12,2000-01-20,700,700,660,660,1818431,-12.0
13,2000-01-21,670,730,660,730,1247850,10.61
14,2000-01-24,750,810,730,800,1158305,9.59
15,2000-01-25,720,820,710,710,1285770,-11.25
16,2000-01-26,740,760,670,720,1361806,1.41
17,2000-01-27,700,730,660,700,890576,-2.78
18,2000-01-28,670,730,660,690,1329195,-1.43
19,2000-01-31,680,720,670,680,977211,-1.45
20,2000-02-01,680,760,670,750,2209796,10.29
21,2000-02-02,750,830,730,770,2710270,2.67
22,2000-02-03,800,800,730,750,1793482,-2.6
23,2000-02-07,840,840,840,840,844862,12.0
24,2000-02-08,940,940,860,940,4100545,11.9
25,2000-02-09,970,1050,890,970,4476736,3.19
26,2000-02-10,900,960,860,870,2318841,-10.31
27,2000-02-11,880,950,810,850,3948269,-2.3
28,2000-02-14,810,860,750,780,2166621,-8.24
29,2000-02-15,780,800,700,730,1531637,-6.41
30,2000-02-16,730,790,700,750,1754991,2.74
31,2000-02-17,750,820,730,780,2173892,4.0
32,2000-02-18,820,850,790,810,1857611,3.85
33,2000-02-21,780,800,750,780,1403407,-3.7
34,2000-02-22,780,820,730,760,1869310,-2.56
35,2000-02-23,810,850,770,850,2421349,11.84
36,2000-02-24,950,950,940,950,754694,11.76
37,2000-02-25,1060,1060,1060,1060,724167,11.58
38,2000-02-28,1180,1180,950,1180,5313729,11.32
39,2000-02-29,1050,1140,1040,1040,3043894,-11.86
40,2000-03-02,1040,1160,1040,1160,2876281,11.54
41,2000-03-03,1290,1290,1160,1290,2763105,11.21
42,2000-03-06,1440,1440,1320,1440,1527837,11.63
43,2000-03-07,1610,1610,1560,1610,1142044,11.81
44,2000-03-08,1420,1750,1420,1460,6242745,-9.32
45,2000-03-09,1560,1630,1450,1630,2373127,11.64
46,2000-03-10,1820,1820,1720,1820,1465150,11.66
47,2000-03-13,2030,2030,2000,2030,1675043,11.54
48,2000-03-14,2270,2270,1790,2270,7981525,11.82
49,2000-03-15,2270,2540,2100,2540,5634973,11.89
50,2000-03-16,2540,2750,2240,2240,5175102,-11.81
51,2000-03-17,1980,2030,1980,1980,860645,-11.61
52,2000-03-20,1750,1750,1750,1750,63306,-11.62
53,2000-03-21,1540,1540,1540,1540,21196,-12.0
54,2000-03-22,1430,1720,1430,1570,8151756,1.95
55,2000-03-23,1610,1680,1390,1390,3791707,-11.46
56,2000-03-24,1370,1480,1230,1270,5984607,-8.63
57,2000-03-27,1310,1420,1250,1420,4182966,11.81
58,2000-03-28,1450,1590,1450,1590,2639649,11.97
59,2000-03-29,1730,1780,1520,1680,4944755,5.66
60,2000-03-30,1520,1770,1480,1480,3734870,-11.9
61,2000-03-31,1480,1570,1380,1440,2715942,-2.7
62,2000-04-03,1500,1590,1300,1410,2210414,-2.08
63,2000-04-04,1260,1390,1250,1340,1613753,-4.96
64,2000-04-06,1360,1440,1340,1380,1424868,2.99
65,2000-04-07,1400,1510,1390,1490,2151956,7.97
66,2000-04-10,1520,1630,1510,1580,2656793,6.04
67,2000-04-11,1430,1480,1400,1400,820160,-11.39
68,2000-04-12,1300,1510,1260,1420,2189248,1.43
69,2000-04-14,1270,1450,1270,1370,971887,-3.52
70,2000-04-17,1260,1290,1210,1250,1816982,-8.76
71,2000-04-18,1340,1380,1280,1380,1498644,10.4
72,2000-04-19,1470,1520,1440,1450,738342,5.07
73,2000-04-20,1430,1490,1390,1450,987124,0.0
74,2000-04-21,1450,1560,1450,1520,1405879,4.83
75,2000-04-24,1550,1550,1440,1470,775070,-3.29
76,2000-04-25,1440,1530,1410,1500,689180,2.04
77,2000-04-26,1550,1560,1440,1450,680108,-3.33
78,2000-04-27,1440,1470,1400,1450,611621,0.0
79,2000-04-28,1480,1490,1390,1460,570392,0.69
80,2000-05-02,1450,1450,1400,1420,448234,-2.74
81,2000-05-03,1420,1420,1360,1400,505491,-1.41
82,2000-05-04,1400,1430,1350,1410,647588,0.71
83,2000-05-08,1440,1570,1390,1570,783082,11.35
84,2000-05-09,1750,1750,1650,1750,1201798,11.46
85,2000-05-10,1800,1950,1670,1740,2458538,-0.57
86,2000-05-12,1760,1830,1650,1780,1839218,2.3
