,Date,Open,High,Low,Close,Volume,Change
0,2001-09-13,17100,17100,17100,17100,209705,-8.56
1,2001-09-14,17100,18250,15050,15350,695123,-10.23
2,2001-09-17,15500,15550,15050,15050,248415,-1.95
3,2001-09-18,15450,16250,15200,15550,360756,3.32
4,2001-09-19,15650,16050,15150,15250,249085,-1.93
5,2001-09-20,15100,15400,15050,15100,140938,-0.98
6,2001-09-21,15050,15150,15050,15050,120650,-0.33
7,2001-09-24,15050,15100,15000,15000,131987,-0.33
8,2001-09-25,15050,15150,15000,15000,184250,0.0
9,2001-09-26,15000,15050,15000,15000,59774,0.0
10,2001-09-27,15000,15050,15000,15000,45919,0.0
11,2001-09-28,15000,15050,15000,15050,197271,0.33
12,2001-10-04,15000,15150,15000,15100,139895,0.33
13,2001-10-05,15200,15200,15000,15000,65705,-0.66
14,2001-10-08,15000,15050,15000,15000,176042,0.0
15,2001-10-09,15000,15050,15000,15000,130359,0.0
16,2001-10-10,15000,15050,15000,15000,240075,0.0
17,2001-10-11,15000,16700,15000,16200,184042,8.0
18,2001-10-12,16900,16900,15000,15000,77711,-7.41
19,2001-10-15,15000,15400,14000,14300,86336,-4.67
20,2001-10-16,14200,15200,14200,14400,64260,0.7
21,2001-10-17,14500,16100,14400,15800,131393,9.72
22,2001-10-18,15400,15500,14800,14800,56516,-6.33
23,2001-10-19,15000,15250,14700,14700,32970,-0.68
24,2001-10-22,14700,14950,14500,14800,29719,0.68
25,2001-10-23,15000,15900,14700,14700,75518,-0.68
26,2001-10-24,14750,15000,14600,14800,26960,0.68
27,2001-10-25,15200,15700,15000,15250,68909,3.04
28,2001-10-26,15450,15450,14850,15000,34516,-1.64
29,2001-10-29,14750,15350,14750,15050,43043,0.33
30,2001-10-30,14900,14900,14450,14500,25710,-3.65
31,2001-10-31,14500,15000,14400,14700,28364,1.38
32,2001-11-01,14550,14850,14550,14650,19459,-0.34
33,2001-11-02,15100,15300,14650,14950,50929,2.05
34,2001-11-05,15000,15100,14700,14700,43993,-1.67
35,2001-11-06,14800,14950,14450,14450,57351,-1.7
36,2001-11-07,14550,14600,14200,14200,23679,-1.73
37,2001-11-08,14350,14400,14100,14150,32176,-0.35
38,2001-11-09,14300,14300,14000,14100,18126,-0.35
39,2001-11-12,14300,14650,14150,14400,78462,2.13
40,2001-11-13,14300,14350,14050,14200,22325,-1.39
41,2001-11-14,14300,14500,14200,14200,46798,0.0
