,Date,Open,High,Low,Close,Volume,Change
0,2011-07-22,8000,9200,8000,9200,1675580,NaN
1,2011-07-25,9280,10200,8910,9100,10307310,-1.09
2,2011-07-26,9430,9570,8100,8330,3304192,-8.46
3,2011-07-27,8380,8400,7760,8020,1892942,-3.72
4,2011-07-28,7800,8920,7800,8260,2296808,2.99
5,2011-07-29,8260,8490,8080,8080,731220,-2.18
6,2011-08-01,8230,8300,7920,8030,612336,-0.62
7,2011-08-02,7960,8020,7350,7440,826105,-7.35
8,2011-08-03,7190,7280,6930,7050,804198,-5.24
9,2011-08-04,7170,7210,6180,6420,615723,-8.94
10,2011-08-05,5630,5800,5460,5460,1308181,-14.95
11,2011-08-08,5160,5670,4650,5360,982876,-1.83
12,2011-08-09,5000,5900,4650,5610,881291,4.66
13,2011-08-10,6200,6200,5720,5720,682752,1.96
14,2011-08-11,5250,6430,5240,6310,963016,10.31
15,2011-08-12,6560,6750,6020,6080,696227,-3.65
16,2011-08-16,6370,6480,6210,6210,314984,2.14
17,2011-08-17,6230,6410,6110,6390,386078,2.9
18,2011-08-18,6580,7110,6520,6840,1334154,7.04
19,2011-08-19,6490,6640,5820,5820,538794,-14.91
20,2011-08-22,5420,5770,4950,4950,2498727,-14.95
21,2011-08-23,5080,5310,4910,5200,794223,5.05
22,2011-08-24,5360,5420,5020,5020,575947,-3.46
23,2011-08-25,5200,5280,5010,5010,462139,-0.2
24,2011-08-26,5010,5120,4950,5120,239414,2.2
25,2011-08-29,5250,5360,5180,5330,410889,4.1
26,2011-08-30,5450,5540,5300,5330,485794,0.0
27,2011-08-31,5330,5810,5290,5800,1020980,8.82
28,2011-09-01,5900,5970,5430,5510,840317,-5.0
29,2011-09-02,5480,5570,5300,5390,387308,-2.18
30,2011-09-05,5200,5250,5080,5080,326590,-5.75
31,2011-09-06,4910,5200,4905,5040,287188,-0.79
32,2011-09-07,5150,5290,5110,5160,209020,2.38
33,2011-09-08,5230,5260,5050,5060,236071,-1.94
34,2011-09-09,5060,5130,5000,5030,166571,-0.59
35,2011-09-14,5050,5080,4750,4750,188442,-5.57
36,2011-09-15,4860,4960,4520,4650,233948,-2.11
37,2011-09-16,4870,4870,4705,4720,307052,1.51
38,2011-09-19,4630,4850,4615,4740,182314,0.42
39,2011-09-20,4700,4830,4580,4800,180321,1.27
40,2011-09-21,4900,5070,4890,4910,270996,2.29
41,2011-09-22,4720,4840,4700,4735,168051,-3.56
42,2011-09-23,4500,4555,4300,4300,219911,-9.19
43,2011-09-26,4310,4480,3655,3655,371499,-15.0
44,2011-09-27,3720,4010,3720,3995,221037,9.3
45,2011-09-28,4055,4140,3940,3980,175283,-0.38
46,2011-09-29,3895,3975,3880,3920,190858,-1.51
47,2011-09-30,4000,4190,3935,4110,236947,4.85
48,2011-10-04,3820,3940,3770,3900,156570,-5.11
49,2011-10-05,3950,3995,3605,3690,153086,-5.38
50,2011-10-06,3810,3890,3720,3755,126673,1.76
51,2011-10-07,3950,3965,3820,3910,151273,4.13
52,2011-10-10,3920,4090,3900,4015,200337,2.69
53,2011-10-11,4110,4615,4110,4615,491410,14.94
54,2011-10-12,4910,4980,4590,4655,903421,0.87
55,2011-10-13,4885,5290,4790,4950,1201984,6.34
56,2011-10-14,4900,4920,4665,4790,407481,-3.23
57,2011-10-17,4800,4960,4625,4800,385900,0.21
58,2011-10-18,4650,4685,4560,4635,308903,-3.44
59,2011-10-19,4700,5180,4595,5000,487868,7.87
60,2011-10-20,4940,5000,4685,4690,388319,-6.2
61,2011-10-21,4725,4835,4665,4705,237573,0.32
62,2011-10-24,4810,4980,4715,4950,389075,5.21
63,2011-10-25,5080,5090,4850,4870,348449,-1.62
64,2011-10-26,4780,5000,4680,5000,282126,2.67
