,Date,Open,High,Low,Close,Volume,Change
0,2000-02-16,15400,15400,15400,15400,1,4.05
1,2000-02-17,13600,15000,13600,13600,1127,-11.69
2,2000-02-18,13000,14900,12000,13950,3279,2.57
3,2000-02-21,13000,13000,12300,12300,2230,-11.83
4,2000-02-22,12800,12800,10950,11500,1766,-6.5
5,2000-02-23,10600,12000,10600,11800,103,2.61
6,2000-02-24,11750,12700,10450,12700,910,7.63
7,2000-02-25,12700,12700,11700,12700,1120,0.0
8,2000-02-28,13000,14200,11300,14200,1962,11.81
9,2000-02-29,14200,15900,14200,15900,1089,11.97
10,2000-03-02,17800,17800,17700,17800,703,11.95
11,2000-03-03,19900,19900,19900,19900,2429,11.8
12,2000-03-06,22200,22250,22000,22250,4516,11.81
13,2000-03-07,24900,24900,19600,21000,1571,-5.62
14,2000-03-08,18500,19700,18500,18500,6315,-11.9
15,2000-03-09,16700,20700,16500,20500,4971,10.81
16,2000-03-10,20500,20500,18050,18050,5051,-11.95
17,2000-03-13,18500,20200,18500,20200,3309,11.91
18,2000-03-14,20200,22600,20200,22600,3915,11.88
19,2000-03-15,25300,25300,25300,25300,626,11.95
20,2000-03-16,27700,28300,22400,22500,7829,-11.07
21,2000-03-17,23500,25200,23500,25200,2262,12.0
22,2000-03-20,28200,28200,28200,28200,489,11.9
23,2000-03-21,31550,31550,24850,30500,3817,8.16
24,2000-03-22,26900,31000,26850,26850,8392,-11.97
25,2000-03-23,29500,30000,23650,23650,1971,-11.92
26,2000-03-24,22000,23000,21200,22900,1669,-3.17
27,2000-03-27,23950,25600,23950,25600,1002,11.79
28,2000-03-28,25600,25900,23750,25000,495,-2.34
29,2000-03-29,24900,28000,22500,28000,3974,12.0
30,2000-03-30,25100,31350,25100,31350,4047,11.96
31,2000-03-31,35100,35100,35000,35100,5175,11.96
32,2000-04-03,39300,39300,35200,39300,10772,11.97
33,2000-04-04,39000,39000,34600,34600,4892,-11.96
34,2000-04-06,33000,35700,30450,30450,8462,-11.99
35,2000-04-07,31000,34100,31000,34100,8733,11.99
36,2000-04-10,38150,38150,38150,38150,1154,11.88
37,2000-04-11,38200,42700,38200,42700,6058,11.93
38,2000-04-12,47800,47800,47800,47800,453,11.94
39,2000-04-14,53500,53500,53500,53500,106,11.92
40,2000-04-17,59000,59900,47150,56700,15732,5.98
41,2000-04-18,63500,63500,60000,63500,13768,11.99
42,2000-04-19,71100,71100,71100,71100,1840,11.97
43,2000-04-20,79600,79600,63000,79600,46594,11.95
44,2000-04-21,80000,84000,70100,70100,25985,-11.93
45,2000-04-24,61700,68900,61700,61700,25667,-11.98
46,2000-04-25,61000,63800,54300,54300,10641,-11.99
47,2000-04-26,60800,60800,50000,60800,21423,11.97
48,2000-04-27,60800,67800,53600,53600,20944,-11.84
49,2000-04-28,55000,55100,47200,49000,12532,-8.58
50,2000-05-02,46000,54000,43150,49000,16759,0.0
51,2000-05-03,48000,54000,47500,48900,14175,-0.2
52,2000-05-04,50000,52000,48100,49300,10015,0.82
53,2000-05-08,50600,53000,47000,49100,7926,-0.41
54,2000-05-09,49600,52000,47500,49000,7580,-0.2
55,2000-05-10,49000,54800,48000,54800,17015,11.84
56,2000-05-12,60000,61300,55500,59000,13340,7.66
57,2000-05-15,59900,65000,52000,53000,12037,-10.17
58,2000-05-16,53500,54800,47700,49150,6462,-7.26
59,2000-05-17,50000,53300,45000,47000,6703,-4.37
60,2000-05-18,44000,50000,42000,47000,8654,0.0
61,2000-05-19,45000,47000,41400,41400,5583,-11.91
62,2000-05-22,37100,41500,36450,36450,2714,-11.96
63,2000-05-23,32100,35900,32100,32100,2792,-11.93
64,2000-05-24,28250,30000,28250,30000,2237,-6.54
65,2000-05-25,30500,33600,30500,33600,4660,12.0
66,2000-05-26,32100,37300,29600,30000,4647,-10.71
67,2000-05-29,29000,29000,26400,26850,2817,-10.5
68,2000-05-30,29800,30050,26900,30050,6144,11.92
69,2000-05-31,33650,33650,31000,33000,5702,9.82
70,2000-06-01,29500,32000,29100,30000,4740,-9.09
71,2000-06-02,31000,32000,28150,30000,3004,0.0
72,2000-06-05,31800,33600,30200,33600,11213,12.0
73,2000-06-07,33600,35500,30200,33500,6733,-0.3
74,2000-06-08,32600,33000,29500,29500,8198,-11.94
75,2000-06-09,29500,31000,29500,30700,2908,4.07
76,2000-06-12,28150,33000,28150,31000,2521,0.98
77,2000-06-13,29100,34700,29100,34700,11037,11.94
78,2000-06-14,38000,38500,30600,31400,9161,-9.51
79,2000-06-15,32000,35000,29800,31600,6571,0.64
80,2000-06-16,31800,31900,28200,28800,6028,-8.86
81,2000-06-19,26000,30000,26000,29000,3355,0.69
82,2000-06-20,29000,30400,28000,29000,3593,0.0
83,2000-06-21,29900,29900,27750,29150,2657,0.52
84,2000-06-22,30200,30200,28400,28650,2128,-1.72
85,2000-06-23,27200,28500,27200,28500,757,-0.52
86,2000-06-26,27100,29200,27100,28500,1669,0.0
87,2000-06-27,29800,29800,28000,28900,1757,1.4
88,2000-06-28,29100,31500,28000,29250,5981,1.21
89,2000-06-29,29500,29500,28100,28950,2339,-1.03
90,2000-06-30,28950,29600,27800,28000,1775,-3.28
91,2000-07-03,27500,29400,27500,28400,2307,1.43
92,2000-07-04,29000,31800,28600,31800,10753,11.97
93,2000-07-05,33900,33900,28000,28200,7643,-11.32
94,2000-07-06,28500,31550,27400,31550,9181,11.88
95,2000-07-07,32500,35300,29100,31400,10580,-0.48
96,2000-07-10,30200,31600,29450,30000,3743,-4.46
97,2000-07-11,30000,30500,26400,28100,5101,-6.33
98,2000-07-12,27500,31450,27200,31450,12066,11.92
99,2000-07-13,29500,34000,29500,33500,10362,6.52
100,2000-07-14,31550,35000,31550,33300,7615,-0.6
101,2000-07-18,33000,37250,32000,37100,10926,11.41
102,2000-07-19,38000,41400,32650,33000,24032,-11.05
103,2000-07-20,32000,36000,31600,33500,19307,1.52
104,2000-07-21,35400,37000,33800,36800,18680,9.85
105,2000-07-24,37000,40900,36500,39000,33251,5.98
106,2000-07-25,39500,39500,34350,34350,15064,-11.92
107,2000-07-26,32500,35000,31800,33450,18298,-2.62
108,2000-07-27,34000,37000,33450,36900,22367,10.31
109,2000-07-28,36900,37600,33000,34000,11246,-7.86
110,2000-07-31,32100,33700,29950,30950,9440,-8.97
111,2000-08-01,32000,34000,31500,34000,10658,9.85
112,2000-08-02,32150,34200,32150,32900,2975,-3.24
113,2000-08-03,33000,34400,32200,32550,8807,-1.06
114,2000-08-04,32000,35300,32000,34000,14770,4.45
115,2000-08-07,38000,38050,35000,38050,21295,11.91
116,2000-08-08,38500,42600,38000,42600,44829,11.96
117,2000-08-09,47000,47700,46000,47700,11883,11.97
118,2000-08-10,53400,53400,42000,44600,65661,-6.5
119,2000-08-11,46200,47000,39250,39700,33316,-10.99
120,2000-08-14,40000,42000,35200,37000,12857,-6.8
121,2000-08-16,35600,37950,33000,37000,15015,0.0
122,2000-08-17,38000,39700,36500,37400,15480,1.08
123,2000-08-18,37000,41850,35300,41850,27212,11.9
124,2000-08-21,44850,46850,43000,46850,27751,11.95
125,2000-08-22,47800,48900,41250,41250,32407,-11.95
126,2000-08-23,40250,41800,37000,37600,26536,-8.85
127,2000-08-24,38000,42100,38000,42100,33546,11.97
128,2000-08-25,40400,44200,38050,39100,27741,-7.13
129,2000-08-28,40300,41700,38100,40500,15864,3.58
130,2000-08-29,41000,45200,38650,40900,21087,0.99
131,2000-08-30,41700,44200,41000,42400,12526,3.67
132,2000-08-31,42600,42700,38000,40000,11144,-5.66
133,2000-09-01,38150,40900,38150,38550,4131,-3.63
134,2000-09-04,37200,38300,36000,36650,6990,-4.93
135,2000-09-05,35950,37650,34100,34200,4722,-6.68
136,2000-09-06,33100,36500,33100,35500,4605,3.8
137,2000-09-07,35000,36000,31250,32100,6879,-9.58
138,2000-09-08,32250,33500,29300,30700,4567,-4.36
139,2000-09-14,30500,31200,28000,29000,2892,-5.54
140,2000-09-15,29000,30800,28350,29400,3235,1.38
141,2000-09-18,28500,29000,25900,25900,3318,-11.9
142,2000-09-19,25000,25000,22800,22800,3084,-11.97
143,2000-09-20,21000,25500,21000,25500,4048,11.84
144,2000-09-21,27500,27500,22800,24500,3308,-3.92
145,2000-09-22,24800,24800,21600,22250,2049,-9.18
146,2000-09-25,20500,23400,20500,22500,5516,1.12
147,2000-09-26,22500,23500,21500,23250,6408,3.33
148,2000-09-27,22500,25300,22500,24750,7416,6.45
149,2000-09-28,23600,25700,23150,24000,2837,-3.03
150,2000-09-29,23700,24800,23100,23700,4933,-1.25
151,2000-10-02,22700,26500,22250,26500,8672,11.81
152,2000-10-04,26000,28800,25800,27500,7981,3.77
153,2000-10-05,27000,28000,25000,26400,6804,-4.0
154,2000-10-06,26000,27500,25550,26800,2341,1.52
155,2000-10-09,25150,27000,25100,26800,2256,0.0
156,2000-10-10,26800,26800,24200,25900,3930,-3.36
157,2000-10-11,24500,25800,22800,23600,3668,-8.88
158,2000-10-12,22150,26350,22150,25900,11860,9.75
159,2000-10-13,24500,24500,22800,22900,3902,-11.58
160,2000-10-16,24950,24950,23700,24600,3592,7.42
161,2000-10-17,23150,24800,21700,23350,1744,-5.08
162,2000-10-18,23000,23000,21400,22350,1655,-4.28
163,2000-10-19,21050,23000,21050,22650,1317,1.34
164,2000-10-20,24000,25350,22600,25350,12733,11.92
165,2000-10-23,25500,28350,23550,25100,33763,-0.99
166,2000-10-24,24900,26000,23800,24300,7946,-3.19
167,2000-10-25,24000,25900,24000,25000,7506,2.88
168,2000-10-26,23100,28000,23100,28000,14727,12.0
169,2000-10-27,28500,31350,28500,31300,13553,11.79
170,2000-10-30,31800,31800,28000,28100,8433,-10.22
171,2000-10-31,28400,29500,24750,24850,14456,-11.57
172,2000-11-01,25000,26750,25000,26500,3754,6.64
173,2000-11-02,27000,28000,25550,26500,3201,0.0
174,2000-11-03,26500,27300,26500,26500,2707,0.0
175,2000-11-06,27850,29500,27000,27900,5184,5.28
176,2000-11-07,27900,29100,26800,27500,5823,-1.43
177,2000-11-08,27500,30800,26800,30800,15533,12.0
178,2000-11-09,30800,34450,30800,34450,22246,11.85
179,2000-11-10,34450,36500,30400,30800,20030,-10.6
180,2000-11-13,30800,33900,28500,29700,4969,-3.57
181,2000-11-14,29800,32600,29800,31600,7257,6.4
182,2000-11-15,31000,32600,29100,30900,4427,-2.22
183,2000-11-16,30900,31800,30100,31200,3747,0.97
184,2000-11-17,31200,31800,30000,30850,2860,-1.12
185,2000-11-20,30000,31600,29550,30400,2402,-1.46
186,2000-11-21,29500,32700,29500,31600,6079,3.95
187,2000-11-22,31600,31800,29700,30000,1993,-5.06
188,2000-11-23,30100,30100,26400,26400,4003,-12.0
189,2000-11-24,26400,27800,25300,26800,3429,1.52
190,2000-11-27,26800,28350,26800,27950,2851,4.29
191,2000-11-28,27500,28000,25600,26800,3263,-4.11
192,2000-11-29,25600,27500,25000,26300,1643,-1.87
193,2000-11-30,25200,26200,24700,25500,1240,-3.04
194,2000-12-01,24150,25900,24150,25400,1580,-0.39
195,2000-12-04,25500,27000,25500,25950,1124,2.17
196,2000-12-05,26400,26400,25200,25950,977,0.0
197,2000-12-06,27100,27100,25000,25800,1312,-0.58
198,2000-12-07,25500,28850,24900,28800,3794,11.63
199,2000-12-08,27100,28500,26700,27300,4136,-5.21
200,2000-12-11,27500,27500,26000,26600,2190,-2.56
201,2000-12-12,25700,27200,25700,26800,714,0.75
202,2000-12-13,25500,29700,25500,29500,7010,10.07
203,2000-12-14,29400,30300,27800,29000,5427,-1.69
204,2000-12-15,29500,29500,27600,29150,2518,0.52
205,2000-12-18,29200,30900,27750,29750,3014,2.06
206,2000-12-19,28550,31450,28550,29900,2284,0.5
207,2000-12-20,29000,30300,28200,29500,1577,-1.34
208,2000-12-21,27000,29300,26100,28500,1260,-3.39
209,2000-12-22,29000,29000,27000,28250,1175,-0.88
210,2000-12-26,28100,31600,28100,31600,7131,11.86
