,Date,Open,High,Low,Close,Volume,Change
0,2000-01-04,2839,3312,2839,3311,73290,4.94
1,2000-01-05,3273,3273,3076,3130,64860,-5.47
2,2000-01-06,3155,3305,2926,2941,87250,-6.04
3,2000-01-07,2942,3060,2839,2918,54530,-0.78
4,2000-01-10,3068,3217,3020,3051,109390,4.56
5,2000-01-11,3005,3076,2966,2997,67040,-1.77
6,2000-01-12,3005,3391,3005,3257,374060,8.68
7,2000-01-13,3312,3458,3170,3351,332240,2.89
8,2000-01-14,3314,3353,3116,3163,155160,-5.61
9,2000-01-17,3162,3194,2989,3028,160880,-4.27
10,2000-01-18,2946,3037,2761,2902,94640,-4.16
11,2000-01-19,2839,2878,2665,2665,106850,-8.17
12,2000-01-20,2570,2602,2334,2483,106360,-6.83
13,2000-01-21,2508,2603,2405,2500,98260,0.68
14,2000-01-24,2370,2523,2370,2444,104250,-2.24
15,2000-01-25,2446,2659,2446,2524,189240,3.27
16,2000-01-26,2603,2745,2528,2744,163240,8.72
17,2000-01-27,2611,2875,2611,2800,163880,2.04
18,2000-01-28,2863,2879,2721,2784,128430,-0.57
19,2000-01-31,2800,2839,2681,2744,201540,-1.44
20,2000-02-01,2769,2824,2745,2796,128980,1.9
21,2000-02-02,2796,2918,2796,2870,79980,2.65
22,2000-02-03,2918,3037,2871,2997,126880,4.43
23,2000-02-07,2997,3131,2937,3122,98990,4.17
24,2000-02-08,3076,3234,2982,3147,107960,0.8
25,2000-02-09,3233,3288,3036,3075,116610,-2.29
26,2000-02-10,3083,3083,2768,2984,137290,-2.96
27,2000-02-11,2998,3030,2722,2836,127500,-4.96
28,2000-02-14,2536,2832,2536,2595,93210,-8.5
29,2000-02-15,2225,2525,2225,2524,205870,-2.74
30,2000-02-16,2603,2682,2375,2524,93150,0.0
31,2000-02-17,2406,2525,2406,2524,105680,0.0
32,2000-02-18,2524,2903,2524,2902,233560,14.98
33,2000-02-21,2949,3312,2918,3099,428080,6.79
34,2000-02-22,2998,3562,2651,3561,461720,14.91
35,2000-02-23,3778,4093,3565,3943,650590,10.73
36,2000-02-24,3919,3927,3628,3903,402630,-1.01
37,2000-02-25,4022,4487,3943,4416,677510,13.14
38,2000-02-28,4338,5000,4220,4937,771250,11.8
39,2000-02-29,4898,5095,4543,4866,558530,-1.44
40,2000-03-02,4930,5088,4583,4803,498340,-1.29
41,2000-03-03,4497,4733,4181,4575,419450,-4.75
42,2000-03-06,4339,4891,4260,4575,744560,0.0
43,2000-03-07,4496,4575,4220,4220,267210,-7.76
44,2000-03-08,3959,4101,3833,3864,316720,-8.44
45,2000-03-09,4022,4259,3825,4250,414970,9.99
46,2000-03-10,4338,4551,4102,4290,410210,0.94
47,2000-03-13,4110,4930,4110,4930,544550,14.92
48,2000-03-14,4929,5442,4661,5008,670630,1.58
49,2000-03-15,4890,5206,4654,4771,407150,-4.73
50,2000-03-16,4417,4969,4417,4495,260790,-5.78
51,2000-03-17,4575,4804,3834,3833,389870,-14.73
52,2000-03-20,3865,4338,3833,4259,509050,11.11
53,2000-03-21,4103,4418,3661,3660,293620,-14.06
54,2000-03-22,3746,3967,3482,3864,375960,5.57
55,2000-03-23,3668,3983,3668,3825,248310,-1.01
56,2000-03-24,3865,4015,3786,3943,231060,3.08
57,2000-03-27,3711,3943,3699,3852,280590,-2.31
58,2000-03-28,3943,3943,3588,3667,219860,-4.8
59,2000-03-29,3747,4023,3565,3825,320750,4.31
60,2000-03-30,3778,4101,3746,3817,283740,-0.21
61,2000-03-31,3770,3912,3486,3628,177510,-4.95
62,2000-04-03,3629,3629,3313,3320,304500,-8.49
63,2000-04-04,3036,3549,3021,3549,305010,6.9
64,2000-04-06,3502,3825,3423,3785,173140,6.65
65,2000-04-07,3778,4180,3723,4117,447450,8.77
66,2000-04-10,4251,4511,4140,4416,374480,7.26
67,2000-04-11,4338,4338,3865,4132,413040,-6.43
68,2000-04-12,3944,4259,3904,4259,272260,3.07
69,2000-04-14,4181,4551,4062,4101,368540,-3.71
70,2000-04-17,3865,3865,3486,3486,297770,-15.0
71,2000-04-18,3510,3628,3392,3510,321670,0.69
72,2000-04-19,3550,3818,3518,3589,247110,2.25
73,2000-04-20,3407,3699,3407,3549,123120,-1.11
74,2000-04-21,3589,4063,3510,3983,261260,12.23
75,2000-04-24,3983,4180,3912,4022,221640,0.98
76,2000-04-25,4007,4252,3881,4101,299350,1.96
77,2000-04-26,4180,4330,3778,3778,277040,-7.88
78,2000-04-27,3692,3707,3250,3589,113120,-5.0
79,2000-04-28,3313,3692,3313,3470,186540,-3.32
80,2000-05-02,3399,3707,3399,3628,188340,4.55
81,2000-05-03,3668,3668,3486,3580,87220,-1.32
82,2000-05-04,3628,4117,3478,4117,302390,15.0
83,2000-05-08,4101,4409,4022,4282,569360,4.01
84,2000-05-09,4204,4259,3951,4259,375080,-0.54
85,2000-05-10,4298,4685,4062,4180,977800,-1.85
86,2000-05-12,4062,4330,3881,4259,522130,1.89
87,2000-05-15,3983,4338,3790,3817,272880,-10.38
88,2000-05-16,3549,3786,3478,3549,349900,-7.02
89,2000-05-17,3550,3708,3077,3155,396980,-11.1
90,2000-05-18,2840,3155,2780,2997,183970,-5.01
91,2000-05-19,2839,3139,2768,3075,161230,2.6
92,2000-05-22,3069,3077,2615,2615,173410,-14.96
93,2000-05-23,2484,2665,2484,2665,187110,1.91
94,2000-05-24,2588,3065,2524,3060,286190,14.82
95,2000-05-25,3084,3518,3005,3518,484870,14.97
96,2000-05-26,3574,3787,3156,3163,519590,-10.09
97,2000-05-29,2998,3463,2998,3273,202240,3.48
98,2000-05-30,3237,3430,3044,3075,441540,-6.05
99,2000-05-31,3155,3273,3076,3127,468450,1.69
100,2000-06-01,2966,3115,2879,2918,284880,-6.68
101,2000-06-02,3037,3092,2836,2914,487340,-0.14
102,2000-06-05,3036,3190,2965,3075,456180,5.53
103,2000-06-07,3075,3103,2981,3028,372080,-1.53
104,2000-06-08,3037,3108,2800,2855,334640,-5.71
105,2000-06-09,2784,2934,2784,2855,340170,0.0
106,2000-06-12,2896,3227,2825,3069,668790,7.5
107,2000-06-13,3005,3095,2847,2850,241130,-7.14
108,2000-06-14,2918,3123,2839,2870,348920,0.7
109,2000-06-15,2808,2895,2603,2610,234580,-9.06
110,2000-06-16,2615,2658,2493,2563,138660,-1.8
111,2000-06-19,2555,2641,2531,2530,112380,-1.29
112,2000-06-20,2532,2603,2493,2524,118760,-0.24
113,2000-06-21,2619,2666,2540,2610,156750,3.41
114,2000-06-22,2720,2720,2562,2578,134440,-1.23
115,2000-06-23,2555,2603,2500,2555,126040,-0.89
116,2000-06-26,2516,2642,2500,2602,222330,1.84
117,2000-06-27,2713,2744,2634,2665,235500,2.42
118,2000-06-28,2642,2682,2564,2610,308610,-2.06
119,2000-06-29,2722,3002,2714,3001,599910,14.98
120,2000-06-30,3155,3226,2741,2800,1474740,-6.7
121,2000-07-03,2958,2958,2816,2843,412000,1.54
122,2000-07-04,2918,2930,2800,2803,371820,-1.41
