,Date,Open,High,Low,Close,Volume,Change
0,2000-01-04,4730,5210,4340,5100,46949,3.45
1,2000-01-05,5090,5300,4800,4950,46050,-2.94
2,2000-01-06,4950,5050,4650,4800,48885,-3.03
3,2000-01-07,4960,5090,4900,4950,92470,3.12
4,2000-01-10,4990,5500,4950,5450,125887,10.1
5,2000-01-11,5650,5800,5210,5280,83988,-3.12
6,2000-01-12,5100,5200,4850,5100,60517,-3.41
7,2000-01-13,5380,5710,5260,5600,241947,9.8
8,2000-01-14,5700,6200,5620,6050,307170,8.04
9,2000-01-17,6100,6450,5820,5900,216705,-2.48
10,2000-01-18,5900,5900,5250,5380,119037,-8.81
11,2000-01-19,5350,5380,4850,4900,102396,-8.92
12,2000-01-20,4900,4900,4500,4690,53393,-4.29
13,2000-01-21,4800,4980,4720,4900,40567,4.48
14,2000-01-24,4910,5200,4700,5000,72432,2.04
15,2000-01-25,5200,5200,4800,4940,34178,-1.2
16,2000-01-26,5000,5000,4800,4850,28104,-1.82
17,2000-01-27,4800,5200,4800,5160,44982,6.39
18,2000-01-28,5150,5170,4900,4970,46603,-3.68
19,2000-01-31,4880,5030,4750,4950,50292,-0.4
20,2000-02-01,5060,5100,4960,5000,61451,1.01
21,2000-02-02,5000,5020,4900,5000,70511,0.0
22,2000-02-03,5000,5070,4950,5000,71237,0.0
23,2000-02-07,5000,5390,4920,5080,123677,1.6
24,2000-02-08,5030,5030,4910,4990,85387,-1.77
25,2000-02-09,5000,5000,4890,4900,60026,-1.8
26,2000-02-10,4850,4850,4700,4780,57864,-2.45
27,2000-02-11,4780,4790,4230,4400,129095,-7.95
28,2000-02-14,4300,4300,4050,4290,67949,-2.5
29,2000-02-15,4280,4580,4080,4140,59865,-3.5
30,2000-02-16,4100,4200,3970,4070,29792,-1.69
31,2000-02-17,4080,4150,4000,4050,35830,-0.49
32,2000-02-18,4150,4190,3970,4070,60117,0.49
33,2000-02-21,4070,4070,3680,3760,47478,-7.62
34,2000-02-22,3700,3750,3530,3570,40577,-5.05
35,2000-02-23,3490,3990,3490,3990,83347,11.76
36,2000-02-24,4100,4100,3680,3800,46542,-4.76
37,2000-02-25,3800,3900,3530,3710,57560,-2.37
38,2000-02-28,3750,3750,3520,3620,31503,-2.43
39,2000-02-29,3700,3900,3550,3680,64824,1.66
40,2000-03-02,3680,3800,3600,3750,79405,1.9
41,2000-03-03,3750,3760,3500,3560,58373,-5.07
42,2000-03-06,3590,3850,3590,3790,86011,6.46
43,2000-03-07,3750,4240,3700,4060,180826,7.12
44,2000-03-08,4100,4390,3950,3990,130446,-1.72
45,2000-03-09,4000,4210,3860,3900,102681,-2.26
