,Date,Open,High,Low,Close,Volume,Change
0,2000-01-04,0,0,0,2440,0,-11.91
1,2000-01-05,2150,2170,2150,2150,1572,-11.89
2,2000-01-06,1900,2400,1900,2300,2226,6.98
3,2000-01-07,2570,2570,2030,2570,1463,11.74
4,2000-01-10,2870,2870,2870,2870,41,11.67
5,2000-01-11,2870,3200,2800,3200,631,11.5
6,2000-01-12,3200,3560,3200,3560,81,11.25
7,2000-01-13,3560,3970,3560,3940,201,10.67
8,2000-01-14,3940,4250,3940,4190,1630,6.35
9,2000-01-17,4500,4500,3700,4390,160,4.77
10,2000-01-18,4900,4900,3900,4880,65,11.16
11,2000-01-19,0,0,0,4750,0,-2.66
12,2000-01-20,4730,4730,4730,4730,1,-0.42
13,2000-01-21,4500,4500,4170,4170,52,-11.84
14,2000-01-24,0,0,0,3670,0,-11.99
15,2000-01-25,3230,4110,3230,3950,1209,7.63
16,2000-01-26,3480,3480,3480,3480,300,-11.9
17,2000-01-27,3070,3700,3070,3700,266,6.32
18,2000-01-28,4140,4140,4070,4070,2,10.0
19,2000-01-31,0,0,0,3590,0,-11.79
20,2000-02-01,3160,3990,3160,3990,165,11.14
21,2000-02-02,3520,3520,3520,3520,20,-11.78
22,2000-02-03,3100,3400,3100,3400,1696,-3.41
23,2000-02-07,3590,3600,3000,3570,596,5.0
24,2000-02-08,3180,3580,3180,3570,85,0.0
25,2000-02-09,3600,3600,3150,3410,557,-4.48
26,2000-02-10,3400,3590,3400,3590,89,5.28
27,2000-02-11,3590,3590,3200,3200,68,-10.86
28,2000-02-14,2820,3580,2820,3580,405,11.88
29,2000-02-15,4000,4000,3900,4000,992,11.73
30,2000-02-16,4480,4480,4480,4480,172,12.0
31,2000-02-17,5010,5010,5010,5010,5272,11.83
32,2000-02-18,5610,5610,5600,5610,10003,11.98
33,2000-02-21,6280,6280,4940,4940,3307,-11.94
34,2000-02-22,4350,5500,4350,5500,7875,11.34
35,2000-02-23,4840,5500,4840,4840,194,-12.0
36,2000-02-24,4260,5000,4260,4760,1302,-1.65
37,2000-02-25,4260,4770,4190,4190,2714,-11.97
38,2000-02-28,4150,4690,4130,4630,1262,10.5
39,2000-02-29,4130,4280,4080,4280,993,-7.56
40,2000-03-02,4280,4400,4100,4350,1663,1.64
41,2000-03-03,4400,4870,4400,4870,21771,11.95
42,2000-03-06,5450,5450,5100,5450,30361,11.91
43,2000-03-07,6100,6100,4800,4810,25093,-11.74
44,2000-03-08,4810,5380,4300,5000,24139,3.95
45,2000-03-09,5500,5600,4800,5600,47165,12.0
46,2000-03-10,6070,6070,5100,5380,40164,-3.93
47,2000-03-13,6020,6020,4940,5160,13456,-4.09
48,2000-03-14,4550,5100,4550,4550,11873,-11.82
49,2000-03-15,4620,5090,4620,5090,10268,11.87
50,2000-03-16,5300,5700,5300,5700,26351,11.98
51,2000-03-17,6300,6380,6050,6380,64845,11.93
52,2000-03-20,7140,7140,5620,6500,59240,1.88
53,2000-03-21,5720,7280,5720,7000,43729,7.69
54,2000-03-22,7200,7500,6200,6200,77524,-11.43
55,2000-03-23,5900,6000,5460,5460,22077,-11.94
56,2000-03-24,4810,4810,4810,4810,1758,-11.9
57,2000-03-27,4240,5000,4240,4240,94906,-11.85
58,2000-03-28,4300,4500,3900,4100,44382,-3.3
59,2000-03-29,3800,4590,3710,4590,30065,11.95
60,2000-03-30,5130,5140,4600,5140,43879,11.98
61,2000-03-31,5750,5750,5100,5600,56600,8.95
62,2000-04-03,6000,6000,4930,4930,60091,-11.96
63,2000-04-04,5000,5000,4340,4400,13671,-10.75
64,2000-04-06,4500,4670,3880,4440,12796,0.91
65,2000-04-07,4000,4590,3960,4400,24313,-0.9
66,2000-04-10,4310,4800,4120,4350,27863,-1.14
67,2000-04-11,4450,4450,4110,4290,12834,-1.38
68,2000-04-12,4380,4540,3900,4030,8674,-6.06
69,2000-04-14,3700,4240,3700,4150,7041,2.98
70,2000-04-17,3800,4490,3660,4190,21413,0.96
71,2000-04-18,4690,4690,4390,4690,21538,11.93
72,2000-04-19,5020,5250,4300,5200,37486,10.87
73,2000-04-20,5820,5820,4580,4580,174454,-11.92
74,2000-04-21,4200,4800,4040,4230,105247,-7.64
75,2000-04-24,4250,4260,3880,4140,32819,-2.13
76,2000-04-25,4140,4160,3650,3660,37283,-11.59
77,2000-04-26,3460,3800,3230,3230,27256,-11.75
78,2000-04-27,2950,3610,2950,3260,54353,0.93
79,2000-04-28,3210,3390,2870,2900,22756,-11.04
80,2000-05-02,2800,3050,2800,2900,28685,0.0
81,2000-05-03,2800,2990,2800,2980,21430,2.76
82,2000-05-04,2980,2990,2810,2940,22512,-1.34
83,2000-05-08,3010,3200,2940,3060,27148,4.08
84,2000-05-09,3070,3140,2900,2960,12777,-3.27
85,2000-05-10,2860,3290,2760,3280,36947,10.81
86,2000-05-12,3110,3670,3110,3670,45569,11.89
