,Date,Open,High,Low,Close,Volume,Change
0,2000-01-04,6830,8250,6830,7700,665642,-0.39
1,2000-01-05,7200,7700,6920,7400,765941,-3.9
2,2000-01-06,7800,7850,6800,7150,606449,-3.38
3,2000-01-07,6850,6900,6300,6400,531318,-10.49
4,2000-01-10,6950,7050,6410,6850,552646,7.03
5,2000-01-11,7290,7670,7010,7670,876169,11.97
6,2000-01-12,7010,7260,6750,6750,659177,-11.99
7,2000-01-13,6400,6500,5950,6350,613044,-5.93
8,2000-01-14,6660,6750,5800,6180,699418,-2.68
9,2000-01-17,6300,6680,5920,6440,615421,4.21
10,2000-01-18,6440,6580,6100,6290,537817,-2.33
11,2000-01-19,6410,6520,5540,5540,667032,-11.92
12,2000-01-20,5020,5400,4880,5020,674317,-9.39
13,2000-01-21,5100,5550,4790,5500,1114743,9.56
14,2000-01-24,5620,5950,5350,5760,702560,4.73
15,2000-01-25,5210,5500,5150,5170,559082,-10.24
16,2000-01-26,5450,5450,5030,5220,528025,0.97
17,2000-01-27,5150,5300,5000,5230,397079,0.19
18,2000-01-28,5120,5850,5120,5850,799054,11.85
19,2000-01-31,5910,6550,5910,6550,1305366,11.97
20,2000-02-01,7300,7330,7120,7330,375755,11.91
21,2000-02-02,8200,8200,7450,8200,2725764,11.87
22,2000-02-03,8500,9180,8200,9180,1780714,11.95
23,2000-02-07,10250,10250,10250,10250,131711,11.66
24,2000-02-08,11450,11450,9210,11450,2701189,11.71
25,2000-02-09,11550,12800,11150,11900,4208906,3.93
26,2000-02-10,10700,12450,10650,11200,2048517,-5.88
27,2000-02-11,11700,12500,11700,12500,1335766,11.61
28,2000-02-14,13400,14000,11800,12950,3349816,3.6
29,2000-02-15,12900,13450,11400,11400,1561574,-11.97
30,2000-02-16,10350,11400,10050,11100,2314826,-2.63
31,2000-02-17,10800,12400,10600,12400,3361630,11.71
32,2000-02-18,13850,13850,13000,13850,2883300,11.69
33,2000-02-21,12900,15350,12700,14500,3804643,4.69
34,2000-02-22,15000,16000,13100,14100,3027148,-2.76
35,2000-02-23,14300,14900,12450,13800,2551212,-2.13
36,2000-02-24,14500,15250,14150,15000,3091679,8.7
37,2000-02-25,14300,14900,13200,13400,2119248,-10.67
38,2000-02-28,12200,13800,11800,12000,1695644,-10.45
39,2000-02-29,12350,12800,11400,12400,1606581,3.33
40,2000-03-02,13000,13500,12300,12600,1740787,1.61
41,2000-03-03,12050,14100,11200,14100,1890833,11.9
42,2000-03-06,14900,15650,13700,14800,2085645,4.96
43,2000-03-07,14700,14700,13650,14250,684125,-3.72
44,2000-03-08,13600,15950,13400,15950,3063676,11.93
45,2000-03-09,17000,17850,16600,17850,1168953,11.91
46,2000-03-10,19300,19800,15750,15900,3545222,-10.92
47,2000-03-13,15600,17500,15050,15500,2199403,-2.52
48,2000-03-14,15500,17250,15050,16950,2176442,9.35
49,2000-03-15,16700,18800,16550,17950,1837943,5.9
50,2000-03-16,17750,17750,15800,16000,835505,-10.86
51,2000-03-17,15800,16450,14100,15300,746422,-4.38
52,2000-03-20,14300,15800,13500,14200,1167112,-7.19
53,2000-03-21,12800,15450,12800,14800,1461027,4.23
54,2000-03-22,16200,16200,15000,15500,1676558,4.73
55,2000-03-23,15500,15700,13650,13650,1001432,-11.94
56,2000-03-24,13500,14200,12850,13900,567962,1.83
57,2000-03-27,13900,15100,13450,14000,1252686,0.72
58,2000-03-28,14200,14500,13700,13850,623427,-1.07
59,2000-03-29,13500,13700,12400,12450,450239,-10.11
60,2000-03-30,11500,11700,11000,11400,547160,-8.43
61,2000-03-31,11200,11800,10600,11700,393317,2.63
62,2000-04-03,12050,12250,10300,10300,368648,-11.97
63,2000-04-04,9150,9450,9100,9300,322667,-9.71
64,2000-04-06,9500,9990,9100,9390,374577,0.97
65,2000-04-07,9560,10500,9560,10500,705951,11.82
66,2000-04-10,11300,11750,11300,11750,594992,11.9
67,2000-04-11,10600,11400,10400,10700,573110,-8.94
68,2000-04-12,10700,11400,10200,11350,565914,6.07
69,2000-04-14,10400,10850,10000,10100,411025,-11.01
70,2000-04-17,8900,8900,8900,8900,14530,-11.88
71,2000-04-18,9500,9890,8350,9380,1176337,5.39
72,2000-04-19,10300,10300,8900,9420,505785,0.43
73,2000-04-20,9000,9420,8520,9420,271384,0.0
74,2000-04-21,9550,10550,9000,10550,785730,12.0
75,2000-04-24,10550,10900,9600,9800,474685,-7.11
76,2000-04-25,9600,10200,9310,9800,284162,0.0
77,2000-04-26,10650,10650,9500,9510,323616,-2.96
78,2000-04-27,9250,9700,8900,9000,261674,-5.36
79,2000-04-28,9400,9530,8950,9200,263289,2.22
80,2000-05-02,9410,9690,9200,9340,483767,1.52
81,2000-05-03,8880,9140,8550,8670,513372,-7.17
82,2000-05-04,8500,9140,8330,8710,1358495,0.46
83,2000-05-08,8950,9300,8800,8840,2618740,1.49
84,2000-05-09,8800,8800,8400,8610,825717,-2.6
85,2000-05-10,8500,8950,8500,8690,1082627,0.93
86,2000-05-12,8500,8640,7800,7970,1048033,-8.29
87,2000-05-15,7410,7900,7020,7020,722933,-11.92
