,Date,Open,High,Low,Close,Volume,Change
0,2004-06-18,682,763,663,675,1303362,NaN
1,2004-06-21,686,705,594,596,324278,-11.7
2,2004-06-22,605,605,525,525,266049,-11.91
3,2004-06-23,527,585,506,548,590708,4.38
4,2004-06-24,552,576,521,554,268004,1.09
5,2004-06-25,546,580,535,565,154509,1.99
6,2004-06-28,543,632,543,632,268456,11.86
7,2004-06-29,653,656,607,615,122606,-2.69
8,2004-06-30,620,645,600,637,129876,3.58
9,2004-07-01,650,675,625,629,164875,-1.26
10,2004-07-02,619,646,607,645,107622,2.54
11,2004-07-05,646,677,645,649,187914,0.62
12,2004-07-06,641,665,632,634,81867,-2.31
13,2004-07-07,638,639,565,595,58817,-6.15
14,2004-07-08,580,600,553,553,65045,-7.06
15,2004-07-09,546,567,546,555,36564,0.36
16,2004-07-12,555,577,547,550,44103,-0.9
17,2004-07-13,553,564,536,544,20194,-1.09
18,2004-07-14,560,560,535,536,24457,-1.47
19,2004-07-15,528,549,500,549,37668,2.43
20,2004-07-16,549,560,532,550,29001,0.18
21,2004-07-19,552,557,532,545,56104,-0.91
22,2004-07-20,529,545,512,512,69642,-6.06
23,2004-07-21,520,534,513,527,50733,2.93
24,2004-07-22,520,559,516,552,62042,4.74
25,2004-07-23,568,570,550,562,37747,1.81
26,2004-07-26,565,565,551,554,15232,-1.42
27,2004-07-27,590,617,554,554,168764,0.0
28,2004-07-28,572,608,562,594,125059,7.22
29,2004-07-29,594,628,570,606,140907,2.02
30,2004-07-30,605,615,590,605,52380,-0.17
31,2004-08-02,605,605,550,575,25490,-4.96
32,2004-08-03,585,594,575,583,28892,1.39
33,2004-08-04,568,590,562,590,11573,1.2
34,2004-08-05,585,605,585,595,29476,0.85
35,2004-08-06,590,604,582,584,19810,-1.85
36,2004-08-09,566,600,566,587,23323,0.51
37,2004-08-10,593,593,581,590,15594,0.51
38,2004-08-11,592,599,583,590,37300,0.0
39,2004-08-12,590,628,580,616,80191,4.41
40,2004-08-13,616,635,606,620,110474,0.65
41,2004-08-16,610,620,596,608,97707,-1.94
42,2004-08-17,615,617,604,615,33522,1.15
43,2004-08-18,625,675,625,651,165451,5.85
44,2004-08-19,651,686,645,645,186383,-0.92
45,2004-08-20,647,676,647,655,73677,1.55
46,2004-08-23,674,726,666,700,247169,6.87
47,2004-08-24,709,756,681,726,396581,3.71
48,2004-08-25,737,739,719,723,159251,-0.41
49,2004-08-26,740,743,718,725,103739,0.28
50,2004-08-27,721,742,706,713,149059,-1.66
51,2004-08-30,704,713,689,696,130316,-2.38
52,2004-08-31,691,711,685,702,105375,0.86
53,2004-09-01,714,723,689,700,128121,-0.28
54,2004-09-02,697,707,690,700,100684,0.0
55,2004-09-03,714,745,701,718,142793,2.57
56,2004-09-06,724,800,724,785,367545,9.33
57,2004-09-07,785,785,755,765,90657,-2.55
58,2004-09-08,770,778,735,756,148096,-1.18
59,2004-09-09,754,763,730,763,91278,0.93
60,2004-09-10,761,814,761,800,178965,4.85
61,2004-09-13,800,805,781,787,100966,-1.62
62,2004-09-14,785,802,775,788,79905,0.13
63,2004-09-15,793,823,790,805,220920,2.16
64,2004-09-16,810,822,799,801,91025,-0.5
65,2004-09-17,800,821,793,800,144756,-0.12
66,2004-09-20,806,867,806,860,240879,7.5
67,2004-09-21,869,963,850,945,549636,9.88
68,2004-09-22,965,969,921,940,132182,-0.53
69,2004-09-23,917,989,917,979,128502,4.15
70,2004-09-24,1040,1095,1010,1095,266138,11.85
71,2004-09-30,1160,1215,1110,1135,305340,3.65
72,2004-10-01,1110,1140,1060,1100,325430,-3.08
73,2004-10-04,1130,1225,1090,1170,405428,6.36
74,2004-10-05,1205,1210,1160,1160,172088,-0.85
75,2004-10-06,1160,1170,1025,1070,302429,-7.76
76,2004-10-07,1085,1155,1060,1155,202296,7.94
77,2004-10-08,1130,1200,1090,1095,227651,-5.19
78,2004-10-11,1070,1140,1065,1100,92474,0.46
79,2004-10-12,1125,1130,1040,1050,112385,-4.55
80,2004-10-13,1060,1075,1030,1050,92753,0.0
81,2004-10-14,1050,1095,1025,1090,102262,3.81
82,2004-10-15,1090,1140,1060,1135,121590,4.13
83,2004-10-18,1145,1270,1125,1270,235379,11.89
84,2004-10-19,1370,1385,1275,1320,313165,3.94
85,2004-10-20,1320,1375,1285,1375,251514,4.17
86,2004-10-21,1390,1450,1270,1345,312629,-2.18
87,2004-10-22,1360,1505,1350,1505,181966,11.9
88,2004-10-25,1530,1615,1485,1520,321220,1.0
89,2004-10-26,1510,1700,1510,1670,286981,9.87
90,2004-10-27,1700,1870,1670,1870,360560,11.98
91,2004-10-28,1950,2040,1650,1650,716492,-11.76
92,2004-10-29,1630,1715,1550,1630,437983,-1.21
93,2004-11-01,1635,1665,1565,1570,209554,-3.68
94,2004-11-02,1550,1570,1400,1480,384446,-5.73
95,2004-11-03,1520,1655,1510,1655,556040,11.82
96,2004-11-04,1705,1720,1600,1680,361845,1.51
97,2004-11-05,1720,1750,1650,1705,242495,1.49
98,2004-11-08,1725,1870,1690,1730,387306,1.47
99,2004-11-09,1780,1785,1700,1700,138509,-1.73
100,2004-11-10,1680,1700,1580,1610,174286,-5.29
101,2004-11-11,1620,1800,1620,1800,257874,11.8
102,2004-11-12,1800,1840,1735,1770,337451,-1.67
103,2004-11-15,1800,1820,1745,1800,121952,1.69
104,2004-11-16,1830,1950,1765,1790,428376,-0.56
105,2004-11-17,1820,1835,1735,1795,145904,0.28
106,2004-11-18,1780,1790,1700,1700,152864,-5.29
107,2004-11-19,1700,1740,1635,1655,97054,-2.65
108,2004-11-22,1620,1685,1590,1620,89367,-2.11
109,2004-11-23,1625,1765,1625,1670,193274,3.09
110,2004-11-24,1675,1695,1500,1620,329357,-2.99
111,2004-11-25,1660,1715,1635,1640,125228,1.23
112,2004-11-26,1625,1655,1575,1600,98991,-2.44
113,2004-11-29,1605,1635,1575,1580,49932,-1.25
114,2004-11-30,1565,1585,1535,1550,96953,-1.9
115,2004-12-01,1550,1600,1520,1570,89553,1.29
116,2004-12-02,1600,1730,1600,1650,197210,5.1
117,2004-12-03,1680,1700,1620,1660,69985,0.61
118,2004-12-06,1665,1670,1600,1600,41313,-3.61
119,2004-12-07,1580,1615,1575,1580,45150,-1.25
120,2004-12-08,1560,1625,1540,1625,74414,2.85
121,2004-12-09,1660,1795,1635,1780,253320,9.54
122,2004-12-10,1800,1845,1740,1810,190330,1.69
123,2004-12-13,1850,1900,1780,1850,147726,2.21
124,2004-12-14,1860,1890,1800,1800,109313,-2.7
125,2004-12-15,1810,1845,1800,1835,98679,1.94
126,2004-12-16,1870,1965,1855,1865,267596,1.63
127,2004-12-17,1890,1900,1775,1780,136386,-4.56
128,2004-12-20,1755,1830,1740,1760,84136,-1.12
129,2004-12-21,1765,1770,1710,1745,66977,-0.85
130,2004-12-22,1735,1800,1710,1750,79779,0.29
131,2004-12-23,1760,1770,1685,1720,65985,-1.71
132,2004-12-24,1730,1775,1670,1690,70314,-1.74
133,2004-12-27,1690,1745,1665,1690,34806,0.0
134,2004-12-28,1675,1705,1660,1660,38379,-1.78
135,2004-12-29,1660,1770,1635,1725,53366,3.92
136,2004-12-30,1730,1760,1705,1745,49142,1.16
137,2005-01-03,1745,1930,1745,1870,303865,7.16
138,2005-01-04,1880,1925,1835,1890,265243,1.07
139,2005-01-05,1885,1915,1825,1825,444696,-3.44
140,2005-01-06,1860,1955,1840,1885,549330,3.29
141,2005-01-07,1860,1875,1750,1795,251915,-4.77
142,2005-01-10,1790,1815,1745,1765,142361,-1.67
143,2005-01-11,1745,1765,1710,1720,119921,-2.55
144,2005-01-12,1715,1810,1715,1810,170727,5.23
145,2005-01-13,1815,1835,1755,1805,109679,-0.28
146,2005-01-14,1820,1870,1730,1740,199614,-3.6
147,2005-01-17,1740,1785,1715,1735,142057,-0.29
148,2005-01-18,1745,1790,1740,1745,156098,0.58
149,2005-01-19,1780,1795,1715,1720,180685,-1.43
150,2005-01-20,1690,1700,1570,1610,215380,-6.4
151,2005-01-21,1575,1620,1565,1570,139253,-2.48
152,2005-01-24,1570,1620,1560,1560,179797,-0.64
153,2005-01-25,1555,1560,1415,1420,267079,-8.97
154,2005-01-26,1450,1590,1435,1590,262257,11.97
155,2005-01-27,1620,1675,1570,1585,182791,-0.31
156,2005-01-28,1615,1630,1520,1530,165846,-3.47
157,2005-01-31,1570,1605,1530,1540,142067,0.65
158,2005-02-01,1535,1575,1500,1550,160067,0.65
159,2005-02-02,1530,1535,1400,1420,239320,-8.39
160,2005-02-03,1440,1445,1330,1340,135806,-5.63
161,2005-02-04,1350,1385,1340,1345,90902,0.37
162,2005-02-07,1345,1415,1345,1390,126292,3.35
163,2005-02-11,1365,1430,1365,1420,82340,2.16
164,2005-02-14,1480,1590,1460,1545,243594,8.8
165,2005-02-15,1545,1595,1520,1545,247709,0.0
166,2005-02-16,1580,1585,1465,1465,151682,-5.18
167,2005-02-17,1460,1485,1440,1460,92769,-0.34
168,2005-02-18,1450,1465,1425,1440,62370,-1.37
169,2005-02-21,1440,1460,1400,1415,80001,-1.74
170,2005-02-22,1425,1525,1425,1440,129993,1.77
171,2005-02-23,1490,1520,1425,1465,98607,1.74
172,2005-02-24,1510,1510,1450,1455,57938,-0.68
173,2005-02-25,1450,1470,1410,1410,66507,-3.09
174,2005-02-28,1420,1445,1415,1415,37087,0.35
175,2005-03-02,1430,1430,1390,1400,59593,-1.06
176,2005-03-03,1420,1435,1400,1405,46243,0.36
177,2005-03-04,1405,1475,1400,1450,115240,3.2
178,2005-03-07,1490,1525,1430,1455,104050,0.34
179,2005-03-08,1470,1475,1370,1405,56199,-3.44
180,2005-03-09,1400,1430,1375,1400,35831,-0.36
181,2005-03-10,1385,1445,1380,1400,54333,0.0
182,2005-03-11,1375,1400,1330,1370,144924,-2.14
183,2005-03-14,1355,1370,1325,1340,84019,-2.19
184,2005-03-15,1340,1340,1215,1230,145647,-8.21
185,2005-03-16,1230,1245,1180,1230,64968,0.0
186,2005-03-17,1215,1270,1210,1210,60132,-1.63
187,2005-03-18,1205,1240,1155,1180,86998,-2.48
188,2005-03-21,1165,1210,1165,1175,67029,-0.42
189,2005-03-22,1175,1310,1175,1270,127052,8.09
190,2005-03-23,1260,1320,1250,1275,82293,0.39
191,2005-03-24,1300,1320,1235,1250,150024,-1.96
