,Date,Open,High,Low,Close,Volume,Change
0,2001-12-04,3800,3800,3800,3800,7401,100.0
1,2001-12-05,4250,4250,3980,4250,4522398,11.84
2,2001-12-06,4600,4750,3990,4000,1693279,-5.88
3,2001-12-07,4100,4180,3820,3990,504437,-0.25
4,2001-12-10,3820,4220,3820,3950,444533,-1.0
5,2001-12-11,4000,4420,4000,4420,1040067,11.9
6,2001-12-12,4730,4950,4510,4550,2258231,2.94
7,2001-12-13,4570,5090,4370,5090,1975961,11.87
8,2001-12-14,5200,5700,5010,5700,1542890,11.98
9,2001-12-17,5990,6380,5860,6380,1586638,11.93
10,2001-12-18,6450,6650,5620,5620,2053533,-11.91
11,2001-12-19,5630,5850,4950,4950,1187103,-11.92
12,2001-12-20,4960,5240,4400,5040,1435527,1.82
13,2001-12-21,4610,5040,4440,4440,637611,-11.9
14,2001-12-24,4100,4470,3910,3910,545934,-11.94
15,2001-12-26,3910,4150,3910,3940,454903,0.77
16,2001-12-27,3950,4270,3950,4130,350127,4.82
17,2001-12-28,4110,4280,4060,4130,366342,0.0
18,2002-01-02,4200,4500,4200,4330,293841,4.84
19,2002-01-03,4350,4440,4200,4200,254467,-3.0
20,2002-01-04,4220,4380,4000,4140,404328,-1.43
21,2002-01-07,4200,4260,4050,4070,286588,-1.69
22,2002-01-08,4050,4210,3970,4160,361729,2.21
23,2002-01-09,4250,4490,4230,4260,595623,2.4
24,2002-01-10,4250,4300,4010,4150,257333,-2.58
25,2002-01-11,4100,4190,4040,4100,157801,-1.2
26,2002-01-14,4050,4240,4030,4100,194646,0.0
27,2002-01-15,4050,4100,3950,3960,179342,-3.41
28,2002-01-16,3900,4080,3900,4000,133568,1.01
29,2002-01-17,4000,4000,3820,3880,157574,-3.0
30,2002-01-18,3870,4340,3870,4340,471369,11.86
31,2002-01-21,4640,4860,4550,4860,770639,11.98
32,2002-01-22,4860,5100,4650,4850,644763,-0.21
33,2002-01-23,4850,5150,4770,4840,571359,-0.21
34,2002-01-24,4900,5050,4840,4900,756193,1.24
35,2002-01-25,5150,5330,5050,5090,1165000,3.88
36,2002-01-28,5120,5130,4610,4730,580300,-7.07
37,2002-01-29,4660,4690,4460,4590,364632,-2.96
38,2002-01-30,4560,5090,4550,4820,676215,5.01
39,2002-01-31,4730,5390,4730,5390,1057091,11.83
40,2002-02-01,5500,5540,5120,5400,722815,0.19
41,2002-02-04,5390,5850,4760,4760,1671605,-11.85
42,2002-02-05,4430,4500,4190,4230,824576,-11.13
43,2002-02-06,4310,4530,4250,4300,389049,1.65
44,2002-02-07,4010,4380,4010,4050,315734,-5.81
45,2002-02-08,3910,4530,3910,4150,928843,2.47
46,2002-02-14,4290,4340,4140,4200,239292,1.2
47,2002-02-15,4200,4250,4020,4160,210502,-0.95
48,2002-02-18,4170,4240,4080,4130,190762,-0.72
49,2002-02-19,4010,4220,4010,4060,145423,-1.69
50,2002-02-20,4060,4160,4040,4050,153429,-0.25
51,2002-02-21,4070,4140,4050,4070,142563,0.49
52,2002-02-22,4020,4180,4020,4100,161353,0.74
53,2002-02-25,4130,4300,4100,4250,265297,3.66
54,2002-02-26,4300,4330,4080,4100,183768,-3.53
55,2002-02-27,4200,4200,4090,4100,170868,0.0
56,2002-02-28,4200,4200,4060,4100,160230,0.0
57,2002-03-04,4050,4180,4050,4090,267096,-0.24
58,2002-03-05,4140,4580,4140,4580,699257,11.98
59,2002-03-06,4580,4620,4330,4440,403556,-3.06
60,2002-03-07,4490,4640,4380,4380,501012,-1.35
61,2002-03-08,4380,4450,4160,4200,241962,-4.11
62,2002-03-11,4250,4450,4250,4420,450422,5.24
63,2002-03-12,4390,4530,4270,4500,439528,1.81
64,2002-03-13,4600,4950,4550,4820,1211485,7.11
65,2002-03-14,4750,4870,4530,4840,492833,0.41
66,2002-03-15,4840,4970,4740,4750,365548,-1.86
67,2002-03-18,4750,5220,4750,4900,1596269,3.16
68,2002-03-19,4900,4990,4770,4820,538005,-1.63
69,2002-03-20,4820,4890,4450,4500,529941,-6.64
70,2002-03-21,4450,4690,4360,4660,373221,3.56
71,2002-03-22,4670,4730,4480,4520,414939,-3.0
72,2002-03-25,4550,4850,4520,4720,521870,4.42
73,2002-03-26,4720,4860,4550,4610,425180,-2.33
74,2002-03-27,4700,4800,4640,4800,438376,4.12
75,2002-03-28,4800,5040,4730,4860,775046,1.25
76,2002-03-29,4870,4960,4630,4700,364579,-3.29
77,2002-04-01,4730,4820,4600,4650,381446,-1.06
78,2002-04-02,4800,4920,4500,4550,948413,-2.15
79,2002-04-03,4550,4630,4210,4250,446818,-6.59
80,2002-04-04,4250,4340,4160,4200,253067,-1.18
81,2002-04-08,4200,4290,4120,4200,222743,0.0
82,2002-04-09,4230,4320,4170,4200,231910,0.0
83,2002-04-10,4140,4200,3950,4020,150228,-4.29
84,2002-04-11,3950,4090,3950,4030,131256,0.25
85,2002-04-12,3980,4180,3910,4180,215173,3.72
86,2002-04-15,4290,4490,4180,4390,772038,5.02
87,2002-04-16,4400,4400,4130,4200,242515,-4.33
88,2002-04-17,4250,4280,4100,4130,243348,-1.67
89,2002-04-18,4080,4230,4060,4100,268325,-0.73
90,2002-04-19,4140,4160,4000,4010,196655,-2.2
91,2002-04-22,3950,4000,3600,3700,237886,-7.73
