,Date,Open,High,Low,Close,Volume,Change
0,2000-01-04,301,358,282,360,68100,11.8
1,2000-01-05,400,400,361,402,52460,11.67
2,2000-01-06,448,448,356,381,36310,-5.22
3,2000-01-07,416,416,357,394,67110,3.41
4,2000-01-10,380,415,366,394,10590,0.0
5,2000-01-11,393,410,366,368,92380,-6.6
6,2000-01-12,366,403,364,381,91680,3.53
7,2000-01-13,368,368,335,365,74650,-4.2
8,2000-01-14,327,377,327,378,13960,3.56
9,2000-01-17,356,393,354,394,10450,4.23
10,2000-01-18,354,408,354,392,82880,-0.51
11,2000-01-19,366,366,344,364,30030,-7.14
12,2000-01-20,358,358,319,350,37420,-3.85
13,2000-01-21,322,343,308,336,31390,-4.0
14,2000-01-24,335,348,301,320,36440,-4.76
15,2000-01-25,309,334,295,327,22630,2.19
16,2000-01-26,309,314,309,310,14320,-5.2
17,2000-01-27,309,314,296,314,21100,1.29
18,2000-01-28,320,320,288,315,38370,0.32
19,2000-01-31,301,309,296,298,32810,-5.4
20,2000-02-01,296,310,296,311,5860,4.36
21,2000-02-02,310,335,282,318,144220,2.25
22,2000-02-03,316,354,314,347,155150,9.12
23,2000-02-07,335,374,335,358,204230,3.17
24,2000-02-08,361,366,322,328,87340,-8.38
25,2000-02-09,314,351,314,339,16000,3.35
26,2000-02-10,338,343,327,330,116100,-2.65
27,2000-02-11,327,345,327,334,114700,1.21
28,2000-02-14,340,345,329,340,115360,1.8
29,2000-02-15,339,339,309,315,37930,-7.35
30,2000-02-16,314,351,298,326,27010,3.49
31,2000-02-17,325,330,298,331,42490,1.53
32,2000-02-18,314,356,314,352,125800,6.34
33,2000-02-21,356,356,314,342,47480,-2.84
34,2000-02-22,345,345,314,326,65500,-4.68
35,2000-02-23,325,325,301,312,61150,-4.29
36,2000-02-24,312,348,312,350,241750,12.18
37,2000-02-25,389,389,389,390,166670,11.43
38,2000-02-28,435,435,435,436,37420,11.79
39,2000-02-29,486,486,486,487,64190,11.7
40,2000-03-02,544,544,544,545,24600,11.91
41,2000-03-03,608,608,577,610,597460,11.93
42,2000-03-06,680,680,680,682,254640,11.8
43,2000-03-07,762,762,603,675,1358010,-1.03
44,2000-03-08,682,695,593,654,652180,-3.11
45,2000-03-09,708,730,629,731,435890,11.77
46,2000-03-10,817,817,813,818,194390,11.9
47,2000-03-13,914,914,914,915,63190,11.86
48,2000-03-14,1024,1024,1024,1024,136960,11.91
49,2000-03-15,1145,1145,1145,1146,128110,11.91
50,2000-03-16,1282,1282,1024,1283,1740080,11.95
51,2000-03-17,1260,1260,1128,1130,778680,-11.93
52,2000-03-20,993,993,993,994,25920,-12.04
53,2000-03-21,875,875,875,876,1420,-11.87
54,2000-03-22,770,971,770,802,1835950,-8.45
55,2000-03-23,839,860,704,708,813900,-11.72
56,2000-03-24,716,716,632,693,725840,-2.12
57,2000-03-27,716,775,698,776,284660,11.98
58,2000-03-28,867,867,774,822,952810,5.93
59,2000-03-29,787,796,722,724,438390,-11.92
60,2000-03-30,635,679,635,654,359440,-9.67
61,2000-03-31,682,730,629,731,482320,11.77
62,2000-04-03,760,817,710,764,1311660,4.51
63,2000-04-04,734,734,672,674,86120,-11.78
64,2000-04-06,603,708,592,636,571820,-5.64
65,2000-04-07,644,698,642,672,485490,5.66
66,2000-04-10,682,729,661,696,872010,3.57
67,2000-04-11,612,629,612,613,180680,-11.93
68,2000-04-12,540,656,540,599,430080,-2.28
69,2000-04-14,545,661,528,599,682480,0.0
70,2000-04-17,551,629,527,528,443770,-11.85
71,2000-04-18,537,577,469,512,382080,-3.03
72,2000-04-19,537,572,519,572,579710,11.72
73,2000-04-20,611,640,577,641,268160,12.06
74,2000-04-21,716,716,563,631,1251710,-1.56
75,2000-04-24,591,664,563,614,422990,-2.69
76,2000-04-25,603,653,587,600,468400,-2.28
77,2000-04-26,603,634,590,602,290560,0.33
78,2000-04-27,603,608,529,552,268020,-8.31
79,2000-04-28,537,592,524,538,289210,-2.54
80,2000-05-02,552,563,527,549,323620,2.04
81,2000-05-03,535,561,535,550,234740,0.18
82,2000-05-04,535,614,535,588,503130,6.91
83,2000-05-08,603,656,590,621,458440,5.61
84,2000-05-09,611,611,574,604,214540,-2.74
85,2000-05-10,621,675,590,676,230250,11.92
86,2000-05-12,755,755,755,756,16630,11.83
87,2000-05-15,846,846,846,847,81410,12.04
88,2000-05-16,947,947,947,948,63460,11.92
89,2000-05-17,1060,1060,999,1061,948110,11.92
90,2000-05-18,1060,1186,934,1188,1901210,11.97
91,2000-05-19,1328,1328,1044,1045,1616530,-12.04
92,2000-05-22,919,919,919,921,5230,-11.87
93,2000-05-23,809,809,809,810,5850,-12.05
94,2000-05-24,712,712,712,713,8830,-11.98
95,2000-05-25,634,797,634,799,2708580,12.06
96,2000-05-26,797,824,703,704,876880,-11.89
97,2000-05-29,619,619,619,620,32560,-11.93
98,2000-05-30,590,692,590,631,918340,1.77
99,2000-05-31,679,704,645,705,975820,11.73
100,2000-06-01,703,782,629,696,1132120,-1.28
101,2000-06-02,708,748,668,678,643380,-2.59
102,2000-06-05,656,756,656,758,1017360,11.8
103,2000-06-07,802,847,726,785,1647070,3.56
104,2000-06-08,794,878,738,879,2068660,11.97
105,2000-06-09,878,971,772,773,1105190,-12.06
106,2000-06-12,748,813,734,754,949880,-2.46
107,2000-06-13,782,810,708,762,678720,1.06
108,2000-06-14,760,779,695,709,493910,-6.96
109,2000-06-15,708,758,656,670,756720,-5.5
110,2000-06-16,671,704,645,683,412930,1.94
111,2000-06-19,656,708,656,672,247390,-1.61
112,2000-06-20,674,751,674,752,884150,11.9
113,2000-06-21,758,840,708,748,1300150,-0.53
114,2000-06-22,755,786,708,736,483000,-1.6
115,2000-06-23,708,737,690,714,257270,-2.99
116,2000-06-26,708,774,708,744,484950,4.2
117,2000-06-27,726,774,726,744,286280,0.0
118,2000-06-28,748,830,737,831,634740,11.69
119,2000-06-29,866,929,787,844,1469010,1.56
120,2000-06-30,852,913,821,861,532500,2.01
121,2000-07-03,892,962,860,964,1128210,11.96
122,2000-07-04,962,1073,962,985,1111690,2.18
123,2000-07-05,971,984,866,866,276720,-12.08
124,2000-07-06,762,762,762,763,52380,-11.89
125,2000-07-07,748,813,748,783,539410,2.62
126,2000-07-10,783,848,783,804,533320,2.68
127,2000-07-11,802,806,707,727,568640,-9.58
128,2000-07-12,734,768,708,722,521200,-0.69
129,2000-07-13,695,708,656,662,521850,-8.31
130,2000-07-14,661,732,661,720,644460,8.76
131,2000-07-18,713,738,658,680,338260,-5.56
132,2000-07-19,679,748,679,696,855370,2.35
133,2000-07-20,682,721,656,674,403440,-3.16
134,2000-07-21,675,725,675,694,613760,2.97
135,2000-07-24,695,771,695,738,1142570,6.34
136,2000-07-25,748,755,658,688,630830,-6.78
137,2000-07-26,690,716,668,678,453070,-1.45
138,2000-07-27,682,750,676,725,912730,6.93
139,2000-07-28,737,810,721,733,1250420,1.1
140,2000-07-31,713,721,676,692,542550,-5.59
141,2000-08-01,708,766,695,754,779520,8.96
142,2000-08-02,734,809,732,748,798520,-0.8
143,2000-08-03,760,824,742,767,1014410,2.54
144,2000-08-04,774,818,750,780,657150,1.69
145,2000-08-07,784,860,784,802,1412530,2.82
146,2000-08-08,805,896,800,897,1505600,11.85
147,2000-08-09,919,942,789,791,1266250,-11.82
148,2000-08-10,800,818,755,775,810550,-2.02
149,2000-08-11,782,783,722,738,523870,-4.77
150,2000-08-14,738,825,738,796,1471390,7.86
151,2000-08-16,800,818,748,775,741280,-2.64
152,2000-08-17,771,805,760,783,517110,1.03
153,2000-08-18,776,792,734,762,567080,-2.68
154,2000-08-21,742,794,742,769,633970,0.92
155,2000-08-22,782,787,748,762,303100,-0.91
156,2000-08-23,760,827,760,779,1006770,2.23
157,2000-08-24,767,792,740,762,404040,-2.18
158,2000-08-25,760,776,725,741,388920,-2.76
159,2000-08-28,709,758,709,738,491360,-0.4
160,2000-08-29,748,768,721,744,363710,0.81
161,2000-08-30,742,752,724,733,241020,-1.48
162,2000-08-31,734,742,670,707,284840,-3.55
163,2000-09-01,658,708,658,688,213450,-2.69
164,2000-09-04,671,695,642,645,276940,-6.25
165,2000-09-05,632,642,592,617,406240,-4.34
166,2000-09-06,598,671,579,631,579400,2.27
167,2000-09-07,616,626,554,570,178800,-9.67
168,2000-09-08,548,569,527,554,197560,-2.81
169,2000-09-14,553,600,551,565,165970,1.99
170,2000-09-15,551,583,535,552,167490,-2.3
171,2000-09-18,504,511,485,486,108290,-11.96
172,2000-09-19,430,496,427,428,157870,-11.93
173,2000-09-20,403,445,403,423,155630,-1.17
174,2000-09-21,424,445,372,386,229750,-8.75
175,2000-09-22,385,385,339,340,143620,-11.92
176,2000-09-25,314,362,306,339,315490,-0.29
177,2000-09-26,340,377,340,378,233400,11.5
178,2000-09-27,422,422,422,423,140590,11.9
179,2000-09-28,472,472,393,434,792400,2.6
180,2000-09-29,433,453,414,434,379550,0.0
181,2000-10-02,432,432,399,430,247410,-0.92
182,2000-10-04,410,480,410,480,575390,11.63
183,2000-10-05,496,519,458,473,526760,-1.46
184,2000-10-06,458,477,432,452,249160,-4.44
185,2000-10-09,458,482,448,457,477520,1.11
186,2000-10-10,450,477,430,449,231610,-1.75
187,2000-10-11,432,453,394,395,246180,-12.03
188,2000-10-12,380,406,362,384,213510,-2.78
189,2000-10-13,366,366,338,352,253640,-8.33
190,2000-10-16,380,393,380,394,186580,11.93
191,2000-10-17,393,432,372,389,481980,-1.27
192,2000-10-18,369,433,354,435,296240,11.83
193,2000-10-19,482,484,433,451,619050,3.68
194,2000-10-20,458,503,438,504,1096520,11.75
195,2000-10-23,503,516,443,444,890370,-11.9
196,2000-10-24,450,496,445,496,1147270,11.71
197,2000-10-25,488,545,458,482,1844460,-2.82
198,2000-10-26,485,503,448,465,618090,-3.53
199,2000-10-27,485,503,466,480,626170,3.23
200,2000-10-30,498,536,496,537,848920,11.87
201,2000-10-31,600,600,511,538,3049470,0.19
202,2000-11-01,519,562,519,564,1063810,4.83
203,2000-11-02,566,629,558,631,1426870,11.88
204,2000-11-03,690,704,582,604,2545690,-4.28
205,2000-11-06,600,634,578,591,1009590,-2.15
206,2000-11-07,608,661,606,662,1231030,12.01
207,2000-11-08,740,740,740,741,97980,11.93
208,2000-11-09,828,828,828,829,24040,11.88
209,2000-11-10,926,926,926,927,79300,11.82
210,2000-11-13,1036,1036,816,817,4331490,-11.87
211,2000-11-14,824,913,821,914,2642470,11.87
212,2000-11-15,950,992,827,838,2485480,-8.32
213,2000-11-16,842,866,768,822,1190680,-1.91
214,2000-11-17,825,842,760,778,748420,-5.35
215,2000-11-20,738,870,726,871,2373820,11.95
216,2000-11-21,839,879,774,783,1236300,-10.1
217,2000-11-22,787,808,734,738,819170,-5.75
218,2000-11-23,710,790,682,714,1614410,-3.25
219,2000-11-24,713,758,706,733,819760,2.66
220,2000-11-27,732,808,732,764,866270,4.23
221,2000-11-28,748,763,675,697,1008740,-8.77
222,2000-11-29,695,716,642,646,667840,-7.32
223,2000-11-30,623,668,567,602,594330,-6.81
224,2000-12-01,554,612,542,604,684370,0.33
225,2000-12-04,590,616,555,557,434390,-7.78
226,2000-12-05,539,584,519,552,729760,-0.9
227,2000-12-06,574,616,566,617,1412340,11.78
228,2000-12-07,629,642,577,588,1354820,-4.7
229,2000-12-08,590,591,558,572,507600,-2.72
230,2000-12-11,579,595,555,560,451930,-2.1
231,2000-12-12,551,611,542,572,771250,2.14
232,2000-12-13,571,599,563,568,469810,-0.7
233,2000-12-14,577,616,563,595,883690,4.75
234,2000-12-15,601,616,558,568,406080,-4.54
235,2000-12-18,566,579,535,549,339320,-3.35
236,2000-12-19,534,561,482,490,476020,-10.75
237,2000-12-20,474,474,431,432,300000,-11.84
238,2000-12-21,382,408,380,381,381260,-11.81
239,2000-12-22,387,404,336,347,327450,-8.92
240,2000-12-26,345,380,338,360,332350,3.75
241,2001-01-02,356,400,356,402,149880,11.67
242,2001-01-03,416,448,406,436,668920,8.46
243,2001-01-04,453,481,449,480,404330,10.09
244,2001-01-05,480,496,440,449,365280,-6.46
245,2001-01-08,432,482,414,452,492670,0.67
246,2001-01-09,450,498,445,486,445890,7.52
