,Date,Open,High,Low,Close,Volume,Change
0,2015-08-17,238000,238000,174000,176500,12693,NaN
1,2015-08-18,181000,185000,158000,167000,16217,-5.38
2,2015-08-19,166500,172000,160000,170000,8617,1.8
3,2015-08-20,170000,174000,162500,169000,4262,-0.59
4,2015-08-21,160000,174000,159000,163000,5577,-3.55
5,2015-08-24,158500,163000,145000,159500,6794,-2.15
6,2015-08-25,155500,169500,155000,163000,1802,2.19
7,2015-08-26,163000,166500,162000,163500,1244,0.31
8,2015-08-27,162500,163500,158500,163000,2329,-0.31
9,2015-08-28,164500,168000,160500,164000,6174,0.61
10,2015-08-31,173000,179500,165000,166000,5695,1.22
11,2015-09-01,166000,167000,161000,164000,3428,-1.2
12,2015-09-02,160500,165000,159500,162000,2228,-1.22
13,2015-09-03,164000,164000,158500,162000,2199,0.0
14,2015-09-04,162000,164000,155000,155000,4269,-4.32
15,2015-09-07,155000,156000,151000,155000,1082,0.0
16,2015-09-08,155500,161500,148500,159000,7046,2.58
17,2015-09-09,157500,165500,154500,165500,2174,4.09
18,2015-09-10,161000,165000,161000,163000,997,-1.51
19,2015-09-11,159500,164500,158000,164500,1541,0.92
20,2015-09-14,162500,163000,159500,160000,1961,-2.74
21,2015-09-15,156500,159000,151000,157500,3513,-1.56
22,2015-09-16,156000,158000,154000,158000,2095,0.32
23,2015-09-17,155500,158000,155000,158000,2824,0.0
24,2015-09-18,155500,157000,154000,155500,3104,-1.58
25,2015-09-21,155500,155500,151500,155500,997,0.0
26,2015-09-22,152500,155000,150500,154500,2485,-0.64
27,2015-09-23,151000,153000,149000,150000,2165,-2.91
28,2015-09-24,151500,151500,146000,147000,2704,-2.0
29,2015-09-25,145500,150000,145500,150000,835,2.04
30,2015-09-30,146500,152500,146500,150500,1198,0.33
31,2015-10-01,153000,153000,150000,151500,282,0.66
32,2015-10-02,151500,153500,149500,153500,1144,1.32
33,2015-10-05,155000,155000,150000,152000,2025,-0.98
34,2015-10-06,154000,154000,149500,151000,1256,-0.66
35,2015-10-07,151000,153000,150500,152500,2014,0.99
36,2015-10-08,153500,153500,150500,152500,1134,0.0
37,2015-10-12,152500,152500,146000,150000,4657,-1.64
38,2015-10-13,149000,152000,149000,150000,687,0.0
39,2015-10-14,151000,152000,150000,150000,985,0.0
40,2015-10-15,150000,153000,149500,151500,1066,1.0
41,2015-10-16,153000,153000,151500,152500,572,0.66
42,2015-10-19,152500,153500,150500,153500,605,0.66
43,2015-10-20,153500,155000,152000,155000,722,0.98
44,2015-10-21,155000,158500,154000,157000,1411,1.29
45,2015-10-22,158000,158500,155500,155500,531,-0.96
46,2015-10-23,157000,160000,155500,156500,1064,0.64
47,2015-10-26,157000,158500,155000,157500,621,0.64
48,2015-10-27,154500,158000,154500,157000,492,-0.32
49,2015-10-28,157500,157500,155000,157000,386,0.0
50,2015-10-29,157000,159000,157000,158500,947,0.96
51,2015-10-30,158500,168500,158500,165000,5885,4.1
52,2015-11-02,169000,173000,166000,173000,9514,4.85
53,2015-11-03,174500,174500,154500,161000,20069,-6.94
54,2015-11-04,164000,170000,160000,168500,5040,4.66
55,2015-11-05,168500,171500,164000,167000,2081,-0.89
56,2015-11-06,163500,170500,162500,170000,4742,1.8
57,2015-11-09,170000,170500,163000,167000,2732,-1.76
58,2015-11-10,164500,166500,159500,163000,2131,-2.4
59,2015-11-11,160000,165000,160000,164500,1248,0.92
60,2015-11-12,163500,165500,160000,163000,907,-0.91
61,2015-11-13,159500,167500,159500,167000,1850,2.45
62,2015-11-16,160000,164000,159000,163000,2767,-2.4
63,2015-11-17,164500,166500,163500,166000,1542,1.84
64,2015-11-18,167000,168500,166000,167000,1184,0.6
65,2015-11-19,169000,169000,165500,167000,1060,0.0
66,2015-11-20,165000,167500,165000,166000,901,-0.6
67,2015-11-23,164000,171000,164000,171000,5445,3.01
68,2015-11-24,171000,175000,170000,172000,2027,0.58
69,2015-11-25,169500,173500,169500,173500,1165,0.87
70,2015-11-26,171000,178500,171000,177000,1595,2.02
71,2015-11-27,175000,179500,175000,177000,1202,0.0
72,2015-11-30,174000,176000,173500,175000,621,-1.13
73,2015-12-01,173000,174500,167000,170500,3706,-2.57
74,2015-12-02,168000,172000,166500,168500,1283,-1.17
75,2015-12-03,169500,169500,163000,167500,1388,-0.59
76,2015-12-04,165000,170500,165000,168500,762,0.6
77,2015-12-07,170500,170500,165000,165000,929,-2.08
78,2015-12-08,165000,165000,159500,161500,910,-2.12
79,2015-12-09,163000,163500,156000,161000,1931,-0.31
80,2015-12-10,163500,163500,158000,161500,489,0.31
81,2015-12-11,164000,164000,158500,162000,681,0.31
82,2015-12-14,158500,161000,155000,156000,1259,-3.7
83,2015-12-15,156000,157500,153000,156500,1707,0.32
84,2015-12-16,157500,159500,156000,159000,1774,1.6
85,2015-12-17,160000,160000,154500,158000,1431,-0.63
86,2015-12-18,156000,161000,156000,161000,1201,1.9
87,2015-12-21,158500,160500,155500,160000,2336,-0.62
88,2015-12-22,158000,159500,156500,159500,1184,-0.31
89,2015-12-23,159500,161000,157000,160000,1518,0.31
90,2015-12-24,160000,160500,156000,158500,3030,-0.94
91,2015-12-28,158500,158500,155000,156500,780,-1.26
92,2015-12-29,155000,156500,153000,155500,346,-0.64
93,2015-12-30,156500,157000,149500,151500,2165,-2.57
94,2016-01-04,155000,155000,151000,152500,945,0.66
95,2016-01-05,150000,155000,150000,155000,605,1.64
96,2016-01-06,153000,155000,150500,155000,1273,0.0
97,2016-01-07,154500,155000,151500,154500,646,-0.32
98,2016-01-08,154500,154500,151500,154000,1526,-0.32
99,2016-01-11,154000,154000,150500,153000,1344,-0.65
100,2016-01-12,153000,153000,148000,150000,1401,-1.96
101,2016-01-13,153000,153000,150000,152500,1704,1.67
102,2016-01-14,151500,152000,147500,150500,678,-1.31
103,2016-01-15,152500,152500,144500,149000,1563,-1.0
104,2016-01-18,148500,148500,145000,148500,765,-0.34
105,2016-01-19,144500,149000,144500,148000,2616,-0.34
106,2016-01-20,148000,148000,137000,142000,2866,-4.05
107,2016-01-21,142000,145000,140000,141500,718,-0.35
108,2016-01-22,139000,145000,139000,145000,1008,2.47
109,2016-01-25,143000,145000,141500,145000,944,0.0
110,2016-01-26,142000,147000,141000,146500,1549,1.03
111,2016-01-27,146500,147500,144000,147000,1777,0.34
112,2016-01-28,143500,147000,141500,147000,2312,0.0
113,2016-01-29,143500,148000,142500,148000,1632,0.68
114,2016-02-01,146000,148500,144000,145500,1422,-1.69
115,2016-02-02,147000,147000,142000,144000,1297,-1.03
116,2016-02-03,144000,144000,140000,142500,1618,-1.04
117,2016-02-04,142500,145000,141500,144000,1921,1.05
118,2016-02-05,146500,146500,142500,146000,695,1.39
119,2016-02-11,145000,145000,139000,143000,1060,-2.05
120,2016-02-12,139000,143000,130500,137500,2191,-3.85
121,2016-02-15,137500,139000,130000,135000,3474,-1.82
122,2016-02-16,132000,136000,132000,136000,1564,0.74
123,2016-02-17,136500,138500,132000,136500,6098,0.37
124,2016-02-18,137500,142000,136500,142000,2555,4.03
125,2016-02-19,139500,143500,138000,138000,2701,-2.82
126,2016-02-22,139000,142500,133500,136000,3348,-1.45
127,2016-02-23,135000,139000,134000,139000,3069,2.21
128,2016-02-24,138000,142500,137000,140500,4743,1.08
129,2016-02-25,140500,143000,137000,139000,5596,-1.07
130,2016-02-26,140000,144000,139000,144000,5954,3.6
131,2016-02-29,143000,147000,140500,145000,6103,0.69
132,2016-03-02,145000,145500,142500,145500,6098,0.34
133,2016-03-03,143000,143500,141000,143500,3872,-1.37
134,2016-03-04,141500,145500,141500,144500,1976,0.7
135,2016-03-07,144000,145500,141000,142000,1720,-1.73
136,2016-03-08,142000,142000,139000,141000,2223,-0.7
137,2016-03-09,139000,142000,139000,141000,1819,0.0
138,2016-03-10,141000,144000,139000,144000,1789,2.13
139,2016-03-11,142000,144500,141000,143500,500,-0.35
140,2016-03-14,143000,143000,139000,139500,2262,-2.79
141,2016-03-15,149500,151000,142000,143500,10612,2.87
142,2016-03-16,143000,146000,142000,144500,1623,0.7
143,2016-03-17,143500,145000,142000,143000,1450,-1.04
144,2016-03-18,143500,146000,143500,144500,801,1.05
145,2016-03-21,145000,146000,141000,143500,1843,-0.69
146,2016-03-22,142500,147000,141500,146000,1674,1.74
147,2016-03-23,145500,145500,142500,144000,976,-1.37
148,2016-03-24,142500,144500,141500,143500,1158,-0.35
149,2016-03-25,143500,143500,141000,142500,668,-0.7
150,2016-03-28,141500,142000,139500,141000,726,-1.05
151,2016-03-29,141500,142000,138500,140500,3163,-0.35
152,2016-03-30,140000,141500,137000,140000,3313,-0.36
153,2016-03-31,138500,140500,136000,139500,4265,-0.36
154,2016-04-01,139000,140000,137500,139500,1633,0.0
155,2016-04-04,139500,140000,137500,138500,1435,-0.72
156,2016-04-05,140000,140000,134500,138000,2060,-0.36
157,2016-04-06,137500,138500,134500,136500,2740,-1.09
158,2016-04-07,138000,138000,135000,136500,1749,0.0
159,2016-04-08,136500,137500,134000,136000,1980,-0.37
160,2016-04-11,136000,137500,135000,137500,1065,1.1
161,2016-04-12,138000,138500,136500,138000,1046,0.36
162,2016-04-14,140000,140500,138000,140500,2569,1.81
163,2016-04-15,140500,142000,136500,138000,1840,-1.78
164,2016-04-18,136500,138000,135000,137500,2429,-0.36
165,2016-04-19,138000,138500,136500,138000,891,0.36
166,2016-04-20,136500,139000,136500,138500,899,0.36
167,2016-04-21,139000,139500,137500,139500,903,0.72
168,2016-04-22,140500,141000,138500,139500,628,0.0
169,2016-04-25,137500,140500,137500,140000,1727,0.36
170,2016-04-26,141500,142500,139500,142000,2001,1.43
171,2016-04-27,142000,142500,139500,141000,864,-0.7
172,2016-04-28,140000,141500,135000,137500,5944,-2.48
173,2016-04-29,137000,137000,134000,136000,3596,-1.09
174,2016-05-02,135500,136000,133500,135000,1573,-0.74
175,2016-05-03,135000,135000,132000,134000,4108,-0.74
176,2016-05-04,134000,134000,129500,132000,6341,-1.49
177,2016-05-09,132000,132000,129000,131500,1391,-0.38
178,2016-05-10,130500,131500,129000,131500,1726,0.0
179,2016-05-11,131000,133500,130000,133500,2007,1.52
180,2016-05-12,133500,134000,131500,133500,888,0.0
181,2016-05-13,132000,137000,132000,136500,2130,2.25
182,2016-05-16,136000,137500,134000,137500,1056,0.73
183,2016-05-17,137000,137000,134000,136000,1112,-1.09
184,2016-05-18,134000,136000,133500,136000,509,0.0
185,2016-05-19,135500,135500,133500,135000,2111,-0.74
186,2016-05-20,135000,136000,133500,135500,885,0.37
187,2016-05-23,135500,136000,134500,135000,999,-0.37
188,2016-05-24,135000,137500,135000,137000,1543,1.48
189,2016-05-25,137000,138000,136500,138000,6063,0.73
190,2016-05-26,137000,138500,137000,138500,1648,0.36
191,2016-05-27,138500,143500,138000,142000,3809,2.53
192,2016-05-30,140500,141500,138500,140500,2700,-1.06
193,2016-05-31,140000,141000,139500,140500,1583,0.0
194,2016-06-01,140000,140000,137000,138500,1493,-1.42
195,2016-06-02,137500,138500,136000,137000,992,-1.08
196,2016-06-03,137000,137500,135500,136500,741,-0.36
197,2016-06-07,135500,136500,134500,136500,1027,0.0
198,2016-06-08,136500,137500,135000,137500,2273,0.73
199,2016-06-09,137500,137500,135000,137000,2268,-0.36
200,2016-06-10,135500,137000,134500,136000,1569,-0.73
