,Date,Open,High,Low,Close,Volume,Change
0,2000-01-04,11200,12650,11200,11300,960,0.0
1,2000-01-05,11500,11500,10800,11400,657,0.88
2,2000-01-06,10800,11350,10800,11350,866,-0.44
3,2000-01-07,11300,11300,11300,11300,500,-0.44
4,2000-01-10,11300,11350,11300,11350,521,0.44
5,2000-01-11,11450,11600,10600,11600,10362,2.2
6,2000-01-12,11600,11700,11600,11600,3930,0.0
7,2000-01-13,11000,11400,10250,11000,130251,-5.17
8,2000-01-14,11000,11700,11000,11200,17869,1.82
9,2000-01-17,12000,12000,11200,11600,14775,3.57
10,2000-01-18,11700,11850,11650,11850,4790,2.16
11,2000-01-19,11800,11800,11700,11700,8108,-1.27
12,2000-01-20,11100,11750,11100,11750,680,0.43
13,2000-01-21,11800,11800,11800,11800,58,0.43
14,2000-01-24,11800,12050,11800,12050,621,2.12
15,2000-01-25,11700,11700,11650,11650,6116,-3.32
16,2000-01-26,11950,11950,11650,11650,5010,0.0
17,2000-01-27,11950,11950,11950,11950,10,2.58
18,2000-01-28,11850,12050,11850,12050,8495,0.84
19,2000-01-31,11900,12100,11900,12100,1257,0.41
20,2000-02-01,12100,12200,11950,12000,2100,-0.83
21,2000-02-02,11800,12050,11800,12050,240,0.42
22,2000-02-03,12250,12250,12200,12200,282,1.24
23,2000-02-07,12400,12500,12300,12500,2764,2.46
24,2000-02-08,12450,12500,12450,12500,686,0.0
25,2000-02-09,12550,12600,12550,12600,2099,0.8
26,2000-02-10,12600,12600,12600,12600,160,0.0
27,2000-02-11,12650,12700,12650,12700,590,0.79
28,2000-02-14,13000,14200,12500,13200,2001,3.94
29,2000-02-15,13000,13000,12050,12200,1802,-7.58
30,2000-02-16,12100,12300,12000,12300,12330,0.82
31,2000-02-17,12350,12500,12300,12400,6607,0.81
32,2000-02-18,12500,12500,12100,12400,7300,0.0
33,2000-02-21,12200,12400,12200,12400,5313,0.0
34,2000-02-22,12400,12500,11800,12400,4400,0.0
35,2000-02-23,12400,12400,12300,12400,2092,0.0
36,2000-02-24,12400,12800,12200,12400,6131,0.0
37,2000-02-25,12200,12400,12200,12300,2500,-0.81
38,2000-02-28,0,0,0,12300,0,0.0
39,2000-02-29,0,0,0,12300,0,0.0
40,2000-03-02,0,0,0,12300,0,0.0
41,2000-03-03,0,0,0,12300,0,0.0
42,2000-03-06,0,0,0,12300,0,0.0
43,2000-03-07,0,0,0,12300,0,0.0
44,2000-03-08,0,0,0,12300,0,0.0
45,2000-03-09,0,0,0,12300,0,0.0
46,2000-03-10,0,0,0,12300,0,0.0
47,2000-03-13,0,0,0,12300,0,0.0
48,2000-03-14,0,0,0,12300,0,0.0
49,2000-03-15,0,0,0,12300,0,0.0
50,2000-03-16,0,0,0,12300,0,0.0
51,2000-03-17,0,0,0,12300,0,0.0
52,2000-03-20,0,0,0,12300,0,0.0
53,2000-03-21,0,0,0,12300,0,0.0
54,2000-03-22,0,0,0,12300,0,0.0
55,2000-03-23,0,0,0,12300,0,0.0
56,2000-03-24,0,0,0,12300,0,0.0
57,2000-03-27,0,0,0,12300,0,0.0
58,2000-03-28,0,0,0,12300,0,0.0
59,2000-03-29,0,0,0,12300,0,0.0
60,2000-03-30,0,0,0,12300,0,0.0
61,2000-03-31,0,0,0,12300,0,0.0
62,2000-04-03,0,0,0,12300,0,0.0
63,2000-04-04,0,0,0,12300,0,0.0
64,2000-04-06,0,0,0,12300,0,0.0
65,2000-04-07,0,0,0,12300,0,0.0
66,2000-04-10,0,0,0,12300,0,0.0
67,2000-04-11,0,0,0,12300,0,0.0
68,2000-04-12,0,0,0,12300,0,0.0
69,2000-04-14,0,0,0,12300,0,0.0
70,2000-04-17,9380,9380,8980,8980,336,-2.92
71,2000-04-18,8000,9300,8000,9300,1208,3.56
72,2000-04-19,8980,10000,8980,10000,200,7.53
73,2000-04-20,10000,10000,8800,9500,581,-5.0
74,2000-04-21,8700,9500,8500,8870,452,-6.63
75,2000-04-24,0,0,0,8500,0,-4.17
76,2000-04-25,7500,8880,7500,8880,2,4.47
77,2000-04-26,8900,9100,8800,9100,8868,2.48
78,2000-04-27,8120,9050,8120,8880,247,-2.42
79,2000-04-28,8950,9700,8950,9200,294,3.6
80,2000-05-02,9700,10300,8300,9300,1460,1.09
81,2000-05-03,8400,9200,8200,9200,569,-1.08
82,2000-05-04,8280,9080,8280,9080,51,-1.3
83,2000-05-08,9000,9180,8220,9180,161,1.1
84,2000-05-09,9220,9280,9100,9100,60,-0.87
85,2000-05-10,9000,9000,9000,9000,1,-1.1
86,2000-05-12,9000,9000,9000,9000,20,0.0
87,2000-05-15,8270,8990,8270,8990,12,-0.11
88,2000-05-16,8130,8880,8130,8770,341,-2.45
89,2000-05-17,0,0,0,8760,0,-0.11
90,2000-05-18,0,0,0,8330,0,-4.91
91,2000-05-19,0,0,0,8330,0,0.0
92,2000-05-22,8300,8400,8300,8350,57767,0.24
93,2000-05-23,0,0,0,8000,0,-4.19
94,2000-05-24,8470,8470,8470,8470,1,5.88
95,2000-05-25,7460,8670,7460,8600,79,1.53
96,2000-05-26,8400,8400,8400,8400,34,-2.33
97,2000-05-29,0,0,0,8330,0,-0.83
98,2000-05-30,8270,8270,7340,7340,4,-11.88
99,2000-05-31,7660,8220,7660,8220,100,11.99
100,2000-06-01,8300,9200,8300,8700,233,5.84
101,2000-06-02,8650,8700,7660,8700,2384,0.0
102,2000-06-05,8700,9000,8100,8900,730,2.3
103,2000-06-07,8100,9000,8100,9000,860,1.12
104,2000-06-08,10000,10000,8150,9650,435,7.22
105,2000-06-09,9800,10800,8550,9750,783,1.04
106,2000-06-12,9740,9950,9050,9770,225,0.21
107,2000-06-13,8600,9750,8600,9750,521,-0.2
108,2000-06-14,9750,9950,8600,9900,32,1.54
109,2000-06-15,11000,11000,8870,9500,66,-4.04
110,2000-06-16,8600,9570,8600,9570,11,0.74
111,2000-06-19,0,0,0,9470,0,-1.04
112,2000-06-20,0,0,0,9430,0,-0.42
113,2000-06-21,0,0,0,9220,0,-2.23
114,2000-06-22,0,0,0,9220,0,0.0
115,2000-06-23,0,0,0,9220,0,0.0
116,2000-06-26,9380,10300,8140,9200,280,-0.22
117,2000-06-27,9000,9300,9000,9300,15,1.09
118,2000-06-28,9240,9240,9240,9240,10,-0.65
119,2000-06-29,8900,8900,8900,8900,10,-3.68
120,2000-06-30,9140,9140,8010,9140,12,2.7
121,2000-07-03,8900,9130,8900,9130,201,-0.11
122,2000-07-04,0,0,0,9100,0,-0.33
123,2000-07-05,8060,9150,8060,9150,71,0.55
124,2000-07-06,9200,9200,9200,9200,50,0.55
125,2000-07-07,0,0,0,9250,0,0.54
126,2000-07-10,9200,9250,9200,9250,55,0.0
127,2000-07-11,0,0,0,9250,0,0.0
128,2000-07-12,9500,9500,8430,9300,1540,0.54
129,2000-07-13,9300,9300,8310,9200,110,-1.08
130,2000-07-14,9190,9190,9190,9190,1,-0.11
131,2000-07-18,0,0,0,9000,0,-2.07
132,2000-07-19,0,0,0,9000,0,0.0
133,2000-07-20,9190,9190,9190,9190,51,2.11
134,2000-07-21,9180,9180,9180,9180,2,-0.11
135,2000-07-24,0,0,0,8500,0,-7.41
136,2000-07-25,9520,9520,7500,8600,501,1.18
137,2000-07-26,8300,8700,8300,8700,410,1.16
138,2000-07-27,7780,8800,7780,8600,252,-1.15
139,2000-07-28,0,0,0,8300,0,-3.49
140,2000-07-31,8450,8450,8450,8450,1,1.81
141,2000-08-01,0,0,0,8400,0,-0.59
142,2000-08-02,0,0,0,8400,0,0.0
143,2000-08-03,8400,8400,8400,8400,1,0.0
144,2000-08-04,0,0,0,8350,0,-0.6
145,2000-08-07,7540,8350,7350,8300,113,-0.6
146,2000-08-08,0,0,0,8250,0,-0.6
147,2000-08-09,8000,8600,8000,8600,146,4.24
148,2000-08-10,7630,8600,7610,8600,1962,0.0
149,2000-08-11,8600,9600,7930,8500,6624,-1.16
150,2000-08-14,7900,8780,7890,8780,499,3.29
151,2000-08-16,8070,8780,8070,8780,222,0.0
152,2000-08-17,8770,9800,8700,9400,50422,7.06
153,2000-08-18,10500,10500,8290,8600,8075,-8.51
154,2000-08-21,8200,8990,8100,8800,1600,2.33
155,2000-08-22,8950,8950,8220,8550,38310,-2.84
156,2000-08-23,8870,9570,8010,8450,29987,-1.17
157,2000-08-24,8200,8430,8010,8430,7118,-0.24
158,2000-08-25,8390,8400,8110,8130,2992,-3.56
159,2000-08-28,8150,8390,8130,8140,55063,0.12
160,2000-08-29,8350,8480,8100,8470,62049,4.05
161,2000-08-30,8450,8450,8220,8420,3674,-0.59
162,2000-08-31,8340,8460,8340,8460,4783,0.48
163,2000-09-01,0,0,0,8460,0,0.0
164,2000-09-04,0,0,0,8460,0,0.0
165,2000-09-05,0,0,0,8460,0,0.0
166,2000-09-06,0,0,0,8460,0,0.0
167,2000-09-07,0,0,0,8460,0,0.0
168,2000-09-08,0,0,0,8460,0,0.0
169,2000-09-14,0,0,0,8460,0,0.0
170,2000-09-15,0,0,0,8460,0,0.0
171,2000-09-18,0,0,0,8460,0,0.0
