,Date,Open,High,Low,Close,Volume,Change
0,2000-01-04,44050,44050,44050,44050,73,11.94
1,2000-01-05,49300,49300,49300,49300,77,11.92
2,2000-01-06,55200,55200,55200,55200,379,11.97
3,2000-01-07,61800,61800,61800,61800,19154,11.96
4,2000-01-10,69200,69200,69200,69200,9957,11.97
5,2000-01-11,77500,77500,77500,77500,4450,11.99
6,2000-01-12,86800,86800,86800,86800,202248,12.0
7,2000-01-13,77100,79000,76400,76400,885021,-11.98
8,2000-01-14,67300,68900,67300,67300,711448,-11.91
9,2000-01-17,61600,72000,59300,65000,1725725,-3.42
10,2000-01-18,66000,72300,64000,70500,1667908,8.46
11,2000-01-19,73500,74000,62100,63600,1819624,-9.79
12,2000-01-20,66000,71200,60500,71200,1325775,11.95
13,2000-01-21,71200,79700,69000,76000,1843247,6.74
14,2000-01-24,77500,79400,72000,72700,1021071,-4.34
15,2000-01-25,67000,70000,64000,64000,690221,-11.97
16,2000-01-26,68000,71600,64500,71600,1135843,11.88
17,2000-01-27,69900,73500,63500,64500,787625,-9.92
18,2000-01-28,64100,69900,62200,68000,579217,5.43
19,2000-01-31,63000,69900,63000,67500,683348,-0.74
20,2000-02-01,70500,71900,67100,68800,643983,1.93
21,2000-02-02,71000,77000,70000,77000,950246,11.92
22,2000-02-03,82000,86200,80600,86200,722437,11.95
23,2000-02-07,96500,96500,96500,96500,48646,11.95
24,2000-02-08,108000,108000,105000,108000,1144859,11.92
25,2000-02-09,118000,120500,115000,120500,507311,11.57
26,2000-02-10,125000,134500,120500,128000,2292691,6.22
27,2000-02-11,133000,142000,117000,125000,2568767,-2.34
28,2000-02-14,118000,135000,113000,121000,1287058,-3.2
29,2000-02-15,123000,135500,118500,124000,2458332,2.48
30,2000-02-16,120000,127000,109500,123000,1141355,-0.81
31,2000-02-17,120000,135000,116500,128500,1725434,4.47
32,2000-02-18,135000,143500,130000,143500,1303203,11.67
33,2000-02-21,142000,160500,140000,160500,1530949,11.85
34,2000-02-22,172500,179500,142500,154000,2354671,-4.05
35,2000-02-23,156000,161500,137000,151000,1292635,-1.95
36,2000-02-24,169000,169000,160500,169000,1210348,11.92
37,2000-02-25,172000,183000,161500,164500,1717779,-2.66
38,2000-02-28,158000,163000,145000,146500,1056797,-10.94
39,2000-02-29,146500,154000,138000,149500,1052775,2.05
40,2000-03-02,156000,159000,143000,145000,833234,-3.01
41,2000-03-03,140000,141000,128000,129000,678841,-11.03
42,2000-03-06,131000,135000,114000,114500,752888,-11.24
43,2000-03-07,107000,123500,103000,122000,929433,6.55
44,2000-03-08,119000,135000,117000,130000,802303,6.56
45,2000-03-09,132000,133000,123000,127000,626096,-2.31
46,2000-03-10,130000,137000,125000,126500,566545,-0.39
47,2000-03-13,126500,127000,113000,115500,352802,-8.7
48,2000-03-14,110000,114000,106000,109500,273091,-5.19
49,2000-03-15,105000,114000,101000,109000,405312,-0.46
50,2000-03-16,105000,119000,104500,113000,638158,3.67
51,2000-03-17,115000,116000,99500,99500,328349,-11.95
52,2000-03-20,94500,98100,87600,87700,449689,-11.86
53,2000-03-21,85000,91700,81100,87900,527208,0.23
54,2000-03-22,89900,96600,87800,88600,1097686,0.8
55,2000-03-23,88600,90500,78100,80400,594665,-9.26
56,2000-03-24,79400,82500,76000,78800,543037,-1.99
