,Date,Open,High,Low,Close,Volume,Change
0,2000-01-04,5000,5450,4800,5400,2502,-0.92
1,2000-01-05,4950,5000,4850,4870,6250,-9.81
2,2000-01-06,5000,5140,5000,5140,1500,5.54
3,2000-01-07,5290,5290,5150,5150,1943,0.19
4,2000-01-10,5000,5140,4560,5140,2001,-0.19
5,2000-01-11,5050,5050,5050,5050,2000,-1.75
6,2000-01-12,5150,5150,5000,5040,14450,-0.2
7,2000-01-13,5000,5000,5000,5000,5249,-0.79
8,2000-01-14,5050,5050,5000,5000,2925,0.0
9,2000-01-17,5100,5100,5070,5070,8275,1.4
10,2000-01-18,5030,5200,5030,5050,10601,-0.39
11,2000-01-19,5050,5200,4880,5100,6320,0.99
12,2000-01-20,5200,5200,5070,5140,12010,0.78
13,2000-01-21,5030,5050,5000,5000,303,-2.72
14,2000-01-24,4900,4900,4900,4900,2399,-2.0
15,2000-01-25,4900,4950,4900,4950,403,1.02
16,2000-01-26,4900,4900,4900,4900,544,-1.01
17,2000-01-27,4900,5000,4900,4920,10609,0.41
18,2000-01-28,4920,5230,4920,5230,1001,6.3
19,2000-01-31,4900,5190,4900,5190,2001,-0.76
20,2000-02-01,5150,5150,5070,5070,4000,-2.31
21,2000-02-02,5050,5080,5050,5080,4020,0.2
22,2000-02-03,5200,5200,5150,5200,2011,2.36
23,2000-02-07,5200,5250,5190,5250,5790,0.96
24,2000-02-08,5200,5200,5190,5190,680,-1.14
25,2000-02-09,5000,5200,4960,5150,1602,-0.77
26,2000-02-10,5200,5200,4660,4800,6002,-6.8
27,2000-02-11,5090,5090,5090,5090,10,6.04
28,2000-02-14,4820,5050,4810,5000,4900,-1.77
29,2000-02-15,5050,5050,4900,4900,169,-2.0
30,2000-02-16,4900,5050,4700,4720,12540,-3.67
31,2000-02-17,5120,5120,5120,5120,1,8.47
32,2000-02-18,5170,5170,5170,5170,1,0.98
33,2000-02-21,4700,5000,4700,5000,7400,-3.29
34,2000-02-22,4800,4800,4720,4720,10000,-5.6
35,2000-02-23,5000,5100,4720,5100,2811,8.05
36,2000-02-24,5080,5080,4810,4990,1409,-2.16
37,2000-02-25,4700,5030,4700,5030,260,0.8
38,2000-02-28,4750,4990,4610,4990,11535,-0.8
39,2000-02-29,4750,5080,4750,5020,7901,0.6
40,2000-03-02,4950,5190,4950,5190,20139,3.39
41,2000-03-03,5160,5160,5020,5040,23447,-2.89
42,2000-03-06,5190,5190,5070,5070,11500,0.6
43,2000-03-07,5200,5200,5150,5170,9974,1.97
44,2000-03-08,5180,5250,5180,5250,23254,1.55
45,2000-03-09,5300,5300,5260,5260,12454,0.19
46,2000-03-10,5480,5480,5300,5300,11400,0.76
47,2000-03-13,5210,5210,5100,5150,5150,-2.83
48,2000-03-14,5200,5250,5150,5250,7662,1.94
49,2000-03-15,5210,5250,5150,5150,1755,-1.9
50,2000-03-16,5110,5300,5110,5300,1014,2.91
51,2000-03-17,5200,5250,5200,5250,3000,-0.94
52,2000-03-20,5120,5150,5120,5120,2107,-2.48
53,2000-03-21,5600,5600,5060,5060,2001,-1.17
54,2000-03-22,5180,5200,5180,5200,6890,2.77
55,2000-03-23,5100,5170,5100,5100,12307,-1.92
56,2000-03-24,5110,5110,5100,5100,2500,0.0
57,2000-03-27,5600,5600,5100,5100,9720,0.0
58,2000-03-28,5120,5200,5110,5120,28000,0.39
59,2000-03-29,5130,5180,5100,5180,3641,1.17
60,2000-03-30,5220,5220,5110,5140,5972,-0.77
61,2000-03-31,5200,5200,5130,5130,2100,-0.19
