,Date,Open,High,Low,Close,Volume,Change
0,2000-01-04,4680,4700,4650,4690,7580,-0.21
1,2000-01-05,4700,4700,4700,4700,1680,0.21
2,2000-01-06,4700,4700,4700,4700,85,0.0
3,2000-01-07,4730,4800,4720,4720,3101,0.43
4,2000-01-10,0,0,0,4740,0,0.42
5,2000-01-11,0,0,0,4740,0,0.0
6,2000-01-12,4800,4800,4800,4800,200,1.27
7,2000-01-13,4800,4800,4780,4780,3570,-0.42
8,2000-01-14,4800,4800,4800,4800,1500,0.42
9,2000-01-17,4850,4850,4850,4850,2660,1.04
10,2000-01-18,4900,4900,4840,4850,11344,0.0
11,2000-01-19,4800,4900,4800,4900,3231,1.03
12,2000-01-20,4800,4800,4800,4800,406,-2.04
13,2000-01-21,4800,4800,4800,4800,4000,0.0
14,2000-01-24,4840,4840,4840,4840,1000,0.83
15,2000-01-25,4830,4830,4830,4830,300,-0.21
16,2000-01-26,4830,4830,4830,4830,500,0.0
17,2000-01-27,4900,4900,4900,4900,869,1.45
18,2000-01-28,4900,4900,4900,4900,1000,0.0
19,2000-01-31,4900,4900,4850,4850,1590,-1.02
20,2000-02-01,4900,4900,4900,4900,2000,1.03
21,2000-02-02,4900,4900,4900,4900,910,0.0
22,2000-02-03,0,0,0,4900,0,0.0
23,2000-02-07,0,0,0,4900,0,0.0
24,2000-02-08,4900,4900,4880,4880,10100,-0.41
25,2000-02-09,4880,4900,4880,4900,9200,0.41
26,2000-02-10,4880,4880,4880,4880,3500,-0.41
27,2000-02-11,4900,4900,4900,4900,2000,0.41
28,2000-02-14,0,0,0,4900,0,0.0
29,2000-02-15,4950,4970,4950,4970,201,1.43
30,2000-02-16,4980,4980,4940,4940,3615,-0.6
31,2000-02-17,4980,5100,4980,4980,3611,0.81
32,2000-02-18,4980,4980,4980,4980,600,0.0
33,2000-02-21,0,0,0,4980,0,0.0
34,2000-02-22,0,0,0,4980,0,0.0
35,2000-02-23,4980,4980,4980,4980,19000,0.0
36,2000-02-24,5150,5150,5150,5150,1000,3.41
37,2000-02-25,4810,5100,4810,4980,5500,-3.3
38,2000-02-28,5050,5050,5050,5050,2100,1.41
39,2000-02-29,5080,5080,5040,5040,4100,-0.2
40,2000-03-02,0,0,0,5040,0,0.0
41,2000-03-03,5010,5050,5010,5010,4601,-0.6
42,2000-03-06,5020,5020,5020,5020,2700,0.2
43,2000-03-07,5040,5050,4990,4990,11689,-0.6
44,2000-03-08,5010,5010,4990,4990,26000,0.0
45,2000-03-09,5050,5050,5050,5050,1,1.2
46,2000-03-10,5000,5000,5000,5000,4,-0.99
47,2000-03-13,4900,5050,4900,5050,7,1.0
48,2000-03-14,5040,5040,5040,5040,1,-0.2
49,2000-03-15,5030,5030,4990,5010,3500,-0.6
50,2000-03-16,5030,5030,5000,5010,1898,0.0
51,2000-03-17,5020,5020,5010,5010,241,0.0
52,2000-03-20,5020,5020,5010,5020,5081,0.2
53,2000-03-21,5020,5020,5020,5020,1700,0.0
54,2000-03-22,5080,5080,5010,5080,2043,1.2
55,2000-03-23,5040,5040,5030,5030,2201,-0.98
56,2000-03-24,5030,5040,5030,5040,1968,0.2
57,2000-03-27,5050,5050,5040,5040,6003,0.0
58,2000-03-28,5040,5040,5040,5040,5000,0.0
59,2000-03-29,5050,5050,5030,5030,17196,-0.2
60,2000-03-30,5030,5030,5030,5030,5500,0.0
61,2000-03-31,5040,5040,5040,5040,108,0.2
62,2000-04-03,5040,5050,5030,5050,2601,0.2
63,2000-04-04,5030,5030,5010,5010,3000,-0.79
64,2000-04-06,5020,5040,5020,5040,1100,0.6
65,2000-04-07,5040,5050,5040,5050,1700,0.2
66,2000-04-10,5050,5080,5050,5060,2399,0.2
67,2000-04-11,5070,5070,5060,5060,3760,0.0
68,2000-04-12,5070,5070,5060,5070,4020,0.2
69,2000-04-14,5070,5070,5070,5070,10,0.0
70,2000-04-17,5080,5080,5070,5070,5200,0.0
71,2000-04-18,5130,5130,5080,5080,3,0.2
72,2000-04-19,5100,5100,5100,5100,2300,0.39
73,2000-04-20,5090,5140,5090,5120,5819,0.39
74,2000-04-21,5150,5150,5120,5120,651,0.0
75,2000-04-24,5120,5130,5120,5130,2080,0.2
76,2000-04-25,5120,5160,5120,5160,2001,0.58
77,2000-04-26,5140,5140,5140,5140,2000,-0.39
78,2000-04-27,5170,5200,5130,5150,805,0.19
