,Date,Open,High,Low,Close,Volume,Change
0,2000-01-04,0,0,0,5300,0,0.0
1,2000-01-05,0,0,0,5310,0,0.19
2,2000-01-06,5320,5320,5320,5320,300,0.19
3,2000-01-07,0,0,0,5320,0,0.0
4,2000-01-10,5320,5320,5320,5320,300,0.0
5,2000-01-11,0,0,0,5320,0,0.0
6,2000-01-12,0,0,0,5320,0,0.0
7,2000-01-13,5320,5320,5320,5320,1700,0.0
8,2000-01-14,0,0,0,5320,0,0.0
9,2000-01-17,0,0,0,5320,0,0.0
10,2000-01-18,0,0,0,5320,0,0.0
11,2000-01-19,0,0,0,5320,0,0.0
12,2000-01-20,0,0,0,5320,0,0.0
13,2000-01-21,4950,4950,4950,4950,10,-6.95
14,2000-01-24,0,0,0,5250,0,6.06
15,2000-01-25,0,0,0,5250,0,0.0
16,2000-01-26,0,0,0,5250,0,0.0
17,2000-01-27,5150,5150,5150,5150,50,-1.9
18,2000-01-28,5200,5200,5150,5170,2550,0.39
19,2000-01-31,5190,5200,5160,5160,3100,-0.19
20,2000-02-01,5180,5180,5180,5180,600,0.39
21,2000-02-02,5250,5250,5250,5250,1800,1.35
22,2000-02-03,5300,5300,5200,5200,2200,-0.95
23,2000-02-07,5200,5250,5200,5250,1800,0.96
24,2000-02-08,5400,5400,5400,5400,500,2.86
25,2000-02-09,0,0,0,5400,0,0.0
26,2000-02-10,0,0,0,5400,0,0.0
27,2000-02-11,5350,5400,5350,5400,700,0.0
28,2000-02-14,5300,5300,5300,5300,200,-1.85
29,2000-02-15,5300,5300,5300,5300,1000,0.0
30,2000-02-16,0,0,0,5300,0,0.0
31,2000-02-17,0,0,0,5300,0,0.0
32,2000-02-18,0,0,0,5300,0,0.0
33,2000-02-21,0,0,0,5300,0,0.0
34,2000-02-22,0,0,0,5300,0,0.0
35,2000-02-23,0,0,0,5300,0,0.0
36,2000-02-24,0,0,0,5300,0,0.0
37,2000-02-25,0,0,0,5300,0,0.0
38,2000-02-28,0,0,0,5300,0,0.0
39,2000-02-29,0,0,0,5300,0,0.0
40,2000-03-02,5100,5100,5100,5100,1000,-3.77
41,2000-03-03,5100,5100,5100,5100,100,0.0
42,2000-03-06,0,0,0,5100,0,0.0
43,2000-03-07,0,0,0,5100,0,0.0
44,2000-03-08,0,0,0,5100,0,0.0
45,2000-03-09,0,0,0,5050,0,-0.98
46,2000-03-10,4900,4900,4850,4850,4000,-3.96
47,2000-03-13,5100,5100,4300,4300,2,-11.34
48,2000-03-14,4810,4810,4420,4420,109,2.79
49,2000-03-15,4300,4950,4300,4950,714,11.99
50,2000-03-16,4370,4930,4370,4930,16,-0.4
51,2000-03-17,0,0,0,4600,0,-6.69
52,2000-03-20,4300,4500,4300,4500,1192,-2.17
53,2000-03-21,4300,4780,4300,4780,8001,6.22
54,2000-03-22,4300,4790,4300,4790,3001,0.21
55,2000-03-23,0,0,0,4680,0,-2.3
