,Date,Open,High,Low,Close,Volume,Change
0,2000-01-04,0,0,0,7860,0,11.97
1,2000-01-05,0,0,0,8800,0,11.96
2,2000-01-06,0,0,0,8800,0,0.0
3,2000-01-07,0,0,0,8800,0,0.0
4,2000-01-10,0,0,0,8800,0,0.0
5,2000-01-11,0,0,0,8800,0,0.0
6,2000-01-12,0,0,0,8800,0,0.0
7,2000-01-13,0,0,0,8800,0,0.0
8,2000-01-14,8000,8000,8000,8000,10,-9.09
9,2000-01-17,0,0,0,8000,0,0.0
10,2000-01-18,0,0,0,8000,0,0.0
11,2000-01-19,0,0,0,8000,0,0.0
12,2000-01-20,0,0,0,7040,0,-12.0
13,2000-01-21,0,0,0,7000,0,-0.57
14,2000-01-24,0,0,0,7000,0,0.0
15,2000-01-25,0,0,0,7000,0,0.0
16,2000-01-26,0,0,0,7000,0,0.0
17,2000-01-27,0,0,0,7000,0,0.0
18,2000-01-28,0,0,0,7000,0,0.0
19,2000-01-31,0,0,0,7000,0,0.0
20,2000-02-01,6160,6160,6160,6160,100,-12.0
21,2000-02-02,6160,6160,5450,5450,1910,-11.53
22,2000-02-03,5500,5500,5500,5500,100,0.92
23,2000-02-07,0,0,0,5500,0,0.0
24,2000-02-08,0,0,0,5500,0,0.0
25,2000-02-09,0,0,0,5500,0,0.0
26,2000-02-10,0,0,0,5500,0,0.0
27,2000-02-11,5600,5600,4840,4840,2300,-12.0
28,2000-02-14,4840,4840,4840,4840,100,0.0
29,2000-02-15,0,0,0,4840,0,0.0
30,2000-02-16,0,0,0,4840,0,0.0
31,2000-02-17,0,0,0,4840,0,0.0
32,2000-02-18,0,0,0,4840,0,0.0
33,2000-02-21,0,0,0,4840,0,0.0
34,2000-02-22,0,0,0,4840,0,0.0
35,2000-02-23,0,0,0,4840,0,0.0
36,2000-02-24,0,0,0,4840,0,0.0
37,2000-02-25,0,0,0,4840,0,0.0
38,2000-02-28,5200,5200,5200,5200,55,7.44
39,2000-02-29,0,0,0,5200,0,0.0
40,2000-03-02,5200,5820,4580,5820,161,11.92
41,2000-03-03,5130,6510,5130,6400,661,9.97
42,2000-03-06,7160,7160,5640,6400,222,0.0
43,2000-03-07,7160,7160,5640,7140,340,11.56
44,2000-03-08,7140,7990,6300,7500,189,5.04
45,2000-03-09,7750,8090,6600,6600,23481,-12.0
46,2000-03-10,5900,6500,5810,5810,13447,-11.97
47,2000-03-13,5300,6000,5120,5590,6915,-3.79
48,2000-03-14,5990,5990,4920,5590,2142,0.0
49,2000-03-15,5490,5490,4920,4950,3183,-11.45
50,2000-03-16,4900,5290,4410,4930,2191,-0.4
51,2000-03-17,4350,4790,4340,4340,395,-11.97
52,2000-03-20,3910,4250,3910,4070,1074,-6.22
53,2000-03-21,3950,4300,3950,4300,4799,5.65
54,2000-03-22,4300,4650,4050,4250,970,-1.16
55,2000-03-23,4110,4500,4110,4470,1251,5.18
56,2000-03-24,4500,4700,4300,4600,1314,2.91
57,2000-03-27,4590,5150,4120,5150,2656,11.96
58,2000-03-28,5140,5500,4540,5500,3835,6.8
59,2000-03-29,5300,5300,4840,5250,1237,-4.55
60,2000-03-30,4680,5880,4620,5880,2141,12.0
61,2000-03-31,5630,6580,5180,6580,5887,11.9
62,2000-04-03,5850,6530,5800,6530,222,-0.76
63,2000-04-04,5750,6500,5750,6400,202,-1.99
64,2000-04-06,6590,6590,6580,6580,4,2.81
65,2000-04-07,5800,7000,5800,7000,110,6.38
66,2000-04-10,0,0,0,6800,0,-2.86
67,2000-04-11,6990,7490,5990,7250,536,6.62
68,2000-04-12,7300,8120,6800,8120,2535,12.0
69,2000-04-14,7150,7500,7150,7150,2876,-11.95
70,2000-04-17,6300,6690,6300,6300,22,-11.89
71,2000-04-18,5550,5550,5550,5550,50,-11.9
72,2000-04-19,4890,6210,4890,4890,2132,-11.89
73,2000-04-20,5200,5200,4320,4970,1354,1.64
74,2000-04-21,4430,5390,4380,5390,1994,8.45
75,2000-04-24,5580,5580,4750,5390,572,0.0
76,2000-04-25,4770,6030,4760,6030,1112,11.87
77,2000-04-26,6030,6730,5360,6550,770,8.62
78,2000-04-27,5770,7120,5770,5770,432,-11.91
79,2000-04-28,5080,6320,5080,6320,634,9.53
80,2000-05-02,5570,6060,5570,6060,331,-4.11
81,2000-05-03,5350,5950,5340,5770,182,-4.79
82,2000-05-04,5090,5600,5080,5200,1600,-9.88
83,2000-05-08,4620,4750,4580,4730,1573,-9.04
84,2000-05-09,4500,4630,4300,4630,129,-2.11
85,2000-05-10,4580,4700,4160,4370,453,-5.62
86,2000-05-12,4410,4690,4410,4690,264,7.32
87,2000-05-15,4410,5250,4310,5140,758,9.59
88,2000-05-16,4620,5540,4550,5060,199,-1.56
89,2000-05-17,4600,4780,4460,4780,526,-5.53
90,2000-05-18,4270,4720,4270,4720,476,-1.26
91,2000-05-19,4250,4680,4250,4680,106,-0.85
92,2000-05-22,4170,4620,4170,4620,133,-1.28
93,2000-05-23,4130,4130,4130,4130,1,-10.61
94,2000-05-24,4550,4550,4020,4500,201,8.96
95,2000-05-25,4130,4570,4110,4570,312,1.56
96,2000-05-26,4630,4630,4630,4630,1,1.31
97,2000-05-29,4120,4500,4120,4500,24,-2.81
98,2000-05-30,4160,4390,4160,4390,2,-2.44
99,2000-05-31,4300,4700,4220,4630,1026,5.47
100,2000-06-01,4250,4570,4250,4570,2,-1.3
101,2000-06-02,4270,4540,4270,4530,203,-0.88
102,2000-06-05,4400,4590,4400,4590,157,1.32
103,2000-06-07,4670,4680,4400,4670,209,1.74
104,2000-06-08,4680,4680,4680,4680,1,0.21
105,2000-06-09,4690,4690,4690,4690,2,0.21
106,2000-06-12,4630,4690,4630,4690,12,0.0
107,2000-06-13,4730,4730,4660,4660,567,-0.64
