,Date,Open,High,Low,Close,Volume,Change
0,2002-01-17,7000,7000,7000,7000,270235,100.0
1,2002-01-18,6800,7400,6160,6300,752092,-10.0
2,2002-01-21,6300,6950,5800,6410,545319,1.75
3,2002-01-22,6500,7170,6210,7170,306554,11.86
4,2002-01-23,7600,8030,7520,8030,156844,11.99
5,2002-01-24,8750,8990,8000,8990,463941,11.96
6,2002-01-25,9000,9900,8510,8720,306452,-3.0
7,2002-01-28,8800,9760,8800,9760,166903,11.93
8,2002-01-29,10400,10450,9450,9710,273594,-0.51
9,2002-01-30,8830,9960,8830,9610,118828,-1.03
10,2002-01-31,9710,10750,9710,10750,354809,11.86
11,2002-02-01,11250,11250,9960,10300,198558,-4.19
12,2002-02-04,10400,10400,9500,9880,97881,-4.08
13,2002-02-05,9610,9790,9330,9490,121015,-3.95
14,2002-02-06,9500,9800,8610,8800,141206,-7.27
15,2002-02-07,8330,8500,7750,8010,155229,-8.98
16,2002-02-08,7800,8600,7750,8490,117472,5.99
17,2002-02-14,8800,9100,8500,8690,85962,2.36
18,2002-02-15,8320,8770,8040,8150,109095,-6.21
19,2002-02-18,7720,8000,7200,7350,156929,-9.82
20,2002-02-19,7120,7700,6750,7410,201402,0.82
21,2002-02-20,7310,7790,7250,7250,124003,-2.16
22,2002-02-21,7300,7600,7080,7250,108794,0.0
23,2002-02-22,7250,7490,7240,7350,53916,1.38
24,2002-02-25,7270,8230,7270,8230,233887,11.97
25,2002-02-26,8500,9210,8500,9210,277783,11.91
26,2002-02-27,9490,10300,9410,10300,647177,11.83
27,2002-02-28,10600,11350,10000,10300,532458,0.0
28,2002-03-04,11000,11500,10900,11500,452581,11.65
29,2002-03-05,11700,12150,10150,10150,670072,-11.74
30,2002-03-06,10300,10750,9760,10350,351400,1.97
31,2002-03-07,10700,11550,10450,11550,658393,11.59
32,2002-03-08,11550,12450,10600,11350,952565,-1.73
33,2002-03-11,11650,12550,11400,12150,678531,7.05
34,2002-03-12,12500,13600,12200,13400,898355,10.29
35,2002-03-13,13450,14000,12900,13050,432914,-2.61
36,2002-03-14,12800,14600,12800,14600,661806,11.88
37,2002-03-15,15400,16350,15400,16350,344401,11.99
38,2002-03-18,17850,18200,16500,17500,997801,7.03
39,2002-03-19,17900,18700,17250,17900,528383,2.29
40,2002-03-20,17750,18950,17500,17550,524181,-1.96
41,2002-03-21,17150,18000,16400,16800,318278,-4.27
42,2002-03-22,16800,18800,16800,18800,437406,11.9
43,2002-03-25,19700,21050,19600,21050,645939,11.97
44,2002-03-26,21000,21400,19350,20550,474523,-2.38
45,2002-03-27,20600,22700,19700,21350,677104,3.89
46,2002-03-28,21550,22200,18800,18800,442709,-11.94
47,2002-03-29,19750,21000,19100,21000,569199,11.7
48,2002-04-01,21800,23250,19500,20500,571499,-2.38
49,2002-04-02,20800,21650,20300,20800,346608,1.46
50,2002-04-03,20200,21100,18500,19800,298430,-4.81
