,Date,Open,High,Low,Close,Volume,Change
0,2000-01-11,896,896,704,706,129414,NaN
1,2000-01-12,660,710,622,700,57822,-0.85
2,2000-01-13,650,784,630,778,31651,11.14
3,2000-01-14,700,778,700,755,18429,-2.96
4,2000-01-17,721,780,700,749,10096,-0.79
5,2000-01-18,713,750,713,730,11217,-2.54
6,2000-01-19,702,710,643,698,3863,-4.38
7,2000-01-20,640,760,615,650,6632,-6.88
8,2000-01-21,698,698,615,645,1530,-0.77
9,2000-01-24,610,655,610,649,4589,0.62
10,2000-01-25,649,665,620,644,2685,-0.77
11,2000-01-26,640,721,601,643,5403,-0.16
12,2000-01-27,660,660,630,650,3062,1.09
13,2000-01-28,649,660,623,628,2738,-3.38
14,2000-01-31,630,645,620,621,8149,-1.11
15,2000-02-01,622,640,607,625,6469,0.64
16,2000-02-02,625,625,602,624,3801,-0.16
17,2000-02-03,601,640,570,610,9454,-2.24
18,2000-02-07,610,650,605,650,12796,6.56
19,2000-02-08,648,648,608,630,1892,-3.08
20,2000-02-09,600,628,595,628,8511,-0.32
21,2000-02-10,628,635,605,624,4816,-0.64
22,2000-02-11,624,625,590,604,6792,-3.21
23,2000-02-14,600,620,570,615,5555,1.82
24,2000-02-15,615,623,605,606,10632,-1.46
25,2000-02-16,620,635,606,611,5611,0.83
26,2000-02-17,611,650,611,650,13114,6.38
27,2000-02-18,650,695,650,681,8078,4.77
28,2000-02-21,680,680,630,640,2416,-6.02
29,2000-02-22,630,668,620,650,4780,1.56
30,2000-02-23,650,728,650,728,17255,12.0
31,2000-02-24,780,815,780,815,18974,11.95
32,2000-02-25,912,912,912,912,5060,11.9
33,2000-02-28,1020,1020,1020,1020,6186,11.84
34,2000-02-29,1140,1140,1140,1140,2921,11.76
35,2000-03-02,1275,1275,1200,1275,43528,11.84
36,2000-03-03,1275,1425,1160,1400,44930,9.8
37,2000-03-06,1400,1565,1350,1550,39336,10.71
38,2000-03-07,1545,1545,1365,1365,19500,-11.94
39,2000-03-08,1205,1525,1205,1525,43183,11.72
40,2000-03-09,1705,1705,1700,1705,7315,11.8
41,2000-03-10,1904,1904,1904,1905,10400,11.73
42,2000-03-13,2130,2130,2130,2130,14558,11.81
43,2000-03-14,2385,2385,2385,2385,1761,11.97
44,2000-03-15,2670,2670,2400,2670,26546,11.95
45,2000-03-16,2700,2990,2350,2750,109977,3.0
46,2000-03-17,2450,2790,2420,2420,31450,-12.0
47,2000-03-20,2180,2180,2130,2130,3344,-11.98
48,2000-03-21,1874,1874,1874,1875,1190,-11.97
49,2000-03-22,1650,2100,1650,1900,31883,1.33
50,2000-03-23,1950,2000,1675,1675,26753,-11.84
51,2000-03-24,1675,1875,1475,1800,45952,7.46
52,2000-03-27,2014,2014,1820,2015,27041,11.94
53,2000-03-28,2255,2255,2000,2255,27330,11.91
54,2000-03-29,2255,2490,1984,1985,43582,-11.97
55,2000-03-30,1800,2100,1750,2000,20980,0.76
56,2000-03-31,1850,2095,1810,1920,11534,-4.0
57,2000-04-03,1730,2150,1730,1990,36421,3.65
58,2000-04-04,1900,2160,1755,1755,14648,-11.81
59,2000-04-06,1760,1960,1760,1880,14612,7.12
60,2000-04-07,2065,2100,1920,2095,11859,11.44
61,2000-04-10,2300,2340,2100,2150,29393,2.63
62,2000-04-11,2020,2080,1894,1895,6608,-11.86
63,2000-04-12,1700,1850,1670,1820,23415,-3.96
64,2000-04-14,1620,1980,1620,1870,18287,2.75
65,2000-04-17,1820,1820,1650,1650,15376,-11.76
66,2000-04-18,1700,1780,1480,1700,8642,3.03
67,2000-04-19,1750,1900,1750,1900,30817,11.76
