,Date,Open,High,Low,Close,Volume,Change
0,2000-07-06,13400,13400,13400,13400,176,11.67
1,2000-07-07,15000,15000,15000,15000,244,11.94
2,2000-07-10,16800,16800,16800,16800,746,12.0
3,2000-07-11,18800,18800,18800,18800,21038,11.9
4,2000-07-12,21050,21050,16550,16550,632111,-11.97
5,2000-07-13,15500,15600,14600,14600,197401,-11.78
6,2000-07-14,14800,16350,13250,16100,555379,10.27
7,2000-07-18,15300,17400,15300,16300,385917,1.24
8,2000-07-19,15700,16200,14350,14350,109486,-11.96
9,2000-07-20,13400,14750,13100,14650,104871,2.09
10,2000-07-21,13800,15450,13800,14750,58373,0.68
11,2000-07-24,14500,15100,14050,14700,33546,-0.34
12,2000-07-25,14700,16450,14100,16000,181839,8.84
13,2000-07-26,15900,16700,15200,15200,142541,-5.0
14,2000-07-27,15300,17000,15000,17000,171864,11.84
15,2000-07-28,17800,19000,16600,19000,212561,11.76
16,2000-07-31,18900,20300,17100,19000,256338,0.0
17,2000-08-01,19300,20500,18800,19300,212848,1.58
18,2000-08-02,19500,21600,19200,21600,211756,11.92
19,2000-08-03,21900,24150,21900,24150,134200,11.81
20,2000-08-04,25000,26100,21300,21300,278540,-11.8
21,2000-08-07,19300,21300,18750,18800,411703,-11.74
22,2000-08-08,19000,19850,18300,18950,330250,0.8
23,2000-08-09,18700,19400,16700,19200,256104,1.32
24,2000-08-10,18100,19400,17200,17500,134236,-8.85
25,2000-08-11,16500,17400,15400,15950,156548,-8.86
26,2000-08-14,15950,16350,14900,16100,80284,0.94
27,2000-08-16,15500,16800,15500,16100,98508,0.0
28,2000-08-17,16100,16100,15000,16050,66678,-0.31
29,2000-08-18,15600,15900,15000,15850,57364,-1.25
30,2000-08-21,15100,16900,15100,15900,62428,0.32
31,2000-08-22,15900,16000,15350,16000,64589,0.63
32,2000-08-23,16700,17900,16100,17900,254183,11.88
33,2000-08-24,18100,19400,15800,16200,595910,-9.5
34,2000-08-25,15800,15900,14300,14300,116077,-11.73
35,2000-08-28,14300,15000,13800,14500,133876,1.4
36,2000-08-29,14800,14800,13550,14250,75788,-1.72
37,2000-08-30,13450,14200,13450,14000,51815,-1.75
38,2000-08-31,14100,14200,13200,13800,47787,-1.43
39,2000-09-01,14100,14500,13500,13900,53838,0.72
40,2000-09-04,13600,14000,13250,13950,45371,0.36
41,2000-09-05,13850,14700,13700,14400,54286,3.23
42,2000-09-06,14400,14600,13650,14000,36759,-2.78
43,2000-09-07,13900,14000,12350,13900,62223,-0.71
44,2000-09-08,13200,14100,12700,13950,53658,0.36
45,2000-09-14,13500,14200,13200,14200,17919,1.79
46,2000-09-15,13900,14500,13900,14300,22261,0.7
47,2000-09-18,14150,14150,12600,12600,25737,-11.89
48,2000-09-19,12300,13100,11100,13100,56576,3.97
49,2000-09-20,12900,13400,12800,13200,40793,0.76
50,2000-09-21,13400,13400,11650,12750,68028,-3.41
51,2000-09-22,11900,12600,11250,11900,75475,-6.67
52,2000-09-25,10550,12600,10550,12600,97353,5.88
53,2000-09-26,12100,12800,11300,12750,40897,1.19
54,2000-09-27,12750,13500,12550,12550,82722,-1.57
55,2000-09-28,12350,12800,11800,11850,33889,-5.58
56,2000-09-29,12100,12450,11600,12000,61854,1.27
57,2000-10-02,12000,12400,11600,11900,29274,-0.83
58,2000-10-04,11600,13100,11400,12700,118656,6.72
59,2000-10-05,12950,13600,12150,13000,240670,2.36
60,2000-10-06,12900,12900,12300,12750,42263,-1.92
61,2000-10-09,12850,14250,12250,14250,209977,11.76
62,2000-10-10,14700,15150,13150,14050,302490,-1.4
63,2000-10-11,13900,13900,12400,12400,96002,-11.74
64,2000-10-12,12050,12050,11500,11500,45234,-7.26
65,2000-10-13,10700,10700,10150,10150,59605,-11.74
66,2000-10-16,10500,11350,10500,11150,105669,9.85
67,2000-10-17,10300,10700,9850,9850,48455,-11.66
68,2000-10-18,9600,10200,8670,10200,81933,3.55
69,2000-10-19,9800,10700,9800,10600,46973,3.92
70,2000-10-20,11200,11300,10350,10700,54865,0.94
71,2000-10-23,10500,11400,9800,10800,42438,0.93
72,2000-10-24,10500,10800,10400,10450,14848,-3.24
73,2000-10-25,9500,10500,9500,10300,20048,-1.44
74,2000-10-26,10200,10500,9870,9950,13481,-3.4
75,2000-10-27,9950,10800,9850,10100,38503,1.51
76,2000-10-30,9950,9950,9000,9600,27235,-4.95
77,2000-10-31,9100,9290,8700,9220,17831,-3.96
78,2000-11-01,8550,9400,8550,9260,23573,0.43
79,2000-11-02,9010,9300,8910,9300,15071,0.43
80,2000-11-03,9320,10400,9060,10400,114658,11.83
81,2000-11-06,10450,10800,10150,10700,92875,2.88
82,2000-11-07,10700,10700,10100,10200,30705,-4.67
83,2000-11-08,10200,10400,9850,10300,17250,0.98
84,2000-11-09,10200,10200,9900,10200,14977,-0.97
85,2000-11-10,10200,11200,10000,10700,99939,4.9
86,2000-11-13,10400,11400,10400,10600,96081,-0.93
87,2000-11-14,10700,11300,10700,11300,120633,6.6
88,2000-11-15,11600,12100,10700,11200,226091,-0.88
89,2000-11-16,11200,11250,10150,10700,65193,-4.46
90,2000-11-17,10500,10700,10300,10400,37505,-2.8
91,2000-11-20,10200,10750,10200,10650,62892,2.4
92,2000-11-21,10350,10350,9410,9800,55472,-7.98
93,2000-11-22,9600,9950,9220,9500,34443,-3.06
94,2000-11-23,9110,9350,8360,8500,49989,-10.53
95,2000-11-24,8000,8800,7850,8500,40398,0.0
96,2000-11-27,8600,8890,8400,8700,46400,2.35
97,2000-11-28,8700,8700,7910,7910,32066,-9.08
98,2000-11-29,7270,7320,6970,6970,39667,-11.88
99,2000-11-30,6970,7150,6150,6960,63039,-0.14
100,2000-12-01,6710,7470,6300,7470,42159,7.33
101,2000-12-04,7390,7540,6800,7150,39034,-4.28
102,2000-12-05,7200,8000,6750,7620,114424,6.57
103,2000-12-06,7810,8150,7510,7750,106532,1.71
104,2000-12-07,7800,8280,7640,7850,58551,1.29
105,2000-12-08,7900,7940,7100,7530,71099,-4.08
106,2000-12-11,7350,7730,7260,7730,30753,2.66
107,2000-12-12,7300,7950,7300,7880,25056,1.94
108,2000-12-13,7650,7800,7550,7720,9918,-2.03
109,2000-12-14,7610,7760,7450,7610,24134,-1.42
110,2000-12-15,7500,7640,7300,7510,7513,-1.31
111,2000-12-18,7200,7500,7160,7300,9313,-2.8
112,2000-12-19,6530,7300,6430,7100,48408,-2.74
113,2000-12-20,6910,6910,6250,6400,15577,-9.86
114,2000-12-21,6030,6030,5640,5640,11786,-11.88
115,2000-12-22,5050,5900,4970,4970,12914,-11.88
116,2000-12-26,4970,5310,4380,5300,25878,6.64
117,2001-01-02,5020,5890,5020,5610,6790,5.85
118,2001-01-03,5450,5790,5220,5570,20227,-0.71
119,2001-01-04,5830,6100,5800,5960,38086,7.0
120,2001-01-05,5710,6000,5560,5710,23732,-4.19
121,2001-01-08,5230,6090,5230,5800,18327,1.58
122,2001-01-09,6000,6490,5700,6490,55611,11.9
123,2001-01-10,6790,7140,5720,6060,54847,-6.63
