,Date,Open,High,Low,Close,Volume,Change
0,2000-04-21,0,0,0,5000,0,0.0
1,2000-04-24,5600,5600,4400,5000,3,0.0
2,2000-04-25,4400,4400,4400,4400,1,-12.0
3,2000-04-26,3880,3880,3880,3880,1,-11.82
4,2000-04-27,3600,4340,3600,3710,402,-4.38
5,2000-04-28,3320,4150,3320,4150,358,11.86
6,2000-05-02,4640,4640,3720,4640,57,11.81
7,2000-05-03,5190,5190,4090,5190,1476,11.85
8,2000-05-04,5810,5810,4680,5810,5615,11.95
9,2000-05-08,5810,5810,5120,5120,1136,-11.88
10,2000-05-09,4510,5730,4510,5390,3130,5.27
11,2000-05-10,4810,5200,4750,4890,5658,-9.28
12,2000-05-12,4310,4890,4310,4310,733,-11.86
13,2000-05-15,3850,4500,3850,4380,2299,1.62
14,2000-05-16,4300,4490,3860,4490,1395,2.51
15,2000-05-17,4100,4890,3960,4710,211,4.9
16,2000-05-18,4660,4660,4500,4660,32,-1.06
17,2000-05-19,4590,5210,4110,5210,1496,11.8
18,2000-05-22,4590,5010,4590,4590,2502,-11.9
19,2000-05-23,4900,4900,4040,4100,1011,-10.68
20,2000-05-24,4100,4570,3610,4570,1890,11.46
21,2000-05-25,4030,4180,4030,4160,67,-8.97
22,2000-05-26,4000,4000,3670,4000,335,-3.85
23,2000-05-29,4480,4480,3520,4000,14222,0.0
24,2000-05-30,4300,4300,3520,4270,364,6.75
25,2000-05-31,4200,4200,3760,3760,2809,-11.94
26,2000-06-01,3760,3820,3620,3780,120,0.53
27,2000-06-02,4010,4010,4010,4010,1,6.08
28,2000-06-05,4170,4170,3540,3990,2442,-0.5
29,2000-06-07,4140,4140,3610,3900,453,-2.26
30,2000-06-08,4120,4120,3790,4100,52,5.13
31,2000-06-09,4100,4100,3710,3710,4,-9.51
32,2000-06-12,3760,4120,3730,4120,721,11.05
33,2000-06-13,4120,4120,4120,4120,1,0.0
34,2000-06-14,4120,4120,3810,4000,145,-2.91
