,Date,Open,High,Low,Close,Volume,Change
0,2000-03-17,4800,5590,4400,4800,5631,-4.0
1,2000-03-20,4700,4700,4230,4670,3555,-2.71
2,2000-03-21,4600,4600,4200,4210,4834,-9.85
3,2000-03-22,4200,4400,4100,4210,8960,0.0
4,2000-03-23,4200,4300,4100,4280,2766,1.66
5,2000-03-24,4030,4300,4030,4300,602,0.47
6,2000-03-27,4300,4490,4210,4210,2719,-2.09
7,2000-03-28,4160,4450,4160,4250,1851,0.95
8,2000-03-29,0,0,0,4270,0,0.47
9,2000-03-30,4450,4450,4290,4300,3160,0.7
10,2000-03-31,4310,4400,4310,4320,5182,0.47
11,2000-04-03,4300,4320,4300,4300,2837,-0.46
12,2000-04-04,4250,4250,4150,4150,2698,-3.49
13,2000-04-06,4200,4200,4010,4010,271,-3.37
14,2000-04-07,3820,4250,3810,4250,1561,5.99
15,2000-04-10,4100,4180,4000,4180,2700,-1.65
16,2000-04-11,4280,4670,4280,4670,1701,11.72
17,2000-04-12,0,0,0,4470,0,-4.28
18,2000-04-14,4150,4150,4020,4050,900,-9.4
19,2000-04-17,4000,4000,4000,4000,1996,-1.23
20,2000-04-18,3560,3900,3560,3900,724,-2.5
21,2000-04-19,4090,4090,3900,4000,206,2.56
22,2000-04-20,3900,3990,3870,3900,210,-2.5
23,2000-04-21,3700,3900,3650,3900,800,0.0
24,2000-04-24,3990,3990,3750,3900,721,0.0
25,2000-04-25,3800,4000,3750,4000,299,2.56
26,2000-04-26,4100,4100,3900,4000,687,0.0
27,2000-04-27,3630,4000,3600,4000,201,0.0
28,2000-04-28,3600,4000,3600,4000,601,0.0
29,2000-05-02,0,0,0,3990,0,-0.25
30,2000-05-03,3800,3990,3800,3990,1001,0.0
31,2000-05-04,3980,3980,3800,3800,1702,-4.76
32,2000-05-08,3650,4000,3650,3800,956,0.0
33,2000-05-09,3820,3990,3350,3510,11084,-7.63
34,2000-05-10,3590,3780,3590,3780,320,7.69
35,2000-05-12,3570,3680,3570,3600,3214,-4.76
36,2000-05-15,3670,3670,3550,3550,286,-1.39
37,2000-05-16,3640,3640,3510,3510,1060,-1.13
38,2000-05-17,3680,3680,3500,3600,5167,2.56
39,2000-05-18,3380,3490,3360,3370,7581,-6.39
40,2000-05-19,3390,3500,3390,3500,15534,3.86
41,2000-05-22,3340,3500,3250,3500,901,0.0
42,2000-05-23,3250,3250,3200,3200,1220,-8.57
43,2000-05-24,2860,3380,2860,3380,3456,5.63
44,2000-05-25,3100,3380,3100,3380,1906,0.0
45,2000-05-26,3000,3380,3000,3380,805,0.0
46,2000-05-29,3080,3380,3000,3380,2001,0.0
47,2000-05-30,3070,3380,3050,3380,1000,0.0
48,2000-05-31,3300,3300,3200,3200,99,-5.33
49,2000-06-01,3200,3200,3200,3200,90,0.0
50,2000-06-02,3250,3300,3200,3300,2679,3.13
51,2000-06-05,3350,3500,3330,3500,1821,6.06
52,2000-06-07,3340,3570,3200,3570,201,2.0
53,2000-06-08,3560,3570,3330,3570,3860,0.0
54,2000-06-09,3300,3650,3300,3650,200,2.24
55,2000-06-12,3440,3440,3440,3440,1000,-5.75
56,2000-06-13,3700,3700,3700,3700,1,7.56
57,2000-06-14,3400,3400,3400,3400,200,-8.11
