,Date,Open,High,Low,Close,Volume,Change
0,2000-03-31,5600,5600,5600,5600,20,12.0
1,2000-04-03,6270,6270,6270,6270,10100,11.96
2,2000-04-04,7020,7020,7000,7020,143321,11.96
3,2000-04-06,7860,7860,7200,7860,210466,11.97
4,2000-04-07,8500,8500,6920,6920,168454,-11.96
5,2000-04-10,6090,6440,6090,6090,22926,-11.99
6,2000-04-11,5360,5360,5360,5360,32,-11.99
7,2000-04-12,4720,4720,4720,4720,676,-11.94
8,2000-04-14,4260,5250,4160,5250,230650,11.23
9,2000-04-17,4620,4620,4620,4620,3636,-12.0
10,2000-04-18,4100,4400,4100,4110,35852,-11.04
11,2000-04-19,4290,4490,4130,4320,27446,5.11
12,2000-04-20,4200,4390,4140,4250,17657,-1.62
13,2000-04-21,4250,4350,4220,4290,18083,0.94
14,2000-04-24,4290,4400,4280,4400,23894,2.56
15,2000-04-25,4310,4380,4240,4270,9953,-2.95
16,2000-04-26,4270,4360,4270,4290,7673,0.47
17,2000-04-27,4180,4360,4180,4360,2092,1.63
18,2000-04-28,4390,4390,4180,4300,2831,-1.38
19,2000-05-02,4390,4390,4190,4290,3640,-0.23
20,2000-05-03,4260,4300,4260,4300,2814,0.23
21,2000-05-04,4280,4350,4210,4300,10512,0.0
22,2000-05-08,4330,4350,4280,4350,4376,1.16
23,2000-05-09,4300,4500,4300,4470,5349,2.76
24,2000-05-10,4310,4440,4310,4440,804,-0.67
25,2000-05-12,4300,4490,4300,4310,3173,-2.93
26,2000-05-15,4280,4300,4280,4300,5470,-0.23
27,2000-05-16,4400,4400,4300,4340,3601,0.93
28,2000-05-17,4700,4700,4310,4320,3761,-0.46
29,2000-05-18,4250,4280,4250,4280,1770,-0.93
30,2000-05-19,4250,4320,4250,4320,19389,0.93
31,2000-05-22,4320,4450,4230,4230,392,-2.08
32,2000-05-23,4230,4300,4230,4300,680,1.65
33,2000-05-24,4230,4230,4200,4200,171,-2.33
34,2000-05-25,4230,4300,4230,4300,1678,2.38
35,2000-05-26,4300,4300,4210,4220,1151,-1.86
36,2000-05-29,4200,4210,4200,4210,2017,-0.24
37,2000-05-30,4210,4400,4210,4400,1164,4.51
38,2000-05-31,4250,4330,4250,4270,5447,-2.95
39,2000-06-01,4290,4290,4290,4290,2400,0.47
40,2000-06-02,4240,4240,4240,4240,102,-1.17
41,2000-06-05,4260,4350,4260,4270,3216,0.71
42,2000-06-07,4450,4450,4280,4310,2455,0.94
43,2000-06-08,4300,4400,4300,4350,1400,0.93
44,2000-06-09,4350,4390,4260,4280,750,-1.61
45,2000-06-12,4280,4290,4280,4290,550,0.23
46,2000-06-13,4300,4310,4300,4310,60,0.47
47,2000-06-14,4300,4300,4300,4300,154,-0.23
48,2000-06-15,4300,4300,4300,4300,210,0.0
49,2000-06-16,4320,4320,4320,4320,10,0.47
50,2000-06-19,4330,4390,4330,4390,900,1.62
51,2000-06-20,4350,4350,4350,4350,40,-0.91
52,2000-06-21,4390,4400,4390,4400,801,1.15
53,2000-06-22,4400,4400,4400,4400,30,0.0
54,2000-06-23,0,0,0,4400,0,0.0
55,2000-06-26,4400,4400,4370,4370,451,-0.68
56,2000-06-27,4380,4380,4380,4380,14,0.23
57,2000-06-28,4400,4400,4400,4400,391,0.46
58,2000-06-29,4440,4450,4400,4400,280,0.0
59,2000-06-30,4500,4500,4500,4500,1,2.27
60,2000-07-03,4800,4800,4410,4770,132,6.0
61,2000-07-04,0,0,0,4670,0,-2.1
62,2000-07-05,4350,4350,4350,4350,50,-6.85
63,2000-07-06,0,0,0,4370,0,0.46
64,2000-07-07,4390,4600,4390,4600,521,5.26
65,2000-07-10,4680,4680,4680,4680,1,1.74
66,2000-07-11,4700,4700,4410,4700,52,0.43
67,2000-07-12,0,0,0,4700,0,0.0
68,2000-07-13,4330,4500,4330,4500,1000,-4.26
69,2000-07-14,4410,4410,4400,4400,1000,-2.22
70,2000-07-18,4450,4450,4450,4450,500,1.14
71,2000-07-19,4450,4450,4400,4400,631,-1.12
72,2000-07-20,4280,4280,4280,4280,6,-2.73
73,2000-07-21,0,0,0,4570,0,6.78
74,2000-07-24,0,0,0,4570,0,0.0
75,2000-07-25,0,0,0,4450,0,-2.63
76,2000-07-26,0,0,0,4450,0,0.0
77,2000-07-27,4330,4330,4330,4330,2570,-2.7
78,2000-07-28,4410,4410,4410,4410,3004,1.85
79,2000-07-31,4600,4680,4600,4680,1010,6.12
80,2000-08-01,0,0,0,4600,0,-1.71
81,2000-08-02,4600,4600,4600,4600,10,0.0
82,2000-08-03,4340,4600,4340,4600,51,0.0
83,2000-08-04,0,0,0,4600,0,0.0
84,2000-08-07,0,0,0,4500,0,-2.17
85,2000-08-08,0,0,0,4500,0,0.0
86,2000-08-09,4400,4400,4400,4400,10000,-2.22
87,2000-08-10,4400,4400,4400,4400,1000,0.0
88,2000-08-11,4500,4500,4500,4500,10,2.27
89,2000-08-14,4410,4540,4400,4540,894,0.89
90,2000-08-16,4400,4400,4400,4400,75,-3.08
91,2000-08-17,0,0,0,4410,0,0.23
92,2000-08-18,4410,4410,4410,4410,15,0.0
93,2000-08-21,4400,4400,4400,4400,100,-0.23
94,2000-08-22,0,0,0,4410,0,0.23
95,2000-08-23,4400,4400,4400,4400,30,-0.23
96,2000-08-24,4400,4400,4400,4400,2394,0.0
97,2000-08-25,0,0,0,4400,0,0.0
98,2000-08-28,4270,4270,4270,4270,376,-2.95
99,2000-08-29,0,0,0,4310,0,0.94
100,2000-08-30,4440,4440,4300,4300,50,-0.23
101,2000-08-31,4350,4350,4350,4350,1368,1.16
102,2000-09-01,4690,4690,4690,4690,1,7.82
103,2000-09-04,4210,4210,4210,4210,1,-10.23
104,2000-09-05,4350,4500,4350,4500,1010,6.89
105,2000-09-06,4580,4580,4350,4350,1102,-3.33
106,2000-09-07,4350,4350,4350,4350,3420,0.0
107,2000-09-08,0,0,0,4350,0,0.0
108,2000-09-14,0,0,0,4350,0,0.0
109,2000-09-15,4300,4300,4300,4300,201,-1.15
110,2000-09-18,0,0,0,4300,0,0.0
111,2000-09-19,0,0,0,4270,0,-0.7
112,2000-09-20,0,0,0,4270,0,0.0
113,2000-09-21,0,0,0,4130,0,-3.28
114,2000-09-22,0,0,0,4130,0,0.0
115,2000-09-25,3900,3900,3700,3700,250,-10.41
116,2000-09-26,3900,3900,3900,3900,120,5.41
117,2000-09-27,4350,4350,4350,4350,2,11.54
118,2000-09-28,0,0,0,4230,0,-2.76
119,2000-09-29,0,0,0,4230,0,0.0
120,2000-10-02,3800,3800,3800,3800,11,-10.17
121,2000-10-04,0,0,0,3800,0,0.0
122,2000-10-05,0,0,0,3800,0,0.0
123,2000-10-06,0,0,0,3800,0,0.0
124,2000-10-09,0,0,0,3800,0,0.0
125,2000-10-10,4000,4000,4000,4000,1,5.26
126,2000-10-11,0,0,0,4000,0,0.0
127,2000-10-12,3650,3650,3650,3650,60,-8.75
128,2000-10-13,4080,4080,4000,4000,54,9.59
129,2000-10-16,0,0,0,3980,0,-0.5
130,2000-10-17,0,0,0,3980,0,0.0
131,2000-10-18,0,0,0,3830,0,-3.77
132,2000-10-19,3400,3450,3400,3450,110,-9.92
133,2000-10-20,0,0,0,3510,0,1.74
134,2000-10-23,3450,3450,3450,3450,10,-1.71
135,2000-10-24,3460,3700,3460,3700,23,7.25
136,2000-10-25,3520,3520,3510,3510,2814,-5.14
137,2000-10-26,3690,3690,3690,3690,2866,5.13
138,2000-10-27,0,0,0,3690,0,0.0
139,2000-10-30,0,0,0,3690,0,0.0
140,2000-10-31,3880,3880,3880,3880,1,5.15
141,2000-11-01,0,0,0,3740,0,-3.61
142,2000-11-02,0,0,0,3740,0,0.0
143,2000-11-03,0,0,0,3740,0,0.0
144,2000-11-06,0,0,0,3760,0,0.53
145,2000-11-07,4090,4090,4090,4090,1,8.78
146,2000-11-08,0,0,0,3900,0,-4.65
147,2000-11-09,3510,3800,3500,3800,458,-2.56
148,2000-11-10,3750,3750,3750,3750,100,-1.32
149,2000-11-13,3760,3760,3760,3760,100,0.27
150,2000-11-14,0,0,0,3770,0,0.27
151,2000-11-15,3800,3800,3800,3800,99,0.8
152,2000-11-16,0,0,0,3850,0,1.32
153,2000-11-17,3790,3790,3790,3790,89,-1.56
154,2000-11-20,0,0,0,3800,0,0.26
155,2000-11-21,0,0,0,3800,0,0.0
156,2000-11-22,0,0,0,3800,0,0.0
157,2000-11-23,4030,4030,4030,4030,1,6.05
158,2000-11-24,0,0,0,3900,0,-3.23
159,2000-11-27,0,0,0,3900,0,0.0
160,2000-11-28,4000,4000,4000,4000,2,2.56
161,2000-11-29,3650,3650,3650,3650,100,-8.75
162,2000-11-30,3600,3600,3600,3600,1,-1.37
163,2000-12-01,0,0,0,3600,0,0.0
