,Date,Open,High,Low,Close,Volume,Change
0,2000-05-03,22400,22400,22400,22400,56,12.0
1,2000-05-04,25050,25050,25050,25050,11,11.83
2,2000-05-08,28050,28050,28050,28050,12,11.98
3,2000-05-09,31400,31400,31400,31400,202,11.94
4,2000-05-10,35150,35150,35150,35150,55,11.94
5,2000-05-12,39350,39350,39350,39350,371,11.95
6,2000-05-15,44050,44050,44050,44050,1151,11.94
7,2000-05-16,49300,49300,49300,49300,18264,11.92
8,2000-05-17,55200,55200,55200,55200,10622,11.97
9,2000-05-18,61800,61800,61800,61800,259258,11.96
10,2000-05-19,69200,69200,58200,60100,1288918,-2.75
11,2000-05-22,55100,56800,52900,52900,32059,-11.98
12,2000-05-23,46600,46600,46600,46600,12609,-11.91
13,2000-05-24,43800,52100,43000,52100,1666856,11.8
14,2000-05-25,57800,58300,55000,58300,182798,11.9
15,2000-05-26,58300,65200,51400,51400,1981676,-11.84
16,2000-05-29,45500,51200,45300,45300,885173,-11.87
17,2000-05-30,45300,47500,40100,45500,1020130,0.44
18,2000-05-31,48000,50900,47700,50900,1023815,11.87
19,2000-06-01,49550,56000,47500,49500,1427960,-2.75
20,2000-06-02,52000,55400,49700,55400,1481335,11.92
21,2000-06-05,62000,62000,62000,62000,25032,11.91
22,2000-06-07,69400,69400,69400,69400,44043,11.94
23,2000-06-08,70000,75000,61100,61100,2410682,-11.96
24,2000-06-09,60900,68400,57000,68400,1306730,11.95
25,2000-06-12,72800,76600,68000,68500,1479081,0.15
26,2000-06-13,64000,68400,60300,60300,738627,-11.97
27,2000-06-14,62300,66700,58000,62000,1051822,2.82
28,2000-06-15,60000,61200,54600,54600,515265,-11.94
29,2000-06-16,50000,56400,49100,50900,1006372,-6.78
30,2000-06-19,50000,55400,49000,49900,933660,-1.96
31,2000-06-20,52200,54500,50900,52500,882755,5.21
32,2000-06-21,53500,54800,50300,51800,610281,-1.33
33,2000-06-22,53300,58000,50700,58000,1095029,11.97
34,2000-06-23,58000,59400,53100,53700,913103,-7.41
35,2000-06-26,53700,57700,53200,55400,553884,3.17
36,2000-06-27,58000,60800,54500,56400,865895,1.81
37,2000-06-28,56400,60600,56000,57300,796595,1.6
38,2000-06-29,58400,62400,52100,59500,1444124,3.84
39,2000-06-30,58500,59500,56100,57000,505659,-4.2
40,2000-07-03,57100,61900,57100,59000,634432,3.51
41,2000-07-04,58700,60300,53100,53600,492614,-9.15
42,2000-07-05,52000,52400,47200,47200,366348,-11.94
43,2000-07-06,41700,45000,41550,41600,517454,-11.86
44,2000-07-07,42000,46550,41800,46550,600368,11.9
45,2000-07-10,47800,52100,47300,52100,665933,11.92
46,2000-07-11,51000,54400,45900,46700,999353,-10.36
47,2000-07-12,46700,48400,43200,46200,741790,-1.07
