,Date,Open,High,Low,Close,Volume,Change
0,2000-04-28,5600,5600,5600,5600,3900,12.0
1,2000-05-02,6270,6270,6200,6250,43635,11.61
2,2000-05-03,5500,5600,5500,5500,12206,-12.0
3,2000-05-04,4840,5990,4840,5000,45990,-9.09
4,2000-05-08,5100,5500,4500,4920,9702,-1.6
5,2000-05-09,4950,4950,4360,4600,4349,-6.5
6,2000-05-10,4490,4500,4050,4170,9378,-9.35
7,2000-05-12,4200,4500,4120,4340,6450,4.08
8,2000-05-15,4250,4260,4040,4150,5845,-4.38
9,2000-05-16,4100,4400,4100,4270,2789,2.89
10,2000-05-17,4270,4270,4000,4100,5240,-3.98
11,2000-05-18,4050,4160,3900,4100,3025,0.0
12,2000-05-19,3820,4100,3710,4090,915,-0.24
13,2000-05-22,3710,4000,3710,3980,1610,-2.69
14,2000-05-23,3510,3700,3510,3700,12924,-7.04
15,2000-05-24,3780,3780,3280,3580,4960,-3.24
16,2000-05-25,3750,3750,3440,3710,740,3.63
17,2000-05-26,3600,3780,3500,3780,873,1.89
18,2000-05-29,3780,3780,3520,3780,194,0.0
19,2000-05-30,4130,4130,4130,4130,11,9.26
20,2000-05-31,3640,4040,3640,3850,3958,-6.78
21,2000-06-01,3950,3950,3800,3810,2110,-1.04
22,2000-06-02,3690,4100,3690,3860,1290,1.31
23,2000-06-05,4200,4300,3730,4100,453,6.22
24,2000-06-07,4200,4300,3800,4300,694,4.88
25,2000-06-08,4390,4450,3920,4450,1218,3.49
26,2000-06-09,4450,4450,4030,4440,191,-0.22
27,2000-06-12,4700,4700,4600,4600,370,3.6
28,2000-06-13,4180,4400,4150,4400,379,-4.35
29,2000-06-14,4220,4220,4200,4200,161,-4.55
30,2000-06-15,4200,4390,4000,4390,13182,4.52
31,2000-06-16,4250,4250,4050,4180,2141,-4.78
32,2000-06-19,4680,4680,3780,4580,2323,9.57
33,2000-06-20,4450,4450,4100,4340,1043,-5.24
34,2000-06-21,4100,4570,4000,4480,6356,3.23
35,2000-06-22,4030,4390,4030,4390,36,-2.01
36,2000-06-23,4030,4050,4030,4030,2863,-8.2
37,2000-06-26,4120,4390,4120,4390,102,8.93
38,2000-06-27,4150,4390,4150,4390,12,0.0
39,2000-06-28,4150,4390,4150,4390,101,0.0
40,2000-06-29,0,0,0,4390,0,0.0
41,2000-06-30,4490,4600,4490,4600,180,4.78
42,2000-07-03,4100,4100,4100,4100,150,-10.87
43,2000-07-04,4120,4120,4110,4110,120,0.24
44,2000-07-05,4450,4450,4450,4450,10,8.27
45,2000-07-06,4120,4490,4120,4480,653,0.67
46,2000-07-07,4530,4530,4530,4530,1,1.12
47,2000-07-10,0,0,0,4530,0,0.0
48,2000-07-11,0,0,0,4490,0,-0.88
49,2000-07-12,0,0,0,4490,0,0.0
50,2000-07-13,0,0,0,4440,0,-1.11
51,2000-07-14,0,0,0,4410,0,-0.68
52,2000-07-18,4470,4470,4420,4420,2,0.23
53,2000-07-19,4440,4440,4440,4440,55,0.45
54,2000-07-20,0,0,0,4430,0,-0.23
55,2000-07-21,0,0,0,4420,0,-0.23
56,2000-07-24,3910,4360,3910,4360,302,-1.36
57,2000-07-25,0,0,0,4170,0,-4.36
58,2000-07-26,0,0,0,4170,0,0.0
59,2000-07-27,4170,4170,4170,4170,1,0.0
60,2000-07-28,4270,4490,4270,4490,2,7.67
61,2000-07-31,5020,5020,3960,4070,724,-9.35
