,Date,Open,High,Low,Close,Volume,Change
0,2018-02-08,42361,47474,40105,42462,2261591,NaN
1,2018-02-09,40857,41609,38601,38601,398614,-9.09
2,2018-02-12,39253,39904,34741,37950,532767,-1.69
3,2018-02-13,38501,40556,37498,37849,233348,-0.27
4,2018-02-14,38350,38902,36144,37849,160600,0.0
5,2018-02-19,38350,39152,37749,38351,95289,1.33
6,2018-02-20,39002,44316,38400,43063,525809,12.29
7,2018-02-21,42912,47123,42662,45369,500154,5.35
8,2018-02-22,45619,48126,45168,46372,298440,2.21
9,2018-02-23,47073,48377,45569,48227,265634,4.0
10,2018-02-26,49129,50081,45770,47274,255462,-1.98
11,2018-02-27,47524,47925,46071,46071,104942,-2.54
12,2018-02-28,47073,47123,45068,45720,99392,-0.76
13,2018-03-02,44968,45319,44065,45319,108528,-0.88
14,2018-03-05,45118,45720,42712,42913,144990,-5.31
15,2018-03-06,43363,44065,42662,43063,73612,0.35
16,2018-03-07,43213,43915,40857,42010,156647,-2.45
17,2018-03-08,41860,45218,41258,45119,292772,7.4
18,2018-03-09,45068,46572,43865,44718,133249,-0.89
19,2018-03-12,44968,45770,44216,44667,68645,-0.11
20,2018-03-13,45018,48126,44968,48126,308835,7.74
21,2018-03-14,47775,49981,47575,49681,266708,3.23
22,2018-03-15,49680,52989,48928,52688,464054,6.05
23,2018-03-16,52387,54543,51936,53791,304630,2.09
24,2018-03-19,53791,53791,51485,52638,157828,-2.14
25,2018-03-20,51886,53941,50833,53440,164042,1.52
26,2018-03-21,54743,56448,52989,56298,256884,5.35
27,2018-03-22,56297,60859,56247,60058,531705,6.68
28,2018-03-23,59005,63817,58604,61411,456909,2.25
29,2018-03-26,63166,63717,56899,61762,340423,0.57
30,2018-03-27,62263,65121,57701,59155,414614,-4.22
31,2018-03-28,58152,61461,57651,60158,296917,1.7
32,2018-03-29,60910,61160,58152,59506,140422,-1.08
33,2018-03-30,60258,64168,59556,63918,269896,7.41
34,2018-04-02,64168,65020,62163,63667,133623,-0.39
35,2018-04-03,62714,65171,62514,64720,126406,1.65
36,2018-04-04,66073,67677,65522,65973,252777,1.94
37,2018-04-05,66925,71337,66875,70184,311587,6.38
38,2018-04-06,71688,73693,65421,65422,339308,-6.79
39,2018-04-09,66023,72340,65923,71789,263736,9.73
40,2018-04-10,72590,73443,69181,71337,190804,-0.63
41,2018-04-11,71487,72189,66625,69132,245847,-3.09
42,2018-04-12,69131,69933,65722,69031,179914,-0.15
43,2018-04-13,70084,72139,68981,69834,132637,1.16
44,2018-04-16,69332,70184,66875,67929,117473,-2.73
45,2018-04-17,67878,69933,66675,67929,104284,0.0
46,2018-04-18,69382,71036,68680,70134,230128,3.25
47,2018-04-19,71688,74746,70936,74646,300414,6.43
48,2018-04-20,75448,77453,68931,70084,340802,-6.11
49,2018-04-23,70234,71989,67527,68079,160668,-2.86
50,2018-04-24,68179,68931,63115,63667,295690,-6.48
51,2018-04-25,62313,63366,57902,59657,415598,-6.3
52,2018-04-26,60659,62815,58904,61662,205554,3.36
53,2018-04-27,62865,66173,61912,65973,218960,6.99
54,2018-04-30,66625,68179,65472,67828,144396,2.81
55,2018-05-02,67026,72791,65572,71989,213220,6.13
56,2018-05-03,72139,72640,63767,65171,201229,-9.47
57,2018-05-04,65873,68429,64068,66425,125438,1.92
58,2018-05-08,64168,66424,61712,63166,228735,-4.91
59,2018-05-09,63166,64669,61361,63968,95698,1.27
60,2018-05-10,63717,64419,61561,62013,85061,-3.06
61,2018-05-11,63516,66424,62714,66224,200732,6.79
62,2018-05-14,66324,70184,64168,70134,207790,5.9
63,2018-05-15,71187,71738,67778,69031,157686,-1.57
64,2018-05-16,69282,69733,67427,69583,90295,0.8
65,2018-05-17,70234,70786,68580,69583,79122,0.0
66,2018-05-18,68881,70936,68881,70034,81562,0.65
67,2018-05-21,70936,75698,70585,74997,233025,7.09
68,2018-05-23,75698,78606,74345,77855,191538,3.81
69,2018-05-24,78706,82316,78506,80512,207987,3.41
70,2018-05-25,79960,82617,77754,79609,165452,-1.12
71,2018-05-28,80210,82617,80210,82467,84386,3.59
72,2018-05-29,82216,86226,81514,82717,165973,0.3
73,2018-05-30,82717,86326,81714,85174,130187,2.97
74,2018-05-31,86026,87229,84221,86427,178624,1.47
75,2018-06-01,86226,87630,85274,86828,74000,0.46
76,2018-06-04,86276,89735,86276,88382,90279,1.79
77,2018-06-05,88482,88983,79709,81715,260934,-7.54
78,2018-06-07,82567,82567,78255,80161,157875,-1.9
79,2018-06-08,81213,83519,80561,82467,91818,2.88
80,2018-06-11,81865,86126,81614,84121,129721,2.01
81,2018-06-12,85424,89635,83218,89184,165912,6.02
82,2018-06-14,88332,92493,86377,91290,469357,2.36
83,2018-06-15,91139,96453,83720,88683,518735,-2.86
84,2018-06-18,87630,88582,83469,85274,147020,-3.84
85,2018-06-19,86677,86677,82216,83570,96626,-2.0
86,2018-06-20,83970,90537,83820,90538,123923,8.34
87,2018-06-21,90237,94197,88382,92192,112489,1.83
88,2018-06-22,91390,93094,89735,91942,70777,-0.27
89,2018-06-25,93094,93094,87830,88232,103425,-4.04
90,2018-06-26,86326,86928,79960,80461,286544,-8.81
91,2018-06-27,82466,87379,81464,85224,224215,5.92
92,2018-06-28,83970,87730,83669,86427,94885,1.41
93,2018-06-29,86727,90237,86727,89736,118783,3.83
94,2018-07-02,89735,90537,88031,88733,71769,-1.12
95,2018-07-03,89986,89986,82968,85826,261046,-3.28
96,2018-07-04,87329,89234,85825,86527,94956,0.82
97,2018-07-05,86727,88883,85725,87129,62932,0.7
98,2018-07-06,87128,88983,86627,88934,110309,2.07
99,2018-07-09,89134,89134,87229,88984,43001,0.06
100,2018-07-10,90738,91039,88833,88884,81390,-0.11
101,2018-07-11,88883,90788,88031,89836,97863,1.07
102,2018-07-12,90688,96202,90086,95752,171981,6.59
103,2018-07-13,96754,99260,95150,96504,128285,0.79
104,2018-07-16,97305,102569,96503,102269,174420,5.97
105,2018-07-17,101065,101115,95250,95250,141005,-6.86
106,2018-07-18,96754,99010,92593,93797,147422,-1.53
107,2018-07-19,93896,95751,91741,93897,143229,0.11
108,2018-07-20,93345,94197,91490,92343,81800,-1.66
109,2018-07-23,91289,93245,87730,88081,82096,-4.62
110,2018-07-24,88081,93094,86226,92994,108202,5.58
111,2018-07-25,93245,93696,89435,90738,75131,-2.43
112,2018-07-26,91741,92593,89886,92242,60209,1.66
113,2018-07-27,91741,92242,90136,90438,64569,-1.96
114,2018-07-30,90437,90487,81413,83670,223168,-7.48
115,2018-07-31,83720,84121,78506,80211,233572,-4.13
116,2018-08-01,80661,84221,76651,82768,226416,3.19
117,2018-08-02,82165,82466,79158,79659,116396,-3.76
118,2018-08-03,81664,83369,80260,81815,95017,2.71
119,2018-08-06,81965,84472,80010,80211,117561,-1.96
120,2018-08-07,81113,81313,75247,76952,199081,-4.06
121,2018-08-08,75849,78907,75398,77504,216046,0.72
122,2018-08-09,77654,77954,75698,77955,81275,0.58
123,2018-08-10,79208,79809,77954,79810,84930,2.38
124,2018-08-13,80010,82015,78706,78707,111160,-1.38
125,2018-08-14,79107,80210,76150,80211,95965,1.91
126,2018-08-16,77804,77804,74295,76301,199765,-4.87
