,Date,Open,High,Low,Close,Volume,Change
0,2000-06-22,44800,44800,44800,44800,138,12.0
1,2000-06-23,50100,50100,50100,50100,47,11.83
2,2000-06-26,56100,56100,56100,56100,24,11.98
3,2000-06-27,62800,62800,62800,62800,25,11.94
4,2000-06-28,70300,70300,70300,70300,1,11.94
5,2000-06-29,78700,78700,78700,78700,138,11.95
6,2000-06-30,88100,88100,88100,88100,41577,11.94
7,2000-07-03,79300,92500,79300,90500,770758,2.72
8,2000-07-04,92500,101000,88700,101000,270538,11.6
9,2000-07-05,113000,113000,89000,100500,357975,-0.5
10,2000-07-06,96700,98900,92100,95000,86329,-5.47
11,2000-07-07,93000,97500,85100,89900,148328,-5.37
12,2000-07-10,87100,94200,86100,89900,87549,0.0
13,2000-07-11,87100,90200,79200,84000,92437,-6.56
14,2000-07-12,81100,85700,76000,78800,114424,-6.19
15,2000-07-13,78000,78000,69400,69400,171913,-11.93
16,2000-07-14,73500,77700,72700,77700,431794,11.96
17,2000-07-18,82000,87000,81000,84100,437984,8.24
18,2000-07-19,84100,84100,74100,74100,251530,-11.89
19,2000-07-20,72800,73700,65300,73700,194985,-0.54
20,2000-07-21,73000,75900,70500,72000,159967,-2.31
21,2000-07-24,70100,70100,63400,63400,113713,-11.94
22,2000-07-25,60000,65600,56000,57000,282898,-10.09
23,2000-07-26,57900,62000,54100,57000,308551,0.0
24,2000-07-27,57500,59800,55200,58000,208827,1.75
25,2000-07-28,57800,57800,51600,53000,171942,-8.62
26,2000-07-31,50500,54000,50000,52800,103965,-0.38
27,2000-08-01,52200,58200,52200,56500,237776,7.01
28,2000-08-02,55000,61400,54000,57200,188792,1.24
29,2000-08-03,57200,61800,57200,59800,190165,4.55
30,2000-08-04,60600,66500,59800,62000,249887,3.68
31,2000-08-07,62900,62900,56300,57100,102176,-7.9
32,2000-08-08,56000,58300,54100,55500,92013,-2.8
33,2000-08-09,55000,57500,54200,56200,73102,1.26
34,2000-08-10,55200,61900,55000,59500,115724,5.87
35,2000-08-11,58100,65000,58000,63500,215837,6.72
36,2000-08-14,64500,66500,63000,64400,128796,1.42
37,2000-08-16,63500,67900,62500,67500,69577,4.81
38,2000-08-17,69000,72800,66000,67500,168268,0.0
39,2000-08-18,67600,70800,67500,69700,163770,3.26
40,2000-08-21,69800,71800,68200,69500,91676,-0.29
41,2000-08-22,69500,76000,68200,73100,170714,5.18
42,2000-08-23,73500,74900,72500,74900,104371,2.46
43,2000-08-24,74400,76000,72800,75200,147271,0.4
44,2000-08-25,74000,79200,74000,76500,62129,1.73
45,2000-08-28,78400,79500,76700,79300,66402,3.66
46,2000-08-29,78100,86000,78000,84300,100824,6.31
47,2000-08-30,83800,91700,83300,90300,143037,7.12
48,2000-08-31,90300,90500,83000,85900,122140,-4.87
49,2000-09-01,85700,89900,83100,88800,132487,3.38
50,2000-09-04,86300,94600,86300,93600,128486,5.41
51,2000-09-05,95000,97600,82400,82400,167041,-11.97
52,2000-09-06,80900,84800,77000,80600,192355,-2.18
53,2000-09-07,77100,79800,71000,71000,118728,-11.91
54,2000-09-08,71000,75000,67000,73500,138561,3.52
